Date,Close
2013-01-02,35.12
2013-01-03,34.83
2013-01-04,34.39
2013-01-07,34.46
2013-01-08,33.71
2013-01-09,33.9
2013-01-10,34.0
2013-01-11,33.85
2013-01-14,34.09
2013-01-15,34.6
2013-01-16,35.54
2013-01-17,36.42
2013-01-18,37.32
2013-01-22,36.42
2013-01-23,37.8
2013-01-24,37.46
2013-01-25,37.6
2013-01-28,36.89
2013-01-29,37.31
2013-01-30,36.93
2013-01-31,36.69
2013-02-01,37.18
2013-02-04,37.28
2013-02-05,37.2
2013-02-06,37.14
2013-02-07,36.42
2013-02-08,36.25
2013-02-11,35.85
2013-02-12,35.42
2013-02-13,35.27
2013-02-14,36.57
2013-02-15,37.58
2013-02-19,38.19
2013-02-20,38.61
2013-02-21,38.78
2013-02-22,38.46
2013-02-25,37.37
2013-02-26,37.09
2013-02-27,36.73
2013-02-28,36.92
2013-03-01,37.81
2013-03-04,38.24
2013-03-05,37.51
2013-03-06,37.74
2013-03-07,37.49
2013-03-08,37.34
2013-03-11,37.67
2013-03-12,37.17
2013-03-13,37.17
2013-03-14,37.56
2013-03-15,38.5
2013-03-18,38.16
2013-03-19,38.36
2013-03-20,39.06
2013-03-21,38.49
2013-03-22,38.97
2013-03-25,39.32
2013-03-26,40.21
2013-03-27,40.15
2013-03-28,40.78
2013-04-01,41.12
2013-04-02,40.71
2013-04-03,40.57
2013-04-04,41.6
2013-04-05,41.31
2013-04-08,41.77
2013-04-09,42.55
2013-04-10,43.62
2013-04-11,43.2
2013-04-12,43.09
2013-04-15,41.44
2013-04-16,42.45
2013-04-17,42.24
2013-04-18,42.32
2013-04-19,42.39
2013-04-22,44.2
2013-04-23,45.14
2013-04-24,44.32
2013-04-25,44.24
2013-04-26,45.84
2013-04-29,45.23
2013-04-30,46.05
2013-05-01,45.55
2013-05-02,43.99
2013-05-03,44.68
2013-05-06,44.59
2013-05-07,44.91
2013-05-08,43.49
2013-05-09,44.24
2013-05-10,45.01
2013-05-13,44.54
2013-05-14,45.35
2013-05-15,46.03
2013-05-16,46.21
2013-05-17,47.17
2013-05-20,46.26
2013-05-21,46.54
2013-05-22,46.76
2013-05-23,46.59
2013-05-24,45.44
2013-05-28,45.39
2013-05-29,43.88
2013-05-30,44.55
2013-05-31,42.69
2013-06-03,43.36
2013-06-04,43.63
2013-06-05,43.04
2013-06-06,43.5
2013-06-07,44.0
2013-06-10,43.92
2013-06-11,43.59
2013-06-12,42.77
2013-06-13,43.15
2013-06-14,43.21
2013-06-17,43.01
2013-06-18,43.54
2013-06-19,43.04
2013-06-20,41.06
2013-06-21,42.62
2013-06-24,41.89
2013-06-25,42.63
2013-06-26,43.38
2013-06-27,43.13
2013-06-28,41.34
2013-07-01,41.61
2013-07-02,42.21
2013-07-03,42.23
2013-07-05,42.72
2013-07-08,43.68
2013-07-09,43.32
2013-07-10,43.91
2013-07-11,43.78
2013-07-12,45.05
2013-07-15,44.62
2013-07-16,43.81
2013-07-17,43.96
2013-07-18,44.32
2013-07-19,44.52
2013-07-22,44.97
2013-07-23,44.31
2013-07-24,43.64
2013-07-25,44.24
2013-07-26,44.79
2013-07-29,45.06
2013-07-30,44.7
2013-07-31,45.48
2013-08-01,45.25
2013-08-02,45.32
2013-08-05,44.71
2013-08-06,44.88
2013-08-07,44.57
2013-08-08,45.06
2013-08-09,44.71
2013-08-12,45.04
2013-08-13,44.93
2013-08-14,44.58
2013-08-15,43.21
2013-08-16,43.0
2013-08-19,43.37
2013-08-20,42.97
2013-08-21,42.31
2013-08-22,42.92
2013-08-23,43.43
2013-08-26,43.45
2013-08-27,42.63
2013-08-28,42.56
2013-08-29,42.62
2013-08-30,42.61
2013-09-03,42.59
2013-09-04,43.13
2013-09-05,43.51
2013-09-06,43.89
2013-09-09,44.43
2013-09-10,44.78
2013-09-11,44.95
2013-09-12,44.7
2013-09-13,44.89
2013-09-16,45.82
2013-09-17,47.6
2013-09-18,47.92
2013-09-19,47.4
2013-09-20,47.84
2013-09-23,47.1
2013-09-24,45.98
2013-09-25,45.33
2013-09-26,45.0
2013-09-27,44.33
2013-09-30,44.73
2013-10-01,45.8
2013-10-02,45.95
2013-10-03,46.01
2013-10-04,46.8
2013-10-07,46.09
2013-10-08,44.52
2013-10-09,44.81
2013-10-10,45.68
2013-10-11,45.65
2013-10-14,46.33
2013-10-15,46.08
2013-10-16,47.06
2013-10-17,48.17
2013-10-18,48.33
2013-10-21,48.35
2013-10-22,49.0
2013-10-23,48.33
2013-10-24,47.93
2013-10-25,49.3
2013-10-28,49.42
2013-10-29,49.79
2013-10-30,48.8
2013-10-31,48.45
2013-11-01,48.96
2013-11-04,48.76
2013-11-05,48.17
2013-11-06,48.05
2013-11-07,47.24
2013-11-08,48.03
2013-11-11,48.57
2013-11-12,47.48
2013-11-13,47.85
2013-11-14,48.04
2013-11-15,48.44
2013-11-18,48.87
2013-11-19,48.46
2013-11-20,47.95
2013-11-21,48.57
2013-11-22,48.94
2013-11-25,48.41
2013-11-26,48.6
