Date,Close
2007-01-03,32.06
2007-01-04,31.88
2007-01-05,31.83
2007-01-08,31.99
2007-01-09,31.21
2007-01-10,30.94
2007-01-11,31.68
2007-01-12,30.96
2007-01-16,31.02
2007-01-17,31.18
2007-01-18,30.7
2007-01-19,31.42
2007-01-22,31.82
2007-01-23,32.63
2007-01-24,32.09
2007-01-25,31.82
2007-01-26,31.53
2007-01-29,31.26
2007-01-30,31.48
2007-01-31,32.0
2007-02-01,35.47
2007-02-02,35.27
2007-02-05,34.67
2007-02-06,34.04
2007-02-07,34.28
2007-02-08,33.87
2007-02-09,33.36
2007-02-12,33.59
2007-02-13,34.95
2007-02-14,34.95
2007-02-15,35.75
2007-02-16,35.88
2007-02-20,35.75
2007-02-21,35.4
2007-02-22,35.23
2007-02-23,35.2
2007-02-26,35.13
2007-02-27,33.87
2007-02-28,34.35
2007-03-01,34.43
2007-03-02,33.75
2007-03-05,32.94
2007-03-06,32.96
2007-03-07,34.0
2007-03-08,34.81
2007-03-09,34.2
2007-03-12,34.22
2007-03-13,33.48
2007-03-14,33.64
2007-03-15,33.7
2007-03-16,33.51
2007-03-19,34.23
2007-03-20,35.23
2007-03-21,35.88
2007-03-22,35.69
2007-03-23,35.63
2007-03-26,35.9
2007-03-27,35.93
2007-03-28,36.84
2007-03-29,36.76
2007-03-30,36.7
2007-04-02,36.91
2007-04-03,37.22
2007-04-04,36.82
2007-04-05,37.02
2007-04-09,37.74
2007-04-10,38.02
2007-04-11,37.41
2007-04-12,37.51
2007-04-13,38.01
2007-04-16,38.05
2007-04-17,37.87
2007-04-18,37.49
2007-04-19,37.31
2007-04-20,38.55
2007-04-23,38.96
2007-04-24,39.31
2007-04-25,39.52
2007-04-26,39.03
2007-04-27,39.01
2007-04-30,38.7
2007-05-01,36.6
2007-05-02,36.62
2007-05-03,36.14
2007-05-04,36.06
2007-05-07,36.21
2007-05-08,35.37
2007-05-09,35.74
2007-05-10,35.5
2007-05-11,35.87
2007-05-14,35.74
2007-05-15,36.1
2007-05-16,36.69
2007-05-17,36.64
2007-05-18,36.9
2007-05-21,36.8
2007-05-22,36.48
2007-05-23,35.94
2007-05-24,35.07
2007-05-25,35.32
2007-05-29,35.21
2007-05-30,35.61
2007-05-31,35.04
2007-06-01,34.59
2007-06-04,34.47
2007-06-05,34.49
2007-06-06,34.1
2007-06-07,33.7
2007-06-08,34.54
2007-06-11,34.38
2007-06-12,34.28
2007-06-13,34.55
2007-06-14,34.47
2007-06-15,34.57
2007-06-18,34.75
2007-06-19,34.13
2007-06-20,33.48
2007-06-21,33.83
2007-06-22,33.48
2007-06-25,33.04
2007-06-26,32.76
2007-06-27,32.27
2007-06-28,32.35
2007-06-29,33.09
2007-07-02,34.21
2007-07-03,34.26
2007-07-05,34.22
2007-07-06,35.14
2007-07-09,36.15
2007-07-10,35.79
2007-07-11,35.93
2007-07-12,36.35
2007-07-13,36.6
2007-07-16,36.48
2007-07-17,36.06
2007-07-18,36.01
2007-07-19,36.42
2007-07-20,36.06
2007-07-23,36.73
2007-07-24,36.14
2007-07-25,35.99
2007-07-26,34.7
2007-07-27,34.05
2007-07-30,34.17
2007-07-31,33.6
2007-08-01,34.02
2007-08-02,34.37
2007-08-03,33.46
2007-08-06,34.52
2007-08-07,34.67
2007-08-08,35.19
2007-08-09,35.18
2007-08-10,34.43
2007-08-13,33.88
2007-08-14,33.15
2007-08-15,32.92
2007-08-16,32.25
2007-08-17,32.65
2007-08-20,32.45
2007-08-21,32.35
2007-08-22,32.47
2007-08-23,32.86
2007-08-24,33.08
2007-08-27,32.73
2007-08-28,32.09
2007-08-29,32.91
2007-08-30,33.59
2007-08-31,33.7
2007-09-04,33.8
2007-09-05,33.04
2007-09-06,33.15
2007-09-07,32.71
2007-09-10,32.54
2007-09-11,32.7
2007-09-12,32.63
2007-09-13,32.83
2007-09-14,32.36
2007-09-17,32.23
2007-09-18,32.45
2007-09-19,33.05
2007-09-20,32.67
2007-09-21,33.12
2007-09-24,32.7
2007-09-25,32.8
2007-09-26,33.36
2007-09-27,33.65
2007-09-28,33.08
2007-10-01,33.17
2007-10-02,33.24
2007-10-03,32.7
2007-10-04,32.83
2007-10-05,33.11
2007-10-08,32.87
2007-10-09,33.53
2007-10-10,33.93
2007-10-11,34.9
2007-10-12,35.48
2007-10-15,34.91
2007-10-16,34.85
2007-10-17,35.35
2007-10-18,35.5
2007-10-19,34.9
2007-10-22,34.96
2007-10-23,35.01
2007-10-24,34.32
2007-10-25,34.71
2007-10-26,35.06
2007-10-29,35.66
2007-10-30,35.38
2007-10-31,35.78
2007-11-01,35.0
2007-11-02,34.84
2007-11-05,34.52
2007-11-06,36.89
2007-11-07,36.47
2007-11-08,37.26
2007-11-09,36.93
2007-11-12,36.1
2007-11-13,37.37
2007-11-14,37.75
2007-11-15,37.03
2007-11-16,37.89
2007-11-19,36.39
2007-11-20,36.41
2007-11-21,35.13
2007-11-23,35.59
2007-11-26,35.43
2007-11-27,35.7
2007-11-28,35.97
2007-11-29,36.16
2007-11-30,36.35
2007-12-03,36.1
2007-12-04,37.03
2007-12-05,36.83
2007-12-06,37.88
2007-12-07,38.55
2007-12-10,38.61
2007-12-11,37.27
2007-12-12,38.73
2007-12-13,38.29
2007-12-14,39.07
2007-12-17,39.75
2007-12-18,40.18
2007-12-19,41.38
2007-12-20,43.29
2007-12-21,44.27
2007-12-24,44.99
2007-12-26,45.75
2007-12-27,46.04
2007-12-28,47.09
2007-12-31,46.43
2008-01-02,45.26
2008-01-03,45.73
2008-01-04,45.85
2008-01-07,45.86
2008-01-08,45.02
2008-01-09,45.19
2008-01-10,44.58
2008-01-11,43.64
2008-01-14,45.14
2008-01-15,45.0
2008-01-16,42.37
2008-01-17,41.16
2008-01-18,40.9
2008-01-22,40.19
2008-01-23,40.85
2008-01-24,42.27
2008-01-25,42.11
2008-01-28,43.3
2008-01-29,42.94
2008-01-30,42.99
2008-01-31,43.98
2008-02-01,45.5
2008-02-04,44.2
2008-02-05,42.03
2008-02-06,41.26
2008-02-07,41.31
2008-02-08,41.41
2008-02-11,42.95
2008-02-12,43.58
2008-02-13,43.96
2008-02-14,43.53
2008-02-15,44.13
2008-02-19,45.36
2008-02-20,45.34
2008-02-21,45.42
2008-02-22,44.58
2008-02-25,44.83
2008-02-26,45.92
2008-02-27,45.23
2008-02-28,46.47
2008-02-29,45.1
2008-03-03,45.74
2008-03-04,46.0
2008-03-05,46.58
2008-03-06,46.27
2008-03-07,45.01
2008-03-10,42.89
2008-03-11,44.52
2008-03-12,44.13
2008-03-13,44.28
2008-03-14,43.85
2008-03-17,42.07
2008-03-18,43.52
2008-03-19,42.19
2008-03-20,40.18
2008-03-24,41.79
2008-03-25,42.7
2008-03-26,42.38
2008-03-27,41.94
2008-03-28,42.28
2008-03-31,41.16
2008-04-01,41.92
2008-04-02,41.77
2008-04-03,41.24
2008-04-04,42.53
2008-04-07,43.15
2008-04-08,43.23
2008-04-09,43.62
2008-04-10,42.96
2008-04-11,43.03
2008-04-14,42.95
2008-04-15,44.16
2008-04-16,45.2
2008-04-17,45.54
2008-04-18,46.47
2008-04-21,48.18
2008-04-22,47.28
2008-04-23,47.33
2008-04-24,46.13
2008-04-25,47.31
2008-04-28,47.42
2008-04-29,45.58
2008-04-30,44.06
2008-05-01,43.19
2008-05-02,43.94
2008-05-05,44.09
2008-05-06,44.72
2008-05-07,43.73
2008-05-08,44.56
2008-05-09,42.68
2008-05-12,43.28
2008-05-13,43.19
2008-05-14,43.07
2008-05-15,43.38
2008-05-16,43.35
2008-05-19,43.91
2008-05-20,43.96
2008-05-21,43.7
2008-05-22,43.28
2008-05-23,43.17
2008-05-27,41.95
2008-05-28,39.86
2008-05-29,39.5
2008-05-30,39.7
2008-06-02,39.5
2008-06-03,38.42
2008-06-04,38.11
2008-06-05,38.46
2008-06-06,37.2
2008-06-09,37.55
2008-06-10,37.12
2008-06-11,37.28
2008-06-12,33.52
2008-06-13,32.61
2008-06-16,32.61
2008-06-17,33.12
2008-06-18,32.82
2008-06-19,33.12
2008-06-20,32.67
2008-06-23,33.5
2008-06-24,33.16
2008-06-25,33.33
2008-06-26,32.51
2008-06-27,32.92
2008-06-30,33.75
2008-07-01,33.3
2008-07-02,32.16
2008-07-03,31.17
2008-07-07,31.91
2008-07-08,32.03
2008-07-09,31.5
2008-07-10,31.25
2008-07-11,30.29
2008-07-14,29.8
2008-07-15,28.37
2008-07-16,28.85
2008-07-17,28.64
2008-07-18,29.92
2008-07-21,29.53
2008-07-22,29.97
2008-07-23,30.08
2008-07-24,29.89
2008-07-25,29.66
2008-07-28,28.77
2008-07-29,28.88
2008-07-30,28.98
2008-07-31,28.63
2008-08-01,28.16
2008-08-04,27.4
2008-08-05,25.87
2008-08-06,27.36
2008-08-07,26.03
2008-08-08,26.49
2008-08-11,26.34
2008-08-12,26.91
2008-08-13,26.88
2008-08-14,26.62
2008-08-15,26.2
2008-08-18,25.47
2008-08-19,25.34
2008-08-20,26.06
2008-08-21,26.55
2008-08-22,26.21
2008-08-25,25.41
2008-08-26,25.24
2008-08-27,25.7
2008-08-28,25.93
2008-08-29,25.46
2008-09-02,24.91
2008-09-03,24.54
2008-09-04,22.97
2008-09-05,23.41
2008-09-08,23.42
2008-09-09,22.13
2008-09-10,22.1
2008-09-11,22.61
2008-09-12,23.98
2008-09-15,22.76
2008-09-16,23.0
2008-09-17,21.31
2008-09-18,21.54
2008-09-19,23.68
2008-09-22,23.29
2008-09-23,23.9
2008-09-24,23.66
2008-09-25,23.61
2008-09-26,22.88
2008-09-29,20.49
2008-09-30,21.91
2008-10-01,21.41
2008-10-02,18.72
2008-10-03,18.52
2008-10-06,18.37
2008-10-07,17.04
2008-10-08,17.03
2008-10-09,15.29
2008-10-10,15.45
2008-10-13,18.1
2008-10-14,18.1
2008-10-15,16.09
2008-10-16,17.84
2008-10-17,18.32
2008-10-20,19.88
2008-10-21,19.47
2008-10-22,17.92
2008-10-23,18.14
2008-10-24,17.53
2008-10-27,17.88
2008-10-28,20.98
2008-10-29,21.42
2008-10-30,22.54
2008-10-31,20.73
2008-11-03,21.11
2008-11-04,24.33
2008-11-05,23.71
2008-11-06,20.29
2008-11-07,22.58
2008-11-10,23.57
2008-11-11,24.16
2008-11-12,24.56
2008-11-13,25.27
2008-11-14,25.92
2008-11-17,25.63
2008-11-18,25.79
2008-11-19,22.14
2008-11-20,21.92
2008-11-21,24.83
2008-11-24,26.7
2008-11-25,27.04
2008-11-26,27.16
2008-11-28,27.38
2008-12-01,25.55
2008-12-02,26.12
2008-12-03,25.1
2008-12-04,24.61
2008-12-05,25.83
2008-12-08,26.81
2008-12-09,27.14
2008-12-10,28.05
2008-12-11,27.45
2008-12-12,26.6
2008-12-15,26.31
2008-12-16,28.65
2008-12-17,28.35
2008-12-18,28.14
2008-12-19,28.04
2008-12-22,27.3
2008-12-23,27.07
2008-12-24,27.75
2008-12-26,28.35
2008-12-29,28.7
2008-12-30,28.72
2008-12-31,28.83
2009-01-02,29.19
2009-01-05,29.08
2009-01-06,28.29
2009-01-07,28.34
2009-01-08,27.76
2009-01-09,27.96
2009-01-12,26.9
2009-01-13,27.88
2009-01-14,24.25
2009-01-15,25.3
2009-01-16,25.62
2009-01-20,25.12
2009-01-21,27.12
2009-01-22,26.86
2009-01-23,26.93
2009-01-26,27.5
2009-01-27,27.79
2009-01-28,28.09
2009-01-29,27.43
2009-01-30,27.38
2009-02-02,27.5
2009-02-03,27.65
2009-02-04,25.54
2009-02-05,26.66
2009-02-06,27.61
2009-02-09,29.03
2009-02-10,28.52
2009-02-11,27.99
2009-02-12,28.54
2009-02-13,28.56
2009-02-17,27.06
2009-02-18,27.54
2009-02-19,27.84
2009-02-20,27.68
2009-02-23,27.37
2009-02-24,27.98
2009-02-25,27.54
2009-02-26,27.11
2009-02-27,26.66
2009-03-02,25.24
2009-03-03,25.48
2009-03-04,26.42
2009-03-05,25.91
2009-03-06,25.96
2009-03-09,25.83
2009-03-10,27.5
2009-03-11,27.45
2009-03-12,27.93
2009-03-13,27.81
2009-03-16,28.14
2009-03-17,28.57
2009-03-18,28.5
2009-03-19,28.14
2009-03-20,27.44
2009-03-23,29.16
2009-03-24,29.0
2009-03-25,28.78
2009-03-26,28.94
2009-03-27,28.53
2009-03-30,27.38
2009-03-31,27.78
2009-04-01,28.35
2009-04-02,28.66
2009-04-03,28.9
2009-04-06,28.71
2009-04-07,25.66
2009-04-08,25.78
2009-04-09,25.85
2009-04-13,26.91
2009-04-14,25.53
2009-04-15,25.89
2009-04-16,26.08
2009-04-17,26.18
2009-04-20,24.62
2009-04-21,24.65
2009-04-22,24.98
2009-04-23,23.73
2009-04-24,23.77
2009-04-27,24.2
2009-04-28,24.2
2009-04-29,24.48
2009-04-30,24.62
2009-05-01,25.51
2009-05-04,26.17
2009-05-05,23.84
2009-05-06,24.24
2009-05-07,24.97
2009-05-08,26.97
2009-05-11,25.68
2009-05-12,25.89
2009-05-13,24.85
2009-05-14,25.21
2009-05-15,25.17
2009-05-18,24.93
2009-05-19,25.75
2009-05-20,26.52
2009-05-21,25.85
2009-05-22,27.17
2009-05-26,27.02
2009-05-27,26.7
2009-05-28,27.19
2009-05-29,27.52
2009-06-01,28.39
2009-06-02,28.36
2009-06-03,27.8
2009-06-04,28.38
2009-06-05,27.91
2009-06-08,27.91
2009-06-09,28.25
2009-06-10,28.8
2009-06-11,28.97
2009-06-12,28.71
2009-06-15,27.9
2009-06-16,27.11
2009-06-17,26.57
2009-06-18,27.26
2009-06-19,27.28
2009-06-22,26.75
2009-06-23,26.01
2009-06-24,26.5
2009-06-25,26.98
2009-06-26,26.69
2009-06-29,27.25
2009-06-30,26.77
2009-07-01,27.55
2009-07-02,26.54
2009-07-06,26.75
2009-07-07,27.23
2009-07-08,26.54
2009-07-09,27.03
2009-07-10,26.66
2009-07-13,27.08
2009-07-14,27.26
2009-07-15,27.94
2009-07-16,28.47
2009-07-17,28.63
2009-07-20,28.99
2009-07-21,29.26
2009-07-22,29.47
2009-07-23,30.73
2009-07-24,30.39
2009-07-27,31.94
2009-07-28,31.12
2009-07-29,30.73
2009-07-30,30.22
2009-07-31,30.12
2009-08-03,30.39
2009-08-04,28.81
2009-08-05,28.76
2009-08-06,28.66
2009-08-07,28.7
2009-08-10,28.68
2009-08-11,28.49
2009-08-12,27.98
2009-08-13,28.19
2009-08-14,27.87
2009-08-17,27.05
2009-08-18,27.45
2009-08-19,27.68
2009-08-20,27.97
2009-08-21,28.67
2009-08-24,28.39
2009-08-25,27.74
2009-08-26,27.9
2009-08-27,28.21
2009-08-28,28.62
2009-08-31,28.83
2009-09-01,28.03
2009-09-02,27.56
2009-09-03,28.02
2009-09-04,28.91
2009-09-08,28.74
2009-09-09,28.7
2009-09-10,29.01
2009-09-11,29.02
2009-09-14,28.65
2009-09-15,29.16
2009-09-16,29.42
2009-09-17,28.73
2009-09-18,29.12
2009-09-21,28.85
2009-09-22,28.9
2009-09-23,28.52
2009-09-24,27.97
2009-09-25,27.31
2009-09-28,27.69
2009-09-29,28.2
2009-09-30,29.22
2009-10-01,28.86
2009-10-02,28.43
2009-10-05,28.76
2009-10-06,29.47
2009-10-07,29.5
2009-10-08,29.72
2009-10-09,29.74
2009-10-12,29.85
2009-10-13,29.95
2009-10-14,29.91
2009-10-15,29.66
2009-10-16,29.99
2009-10-19,30.69
2009-10-20,30.61
2009-10-21,31.35
2009-10-22,31.08
2009-10-23,30.66
2009-10-26,30.38
2009-10-27,30.1
2009-10-28,29.58
2009-10-29,30.92
2009-10-30,30.12
2009-11-02,30.52
2009-11-03,31.91
2009-11-04,32.21
2009-11-05,32.43
2009-11-06,32.39
2009-11-09,32.46
2009-11-10,32.61
2009-11-11,32.16
2009-11-12,32.25
2009-11-13,32.51
2009-11-16,31.93
2009-11-17,32.2
2009-11-18,31.92
2009-11-19,31.57
2009-11-20,31.62
2009-11-23,31.85
2009-11-24,31.26
2009-11-25,31.4
2009-11-27,30.65
2009-11-30,30.81
2009-12-01,31.66
2009-12-02,31.6
2009-12-03,31.34
2009-12-04,31.59
2009-12-07,31.06
