Date,Close
2007-01-03,38.39
2007-01-04,38.78
2007-01-05,38.67
2007-01-08,38.69
2007-01-09,38.54
2007-01-10,38.33
2007-01-11,38.37
2007-01-12,38.62
2007-01-16,38.54
2007-01-17,38.85
2007-01-18,38.24
2007-01-19,38.0
2007-01-22,37.53
2007-01-23,37.6
2007-01-24,37.87
2007-01-25,37.65
2007-01-26,37.38
2007-01-29,37.5
2007-01-30,37.56
2007-01-31,37.85
2007-02-01,38.46
2007-02-02,38.86
2007-02-05,38.95
2007-02-06,38.7
2007-02-07,38.66
2007-02-08,38.84
2007-02-09,38.71
2007-02-12,38.91
2007-02-13,39.96
2007-02-14,40.61
2007-02-15,40.43
2007-02-16,40.41
2007-02-20,40.2
2007-02-21,40.3
2007-02-22,40.37
2007-02-23,40.59
2007-02-26,40.65
2007-02-27,39.55
2007-02-28,39.45
2007-03-01,39.46
2007-03-02,38.61
2007-03-05,38.44
2007-03-06,38.7
2007-03-07,38.19
2007-03-08,38.55
2007-03-09,38.68
2007-03-12,38.93
2007-03-13,38.23
2007-03-14,38.32
2007-03-15,38.42
2007-03-16,38.17
2007-03-19,38.26
2007-03-20,38.43
2007-03-21,40.08
2007-03-22,40.27
2007-03-23,40.26
2007-03-26,39.8
2007-03-27,39.14
2007-03-28,38.81
2007-03-29,38.69
2007-03-30,38.38
2007-04-02,40.01
2007-04-03,40.45
2007-04-04,40.03
2007-04-05,39.93
2007-04-09,39.12
2007-04-10,39.27
2007-04-11,38.61
2007-04-12,39.46
2007-04-13,39.26
2007-04-16,39.19
2007-04-17,39.17
2007-04-18,39.46
2007-04-19,38.98
2007-04-20,39.3
2007-04-23,39.1
2007-04-24,39.29
2007-04-25,39.43
2007-04-26,39.07
2007-04-27,39.66
2007-04-30,39.3
2007-05-01,40.92
2007-05-02,40.67
2007-05-03,40.78
2007-05-04,40.83
2007-05-07,40.86
2007-05-08,41.51
2007-05-09,42.66
2007-05-10,41.85
2007-05-11,42.25
2007-05-14,41.81
2007-05-15,41.79
2007-05-16,42.26
2007-05-17,42.27
2007-05-18,42.7
2007-05-21,42.94
2007-05-22,43.09
2007-05-23,42.7
2007-05-24,42.77
2007-05-25,43.22
2007-05-29,43.07
2007-05-30,43.23
2007-05-31,43.63
2007-06-01,43.71
2007-06-04,43.99
2007-06-05,43.44
2007-06-06,43.55
2007-06-07,42.44
2007-06-08,42.5
2007-06-11,42.7
2007-06-12,42.19
2007-06-13,43.13
2007-06-14,42.95
2007-06-15,43.16
2007-06-18,42.91
2007-06-19,42.93
2007-06-20,42.49
2007-06-21,42.88
2007-06-22,42.49
2007-06-25,42.26
2007-06-26,42.2
2007-06-27,42.45
2007-06-28,42.5
2007-06-29,42.55
2007-07-02,42.78
2007-07-03,42.91
2007-07-05,42.87
2007-07-06,42.96
2007-07-09,42.95
2007-07-10,42.12
2007-07-11,42.3
2007-07-12,42.54
2007-07-13,43.0
2007-07-16,43.13
2007-07-17,43.01
2007-07-18,42.28
2007-07-19,42.76
2007-07-20,42.1
2007-07-23,42.25
2007-07-24,41.47
2007-07-25,41.17
2007-07-26,40.47
2007-07-27,39.9
2007-07-30,40.45
2007-07-31,40.76
2007-08-01,41.27
2007-08-02,41.71
2007-08-03,41.76
2007-08-06,42.18
2007-08-07,42.54
2007-08-08,43.05
2007-08-09,41.75
2007-08-10,42.51
2007-08-13,42.67
2007-08-14,41.94
2007-08-15,41.44
2007-08-16,40.93
2007-08-17,41.3
2007-08-20,41.12
2007-08-21,40.98
2007-08-22,41.23
2007-08-23,41.1
2007-08-24,40.96
2007-08-27,40.9
2007-08-28,40.42
2007-08-29,40.68
2007-08-30,40.22
2007-08-31,40.16
2007-09-04,40.4
2007-09-05,40.49
2007-09-06,40.53
2007-09-07,39.27
2007-09-10,39.01
2007-09-11,39.09
2007-09-12,39.19
2007-09-13,38.96
2007-09-14,39.04
2007-09-17,38.94
2007-09-18,39.58
2007-09-19,40.59
2007-09-20,40.52
2007-09-21,40.69
2007-09-24,40.3
2007-09-25,40.78
2007-09-26,40.91
2007-09-27,40.42
2007-09-28,40.32
2007-10-01,41.11
2007-10-02,41.32
2007-10-03,41.61
2007-10-04,41.61
2007-10-05,42.12
2007-10-08,42.14
2007-10-09,42.41
2007-10-10,42.32
2007-10-11,42.05
2007-10-12,42.36
2007-10-15,42.07
2007-10-16,41.91
2007-10-17,41.88
2007-10-18,42.32
2007-10-19,41.72
2007-10-22,41.55
2007-10-23,41.55
2007-10-24,41.14
2007-10-25,40.84
2007-10-26,40.89
2007-10-29,41.42
2007-10-30,42.71
2007-10-31,43.51
2007-11-01,42.13
2007-11-02,42.73
2007-11-05,43.22
2007-11-06,43.51
2007-11-07,42.63
2007-11-08,41.76
2007-11-09,41.03
2007-11-12,40.93
2007-11-13,41.4
2007-11-14,41.63
2007-11-15,41.17
2007-11-16,41.4
2007-11-19,40.45
2007-11-20,40.42
2007-11-21,39.67
2007-11-23,40.15
2007-11-26,39.45
2007-11-27,39.56
2007-11-28,40.04
2007-11-29,39.83
2007-11-30,39.56
2007-12-03,39.71
2007-12-04,39.45
2007-12-05,40.03
2007-12-06,40.25
2007-12-07,39.99
2007-12-10,40.89
2007-12-11,39.96
2007-12-12,40.07
2007-12-13,40.29
2007-12-14,39.46
2007-12-17,38.85
2007-12-18,39.23
2007-12-19,39.22
2007-12-20,39.06
2007-12-21,39.48
2007-12-24,40.18
2007-12-26,39.85
2007-12-27,39.1
2007-12-28,39.25
2007-12-31,39.1
2008-01-02,37.95
2008-01-03,37.66
2008-01-04,36.0
2008-01-07,36.78
2008-01-08,36.44
2008-01-09,36.51
2008-01-10,36.73
2008-01-11,36.07
2008-01-14,35.29
2008-01-15,35.21
2008-01-16,34.99
2008-01-17,34.54
2008-01-18,34.72
2008-01-22,34.29
2008-01-23,34.66
2008-01-24,34.03
2008-01-25,34.02
2008-01-28,34.69
2008-01-29,34.7
2008-01-30,34.64
2008-01-31,35.63
2008-02-01,35.09
2008-02-04,34.89
2008-02-05,33.92
2008-02-06,33.28
2008-02-07,33.53
2008-02-08,33.27
2008-02-11,33.76
2008-02-12,34.51
2008-02-13,34.97
2008-02-14,34.79
2008-02-15,34.89
2008-02-19,34.71
2008-02-20,35.32
2008-02-21,35.16
2008-02-22,35.74
2008-02-25,35.95
2008-02-26,35.79
2008-02-27,35.83
2008-02-28,35.37
2008-02-29,35.07
2008-03-03,35.31
2008-03-04,35.36
2008-03-05,35.29
2008-03-06,35.24
2008-03-07,34.42
2008-03-10,34.42
2008-03-11,35.13
2008-03-12,35.17
2008-03-13,35.02
2008-03-14,34.57
2008-03-17,34.05
2008-03-18,35.4
2008-03-19,35.36
2008-03-20,35.95
2008-03-24,36.67
2008-03-25,37.25
2008-03-26,37.22
2008-03-27,36.87
2008-03-28,36.69
2008-03-31,37.22
2008-04-01,38.1
2008-04-02,38.46
2008-04-03,38.07
2008-04-04,38.53
2008-04-07,38.03
2008-04-08,37.82
2008-04-09,37.62
2008-04-10,37.6
2008-04-11,36.86
2008-04-14,36.93
2008-04-15,37.15
2008-04-16,38.02
2008-04-17,38.13
2008-04-18,38.47
2008-04-21,38.34
2008-04-22,38.05
2008-04-23,38.23
2008-04-24,38.63
2008-04-25,38.7
2008-04-28,38.45
2008-04-29,38.33
2008-04-30,38.81
2008-05-01,39.69
2008-05-02,37.83
2008-05-05,38.13
2008-05-06,38.2
2008-05-07,37.86
2008-05-08,37.62
2008-05-09,37.84
2008-05-12,38.44
2008-05-13,38.41
2008-05-14,38.74
2008-05-15,38.9
2008-05-16,38.52
2008-05-19,38.35
2008-05-20,38.17
2008-05-21,37.61
2008-05-22,37.32
2008-05-23,36.71
2008-05-27,37.25
2008-05-28,37.31
2008-05-29,37.73
2008-05-30,37.8
2008-06-02,37.53
2008-06-03,37.84
2008-06-04,38.13
2008-06-05,38.73
2008-06-06,37.22
2008-06-09,37.75
2008-06-10,37.87
2008-06-11,37.09
2008-06-12,37.4
2008-06-13,37.88
2008-06-16,37.95
2008-06-17,37.66
2008-06-18,37.27
2008-06-19,37.68
2008-06-20,37.4
2008-06-23,37.23
2008-06-24,36.94
2008-06-25,37.28
2008-06-26,36.76
2008-06-27,36.56
2008-06-30,36.79
2008-07-01,37.43
2008-07-02,36.96
2008-07-03,36.94
2008-07-07,36.97
2008-07-08,37.45
2008-07-09,36.81
2008-07-10,36.91
2008-07-11,36.41
2008-07-14,35.95
2008-07-15,36.05
2008-07-16,36.74
2008-07-17,37.23
2008-07-18,37.4
2008-07-21,37.4
2008-07-22,37.93
2008-07-23,37.45
2008-07-24,36.27
2008-07-25,36.08
2008-07-28,35.48
2008-07-29,35.6
2008-07-30,36.5
2008-07-31,37.5
2008-08-01,37.71
2008-08-04,38.13
2008-08-05,38.85
2008-08-06,39.03
2008-08-07,38.4
2008-08-08,39.52
2008-08-11,39.85
2008-08-12,39.68
2008-08-13,39.51
2008-08-14,39.81
2008-08-15,40.13
2008-08-18,39.78
2008-08-19,38.79
2008-08-20,38.81
2008-08-21,39.26
2008-08-22,39.62
2008-08-25,38.72
2008-08-26,38.83
2008-08-27,39.32
2008-08-28,39.45
2008-08-29,38.96
2008-09-02,39.62
2008-09-03,40.17
2008-09-04,39.07
2008-09-05,38.77
2008-09-08,40.25
2008-09-09,39.39
2008-09-10,39.15
2008-09-11,39.62
2008-09-12,39.75
2008-09-15,38.88
2008-09-16,39.01
2008-09-17,37.23
2008-09-18,38.24
2008-09-19,39.17
2008-09-22,37.79
2008-09-23,37.23
2008-09-24,37.35
2008-09-25,37.86
2008-09-26,38.39
2008-09-29,36.57
2008-09-30,37.53
2008-10-01,36.99
2008-10-02,36.0
2008-10-03,36.24
2008-10-06,33.8
2008-10-07,33.04
2008-10-08,32.94
2008-10-09,30.55
2008-10-10,29.42
2008-10-13,30.55
2008-10-14,31.12
2008-10-15,28.96
2008-10-16,29.29
2008-10-17,29.65
2008-10-20,31.06
2008-10-21,29.93
2008-10-22,28.96
2008-10-23,29.87
2008-10-24,28.65
2008-10-27,27.24
2008-10-28,30.47
2008-10-29,29.22
2008-10-30,28.91
2008-10-31,30.68
2008-11-03,29.21
2008-11-04,31.81
2008-11-05,30.43
2008-11-06,30.13
2008-11-07,31.11
2008-11-10,31.21
2008-11-11,30.72
2008-11-12,29.76
2008-11-13,32.12
2008-11-14,30.83
2008-11-17,30.58
2008-11-18,30.92
2008-11-19,29.95
2008-11-20,28.21
2008-11-21,30.95
2008-11-24,32.9
2008-11-25,32.96
2008-11-26,35.28
2008-11-28,36.05
2008-12-01,33.11
2008-12-02,33.71
2008-12-03,33.85
2008-12-04,32.06
2008-12-05,33.0
2008-12-08,33.9
2008-12-09,34.35
2008-12-10,33.8
2008-12-11,32.77
2008-12-12,33.6
2008-12-15,32.9
2008-12-16,33.29
2008-12-17,32.7
2008-12-18,32.17
2008-12-19,33.01
2008-12-22,33.17
2008-12-23,33.18
2008-12-24,33.51
2008-12-26,33.49
2008-12-29,33.43
2008-12-30,34.35
2008-12-31,34.54
2009-01-02,35.48
2009-01-05,35.12
2009-01-06,35.83
2009-01-07,35.22
2009-01-08,35.65
2009-01-09,33.9
2009-01-12,33.85
2009-01-13,34.17
2009-01-14,33.31
2009-01-15,34.4
2009-01-16,34.61
2009-01-20,33.05
2009-01-21,32.91
2009-01-22,32.25
2009-01-23,32.56
2009-01-26,33.05
2009-01-27,32.62
2009-01-28,32.89
2009-01-29,32.2
2009-01-30,31.9
2009-02-02,32.17
2009-02-03,34.28
2009-02-04,33.33
2009-02-05,34.03
2009-02-06,34.74
2009-02-09,34.46
2009-02-10,32.99
2009-02-11,33.33
2009-02-12,33.24
2009-02-13,32.63
2009-02-17,32.03
2009-02-18,32.34
2009-02-19,31.32
2009-02-20,31.49
2009-02-23,30.07
2009-02-24,30.99
2009-02-25,30.65
2009-02-26,30.01
2009-02-27,29.98
2009-03-02,29.0
2009-03-03,29.03
2009-03-04,29.85
2009-03-05,28.8
2009-03-06,29.22
2009-03-09,29.15
2009-03-10,30.39
2009-03-11,30.08
2009-03-12,30.83
2009-03-13,31.04
2009-03-16,31.04
2009-03-17,32.16
2009-03-18,32.58
2009-03-19,32.24
2009-03-20,31.87
2009-03-23,32.74
2009-03-24,31.98
2009-03-25,31.27
2009-03-26,32.05
2009-03-27,31.17
2009-03-30,30.94
2009-03-31,30.87
2009-04-01,30.82
2009-04-02,31.8
2009-04-03,32.19
2009-04-06,31.8
2009-04-07,30.95
2009-04-08,30.96
2009-04-09,31.78
2009-04-13,31.65
2009-04-14,31.28
2009-04-15,31.19
2009-04-16,32.06
2009-04-17,31.7
2009-04-20,31.17
2009-04-21,31.64
2009-04-22,31.2
2009-04-23,30.71
2009-04-24,31.04
2009-04-27,30.25
2009-04-28,30.43
2009-04-29,31.1
2009-04-30,30.9
2009-05-01,31.19
2009-05-04,30.61
2009-05-05,31.33
2009-05-06,32.33
