Date,Close
2007-01-03,21.94
2007-01-04,21.95
2007-01-05,21.32
2007-01-08,21.02
2007-01-09,20.16
2007-01-10,20.74
2007-01-11,20.4
2007-01-12,20.94
2007-01-16,21.1
2007-01-17,21.0
2007-01-18,20.83
2007-01-19,21.02
2007-01-22,20.81
2007-01-23,20.76
2007-01-24,20.81
2007-01-25,20.61
2007-01-26,20.77
2007-01-29,20.99
2007-01-30,20.89
2007-01-31,20.79
2007-02-01,20.65
2007-02-02,20.82
2007-02-05,21.11
2007-02-06,21.74
2007-02-07,21.94
2007-02-08,22.36
2007-02-09,22.61
2007-02-12,22.25
2007-02-13,22.46
2007-02-14,22.38
2007-02-15,22.24
2007-02-16,22.3
2007-02-20,22.53
2007-02-21,22.55
2007-02-22,22.4
2007-02-23,22.28
2007-02-26,22.52
2007-02-27,21.55
2007-02-28,21.32
2007-03-01,21.06
2007-03-02,20.61
2007-03-05,19.78
2007-03-06,20.56
2007-03-07,20.93
2007-03-08,20.66
2007-03-09,20.5
2007-03-12,20.95
2007-03-13,20.53
2007-03-14,20.56
2007-03-15,20.74
2007-03-16,20.47
2007-03-19,21.01
2007-03-20,21.24
2007-03-21,21.45
2007-03-22,21.3
2007-03-23,21.38
2007-03-26,21.53
2007-03-27,21.73
2007-03-28,21.46
2007-03-29,21.76
2007-03-30,21.52
2007-04-02,22.01
2007-04-03,21.54
2007-04-04,21.67
2007-04-05,21.69
2007-04-09,22.28
2007-04-10,22.42
2007-04-11,22.23
2007-04-12,21.97
2007-04-13,21.81
2007-04-16,21.97
2007-04-17,22.51
2007-04-18,22.78
2007-04-19,22.74
2007-04-20,22.78
2007-04-23,22.79
2007-04-24,22.84
2007-04-25,23.02
2007-04-26,22.9
2007-04-27,22.51
2007-04-30,21.99
2007-05-01,22.25
2007-05-02,22.42
2007-05-03,22.32
2007-05-04,22.42
2007-05-07,22.43
2007-05-08,22.3
2007-05-09,22.6
2007-05-10,22.3
2007-05-11,22.71
2007-05-14,22.55
2007-05-15,22.9
2007-05-16,23.41
2007-05-17,23.47
2007-05-18,23.35
2007-05-21,23.61
2007-05-22,23.37
2007-05-23,23.9
2007-05-24,23.14
2007-05-25,23.17
2007-05-29,22.97
2007-05-30,23.7
2007-05-31,23.73
2007-06-01,23.52
2007-06-04,23.15
2007-06-05,22.73
2007-06-06,21.95
2007-06-07,21.31
2007-06-08,21.62
2007-06-11,21.71
2007-06-12,21.05
2007-06-13,21.22
