Date,Close
2007-01-03,29.62
2007-01-04,29.5
2007-01-05,29.11
2007-01-08,28.58
2007-01-09,28.59
2007-01-10,28.63
2007-01-11,28.8
2007-01-12,28.83
2007-01-16,28.89
2007-01-17,28.72
2007-01-18,28.59
2007-01-19,28.81
2007-01-22,28.68
2007-01-23,28.81
2007-01-24,28.87
2007-01-25,28.8
2007-01-26,28.85
2007-01-29,28.9
2007-01-30,29.17
2007-01-31,28.67
2007-02-01,28.77
2007-02-02,28.55
2007-02-05,28.86
2007-02-06,28.97
2007-02-07,29.27
2007-02-08,29.33
2007-02-09,29.32
2007-02-12,28.78
2007-02-13,28.91
2007-02-14,29.13
2007-02-15,28.96
2007-02-16,29.22
2007-02-20,29.24
2007-02-21,29.05
2007-02-22,29.06
2007-02-23,28.79
2007-02-26,29.11
2007-02-27,28.36
2007-02-28,28.63
2007-03-01,28.18
2007-03-02,28.36
2007-03-05,28.21
2007-03-06,28.45
2007-03-07,28.19
2007-03-08,28.19
2007-03-09,28.37
2007-03-12,28.23
2007-03-13,27.76
2007-03-14,27.88
2007-03-15,28.0
2007-03-16,27.89
2007-03-19,27.78
2007-03-20,27.96
2007-03-21,28.15
2007-03-22,28.31
2007-03-23,28.58
2007-03-26,28.63
2007-03-27,28.47
2007-03-28,28.22
2007-03-29,28.47
2007-03-30,28.33
2007-04-02,28.2
2007-04-03,28.23
2007-04-04,28.11
2007-04-05,28.22
2007-04-09,28.19
2007-04-10,28.33
2007-04-11,28.26
2007-04-12,28.39
2007-04-13,28.46
2007-04-16,29.18
2007-04-17,29.17
2007-04-18,29.24
2007-04-19,29.12
2007-04-20,29.4
2007-04-23,29.24
2007-04-24,28.99
2007-04-25,27.99
2007-04-26,27.79
2007-04-27,28.01
2007-04-30,27.96
2007-05-01,28.2
2007-05-02,28.34
2007-05-03,28.68
2007-05-04,28.86
2007-05-07,28.66
2007-05-08,28.6
2007-05-09,28.58
2007-05-10,28.59
2007-05-11,28.56
2007-05-14,28.72
2007-05-15,28.65
2007-05-16,28.66
2007-05-17,28.63
2007-05-18,28.62
2007-05-21,29.06
2007-05-22,29.13
2007-05-23,29.18
2007-05-24,29.02
2007-05-25,29.08
2007-05-29,29.2
2007-05-30,29.3
2007-05-31,29.4
2007-06-01,29.3
2007-06-04,29.48
2007-06-05,29.04
2007-06-06,28.99
2007-06-07,28.49
2007-06-08,28.83
2007-06-11,28.77
2007-06-12,28.61
2007-06-13,28.88
2007-06-14,29.06
2007-06-15,29.2
2007-06-18,29.19
2007-06-19,29.27
2007-06-20,28.99
2007-06-21,29.13
2007-06-22,28.75
2007-06-25,28.7
2007-06-26,28.5
2007-06-27,28.2
2007-06-28,28.33
2007-06-29,27.88
2007-07-02,28.2
2007-07-03,28.17
2007-07-05,28.19
2007-07-06,28.3
2007-07-09,27.91
2007-07-10,27.47
2007-07-11,27.5
2007-07-12,28.0
2007-07-13,28.03
2007-07-16,27.93
2007-07-17,27.8
2007-07-18,27.41
2007-07-19,27.4
2007-07-20,27.18
2007-07-23,27.18
2007-07-24,26.75
2007-07-25,28.0
2007-07-26,27.67
2007-07-27,27.27
2007-07-30,27.31
2007-07-31,27.58
2007-08-01,28.2
2007-08-02,28.55
2007-08-03,28.35
2007-08-06,29.25
2007-08-07,29.62
2007-08-08,30.74
2007-08-09,31.08
2007-08-10,29.26
2007-08-13,29.45
2007-08-14,28.69
2007-08-15,29.16
2007-08-16,29.25
2007-08-17,29.69
2007-08-20,30.23
2007-08-21,30.54
2007-08-22,30.78
2007-08-23,30.32
2007-08-24,30.15
2007-08-27,30.25
2007-08-28,29.51
2007-08-29,29.56
2007-08-30,29.52
2007-08-31,29.53
2007-09-04,30.23
2007-09-05,29.77
2007-09-06,29.87
2007-09-07,29.67
2007-09-10,29.57
2007-09-11,29.57
2007-09-12,29.65
2007-09-13,29.75
2007-09-14,29.94
2007-09-17,29.57
2007-09-18,29.77
2007-09-19,29.64
2007-09-20,29.25
2007-09-21,29.36
2007-09-24,29.38
2007-09-25,29.17
2007-09-26,29.24
2007-09-27,29.63
2007-09-28,28.97
2007-10-01,28.75
2007-10-02,28.96
2007-10-03,29.0
2007-10-04,29.12
2007-10-05,29.21
2007-10-08,28.9
2007-10-09,28.89
2007-10-10,28.86
2007-10-11,28.86
2007-10-12,29.15
2007-10-15,28.9
2007-10-16,28.65
2007-10-17,28.48
2007-10-18,27.94
2007-10-19,27.45
2007-10-22,27.6
2007-10-23,27.03
2007-10-24,25.97
2007-10-25,25.62
2007-10-26,26.44
2007-10-29,26.2
2007-10-30,26.67
2007-10-31,26.61
2007-11-01,26.63
2007-11-02,26.43
2007-11-05,26.26
2007-11-06,26.67
2007-11-07,26.15
2007-11-08,24.71
2007-11-09,25.98
2007-11-12,26.61
2007-11-13,27.06
2007-11-14,26.72
2007-11-15,26.28
2007-11-16,26.47
2007-11-19,26.08
2007-11-20,26.14
2007-11-21,25.98
2007-11-23,26.22
2007-11-26,25.54
2007-11-27,25.95
2007-11-28,26.03
2007-11-29,26.02
2007-11-30,26.28
2007-12-03,26.36
2007-12-04,26.45
2007-12-05,26.66
2007-12-06,26.84
2007-12-07,26.79
2007-12-10,26.69
2007-12-11,25.81
2007-12-12,25.8
2007-12-13,25.88
2007-12-14,25.88
2007-12-17,25.29
2007-12-18,25.52
2007-12-19,25.29
2007-12-20,25.04
2007-12-21,25.37
2007-12-24,25.83
2007-12-26,25.46
2007-12-27,24.47
2007-12-28,24.26
2007-12-31,24.19
2008-01-02,23.72
2008-01-03,23.4
2008-01-04,23.24
2008-01-07,23.47
2008-01-08,23.45
2008-01-09,23.76
2008-01-10,23.97
2008-01-11,23.65
2008-01-14,23.79
2008-01-15,23.24
2008-01-16,24.48
2008-01-17,23.84
2008-01-18,23.28
2008-01-22,23.86
2008-01-23,25.5
2008-01-24,24.86
2008-01-25,24.47
2008-01-28,25.51
2008-01-29,25.64
2008-01-30,25.33
2008-01-31,25.39
2008-02-01,25.96
2008-02-04,25.51
2008-02-05,24.86
2008-02-06,24.48
2008-02-07,24.6
2008-02-08,24.76
2008-02-11,23.8
2008-02-12,23.67
2008-02-13,23.69
2008-02-14,23.49
2008-02-15,23.88
2008-02-19,23.64
2008-02-20,24.04
2008-02-21,23.75
2008-02-22,24.0
2008-02-25,24.3
2008-02-26,24.34
2008-02-27,24.47
2008-02-28,24.21
2008-02-29,23.6
2008-03-03,23.62
2008-03-04,23.76
2008-03-05,23.76
2008-03-06,23.64
2008-03-07,23.78
2008-03-10,24.0
2008-03-11,24.55
2008-03-12,24.3
2008-03-13,24.63
2008-03-14,23.98
2008-03-17,23.89
2008-03-18,24.54
2008-03-19,24.38
2008-03-20,24.79
2008-03-24,23.91
2008-03-25,24.8
2008-03-26,24.27
2008-03-27,23.61
2008-03-28,23.48
2008-03-31,23.62
2008-04-01,24.63
2008-04-02,25.0
2008-04-03,25.0
2008-04-04,24.9
2008-04-07,25.1
2008-04-08,24.85
2008-04-09,24.75
2008-04-10,24.83
2008-04-11,24.58
2008-04-14,23.69
2008-04-15,24.38
2008-04-16,24.15
2008-04-17,24.0
2008-04-18,24.35
2008-04-21,24.02
2008-04-22,23.98
2008-04-23,24.07
2008-04-24,24.33
2008-04-25,24.53
2008-04-28,24.67
2008-04-29,24.89
2008-04-30,24.57
2008-05-01,25.43
2008-05-02,25.44
2008-05-05,25.33
2008-05-06,25.51
2008-05-07,25.0
2008-05-08,25.25
2008-05-09,25.54
2008-05-12,26.23
2008-05-13,26.09
2008-05-14,26.51
2008-05-15,26.37
2008-05-16,26.12
2008-05-19,26.27
2008-05-20,26.01
2008-05-21,24.99
2008-05-22,25.25
2008-05-23,24.98
2008-05-27,25.2
2008-05-28,25.02
2008-05-29,25.34
2008-05-30,25.53
2008-06-02,25.25
2008-06-03,25.21
2008-06-04,25.14
2008-06-05,25.6
2008-06-06,25.0
2008-06-09,25.45
2008-06-10,25.76
2008-06-11,25.74
2008-06-12,26.02
2008-06-13,26.21
2008-06-16,26.06
2008-06-17,25.87
2008-06-18,25.79
2008-06-19,26.0
2008-06-20,25.15
2008-06-23,25.39
2008-06-24,25.18
2008-06-25,25.19
2008-06-26,24.74
2008-06-27,24.58
2008-06-30,24.1
2008-07-01,24.38
2008-07-02,24.43
2008-07-03,24.4
2008-07-07,24.41
2008-07-08,25.68
2008-07-09,25.68
2008-07-10,25.38
2008-07-11,25.27
2008-07-14,24.59
2008-07-15,24.24
2008-07-16,25.39
2008-07-17,25.54
2008-07-18,25.47
2008-07-21,24.93
2008-07-22,25.91
2008-07-23,26.02
2008-07-24,25.32
2008-07-25,25.17
2008-07-28,24.75
2008-07-29,25.34
2008-07-30,25.15
2008-07-31,25.43
2008-08-01,25.07
2008-08-04,25.03
2008-08-05,25.73
2008-08-06,25.69
2008-08-07,25.31
2008-08-08,25.86
2008-08-11,26.32
2008-08-12,26.04
2008-08-13,25.69
2008-08-14,26.18
2008-08-15,26.12
2008-08-18,25.86
2008-08-19,25.85
2008-08-20,25.96
2008-08-21,25.98
2008-08-22,26.15
2008-08-25,25.6
2008-08-26,25.91
2008-08-27,26.22
2008-08-28,26.54
2008-08-29,26.48
2008-09-02,26.9
2008-09-03,27.26
2008-09-04,26.75
2008-09-05,26.85
2008-09-08,27.23
2008-09-09,26.38
2008-09-10,26.74
2008-09-11,26.82
2008-09-12,27.06
2008-09-15,26.62
2008-09-16,27.4
2008-09-17,26.78
2008-09-18,28.3
2008-09-19,28.54
2008-09-22,27.75
2008-09-23,27.36
2008-09-24,26.95
2008-09-25,27.37
2008-09-26,26.98
2008-09-29,25.56
2008-09-30,25.66
2008-10-01,25.18
2008-10-02,25.17
2008-10-03,25.23
2008-10-06,24.87
2008-10-07,24.73
2008-10-08,24.75
2008-10-09,23.8
2008-10-10,27.7
2008-10-13,25.32
2008-10-14,25.0
2008-10-15,24.55
2008-10-16,24.13
2008-10-17,23.91
2008-10-20,24.13
2008-10-21,24.24
2008-10-22,23.74
2008-10-23,23.0
2008-10-24,22.56
2008-10-27,22.1
2008-10-28,23.64
2008-10-29,23.48
2008-10-30,23.95
2008-10-31,24.36
2008-11-03,24.65
2008-11-04,25.51
2008-11-05,24.07
2008-11-06,23.24
2008-11-07,23.63
2008-11-10,23.19
2008-11-11,23.05
2008-11-12,23.17
2008-11-13,24.53
2008-11-14,23.9
2008-11-17,24.13
2008-11-18,24.24
2008-11-19,23.55
2008-11-20,22.25
2008-11-21,22.67
2008-11-24,23.67
2008-11-25,24.25
2008-11-26,24.77
2008-11-28,24.8
2008-12-01,23.3
2008-12-02,23.79
2008-12-03,24.46
2008-12-04,23.91
2008-12-05,24.68
2008-12-08,24.73
2008-12-09,23.71
2008-12-10,23.87
2008-12-11,23.05
2008-12-12,23.37
2008-12-15,23.5
2008-12-16,24.33
2008-12-17,24.54
2008-12-18,24.66
2008-12-19,25.03
2008-12-22,24.68
2008-12-23,24.71
2008-12-24,24.83
2008-12-26,25.24
2008-12-29,24.77
2008-12-30,25.4
2008-12-31,25.91
2009-01-02,25.78
2009-01-05,25.62
2009-01-06,25.75
2009-01-07,25.54
2009-01-08,25.8
2009-01-09,25.31
2009-01-12,24.35
2009-01-13,24.7
2009-01-14,23.65
2009-01-15,23.92
2009-01-16,24.35
2009-01-20,24.29
2009-01-21,24.6
2009-01-22,24.0
2009-01-23,23.85
2009-01-26,23.62
2009-01-27,23.72
2009-01-28,24.38
2009-01-29,23.84
2009-01-30,23.57
2009-02-02,24.03
2009-02-03,23.76
2009-02-04,18.45
2009-02-05,18.73
2009-02-06,17.95
2009-02-09,17.9
2009-02-10,17.5
2009-02-11,17.99
2009-02-12,18.34
2009-02-13,17.53
2009-02-17,17.54
2009-02-18,17.57
2009-02-19,16.92
2009-02-20,16.64
2009-02-23,16.01
2009-02-24,16.27
2009-02-25,16.2
2009-02-26,15.78
2009-02-27,15.87
2009-03-02,15.57
2009-03-03,15.04
2009-03-04,15.46
2009-03-05,15.49
2009-03-06,15.68
2009-03-09,15.49
2009-03-10,15.88
2009-03-11,15.92
2009-03-12,16.19
2009-03-13,16.63
2009-03-16,16.14
2009-03-17,16.77
2009-03-18,17.56
2009-03-19,17.07
2009-03-20,17.03
2009-03-23,17.7
2009-03-24,17.44
2009-03-25,17.89
2009-03-26,18.2
2009-03-27,17.25
2009-03-30,16.67
2009-03-31,17.0
2009-04-01,16.86
2009-04-02,16.86
2009-04-03,17.51
2009-04-06,17.32
2009-04-07,17.15
2009-04-08,17.23
2009-04-09,18.08
2009-04-13,18.0
2009-04-14,17.6
2009-04-15,18.45
2009-04-16,18.74
2009-04-17,18.78
2009-04-20,18.19
2009-04-21,18.62
2009-04-22,18.15
2009-04-23,18.04
2009-04-24,18.38
2009-04-27,19.02
2009-04-28,19.05
2009-04-29,22.45
2009-04-30,22.48
2009-05-01,21.39
2009-05-04,21.45
2009-05-05,21.7
2009-05-06,21.53
2009-05-07,21.14
2009-05-08,22.07
2009-05-11,21.45
2009-05-12,21.28
2009-05-13,20.67
2009-05-14,20.8
2009-05-15,20.83
2009-05-18,21.17
2009-05-19,20.64
2009-05-20,20.39
2009-05-21,20.55
2009-05-22,20.5
2009-05-26,20.87
2009-05-27,20.13
2009-05-28,20.57
2009-05-29,20.95
2009-06-01,21.2
2009-06-02,21.44
2009-06-03,21.18
2009-06-04,21.31
2009-06-05,21.43
2009-06-08,21.47
2009-06-09,21.58
2009-06-10,21.72
2009-06-11,21.46
2009-06-12,21.2
2009-06-15,21.14
2009-06-16,21.15
2009-06-17,21.26
2009-06-18,21.45
2009-06-19,21.69
2009-06-22,21.43
2009-06-23,21.82
2009-06-24,21.74
2009-06-25,21.93
2009-06-26,21.29
2009-06-29,21.57
2009-06-30,21.34
2009-07-01,21.35
2009-07-02,20.92
2009-07-06,21.05
2009-07-07,20.61
2009-07-08,20.38
2009-07-09,20.66
2009-07-10,20.51
2009-07-13,21.05
2009-07-14,21.22
2009-07-15,21.58
2009-07-16,21.77
2009-07-17,21.78
2009-07-20,21.84
2009-07-21,21.61
2009-07-22,21.76
2009-07-23,22.24
2009-07-24,22.23
2009-07-27,22.71
2009-07-28,22.6
2009-07-29,23.19
2009-07-30,22.9
2009-07-31,22.9
2009-08-03,23.04
2009-08-04,23.25
2009-08-05,23.51
2009-08-06,23.27
2009-08-07,23.4
2009-08-10,23.26
2009-08-11,23.76
2009-08-12,24.3
2009-08-13,24.47
2009-08-14,24.32
2009-08-17,23.9
2009-08-18,23.41
2009-08-19,23.27
2009-08-20,23.6
2009-08-21,23.93
2009-08-24,23.93
2009-08-25,24.01
2009-08-26,23.87
2009-08-27,23.83
2009-08-28,23.6
2009-08-31,23.77
2009-09-01,23.46
2009-09-02,23.4
2009-09-03,23.43
2009-09-04,23.63
2009-09-08,23.52
2009-09-09,23.8
2009-09-10,23.99
2009-09-11,23.87
2009-09-14,24.17
2009-09-15,24.1
2009-09-16,24.56
2009-09-17,24.26
2009-09-18,24.07
2009-09-21,24.14
2009-09-22,23.83
2009-09-23,24.52
2009-09-24,24.89
2009-09-25,24.85
2009-09-28,24.91
2009-09-29,24.76
2009-09-30,24.37
2009-10-01,23.89
2009-10-02,23.72
2009-10-05,23.76
2009-10-06,24.03
2009-10-07,24.18
2009-10-08,24.39
2009-10-09,24.57
2009-10-12,24.45
2009-10-13,24.21
2009-10-14,24.49
2009-10-15,24.6
2009-10-16,24.41
2009-10-19,24.34
2009-10-20,24.05
2009-10-21,23.92
2009-10-22,24.49
2009-10-23,24.3
2009-10-26,24.14
2009-10-27,24.01
2009-10-28,22.39
2009-10-29,22.67
2009-10-30,22.31
2009-11-02,22.38
2009-11-03,22.6
2009-11-04,22.51
2009-11-05,22.87
2009-11-06,22.86
2009-11-09,23.33
2009-11-10,23.17
2009-11-11,23.3
2009-11-12,22.9
2009-11-13,22.98
2009-11-16,23.23
2009-11-17,23.23
2009-11-18,23.11
2009-11-19,22.49
2009-11-20,22.46
2009-11-23,22.76
2009-11-24,22.72
2009-11-25,22.7
2009-11-27,22.23
2009-11-30,22.4
2009-12-01,22.53
2009-12-02,22.54
2009-12-03,22.3
2009-12-04,22.6
2009-12-07,22.56
