Date,Close
2007-01-03,19.52
2007-01-04,19.79
2007-01-05,19.71
2007-01-08,19.47
2007-01-09,19.65
2007-01-10,20.01
2007-01-11,20.18
2007-01-12,18.26
2007-01-16,18.13
2007-01-17,18.2
2007-01-18,17.92
2007-01-19,17.73
2007-01-22,17.53
2007-01-23,17.51
2007-01-24,16.03
2007-01-25,16.05
2007-01-26,16.22
2007-01-29,15.95
2007-01-30,15.79
2007-01-31,15.55
2007-02-01,15.77
2007-02-02,15.69
2007-02-05,15.6
2007-02-06,15.32
2007-02-07,15.5
2007-02-08,15.13
2007-02-09,14.9
2007-02-12,14.69
2007-02-13,14.6
2007-02-14,14.95
2007-02-15,14.83
2007-02-16,14.94
2007-02-20,14.92
2007-02-21,14.56
2007-02-22,14.54
2007-02-23,14.69
2007-02-26,15.68
2007-02-27,15.08
2007-02-28,15.07
2007-03-01,14.79
2007-03-02,14.18
2007-03-05,13.95
2007-03-06,14.09
2007-03-07,14.1
2007-03-08,14.19
2007-03-09,14.2
2007-03-12,14.17
2007-03-13,13.94
2007-03-14,14.13
2007-03-15,13.93
2007-03-16,14.01
2007-03-19,13.72
2007-03-20,13.41
2007-03-21,13.6
2007-03-22,13.35
2007-03-23,13.5
2007-03-26,13.55
2007-03-27,13.5
2007-03-28,13.38
2007-03-29,13.08
2007-03-30,13.06
2007-04-02,12.83
2007-04-03,12.9
2007-04-04,12.71
2007-04-05,12.86
2007-04-09,13.35
2007-04-10,13.27
2007-04-11,13.19
2007-04-12,13.66
2007-04-13,13.57
2007-04-16,13.52
2007-04-17,13.47
2007-04-18,13.91
2007-04-19,14.28
2007-04-20,14.16
2007-04-23,14.04
2007-04-24,14.57
2007-04-25,14.65
2007-04-26,14.5
2007-04-27,14.32
2007-04-30,13.82
2007-05-01,13.54
2007-05-02,13.63
2007-05-03,13.69
2007-05-04,13.53
2007-05-07,13.28
2007-05-08,13.18
2007-05-09,13.57
2007-05-10,14.05
2007-05-11,14.68
2007-05-14,15.36
2007-05-15,15.4
2007-05-16,15.58
2007-05-17,15.43
2007-05-18,15.59
2007-05-21,15.43
2007-05-22,15.42
2007-05-23,15.21
2007-05-24,14.88
2007-05-25,14.76
2007-05-29,14.6
2007-05-30,14.37
2007-05-31,14.27
2007-06-01,14.31
2007-06-04,14.17
2007-06-05,13.98
2007-06-06,13.63
2007-06-07,13.68
2007-06-08,14.07
2007-06-11,13.91
2007-06-12,13.8
2007-06-13,13.96
2007-06-14,13.78
2007-06-15,13.63
2007-06-18,13.51
2007-06-19,13.57
2007-06-20,13.64
2007-06-21,14.72
2007-06-22,14.57
2007-06-25,14.28
2007-06-26,14.18
2007-06-27,14.58
2007-06-28,14.49
2007-06-29,14.3
2007-07-02,14.36
2007-07-03,14.36
2007-07-05,14.19
2007-07-06,14.39
2007-07-09,14.57
2007-07-10,14.43
2007-07-11,14.65
2007-07-12,15.36
2007-07-13,15.43
2007-07-16,15.72
2007-07-17,15.84
2007-07-18,15.46
2007-07-19,15.78
2007-07-20,15.5
2007-07-23,15.36
2007-07-24,15.21
2007-07-25,15.58
2007-07-26,14.73
2007-07-27,13.87
2007-07-30,13.79
2007-07-31,13.54
2007-08-01,13.41
2007-08-02,13.4
2007-08-03,12.85
2007-08-06,12.77
2007-08-07,12.63
2007-08-08,13.42
2007-08-09,13.08
2007-08-10,13.01
2007-08-13,12.84
2007-08-14,12.54
2007-08-15,11.95
2007-08-16,11.64
2007-08-17,11.89
2007-08-20,12.1
2007-08-21,12.17
2007-08-22,12.01
2007-08-23,12.06
2007-08-24,12.13
2007-08-27,11.98
2007-08-28,11.66
2007-08-29,12.3
2007-08-30,12.42
2007-08-31,13.0
2007-09-04,13.17
2007-09-05,12.9
2007-09-06,12.94
2007-09-07,12.61
2007-09-10,12.94
2007-09-11,12.97
2007-09-12,12.83
2007-09-13,12.73
2007-09-14,12.69
2007-09-17,12.84
2007-09-18,13.3
2007-09-19,13.1
2007-09-20,13.35
2007-09-21,13.24
2007-09-24,13.48
2007-09-25,13.81
2007-09-26,13.75
2007-09-27,13.28
2007-09-28,13.2
2007-10-01,13.23
2007-10-02,13.2
2007-10-03,13.23
2007-10-04,13.35
2007-10-05,13.63
2007-10-08,13.63
2007-10-09,13.79
2007-10-10,14.02
2007-10-11,13.8
2007-10-12,13.94
2007-10-15,13.98
2007-10-16,13.96
2007-10-17,14.11
