Date,Close
2007-01-03,14.12
2007-01-04,14.04
2007-01-05,13.77
2007-01-08,13.8
2007-01-09,13.8
2007-01-10,13.75
2007-01-11,13.96
2007-01-12,14.03
2007-01-16,14.21
2007-01-17,14.22
2007-01-18,14.16
2007-01-19,14.19
2007-01-22,14.12
2007-01-23,14.27
2007-01-24,15.19
2007-01-25,15.24
2007-01-26,15.18
2007-01-29,15.15
2007-01-30,15.24
2007-01-31,15.4
2007-02-01,15.44
2007-02-02,15.54
2007-02-05,15.36
2007-02-06,15.57
2007-02-07,15.48
2007-02-08,15.39
2007-02-09,15.33
2007-02-12,15.36
2007-02-13,15.53
2007-02-14,15.72
2007-02-15,15.85
2007-02-16,15.61
2007-02-20,15.72
2007-02-21,15.79
2007-02-22,15.67
2007-02-23,15.91
2007-02-26,15.73
2007-02-27,15.06
2007-02-28,15.18
2007-03-01,15.14
2007-03-02,14.77
2007-03-05,14.42
2007-03-06,14.76
2007-03-07,14.77
2007-03-08,14.89
2007-03-09,15.01
2007-03-12,15.24
2007-03-13,15.15
2007-03-14,15.16
2007-03-15,15.31
2007-03-16,15.33
2007-03-19,15.38
2007-03-20,15.51
2007-03-21,15.67
2007-03-22,15.64
2007-03-23,15.58
2007-03-26,15.56
2007-03-27,15.39
2007-03-28,15.36
2007-03-29,15.33
2007-03-30,15.35
2007-04-02,15.44
2007-04-03,15.45
2007-04-04,15.52
2007-04-05,15.38
2007-04-09,15.32
2007-04-10,15.21
2007-04-11,14.99
2007-04-12,15.2
2007-04-13,15.22
2007-04-16,15.66
2007-04-17,15.72
2007-04-18,15.66
2007-04-19,15.83
2007-04-20,16.12
2007-04-23,16.18
2007-04-24,16.2
2007-04-25,16.27
2007-04-26,16.33
2007-04-27,16.24
2007-04-30,16.12
2007-05-01,16.18
2007-05-02,16.42
2007-05-03,16.4
2007-05-04,16.51
2007-05-07,16.36
2007-05-08,16.24
2007-05-09,16.37
2007-05-10,16.07
2007-05-11,16.18
2007-05-14,16.08
2007-05-15,16.03
2007-05-16,16.23
2007-05-17,16.19
2007-05-18,16.43
2007-05-21,16.53
2007-05-22,16.44
2007-05-23,16.33
2007-05-24,16.1
2007-05-25,16.25
2007-05-29,16.5
2007-05-30,16.84
2007-05-31,16.77
2007-06-01,16.98
2007-06-04,17.04
2007-06-05,16.94
2007-06-06,16.83
2007-06-07,16.66
2007-06-08,16.97
2007-06-11,16.99
2007-06-12,16.92
2007-06-13,17.27
2007-06-14,17.48
2007-06-15,17.36
2007-06-18,17.26
2007-06-19,17.12
2007-06-20,16.88
2007-06-21,16.84
2007-06-22,16.63
2007-06-25,16.48
2007-06-26,16.44
