Date,Close
2007-01-03,6.18
2007-01-04,6.14
2007-01-05,6.04
2007-01-08,6.05
2007-01-09,6.06
2007-01-10,6.01
2007-01-11,6.07
2007-01-12,6.07
2007-01-16,6.01
2007-01-17,6.04
2007-01-18,6.0
2007-01-19,6.0
2007-01-22,6.38
2007-01-23,6.39
2007-01-24,6.48
2007-01-25,6.3
2007-01-26,6.41
2007-01-29,6.37
2007-01-30,6.41
2007-01-31,6.39
2007-02-01,6.49
2007-02-02,6.53
2007-02-05,6.39
2007-02-06,6.39
2007-02-07,6.5
2007-02-08,6.48
2007-02-09,6.45
2007-02-12,6.41
2007-02-13,6.43
2007-02-14,6.42
2007-02-15,6.38
2007-02-16,6.41
2007-02-20,6.66
2007-02-21,6.69
2007-02-22,6.69
2007-02-23,6.72
2007-02-26,6.69
2007-02-27,6.42
2007-02-28,6.44
2007-03-01,6.4
2007-03-02,6.32
2007-03-05,6.26
2007-03-06,6.36
2007-03-07,6.54
2007-03-08,6.47
2007-03-09,6.48
2007-03-12,6.53
2007-03-13,6.33
2007-03-14,6.35
2007-03-15,6.36
2007-03-16,6.27
2007-03-19,6.35
2007-03-20,6.38
2007-03-21,6.55
2007-03-22,6.49
2007-03-23,6.47
2007-03-26,6.46
2007-03-27,6.43
2007-03-28,6.39
2007-03-29,6.42
2007-03-30,6.37
2007-04-02,6.36
2007-04-03,6.47
2007-04-04,6.42
2007-04-05,6.38
2007-04-09,6.42
2007-04-10,6.45
2007-04-11,6.4
2007-04-12,6.44
2007-04-13,6.39
2007-04-16,6.55
2007-04-17,6.45
2007-04-18,6.49
2007-04-19,6.27
2007-04-20,6.36
2007-04-23,6.3
2007-04-24,6.36
2007-04-25,6.42
2007-04-26,6.41
2007-04-27,6.39
2007-04-30,6.35
2007-05-01,6.35
2007-05-02,6.43
2007-05-03,6.43
2007-05-04,6.48
2007-05-07,6.53
2007-05-08,6.62
2007-05-09,6.64
2007-05-10,6.44
2007-05-11,6.5
2007-05-14,6.41
2007-05-15,6.43
2007-05-16,6.49
2007-05-17,6.45
2007-05-18,6.51
2007-05-21,6.53
2007-05-22,6.52
2007-05-23,6.55
2007-05-24,6.44
2007-05-25,6.43
2007-05-29,6.52
2007-05-30,6.55
2007-05-31,6.55
2007-06-01,6.84
2007-06-04,6.81
2007-06-05,6.76
2007-06-06,6.68
2007-06-07,6.58
2007-06-08,6.52
2007-06-11,6.54
2007-06-12,6.56
2007-06-13,6.64
2007-06-14,6.72
2007-06-15,6.79
2007-06-18,6.78
2007-06-19,6.74
2007-06-20,6.74
2007-06-21,6.75
2007-06-22,6.72
2007-06-25,6.68
2007-06-26,6.64
2007-06-27,6.66
2007-06-28,6.71
2007-06-29,6.65
2007-07-02,6.8
2007-07-03,6.83
2007-07-05,6.82
2007-07-06,6.89
2007-07-09,7.02
2007-07-10,7.04
2007-07-11,7.03
2007-07-12,7.17
2007-07-13,7.22
2007-07-16,7.24
2007-07-17,7.32
2007-07-18,8.17
2007-07-19,8.51
2007-07-20,8.39
2007-07-23,8.52
2007-07-24,8.36
2007-07-25,8.31
2007-07-26,8.05
2007-07-27,7.93
2007-07-30,8.14
2007-07-31,8.09
2007-08-01,8.33
2007-08-02,8.31
2007-08-03,7.93
2007-08-06,7.85
2007-08-07,7.8
2007-08-08,7.78
2007-08-09,7.77
2007-08-10,8.13
2007-08-13,8.19
2007-08-14,7.96
2007-08-15,7.8
2007-08-16,7.53
2007-08-17,7.85
2007-08-20,8.0
2007-08-21,7.95
2007-08-22,8.3
2007-08-23,8.17
2007-08-24,8.23
2007-08-27,8.1
2007-08-28,7.94
2007-08-29,8.06
2007-08-30,7.93
2007-08-31,8.03
2007-09-04,8.18
2007-09-05,8.12
2007-09-06,8.09
2007-09-07,7.89
2007-09-10,7.85
2007-09-11,7.92
2007-09-12,7.83
2007-09-13,7.79
