Date,Close
2007-01-03,64.55
2007-01-04,63.7
2007-01-05,65.25
2007-01-08,65.67
2007-01-09,64.53
2007-01-10,63.52
2007-01-11,63.16
2007-01-12,64.29
2007-01-16,65.04
2007-01-17,66.01
2007-01-18,65.65
2007-01-19,67.91
2007-01-22,67.91
2007-01-23,70.29
2007-01-24,70.45
2007-01-25,69.52
2007-01-26,69.82
2007-01-29,70.14
2007-01-30,72.73
2007-01-31,72.97
2007-02-01,71.57
2007-02-02,70.71
2007-02-05,69.62
2007-02-06,69.9
2007-02-07,69.2
2007-02-08,70.13
2007-02-09,70.0
2007-02-12,68.69
2007-02-13,69.59
2007-02-14,69.26
2007-02-15,68.72
2007-02-16,68.8
2007-02-20,68.39
2007-02-21,69.12
2007-02-22,70.4
2007-02-23,70.47
2007-02-26,70.8
2007-02-27,68.91
2007-02-28,68.46
2007-03-01,68.48
2007-03-02,67.21
2007-03-05,67.06
2007-03-06,68.0
2007-03-07,68.63
2007-03-08,68.18
2007-03-09,68.37
2007-03-12,67.89
2007-03-13,67.16
2007-03-14,68.4
2007-03-15,67.74
2007-03-16,67.31
2007-03-19,68.31
2007-03-20,68.91
2007-03-21,69.56
2007-03-22,70.4
2007-03-23,70.03
2007-03-26,70.29
2007-03-27,70.05
2007-03-28,70.08
2007-03-29,71.5
2007-03-30,70.7
2007-04-02,71.26
2007-04-03,71.84
2007-04-04,71.8
2007-04-05,72.09
2007-04-09,72.19
2007-04-10,73.1
2007-04-11,72.89
2007-04-12,74.64
2007-04-13,75.12
2007-04-16,74.72
2007-04-17,74.76
2007-04-18,74.8
2007-04-19,74.03
2007-04-20,75.08
2007-04-23,75.09
2007-04-24,75.18
2007-04-25,76.4
2007-04-26,74.42
2007-04-27,73.53
2007-04-30,72.5
2007-05-01,73.29
2007-05-02,74.1
2007-05-03,74.74
2007-05-04,75.11
2007-05-07,75.12
2007-05-08,74.42
2007-05-09,74.09
2007-05-10,72.95
2007-05-11,73.93
2007-05-14,73.91
2007-05-15,73.6
2007-05-16,74.95
2007-05-17,76.34
2007-05-18,77.79
2007-05-21,78.71
2007-05-22,78.4
2007-05-23,78.4
2007-05-24,77.56
2007-05-25,78.02
2007-05-29,78.28
2007-05-30,81.14
2007-05-31,80.75
2007-06-01,81.45
2007-06-04,83.19
2007-06-05,83.55
2007-06-06,82.46
2007-06-07,80.67
2007-06-08,82.41
2007-06-11,83.49
2007-06-12,82.54
2007-06-13,83.88
2007-06-14,86.17
2007-06-15,87.3
2007-06-18,87.08
2007-06-19,86.9
2007-06-20,84.61
2007-06-21,85.92
2007-06-22,84.94
2007-06-25,83.69
2007-06-26,80.43
2007-06-27,81.02
2007-06-28,81.1
2007-06-29,81.59
2007-07-02,82.62
2007-07-03,83.32
2007-07-05,83.42
2007-07-06,84.16
2007-07-09,84.14
2007-07-10,83.22
2007-07-11,83.61
2007-07-12,84.89
2007-07-13,86.19
2007-07-16,85.66
2007-07-17,85.56
2007-07-18,87.6
2007-07-19,88.87
2007-07-20,86.53
2007-07-23,86.38
2007-07-24,84.36
2007-07-25,84.75
2007-07-26,82.0
2007-07-27,80.77
2007-07-30,81.12
2007-07-31,80.84
2007-08-01,81.21
2007-08-02,80.78
2007-08-03,78.1
2007-08-06,78.4
2007-08-07,79.69
2007-08-08,81.19
2007-08-09,81.46
2007-08-10,81.48
2007-08-13,80.84
2007-08-14,79.45
2007-08-15,76.62
2007-08-16,75.62
2007-08-17,76.71
2007-08-20,76.04
2007-08-21,74.6
2007-08-22,74.39
2007-08-23,75.72
2007-08-24,76.32
2007-08-27,75.33
2007-08-28,73.59
2007-08-29,75.46
2007-08-30,76.27
2007-08-31,77.38
2007-09-04,79.43
2007-09-05,79.24
2007-09-06,80.4
2007-09-07,78.79
2007-09-10,79.07
2007-09-11,80.25
2007-09-12,82.17
2007-09-13,81.98
2007-09-14,83.19
2007-09-17,84.2
2007-09-18,86.89
2007-09-19,88.15
2007-09-20,88.81
2007-09-21,88.8
2007-09-24,87.73
2007-09-25,87.89
2007-09-26,88.16
2007-09-27,90.54
2007-09-28,90.06
2007-10-01,91.96
2007-10-02,90.61
2007-10-03,89.44
2007-10-04,89.66
2007-10-05,90.1
2007-10-08,89.16
2007-10-09,92.22
2007-10-10,92.85
2007-10-11,93.76
2007-10-12,95.0
2007-10-15,95.9
2007-10-16,96.77
2007-10-17,95.55
2007-10-18,97.09
2007-10-19,93.34
2007-10-22,91.37
2007-10-23,91.4
2007-10-24,93.1
2007-10-25,94.03
2007-10-26,97.45
2007-10-29,101.85
2007-10-30,99.01
2007-10-31,103.81
2007-11-01,99.18
2007-11-02,103.82
2007-11-05,102.28
2007-11-06,105.96
2007-11-07,103.25
2007-11-08,104.72
2007-11-09,102.82
2007-11-12,96.48
2007-11-13,99.14
2007-11-14,99.22
2007-11-15,97.2
2007-11-16,99.4
2007-11-19,99.49
2007-11-20,101.94
2007-11-21,98.99
2007-11-23,101.6
2007-11-26,98.78
2007-11-27,96.73
2007-11-28,97.65
2007-11-29,98.0
2007-11-30,96.79
2007-12-03,96.28
2007-12-04,95.62
2007-12-05,98.38
2007-12-06,99.98
2007-12-07,99.44
2007-12-10,101.49
2007-12-11,99.88
2007-12-12,104.87
2007-12-13,106.07
2007-12-14,104.89
2007-12-17,101.03
2007-12-18,102.9
2007-12-19,103.49
2007-12-20,105.13
2007-12-21,108.14
2007-12-24,108.03
2007-12-26,107.37
2007-12-27,106.69
2007-12-28,108.45
2007-12-31,107.54
2008-01-02,110.31
2008-01-03,110.59
2008-01-04,107.39
2008-01-07,105.63
2008-01-08,103.14
2008-01-09,107.68
2008-01-10,106.04
2008-01-11,104.92
2008-01-14,108.56
2008-01-15,104.65
2008-01-16,99.65
2008-01-17,94.89
2008-01-18,95.84
2008-01-22,92.75
2008-01-23,91.33
2008-01-24,93.02
2008-01-25,92.58
2008-01-28,94.16
2008-01-29,93.82
2008-01-30,94.29
2008-01-31,95.36
2008-02-01,98.47
2008-02-04,98.48
2008-02-05,95.3
2008-02-06,94.93
2008-02-07,97.77
2008-02-08,100.63
2008-02-11,103.53
2008-02-12,104.8
2008-02-13,108.22
2008-02-14,106.85
2008-02-15,106.19
2008-02-19,108.44
2008-02-20,111.78
2008-02-21,108.79
2008-02-22,109.71
2008-02-25,113.63
2008-02-26,114.63
2008-02-27,113.55
2008-02-28,119.4
2008-02-29,114.71
2008-03-03,116.42
2008-03-04,114.69
2008-03-05,115.86
2008-03-06,115.77
2008-03-07,116.22
2008-03-10,115.35
2008-03-11,118.87
2008-03-12,117.62
2008-03-13,119.86
2008-03-14,117.46
2008-03-17,113.86
2008-03-18,118.27
2008-03-19,110.15
2008-03-20,107.75
2008-03-24,110.06
2008-03-25,112.94
2008-03-26,119.75
2008-03-27,119.19
2008-03-28,119.05
2008-03-31,120.82
2008-04-01,120.87
2008-04-02,122.39
2008-04-03,123.18
2008-04-04,126.41
2008-04-07,128.6
2008-04-08,130.0
2008-04-09,133.89
2008-04-10,134.26
2008-04-11,131.93
2008-04-14,136.44
2008-04-15,136.1
2008-04-16,140.7
2008-04-17,139.01
2008-04-18,142.51
2008-04-21,141.15
2008-04-22,141.6
2008-04-23,138.93
2008-04-24,133.34
2008-04-25,137.8
2008-04-28,137.9
2008-04-29,132.68
2008-04-30,134.68
2008-05-01,126.41
2008-05-02,128.81
2008-05-05,131.33
2008-05-06,137.66
