Date,Close
2007-01-03,68.08
2007-01-04,67.79
2007-01-05,67.32
2007-01-08,67.67
2007-01-09,68.06
2007-01-10,68.31
2007-01-11,68.69
2007-01-12,68.69
2007-01-16,68.87
2007-01-17,68.9
2007-01-18,68.22
2007-01-19,68.83
2007-01-22,68.47
2007-01-23,69.67
2007-01-24,68.78
2007-01-25,67.65
2007-01-26,67.67
2007-01-29,67.74
2007-01-30,67.98
2007-01-31,68.36
2007-02-01,68.8
2007-02-02,68.93
2007-02-05,68.23
2007-02-06,68.0
2007-02-07,67.81
2007-02-08,67.66
2007-02-09,67.06
2007-02-12,66.89
2007-02-13,67.7
2007-02-14,68.67
2007-02-15,68.76
2007-02-16,68.5
2007-02-20,68.49
2007-02-21,68.55
2007-02-22,68.31
2007-02-23,67.94
2007-02-26,67.61
2007-02-27,66.1
2007-02-28,66.43
2007-03-01,66.2
2007-03-02,64.93
2007-03-05,64.32
2007-03-06,64.2
2007-03-07,63.53
2007-03-08,64.13
2007-03-09,64.85
2007-03-12,64.79
2007-03-13,63.46
2007-03-14,64.04
2007-03-15,64.27
2007-03-16,64.07
2007-03-19,64.58
2007-03-20,64.82
2007-03-21,65.71
2007-03-22,65.55
2007-03-23,66.43
2007-03-26,66.2
2007-03-27,65.57
2007-03-28,64.91
2007-03-29,64.43
2007-03-30,64.26
2007-04-02,64.35
2007-04-03,64.07
2007-04-04,64.2
2007-04-05,64.17
2007-04-09,64.27
2007-04-10,64.07
2007-04-11,63.43
2007-04-12,63.87
2007-04-13,63.95
2007-04-16,64.05
2007-04-17,64.03
2007-04-18,64.2
2007-04-19,64.43
2007-04-20,64.7
2007-04-23,64.61
2007-04-24,64.43
2007-04-25,64.0
2007-04-26,63.43
2007-04-27,63.44
2007-04-30,62.2
2007-05-01,62.28
2007-05-02,62.46
2007-05-03,62.94
2007-05-04,62.87
2007-05-07,63.1
2007-05-08,62.57
2007-05-09,63.93
2007-05-10,64.0
2007-05-11,64.39
2007-05-14,64.5
2007-05-15,64.45
2007-05-16,64.69
2007-05-17,64.0
2007-05-18,64.05
2007-05-21,63.74
2007-05-22,64.16
2007-05-23,64.03
2007-05-24,63.21
2007-05-25,64.22
2007-05-29,63.92
2007-05-30,64.69
2007-05-31,65.27
2007-06-01,65.42
2007-06-04,64.98
2007-06-05,65.55
2007-06-06,65.16
2007-06-07,64.51
2007-06-08,65.64
2007-06-11,65.91
2007-06-12,65.31
2007-06-13,66.17
2007-06-14,66.44
2007-06-15,66.69
2007-06-18,66.63
2007-06-19,66.7
2007-06-20,66.53
2007-06-21,66.7
2007-06-22,66.42
2007-06-25,66.06
2007-06-26,65.59
2007-06-27,66.37
2007-06-28,66.17
2007-06-29,66.48
2007-07-02,67.01
2007-07-03,67.22
2007-07-05,67.3
2007-07-06,67.32
2007-07-09,67.31
2007-07-10,66.59
2007-07-11,66.67
2007-07-12,68.11
2007-07-13,68.33
2007-07-16,67.85
2007-07-17,68.09
2007-07-18,67.74
2007-07-19,68.49
2007-07-20,67.72
2007-07-23,67.0
2007-07-24,63.38
2007-07-25,65.98
2007-07-26,63.07
2007-07-27,62.27
2007-07-30,62.42
2007-07-31,61.34
2007-08-01,61.73
2007-08-02,61.38
2007-08-03,59.53
2007-08-06,60.28
2007-08-07,60.19
2007-08-08,60.47
2007-08-09,59.68
2007-08-10,59.72
2007-08-13,59.52
2007-08-14,58.17
2007-08-15,57.93
2007-08-16,56.8
2007-08-17,57.18
2007-08-20,57.76
2007-08-21,58.36
2007-08-22,59.5
2007-08-23,59.9
2007-08-24,60.82
2007-08-27,60.27
2007-08-28,59.43
2007-08-29,60.08
2007-08-30,60.05
2007-08-31,59.79
2007-09-04,60.04
2007-09-05,59.66
2007-09-06,59.85
2007-09-07,58.39
2007-09-10,56.37
2007-09-11,56.2
2007-09-12,56.27
2007-09-13,55.75
2007-09-14,55.31
2007-09-17,55.81
2007-09-18,57.03
2007-09-19,57.5
2007-09-20,56.91
2007-09-21,56.39
2007-09-24,56.42
2007-09-25,56.09
2007-09-26,56.79
2007-09-27,57.33
2007-09-28,57.02
2007-10-01,57.96
2007-10-02,57.85
2007-10-03,57.82
2007-10-04,57.28
2007-10-05,58.01
2007-10-08,57.78
2007-10-09,57.8
2007-10-10,56.0
2007-10-11,55.31
2007-10-12,55.24
2007-10-15,54.92
2007-10-16,54.12
2007-10-17,54.94
2007-10-18,55.02
2007-10-19,54.59
2007-10-22,55.66
2007-10-23,59.3
2007-10-24,57.95
2007-10-25,57.73
2007-10-26,57.91
2007-10-29,57.5
2007-10-30,57.24
2007-10-31,57.9
2007-11-01,56.04
2007-11-02,56.67
2007-11-05,56.27
2007-11-06,57.16
2007-11-07,55.52
2007-11-08,55.85
2007-11-09,54.65
2007-11-12,54.51
2007-11-13,55.4
2007-11-14,51.25
2007-11-15,52.41
2007-11-16,51.44
2007-11-19,50.81
2007-11-20,51.15
2007-11-21,49.78
2007-11-23,50.5
2007-11-26,49.69
2007-11-27,50.82
2007-11-28,51.76
2007-11-29,51.71
2007-11-30,52.11
2007-12-03,51.23
2007-12-04,50.98
2007-12-05,52.16
2007-12-06,53.07
2007-12-07,53.0
2007-12-10,52.84
2007-12-11,51.2
2007-12-12,51.48
2007-12-13,51.28
2007-12-14,50.73
2007-12-17,49.95
2007-12-18,50.52
2007-12-19,51.28
2007-12-20,51.23
2007-12-21,52.57
2007-12-24,52.4
2007-12-26,52.91
2007-12-27,52.45
2007-12-28,53.41
2007-12-31,53.14
2008-01-02,52.46
2008-01-03,51.73
2008-01-04,50.38
2008-01-07,50.89
2008-01-08,49.0
2008-01-09,49.15
2008-01-10,49.63
2008-01-11,48.5
2008-01-14,49.25
2008-01-15,48.35
2008-01-16,47.61
2008-01-17,46.17
2008-01-18,46.26
2008-01-22,45.66
2008-01-23,46.45
2008-01-24,45.92
2008-01-25,46.14
2008-01-28,47.48
2008-01-29,51.29
2008-01-30,51.49
2008-01-31,51.75
2008-02-01,52.73
2008-02-04,52.13
2008-02-05,50.55
2008-02-06,50.33
2008-02-07,50.57
