Date,Close
2007-01-03,11.03
2007-01-04,11.03
2007-01-05,10.98
2007-01-08,11.02
2007-01-09,11.05
2007-01-10,11.16
2007-01-11,11.24
2007-01-12,11.33
2007-01-16,11.32
2007-01-17,11.39
2007-01-18,11.48
2007-01-19,11.5
2007-01-22,11.35
2007-01-23,11.36
2007-01-24,11.38
2007-01-25,11.49
2007-01-26,11.57
2007-01-29,11.61
2007-01-30,11.46
2007-01-31,11.58
2007-02-01,11.64
2007-02-02,11.68
2007-02-05,11.59
2007-02-06,11.64
2007-02-07,11.56
2007-02-08,11.51
2007-02-09,11.42
2007-02-12,11.4
2007-02-13,11.65
2007-02-14,11.69
2007-02-15,11.68
2007-02-16,11.65
2007-02-20,11.73
2007-02-21,11.82
2007-02-22,11.73
2007-02-23,11.8
2007-02-26,11.8
2007-02-27,11.4
2007-02-28,11.58
2007-03-01,11.49
2007-03-02,11.39
2007-03-05,11.26
2007-03-06,11.34
2007-03-07,11.27
2007-03-08,11.44
2007-03-09,11.48
2007-03-12,11.49
2007-03-13,11.26
2007-03-14,11.39
2007-03-15,11.38
2007-03-16,11.31
2007-03-19,11.49
2007-03-20,11.47
2007-03-21,11.52
2007-03-22,11.49
2007-03-23,11.5
2007-03-26,11.5
2007-03-27,11.5
2007-03-28,11.49
2007-03-29,11.55
2007-03-30,11.46
2007-04-02,11.73
2007-04-03,11.82
2007-04-04,11.9
2007-04-05,12.01
2007-04-09,12.06
2007-04-10,12.17
2007-04-11,12.18
2007-04-12,12.15
2007-04-13,12.21
2007-04-16,12.38
2007-04-17,12.36
2007-04-18,12.16
2007-04-19,12.28
2007-04-20,12.48
2007-04-23,12.27
2007-04-24,12.24
2007-04-25,12.33
2007-04-26,12.81
2007-04-27,12.71
2007-04-30,12.67
2007-05-01,12.82
2007-05-02,12.88
2007-05-03,12.89
2007-05-04,12.96
2007-05-07,12.97
2007-05-08,12.97
2007-05-09,13.22
2007-05-10,12.98
2007-05-11,13.26
2007-05-14,13.19
2007-05-15,13.5
2007-05-16,13.55
2007-05-17,13.6
2007-05-18,13.74
2007-05-21,13.75
2007-05-22,13.73
2007-05-23,13.69
2007-05-24,13.48
2007-05-25,13.57
2007-05-29,13.59
2007-05-30,13.69
2007-05-31,13.84
2007-06-01,13.91
2007-06-04,13.77
2007-06-05,13.75
2007-06-06,13.51
2007-06-07,13.21
2007-06-08,13.39
2007-06-11,13.31
2007-06-12,13.28
2007-06-13,13.49
2007-06-14,13.66
2007-06-15,13.68
2007-06-18,13.62
2007-06-19,13.68
2007-06-20,13.5
2007-06-21,13.56
2007-06-22,13.51
2007-06-25,13.39
2007-06-26,13.15
2007-06-27,13.24
2007-06-28,13.22
2007-06-29,13.29
2007-07-02,13.37
2007-07-03,13.36
2007-07-05,13.52
2007-07-06,13.57
2007-07-09,13.24
2007-07-10,13.11
2007-07-11,13.32
2007-07-12,13.73
2007-07-13,13.6
2007-07-16,13.34
2007-07-17,13.31
2007-07-18,13.42
2007-07-19,13.49
2007-07-20,13.28
2007-07-23,13.36
2007-07-24,13.04
2007-07-25,12.75
2007-07-26,12.57
2007-07-27,12.73
2007-07-30,12.92
2007-07-31,12.82
2007-08-01,12.98
2007-08-02,12.95
2007-08-03,12.65
2007-08-06,12.81
2007-08-07,12.68
2007-08-08,12.71
2007-08-09,12.12
2007-08-10,12.98
2007-08-13,12.81
2007-08-14,12.49
2007-08-15,12.14
2007-08-16,12.15
2007-08-17,12.64
2007-08-20,12.67
2007-08-21,12.7
2007-08-22,13.07
2007-08-23,13.31
2007-08-24,13.2
2007-08-27,13.1
2007-08-28,12.7
2007-08-29,12.92
2007-08-30,12.89
2007-08-31,13.1
2007-09-04,13.14
2007-09-05,13.23
2007-09-06,13.21
2007-09-07,13.01
2007-09-10,12.97
2007-09-11,12.98
2007-09-12,12.91
2007-09-13,13.0
2007-09-14,12.98
2007-09-17,12.98
2007-09-18,13.62
2007-09-19,13.67
2007-09-20,13.66
2007-09-21,13.68
2007-09-24,13.6
2007-09-25,13.61
2007-09-26,13.73
2007-09-27,13.8
2007-09-28,13.44
2007-10-01,13.7
2007-10-02,13.75
2007-10-03,13.75
2007-10-04,13.72
2007-10-05,13.93
2007-10-08,13.9
2007-10-09,13.94
2007-10-10,13.34
2007-10-11,13.16
2007-10-12,13.05
2007-10-15,13.14
2007-10-16,13.17
2007-10-17,13.49
2007-10-18,13.53
2007-10-19,13.21
2007-10-22,13.43
2007-10-23,13.34
2007-10-24,13.26
2007-10-25,12.66
2007-10-26,12.42
2007-10-29,12.47
2007-10-30,12.46
2007-10-31,12.4
2007-11-01,12.14
2007-11-02,12.19
2007-11-05,11.97
2007-11-06,11.92
2007-11-07,11.63
2007-11-08,11.87
2007-11-09,11.54
2007-11-12,11.5
2007-11-13,11.75
2007-11-14,11.61
2007-11-15,11.5
2007-11-16,11.43
2007-11-19,11.14
2007-11-20,11.26
2007-11-21,11.09
2007-11-23,11.37
2007-11-26,11.1
2007-11-27,11.39
2007-11-28,11.62
2007-11-29,11.63
2007-11-30,11.56
2007-12-03,11.44
2007-12-04,11.24
2007-12-05,11.38
2007-12-06,11.5
2007-12-07,11.47
2007-12-10,11.59
2007-12-11,11.26
2007-12-12,11.37
2007-12-13,11.66
2007-12-14,11.47
2007-12-17,11.29
2007-12-18,11.19
2007-12-19,11.07
2007-12-20,11.17
2007-12-21,11.52
2007-12-24,11.53
2007-12-26,11.52
2007-12-27,11.32
2007-12-28,11.31
2007-12-31,11.25
2008-01-02,11.11
2008-01-03,10.97
2008-01-04,10.9
2008-01-07,10.76
2008-01-08,10.56
2008-01-09,10.65
2008-01-10,10.91
2008-01-11,10.97
2008-01-14,11.2
2008-01-15,11.04
2008-01-16,10.99
2008-01-17,10.5
2008-01-18,10.51
2008-01-22,10.51
2008-01-23,10.77
2008-01-24,10.55
2008-01-25,10.39
2008-01-28,10.77
2008-01-29,10.99
2008-01-30,11.23
2008-01-31,11.45
2008-02-01,11.6
2008-02-04,11.28
2008-02-05,11.01
2008-02-06,11.06
2008-02-07,11.1
2008-02-08,11.09
2008-02-11,11.19
2008-02-12,11.26
2008-02-13,11.35
2008-02-14,11.31
2008-02-15,11.28
2008-02-19,11.31
2008-02-20,11.42
2008-02-21,11.39
2008-02-22,11.44
2008-02-25,11.63
2008-02-26,11.54
2008-02-27,11.53
2008-02-28,11.43
2008-02-29,11.02
2008-03-03,11.23
2008-03-04,10.91
2008-03-05,11.11
2008-03-06,11.02
2008-03-07,10.93
2008-03-10,10.64
2008-03-11,11.08
2008-03-12,10.94
2008-03-13,11.06
2008-03-14,10.81
2008-03-17,10.66
2008-03-18,10.88
2008-03-19,10.61
2008-03-20,11.01
2008-03-24,11.3
2008-03-25,11.6
2008-03-26,11.47
2008-03-27,11.28
2008-03-28,11.28
2008-03-31,11.48
2008-04-01,11.86
2008-04-02,12.01
2008-04-03,11.97
2008-04-04,12.09
2008-04-07,11.8
2008-04-08,11.8
2008-04-09,11.6
2008-04-10,11.67
2008-04-11,11.51
2008-04-14,11.55
2008-04-15,11.83
2008-04-16,12.15
2008-04-17,12.66
2008-04-18,12.94
2008-04-21,12.8
2008-04-22,12.51
2008-04-23,12.53
2008-04-24,13.39
2008-04-25,13.54
2008-04-28,13.53
2008-04-29,13.36
2008-04-30,13.44
2008-05-01,13.55
2008-05-02,13.48
2008-05-05,13.59
2008-05-06,13.43
2008-05-07,13.33
2008-05-08,13.62
2008-05-09,13.45
2008-05-12,13.64
2008-05-13,13.62
2008-05-14,13.68
2008-05-15,13.96
2008-05-16,13.9
2008-05-19,13.57
2008-05-20,13.51
2008-05-21,13.25
2008-05-22,13.34
2008-05-23,13.25
2008-05-27,13.27
2008-05-28,13.41
2008-05-29,13.43
2008-05-30,13.57
2008-06-02,13.69
2008-06-03,13.39
2008-06-04,13.28
2008-06-05,13.48
2008-06-06,13.02
2008-06-09,12.88
2008-06-10,12.6
2008-06-11,12.46
2008-06-12,12.65
2008-06-13,13.15
2008-06-16,13.01
2008-06-17,12.99
2008-06-18,12.98
2008-06-19,13.12
2008-06-20,12.93
2008-06-23,12.81
2008-06-24,12.26
2008-06-25,12.41
2008-06-26,12.02
2008-06-27,11.92
2008-06-30,11.94
2008-07-01,11.67
2008-07-02,11.49
2008-07-03,11.71
2008-07-07,11.71
2008-07-08,11.9
2008-07-09,11.64
2008-07-10,11.66
2008-07-11,11.48
2008-07-14,11.33
2008-07-15,11.07
2008-07-16,11.46
2008-07-17,12.6
2008-07-18,12.63
2008-07-21,12.59
2008-07-22,12.61
2008-07-23,12.48
2008-07-24,11.36
2008-07-25,11.3
2008-07-28,11.02
2008-07-29,11.17
2008-07-30,11.48
2008-07-31,11.15
2008-08-01,11.16
2008-08-04,11.16
2008-08-05,11.38
2008-08-06,11.31
2008-08-07,11.13
2008-08-08,11.23
2008-08-11,11.43
2008-08-12,11.13
2008-08-13,11.02
2008-08-14,11.17
2008-08-15,11.36
2008-08-18,11.1
2008-08-19,11.01
2008-08-20,11.11
2008-08-21,11.28
2008-08-22,11.37
2008-08-25,11.15
2008-08-26,11.17
2008-08-27,11.27
2008-08-28,11.49
2008-08-29,11.48
2008-09-02,11.45
2008-09-03,11.34
2008-09-04,10.85
2008-09-05,11.0
2008-09-08,11.01
2008-09-09,10.49
2008-09-10,10.73
2008-09-11,11.07
2008-09-12,11.29
2008-09-15,11.03
2008-09-16,11.08
2008-09-17,10.42
2008-09-18,10.54
2008-09-19,10.58
2008-09-22,10.31
2008-09-23,10.28
2008-09-24,10.32
2008-09-25,10.45
2008-09-26,10.69
2008-09-29,10.0
2008-09-30,9.87
2008-10-01,9.67
2008-10-02,9.25
2008-10-03,8.95
2008-10-06,8.64
2008-10-07,8.23
2008-10-08,8.1
2008-10-09,7.69
2008-10-10,7.79
2008-10-13,8.69
2008-10-14,8.56
2008-10-15,7.72
2008-10-16,8.03
2008-10-17,8.06
2008-10-20,8.39
2008-10-21,8.1
2008-10-22,7.69
2008-10-23,7.64
2008-10-24,7.43
2008-10-27,7.03
2008-10-28,7.75
2008-10-29,7.72
2008-10-30,8.49
2008-10-31,8.55
2008-11-03,8.81
2008-11-04,9.23
2008-11-05,9.18
2008-11-06,8.62
2008-11-07,8.66
2008-11-10,8.62
2008-11-11,8.39
2008-11-12,8.01
2008-11-13,8.6
2008-11-14,8.19
2008-11-17,8.18
2008-11-18,8.21
2008-11-19,7.65
2008-11-20,7.23
2008-11-21,7.55
2008-11-24,8.12
2008-11-25,8.45
2008-11-26,8.88
2008-11-28,9.11
2008-12-01,8.38
2008-12-02,8.68
2008-12-03,8.85
2008-12-04,8.45
2008-12-05,8.73
2008-12-08,9.43
2008-12-09,9.19
2008-12-10,9.62
2008-12-11,9.65
2008-12-12,10.02
2008-12-15,9.83
2008-12-16,10.26
2008-12-17,10.44
2008-12-18,10.37
2008-12-19,10.33
2008-12-22,9.93
2008-12-23,9.81
2008-12-24,9.9
2008-12-26,10.11
2008-12-29,10.02
2008-12-30,10.23
2008-12-31,10.4
2009-01-02,10.7
2009-01-05,10.67
2009-01-06,10.68
2009-01-07,10.34
2009-01-08,10.54
2009-01-09,10.25
2009-01-12,10.17
2009-01-13,10.08
2009-01-14,9.66
2009-01-15,9.75
2009-01-16,9.81
2009-01-20,9.23
2009-01-21,9.69
2009-01-22,9.64
2009-01-23,9.64
2009-01-26,9.66
2009-01-27,9.8
2009-01-28,10.02
2009-01-29,10.05
2009-01-30,9.59
2009-02-02,9.72
2009-02-03,9.74
2009-02-04,9.95
2009-02-05,10.06
2009-02-06,10.31
2009-02-09,10.45
2009-02-10,10.12
2009-02-11,10.15
2009-02-12,10.45
2009-02-13,10.44
2009-02-17,10.04
2009-02-18,9.94
2009-02-19,9.93
2009-02-20,10.01
2009-02-23,9.56
2009-02-24,9.99
2009-02-25,9.98
2009-02-26,9.98
2009-02-27,10.07
2009-03-02,9.72
2009-03-03,9.44
2009-03-04,9.57
2009-03-05,9.52
2009-03-06,9.31
2009-03-09,9.22
2009-03-10,9.49
2009-03-11,9.59
2009-03-12,9.82
2009-03-13,9.95
2009-03-16,9.91
2009-03-17,10.19
2009-03-18,10.48
2009-03-19,10.39
2009-03-20,10.35
2009-03-23,10.85
2009-03-24,10.81
2009-03-25,10.94
2009-03-26,11.06
2009-03-27,10.84
2009-03-30,10.82
2009-03-31,10.85
2009-04-01,10.96
2009-04-02,11.08
2009-04-03,11.05
2009-04-06,10.82
2009-04-07,10.55
2009-04-08,10.61
2009-04-09,10.81
2009-04-13,10.65
2009-04-14,10.54
2009-04-15,10.62
2009-04-16,10.76
2009-04-17,10.79
2009-04-20,10.51
2009-04-21,10.65
2009-04-22,10.68
2009-04-23,10.3
2009-04-24,10.08
2009-04-27,9.77
2009-04-28,9.48
2009-04-29,9.71
2009-04-30,9.43
2009-05-01,9.5
2009-05-04,9.59
2009-05-05,9.76
2009-05-06,9.85
2009-05-07,9.61
2009-05-08,9.7
2009-05-11,9.67
2009-05-12,9.9
2009-05-13,9.62
2009-05-14,9.75
2009-05-15,9.8
2009-05-18,9.95
2009-05-19,9.98
2009-05-20,9.86
2009-05-21,9.69
2009-05-22,9.72
2009-05-26,10.01
2009-05-27,9.72
2009-05-28,9.73
2009-05-29,9.95
2009-06-01,10.52
2009-06-02,10.9
2009-06-03,10.76
2009-06-04,10.98
2009-06-05,10.91
2009-06-08,11.05
2009-06-09,11.1
2009-06-10,10.93
2009-06-11,10.95
2009-06-12,10.75
2009-06-15,10.53
2009-06-16,10.34
2009-06-17,10.38
2009-06-18,10.48
2009-06-19,10.48
2009-06-22,10.15
2009-06-23,10.16
2009-06-24,10.3
2009-06-25,10.54
2009-06-26,10.72
2009-06-29,11.31
2009-06-30,11.29
2009-07-01,11.96
2009-07-02,11.77
2009-07-06,11.74
2009-07-07,11.55
2009-07-08,11.55
2009-07-09,11.34
2009-07-10,11.39
2009-07-13,11.48
2009-07-14,11.48
2009-07-15,11.8
2009-07-16,11.9
2009-07-17,11.74
2009-07-20,11.81
2009-07-21,11.75
2009-07-22,11.9
2009-07-23,12.04
2009-07-24,12.38
2009-07-27,12.4
2009-07-28,12.29
2009-07-29,12.23
2009-07-30,12.21
2009-07-31,12.09
2009-08-03,12.29
2009-08-04,12.23
2009-08-05,12.12
2009-08-06,11.9
2009-08-07,11.81
2009-08-10,11.95
2009-08-11,12.22
2009-08-12,12.41
2009-08-13,12.87
2009-08-14,12.65
2009-08-17,12.55
2009-08-18,12.52
2009-08-19,12.52
2009-08-20,12.51
2009-08-21,12.52
2009-08-24,12.34
2009-08-25,12.41
2009-08-26,12.4
2009-08-27,12.39
2009-08-28,12.19
2009-08-31,12.11
2009-09-01,12.01
2009-09-02,12.09
2009-09-03,11.98
2009-09-04,12.1
2009-09-08,12.31
2009-09-09,12.41
2009-09-10,12.45
2009-09-11,12.25
2009-09-14,12.51
2009-09-15,12.76
2009-09-16,13.0
2009-09-17,12.62
2009-09-18,12.73
2009-09-21,12.8
2009-09-22,12.66
2009-09-23,12.34
2009-09-24,12.25
2009-09-25,12.23
2009-09-28,12.55
2009-09-29,12.47
2009-09-30,12.3
2009-10-01,12.26
2009-10-02,12.22
2009-10-05,12.53
2009-10-06,12.46
2009-10-07,12.65
2009-10-08,12.79
2009-10-09,12.89
2009-10-12,13.02
2009-10-13,12.92
2009-10-14,13.06
2009-10-15,13.05
2009-10-16,12.83
2009-10-19,12.93
2009-10-20,12.86
2009-10-21,12.67
2009-10-22,12.77
2009-10-23,12.54
2009-10-26,12.46
2009-10-27,12.46
2009-10-28,12.11
2009-10-29,12.61
2009-10-30,12.33
2009-11-02,12.24
2009-11-03,12.31
2009-11-04,12.19
2009-11-05,12.32
2009-11-06,12.38
2009-11-09,12.72
2009-11-10,12.61
2009-11-11,12.6
2009-11-12,12.48
2009-11-13,12.53
2009-11-16,12.73
2009-11-17,12.83
2009-11-18,12.76
2009-11-19,12.62
2009-11-20,12.6
2009-11-23,12.68
2009-11-24,12.59
2009-11-25,12.69
2009-11-27,12.46
2009-11-30,12.35
2009-12-01,12.4
2009-12-02,12.27
2009-12-03,12.09
