Date,Close
2007-01-03,25.26
2007-01-04,25.52
2007-01-05,25.42
2007-01-08,25.48
2007-01-09,25.17
2007-01-10,25.41
2007-01-11,25.58
2007-01-12,25.83
2007-01-16,25.96
2007-01-17,26.28
2007-01-18,26.63
2007-01-19,26.55
2007-01-22,26.06
2007-01-23,26.11
2007-01-24,26.15
2007-01-25,26.95
2007-01-26,26.48
2007-01-29,26.31
2007-01-30,26.87
2007-01-31,26.97
2007-02-01,27.33
2007-02-02,27.02
2007-02-05,27.15
2007-02-06,26.87
2007-02-07,26.97
2007-02-08,27.04
2007-02-09,27.02
2007-02-12,27.1
2007-02-13,27.13
2007-02-14,27.31
2007-02-15,27.38
2007-02-16,27.41
2007-02-20,27.51
2007-02-21,27.49
2007-02-22,27.33
2007-02-23,27.06
2007-02-26,27.24
2007-02-27,26.67
2007-02-28,27.16
2007-03-01,26.94
2007-03-02,26.52
2007-03-05,26.34
2007-03-06,26.36
2007-03-07,26.53
2007-03-08,26.99
2007-03-09,27.15
2007-03-12,27.39
2007-03-13,27.13
2007-03-14,27.56
2007-03-15,27.82
2007-03-16,27.9
2007-03-19,28.28
2007-03-20,28.28
2007-03-21,28.41
2007-03-22,28.59
2007-03-23,28.54
2007-03-26,28.82
2007-03-27,28.83
2007-03-28,28.66
2007-03-29,28.91
2007-03-30,28.61
2007-04-02,28.68
2007-04-03,29.3
2007-04-04,29.21
2007-04-05,29.35
2007-04-09,29.53
2007-04-10,29.63
2007-04-11,29.32
2007-04-12,29.39
2007-04-13,29.33
2007-04-16,29.4
2007-04-17,29.89
2007-04-18,29.8
2007-04-19,30.24
2007-04-20,30.37
2007-04-23,30.62
2007-04-24,30.74
2007-04-25,31.18
2007-04-26,31.43
2007-04-27,31.06
2007-04-30,30.76
2007-05-01,30.99
2007-05-02,31.15
2007-05-03,31.23
2007-05-04,31.2
2007-05-07,31.26
2007-05-08,31.33
2007-05-09,31.37
2007-05-10,31.18
2007-05-11,30.83
2007-05-14,31.29
2007-05-15,31.15
2007-05-16,31.38
2007-05-17,30.96
2007-05-18,31.11
2007-05-21,31.19
2007-05-22,31.02
2007-05-23,31.04
2007-05-24,30.94
2007-05-25,30.95
2007-05-29,30.58
2007-05-30,30.43
2007-05-31,30.87
2007-06-01,31.04
2007-06-04,31.32
2007-06-05,31.19
2007-06-06,30.96
2007-06-07,30.28
2007-06-08,30.69
2007-06-11,30.32
2007-06-12,30.54
2007-06-13,30.69
2007-06-14,31.01
2007-06-15,31.44
2007-06-18,31.4
2007-06-19,31.48
2007-06-20,30.98
2007-06-21,30.85
2007-06-22,30.24
2007-06-25,29.91
2007-06-26,29.59
2007-06-27,30.52
2007-06-28,30.56
2007-06-29,30.6
2007-07-02,31.4
2007-07-03,31.34
2007-07-05,31.46
2007-07-06,31.53
2007-07-09,31.44
2007-07-10,30.91
2007-07-11,31.55
2007-07-12,31.76
2007-07-13,31.8
2007-07-16,31.93
2007-07-17,31.92
2007-07-18,31.83
2007-07-19,30.18
2007-07-20,30.12
2007-07-23,30.73
2007-07-24,29.92
2007-07-25,29.03
2007-07-26,28.57
2007-07-27,28.26
2007-07-30,28.94
2007-07-31,28.57
2007-08-01,28.52
2007-08-02,29.39
2007-08-03,29.06
2007-08-06,29.32
2007-08-07,29.03
2007-08-08,29.6
2007-08-09,28.33
2007-08-10,28.24
2007-08-13,28.7
2007-08-14,28.49
2007-08-15,28.06
2007-08-16,27.67
2007-08-17,27.64
2007-08-20,27.25
2007-08-21,27.46
2007-08-22,28.15
2007-08-23,28.51
2007-08-24,28.6
2007-08-27,28.6
2007-08-28,28.07
2007-08-29,28.66
2007-08-30,29.22
2007-08-31,29.74
2007-09-04,29.46
2007-09-05,29.22
2007-09-06,29.26
2007-09-07,28.62
2007-09-10,28.84
2007-09-11,29.4
2007-09-12,29.63
2007-09-13,29.84
2007-09-14,29.7
2007-09-17,29.52
2007-09-18,30.07
2007-09-19,30.63
2007-09-20,30.43
2007-09-21,30.84
2007-09-24,30.56
2007-09-25,30.81
2007-09-26,30.27
2007-09-27,30.51
2007-09-28,30.57
2007-10-01,30.76
2007-10-02,30.68
2007-10-03,30.39
2007-10-04,30.6
2007-10-05,30.58
2007-10-08,30.29
2007-10-09,30.18
2007-10-10,30.22
2007-10-11,30.55
2007-10-12,31.17
2007-10-15,30.53
2007-10-16,30.39
2007-10-17,30.04
2007-10-18,32.36
2007-10-19,31.5
2007-10-22,31.6
2007-10-23,32.06
2007-10-24,32.09
2007-10-25,32.5
2007-10-26,32.56
2007-10-29,32.51
2007-10-30,32.85
2007-10-31,32.6
2007-11-01,32.19
2007-11-02,32.18
2007-11-05,32.06
2007-11-06,32.13
2007-11-07,31.83
2007-11-08,31.64
2007-11-09,31.42
2007-11-12,31.01
2007-11-13,31.62
2007-11-14,31.73
2007-11-15,31.4
2007-11-16,31.65
2007-11-19,31.47
2007-11-20,31.36
2007-11-21,30.7
2007-11-23,31.44
2007-11-26,30.68
2007-11-27,31.71
2007-11-28,32.03
2007-11-29,31.83
2007-11-30,32.52
2007-12-03,32.05
2007-12-04,32.12
2007-12-05,32.43
2007-12-06,32.33
2007-12-07,32.73
2007-12-10,33.18
2007-12-11,32.09
2007-12-12,32.09
2007-12-13,32.36
2007-12-14,31.55
2007-12-17,31.26
2007-12-18,31.53
2007-12-19,31.85
2007-12-20,32.03
2007-12-21,32.32
2007-12-24,32.29
2007-12-26,32.13
2007-12-27,31.65
2007-12-28,31.87
2007-12-31,31.53
2008-01-02,31.39
2008-01-03,31.84
2008-01-04,31.34
2008-01-07,32.37
2008-01-08,33.09
2008-01-09,34.86
2008-01-10,34.25
2008-01-11,34.61
2008-01-14,34.58
2008-01-15,34.44
2008-01-16,35.26
2008-01-17,34.11
2008-01-18,34.31
2008-01-22,32.97
2008-01-23,33.32
2008-01-24,33.69
2008-01-25,33.13
2008-01-28,33.53
2008-01-29,33.28
2008-01-30,32.68
2008-01-31,32.9
2008-02-01,33.41
2008-02-04,33.61
2008-02-05,32.78
2008-02-06,32.55
2008-02-07,32.98
2008-02-08,32.94
2008-02-11,33.07
2008-02-12,33.39
2008-02-13,33.6
2008-02-14,32.76
2008-02-15,32.23
2008-02-19,32.76
