Date,Close
2007-01-03,37.79
2007-01-04,37.96
2007-01-05,37.26
2007-01-08,38.31
2007-01-09,38.99
2007-01-10,39.4
2007-01-11,40.04
2007-01-12,39.97
2007-01-16,40.14
2007-01-17,40.08
2007-01-18,39.82
2007-01-19,39.26
2007-01-22,39.31
2007-01-23,39.23
2007-01-24,40.06
2007-01-25,39.56
2007-01-26,39.37
2007-01-29,39.08
2007-01-30,39.17
2007-01-31,39.7
2007-02-01,40.47
2007-02-02,40.25
2007-02-05,40.41
2007-02-06,40.73
2007-02-07,41.14
2007-02-08,41.33
2007-02-09,40.63
2007-02-12,40.89
2007-02-13,40.97
2007-02-14,41.86
2007-02-15,42.03
2007-02-16,42.01
2007-02-20,41.98
2007-02-21,41.93
2007-02-22,41.85
2007-02-23,41.25
2007-02-26,40.81
2007-02-27,38.66
2007-02-28,39.1
2007-03-01,38.45
2007-03-02,38.15
2007-03-05,37.24
2007-03-06,38.45
2007-03-07,38.24
2007-03-08,39.18
2007-03-09,39.91
2007-03-12,40.23
2007-03-13,38.71
2007-03-14,39.1
2007-03-15,39.14
2007-03-16,38.19
2007-03-19,38.98
2007-03-20,39.11
2007-03-21,40.44
2007-03-22,40.5
2007-03-23,40.96
2007-03-26,40.96
2007-03-27,40.47
2007-03-28,39.75
2007-03-29,40.16
2007-03-30,40.28
2007-04-02,40.24
2007-04-03,41.44
2007-04-04,41.84
2007-04-05,41.93
2007-04-09,41.91
2007-04-10,42.12
2007-04-11,41.96
2007-04-12,42.19
2007-04-13,42.18
2007-04-16,43.16
2007-04-17,43.65
2007-04-18,44.33
2007-04-19,42.99
2007-04-20,43.43
2007-04-23,43.39
2007-04-24,43.15
2007-04-25,43.67
2007-04-26,43.55
2007-04-27,43.78
2007-04-30,43.77
2007-05-01,43.87
2007-05-02,44.33
2007-05-03,44.87
2007-05-04,45.07
2007-05-07,45.08
2007-05-08,44.87
2007-05-09,45.43
2007-05-10,44.67
2007-05-11,45.34
2007-05-14,45.12
2007-05-15,44.95
2007-05-16,45.63
2007-05-17,44.83
2007-05-18,45.33
2007-05-21,45.54
2007-05-22,45.1
2007-05-23,45.03
2007-05-24,44.49
2007-05-25,44.65
2007-05-29,44.84
2007-05-30,45.11
2007-05-31,45.67
2007-06-01,45.38
2007-06-04,45.74
2007-06-05,44.55
2007-06-06,43.85
2007-06-07,42.54
2007-06-08,42.76
2007-06-11,42.97
2007-06-12,42.64
2007-06-13,43.26
2007-06-14,43.41
2007-06-15,44.09
2007-06-18,44.46
2007-06-19,44.82
2007-06-20,44.97
2007-06-21,44.94
2007-06-22,44.2
2007-06-25,43.76
2007-06-26,44.17
2007-06-27,44.5
2007-06-28,44.81
2007-06-29,44.16
2007-07-02,44.69
2007-07-03,44.99
2007-07-05,45.0
2007-07-06,45.14
2007-07-09,45.51
2007-07-10,44.21
2007-07-11,44.94
2007-07-12,46.28
2007-07-13,46.74
2007-07-16,46.91
2007-07-17,47.98
2007-07-18,47.34
2007-07-19,47.4
2007-07-20,45.98
2007-07-23,46.32
2007-07-24,44.77
2007-07-25,45.33
2007-07-26,43.22
2007-07-27,43.38
