Date,Close
2007-01-03,82.22
2007-01-04,83.25
2007-01-05,81.41
2007-01-08,81.9
2007-01-09,82.48
2007-01-10,82.27
2007-01-11,83.41
2007-01-12,83.6
2007-01-16,83.34
2007-01-17,83.3
2007-01-18,83.3
2007-01-19,83.8
2007-01-22,81.91
2007-01-23,82.83
2007-01-24,83.46
2007-01-25,81.59
2007-01-26,82.58
2007-01-29,84.8
2007-01-30,85.15
2007-01-31,86.04
2007-02-01,87.64
2007-02-02,87.13
2007-02-05,87.08
2007-02-06,86.57
2007-02-07,87.4
2007-02-08,87.25
2007-02-09,85.88
2007-02-12,86.2
2007-02-13,87.59
2007-02-14,85.51
2007-02-15,85.2
2007-02-16,84.9
2007-02-20,86.24
2007-02-21,83.1
2007-02-22,82.18
2007-02-23,76.5
2007-02-26,75.74
2007-02-27,72.64
2007-02-28,70.91
2007-03-01,71.15
2007-03-02,70.42
2007-03-05,69.49
2007-03-06,70.62
2007-03-07,69.8
2007-03-08,69.4
2007-03-09,68.94
2007-03-12,68.45
2007-03-13,67.67
2007-03-14,68.51
2007-03-15,69.97
2007-03-16,69.71
2007-03-19,70.19
2007-03-20,70.45
2007-03-21,72.38
2007-03-22,72.51
2007-03-23,73.02
2007-03-26,72.39
2007-03-27,70.35
2007-03-28,71.42
2007-03-29,70.23
2007-03-30,69.84
2007-04-02,69.78
2007-04-03,69.99
2007-04-04,70.4
2007-04-05,70.92
2007-04-09,70.09
2007-04-10,70.36
2007-04-11,69.25
2007-04-12,70.05
2007-04-13,70.18
2007-04-16,70.22
2007-04-17,70.5
2007-04-18,69.54
2007-04-19,68.81
2007-04-20,70.13
2007-04-23,69.42
2007-04-24,69.57
2007-04-25,70.33
2007-04-26,70.89
2007-04-27,71.65
2007-04-30,70.77
2007-05-01,70.66
2007-05-02,72.15
2007-05-03,72.05
2007-05-04,70.25
2007-05-07,70.59
2007-05-08,69.08
2007-05-09,70.2
2007-05-10,70.37
2007-05-11,71.49
2007-05-14,71.03
2007-05-15,71.08
2007-05-16,73.88
2007-05-17,73.61
2007-05-18,73.65
2007-05-21,73.8
2007-05-22,73.91
2007-05-23,73.51
2007-05-24,73.65
2007-05-25,74.17
2007-05-29,74.47
2007-05-30,73.68
2007-05-31,74.7
2007-06-01,74.82
2007-06-04,74.64
2007-06-05,74.13
2007-06-06,74.14
2007-06-07,73.9
2007-06-08,74.04
2007-06-11,74.0
2007-06-12,73.68
2007-06-13,74.0
2007-06-14,73.84
2007-06-15,73.98
2007-06-18,73.69
2007-06-19,74.04
2007-06-20,72.37
2007-06-21,72.9
2007-06-22,71.91
2007-06-25,70.79
2007-06-26,73.4
2007-06-27,73.92
2007-06-28,74.31
2007-06-29,75.57
2007-07-02,76.83
2007-07-03,77.15
2007-07-05,77.2
2007-07-06,77.1
