Date,Close
2007-01-03,26.38
2007-01-04,26.69
2007-01-05,26.18
2007-01-08,26.1
2007-01-09,26.21
2007-01-10,26.2
2007-01-11,26.54
2007-01-12,26.25
2007-01-16,26.57
2007-01-17,26.87
2007-01-18,26.67
2007-01-19,26.63
2007-01-22,26.48
2007-01-23,26.67
2007-01-24,26.99
2007-01-25,26.28
2007-01-26,26.21
2007-01-29,27.43
2007-01-30,28.03
2007-01-31,28.79
2007-02-01,28.8
2007-02-02,28.64
2007-02-05,28.73
2007-02-06,28.75
2007-02-07,28.86
2007-02-08,28.7
2007-02-09,28.52
2007-02-12,27.59
2007-02-13,27.59
2007-02-14,27.72
2007-02-15,27.77
2007-02-16,27.64
2007-02-20,27.42
2007-02-21,27.11
2007-02-22,27.09
2007-02-23,27.05
2007-02-26,27.19
2007-02-27,26.36
2007-02-28,26.38
2007-03-01,26.64
2007-03-02,26.42
2007-03-05,26.35
2007-03-06,27.01
2007-03-07,27.12
2007-03-08,27.16
2007-03-09,26.92
2007-03-12,27.36
2007-03-13,26.8
2007-03-14,27.02
2007-03-15,27.12
2007-03-16,26.82
2007-03-19,26.94
2007-03-20,27.15
2007-03-21,27.71
2007-03-22,27.79
2007-03-23,27.6
2007-03-26,27.62
2007-03-27,27.8
2007-03-28,27.62
2007-03-29,27.91
2007-03-30,27.76
2007-04-02,27.88
2007-04-03,27.54
2007-04-04,27.78
2007-04-05,27.82
2007-04-09,27.66
2007-04-10,27.79
2007-04-11,27.52
2007-04-12,27.55
2007-04-13,28.32
2007-04-16,28.46
2007-04-17,28.29
2007-04-18,28.26
2007-04-19,28.42
2007-04-20,28.67
2007-04-23,28.51
2007-04-24,28.78
2007-04-25,29.7
2007-04-26,29.23
2007-04-27,29.17
2007-04-30,28.86
2007-05-01,28.68
2007-05-02,28.7
2007-05-03,29.34
2007-05-04,30.02
2007-05-07,30.11
2007-05-08,30.21
2007-05-09,30.25
2007-05-10,29.88
2007-05-11,30.24
2007-05-14,30.09
2007-05-15,30.23
2007-05-16,30.08
2007-05-17,30.21
2007-05-18,30.45
2007-05-21,30.31
2007-05-22,30.22
2007-05-23,30.0
2007-05-24,30.03
2007-05-25,30.05
2007-05-29,30.1
2007-05-30,30.12
2007-05-31,30.31
2007-06-01,30.48
2007-06-04,30.44
2007-06-05,30.42
2007-06-06,30.17
2007-06-07,29.17
2007-06-08,29.27
2007-06-11,29.18
2007-06-12,28.69
2007-06-13,29.74
2007-06-14,29.83
2007-06-15,30.76
2007-06-18,30.31
2007-06-19,31.58
2007-06-20,31.23
2007-06-21,32.02
2007-06-22,31.4
2007-06-25,31.56
2007-06-26,31.69
2007-06-27,32.05
2007-06-28,31.63
2007-06-29,31.56
2007-07-02,31.84
2007-07-03,31.77
2007-07-05,31.91
2007-07-06,31.55
2007-07-09,31.35
2007-07-10,30.93
2007-07-11,31.62
2007-07-12,32.02
2007-07-13,32.06
2007-07-16,32.1
2007-07-17,32.14
2007-07-18,32.05
2007-07-19,32.03
2007-07-20,31.54
2007-07-23,32.13
2007-07-24,31.4
2007-07-25,31.59
2007-07-26,29.85
2007-07-27,28.64
2007-07-30,28.7
2007-07-31,28.41
2007-08-01,28.67
2007-08-02,28.62
2007-08-03,28.0
