Date,Close
2007-03-22,20.1
2007-03-23,20.33
2007-03-26,20.67
2007-03-27,20.35
2007-03-28,19.9
2007-03-29,19.7
2007-03-30,19.7
2007-04-02,19.51
2007-04-03,19.07
2007-04-04,18.91
2007-04-05,19.38
2007-04-09,19.06
2007-04-10,19.22
2007-04-11,19.11
2007-04-12,19.2
2007-04-13,19.58
2007-04-16,19.86
2007-04-17,20.42
2007-04-18,20.68
2007-04-19,21.14
2007-04-20,21.08
2007-04-23,20.7
2007-04-24,20.61
2007-04-25,20.26
2007-04-26,20.06
2007-04-27,20.22
2007-04-30,20.04
2007-05-01,20.04
2007-05-02,20.02
2007-05-03,20.3
2007-05-04,20.78
2007-05-07,21.01
2007-05-08,21.27
2007-05-09,21.4
2007-05-10,21.12
2007-05-11,21.43
2007-05-14,21.31
2007-05-15,20.84
2007-05-16,20.5
2007-05-17,20.65
2007-05-18,20.46
2007-05-21,20.5
2007-05-22,20.39
2007-05-23,20.35
2007-05-24,20.02
2007-05-25,20.0
2007-05-29,20.0
2007-05-30,19.97
2007-05-31,20.24
2007-06-01,19.93
2007-06-04,19.85
2007-06-05,19.93
2007-06-06,19.45
2007-06-07,18.97
2007-06-08,19.14
2007-06-11,19.27
2007-06-12,19.33
2007-06-13,19.35
2007-06-14,19.28
2007-06-15,19.49
2007-06-18,19.43
2007-06-19,19.09
2007-06-20,19.11
2007-06-21,19.44
2007-06-22,19.9
2007-06-25,20.12
2007-06-26,19.9
2007-06-27,19.8
2007-06-28,19.41
2007-06-29,19.12
2007-07-02,19.34
2007-07-03,19.72
2007-07-05,19.6
2007-07-06,19.76
2007-07-09,20.34
2007-07-10,19.8
2007-07-11,19.58
2007-07-12,20.02
2007-07-13,19.89
2007-07-16,20.19
2007-07-17,20.14
2007-07-18,20.04
2007-07-19,20.27
2007-07-20,20.05
2007-07-23,20.01
2007-07-24,19.31
2007-07-25,19.14
2007-07-26,18.61
2007-07-27,17.97
2007-07-30,17.87
2007-07-31,17.59
2007-08-01,17.06
2007-08-02,17.18
2007-08-03,17.05
2007-08-06,17.57
2007-08-07,17.55
2007-08-08,18.18
2007-08-09,17.99
2007-08-10,18.33
2007-08-13,17.79
2007-08-14,18.11
2007-08-15,17.61
2007-08-16,17.45
2007-08-17,17.5
2007-08-20,17.33
2007-08-21,17.84
2007-08-22,16.92
2007-08-23,16.29
2007-08-24,17.9
2007-08-27,17.78
2007-08-28,17.6
2007-08-29,17.87
2007-08-30,18.13
2007-08-31,18.17
2007-09-04,18.51
2007-09-05,17.41
2007-09-06,17.13
2007-09-07,16.71
2007-09-10,17.46
2007-09-11,17.23
2007-09-12,17.89
2007-09-13,18.64
2007-09-14,18.65
2007-09-17,18.08
2007-09-18,18.84
2007-09-19,18.95
2007-09-20,19.15
2007-09-21,19.12
2007-09-24,18.36
2007-09-25,18.54
2007-09-26,18.88
2007-09-27,19.0
2007-09-28,18.95
2007-10-01,19.0
2007-10-02,18.92
2007-10-03,19.32
2007-10-04,19.67
2007-10-05,19.47
2007-10-08,19.43
2007-10-09,19.56
2007-10-10,19.57
2007-10-11,19.49
2007-10-12,19.58
2007-10-15,19.79
2007-10-16,19.28
2007-10-17,19.35
2007-10-18,19.78
2007-10-19,19.61
2007-10-22,19.74
2007-10-23,19.47
2007-10-24,19.46
2007-10-25,19.21
2007-10-26,19.46
2007-10-29,19.57
2007-10-30,19.76
2007-10-31,20.0
2007-11-01,19.5
2007-11-02,18.92
2007-11-05,18.46
2007-11-06,18.23
2007-11-07,20.68
2007-11-08,22.0
2007-11-09,22.15
2007-11-12,21.1
2007-11-13,21.65
2007-11-14,21.42
2007-11-15,22.18
2007-11-16,21.91
2007-11-19,21.96
2007-11-20,22.18
2007-11-21,21.44
2007-11-23,21.14
2007-11-26,20.84
2007-11-27,21.2
2007-11-28,22.07
2007-11-29,22.42
2007-11-30,22.77
2007-12-03,22.38
2007-12-04,22.93
2007-12-05,23.02
2007-12-06,23.48
2007-12-07,23.7
2007-12-10,23.94
2007-12-11,23.24
2007-12-12,23.96
2007-12-13,23.95
2007-12-14,23.72
2007-12-17,22.93
2007-12-18,22.93
2007-12-19,22.57
2007-12-20,22.71
2007-12-21,22.89
2007-12-24,22.89
2007-12-26,22.91
2007-12-27,22.68
2007-12-28,22.47
2007-12-31,22.43
2008-01-02,22.25
2008-01-03,22.64
2008-01-04,22.74
2008-01-07,22.82
2008-01-08,23.1
2008-01-09,23.05
2008-01-10,23.34
2008-01-11,23.52
2008-01-14,23.31
2008-01-15,22.87
2008-01-16,22.66
2008-01-17,22.26
2008-01-18,22.35
2008-01-22,21.78
2008-01-23,21.58
2008-01-24,22.39
2008-01-25,22.43
2008-01-28,21.97
2008-01-29,21.8
2008-01-30,21.13
2008-01-31,21.66
2008-02-01,22.52
2008-02-04,21.87
2008-02-05,21.96
2008-02-06,23.0
2008-02-07,21.51
2008-02-08,21.63
2008-02-11,21.55
2008-02-12,21.22
2008-02-13,21.2
2008-02-14,20.18
2008-02-15,20.05
2008-02-19,19.29
2008-02-20,19.46
2008-02-21,19.02
2008-02-22,19.6
2008-02-25,18.97
2008-02-26,20.5
2008-02-27,19.79
2008-02-28,19.93
2008-02-29,19.15
2008-03-03,19.86
2008-03-04,19.54
2008-03-05,19.69
2008-03-06,18.62
2008-03-07,19.03
2008-03-10,18.45
2008-03-11,18.65
2008-03-12,18.75
2008-03-13,18.5
2008-03-14,17.95
2008-03-17,17.08
2008-03-18,17.55
2008-03-19,17.45
2008-03-20,18.22
2008-03-24,17.93
2008-03-25,18.05
2008-03-26,18.04
2008-03-27,17.92
2008-03-28,17.72
2008-03-31,17.6
2008-04-01,18.5
2008-04-02,18.58
2008-04-03,18.62
2008-04-04,18.44
2008-04-07,18.32
2008-04-08,16.9
