Date,Close
2007-01-03,72.86
2007-01-04,72.2
2007-01-05,71.56
2007-01-08,71.72
2007-01-09,73.0
2007-01-10,73.02
2007-01-11,73.4
2007-01-12,73.36
2007-01-16,72.38
2007-01-17,72.41
2007-01-18,72.67
2007-01-19,73.12
2007-01-22,72.8
2007-01-23,72.48
2007-01-24,71.62
2007-01-25,71.72
2007-01-26,70.91
2007-01-29,72.14
2007-01-30,72.72
2007-01-31,73.35
2007-02-01,73.62
2007-02-02,72.64
2007-02-05,72.49
2007-02-06,72.64
2007-02-07,72.48
2007-02-08,72.22
2007-02-09,72.7
2007-02-12,72.48
2007-02-13,72.2
2007-02-14,72.2
2007-02-15,71.2
2007-02-16,72.4
2007-02-20,72.66
2007-02-21,71.74
2007-02-22,71.5
2007-02-23,71.24
2007-02-26,71.16
2007-02-27,69.58
2007-02-28,70.46
2007-03-01,71.08
2007-03-02,71.24
2007-03-05,71.24
2007-03-06,71.52
2007-03-07,71.88
2007-03-08,72.66
2007-03-09,72.92
2007-03-12,72.88
2007-03-13,72.06
2007-03-14,71.24
2007-03-15,71.0
2007-03-16,70.64
2007-03-19,71.98
2007-03-20,71.98
2007-03-21,72.88
2007-03-22,72.18
2007-03-23,72.01
2007-03-26,72.07
2007-03-27,72.1
2007-03-28,72.08
2007-03-29,72.07
2007-03-30,72.8
2007-04-02,72.06
2007-04-03,72.36
2007-04-04,72.58
2007-04-05,72.52
2007-04-09,72.7
2007-04-10,73.3
2007-04-11,73.08
2007-04-12,73.2
2007-04-13,73.2
2007-04-16,73.35
2007-04-17,73.34
2007-04-18,72.9
2007-04-19,72.66
2007-04-20,72.56
2007-04-23,72.72
2007-04-24,72.48
2007-04-25,72.4
2007-04-26,72.56
2007-04-27,72.59
2007-04-30,72.56
2007-05-01,72.12
2007-05-02,72.38
2007-05-03,72.36
2007-05-04,72.62
2007-05-07,73.58
2007-05-08,72.36
2007-05-09,72.74
2007-05-10,72.74
2007-05-11,73.36
2007-05-14,72.8
2007-05-15,72.66
2007-05-16,72.6
2007-05-17,72.26
2007-05-18,72.09
2007-05-21,72.62
2007-05-22,72.87
2007-05-23,72.78
2007-05-24,72.45
2007-05-25,73.2
2007-05-29,72.68
2007-05-30,72.56
2007-05-31,72.5
2007-06-01,72.7
2007-06-04,72.89
2007-06-05,72.38
2007-06-06,72.12
2007-06-07,72.54
2007-06-08,72.24
2007-06-11,72.63
2007-06-12,72.36
2007-06-13,72.5
2007-06-14,72.42
2007-06-15,72.44
2007-06-18,72.28
2007-06-19,72.57
2007-06-20,72.23
2007-06-21,71.88
2007-06-22,71.56
2007-06-25,71.06
2007-06-26,70.81
2007-06-27,71.2
2007-06-28,71.84
2007-06-29,72.1
2007-07-02,72.49
2007-07-03,72.74
2007-07-05,73.36
2007-07-06,74.1
2007-07-09,74.28
2007-07-10,74.08
2007-07-11,73.8
2007-07-12,73.55
2007-07-13,73.55
2007-07-16,73.08
2007-07-17,73.26
2007-07-18,72.98
2007-07-19,72.76
2007-07-20,72.85
2007-07-23,72.77
2007-07-24,72.72
2007-07-25,72.77
2007-07-26,71.91
2007-07-27,72.3
2007-07-30,71.98
2007-07-31,72.08
2007-08-01,71.99
2007-08-02,71.76
2007-08-03,71.98
2007-08-06,73.4
2007-08-07,73.84
2007-08-08,73.74
2007-08-09,72.86
2007-08-10,72.5
2007-08-13,72.78
2007-08-14,72.57
2007-08-15,73.1
2007-08-16,75.83
2007-08-17,78.96
2007-08-20,79.24
2007-08-21,79.65
2007-08-22,78.78
2007-08-23,78.9
2007-08-24,79.9
2007-08-27,79.31
2007-08-28,79.3
2007-08-29,79.0
2007-08-30,78.96
2007-08-31,77.8
2007-09-04,79.14
2007-09-05,79.58
2007-09-06,79.99
2007-09-07,79.59
2007-09-10,78.86
2007-09-11,78.97
2007-09-12,78.97
2007-09-13,79.14
2007-09-14,79.92
2007-09-17,78.95
2007-09-18,79.04
2007-09-19,78.0
2007-09-20,78.3
2007-09-21,77.8
2007-09-24,78.08
2007-09-25,77.89
2007-09-26,77.98
2007-09-27,78.27
2007-09-28,79.04
2007-10-01,79.18
2007-10-02,79.93
2007-10-03,79.64
2007-10-04,79.4
2007-10-05,80.58
2007-10-08,82.2
2007-10-09,81.78
2007-10-10,83.2
2007-10-11,83.9
2007-10-12,84.68
2007-10-15,84.16
2007-10-16,84.64
2007-10-17,86.7
2007-10-18,86.0
2007-10-19,84.86
2007-10-22,84.26
2007-10-23,85.12
2007-10-24,84.94
2007-10-25,85.05
2007-10-26,84.66
2007-10-29,85.46
2007-10-30,85.8
2007-10-31,88.28
2007-11-01,87.54
2007-11-02,88.04
2007-11-05,88.74
2007-11-06,89.47
2007-11-07,90.06
2007-11-08,89.7
2007-11-09,88.66
2007-11-12,89.38
2007-11-13,90.48
2007-11-14,91.4
2007-11-15,90.11
2007-11-16,90.88
2007-11-19,91.3
2007-11-20,91.03
2007-11-21,89.43
2007-11-23,89.5
2007-11-26,91.26
2007-11-27,91.54
2007-11-28,91.5
2007-11-29,92.76
2007-11-30,93.8
2007-12-03,95.0
2007-12-04,96.45
2007-12-05,98.1
2007-12-06,99.02
2007-12-07,99.0
2007-12-10,99.7
2007-12-11,98.44
2007-12-12,96.18
2007-12-13,94.7
2007-12-14,95.08
2007-12-17,90.5
2007-12-18,90.2
2007-12-19,89.56
2007-12-20,88.82
2007-12-21,89.5
2007-12-24,90.8
2007-12-26,91.4
2007-12-27,91.46
2007-12-28,93.7
2007-12-31,94.72
2008-01-02,92.1
2008-01-03,93.0
2008-01-04,91.0
2008-01-07,88.76
2008-01-08,88.3
2008-01-09,86.3
