Date,Close
2007-01-03,16.91
2007-01-04,17.06
2007-01-05,17.1
2007-01-08,17.81
2007-01-09,17.6
2007-01-10,17.83
2007-01-11,18.04
2007-01-12,18.21
2007-01-16,18.12
2007-01-17,18.2
2007-01-18,18.09
2007-01-19,18.19
2007-01-22,18.07
2007-01-23,17.7
2007-01-24,17.69
2007-01-25,17.64
2007-01-26,17.47
2007-01-29,17.97
2007-01-30,18.59
2007-01-31,18.45
2007-02-01,18.33
2007-02-02,18.26
2007-02-05,18.08
2007-02-06,17.5
2007-02-07,17.36
2007-02-08,17.49
2007-02-09,17.37
2007-02-12,17.04
2007-02-13,17.12
2007-02-14,17.21
2007-02-15,17.06
2007-02-16,17.01
2007-02-20,16.96
2007-02-21,17.04
2007-02-22,17.1
2007-02-23,17.12
2007-02-26,16.79
2007-02-27,16.01
2007-02-28,16.31
2007-03-01,16.21
2007-03-02,15.99
2007-03-05,15.51
2007-03-06,15.7
2007-03-07,15.95
2007-03-08,15.47
2007-03-09,15.77
2007-03-12,15.16
2007-03-13,15.08
2007-03-14,15.24
2007-03-15,14.98
2007-03-16,14.83
2007-03-19,15.05
2007-03-20,15.12
2007-03-21,15.38
2007-03-22,15.59
2007-03-23,15.22
2007-03-26,14.22
2007-03-27,14.31
2007-03-28,14.38
2007-03-29,14.54
2007-03-30,14.54
2007-04-02,14.59
2007-04-03,14.79
2007-04-04,14.85
2007-04-05,14.97
2007-04-09,14.94
2007-04-10,15.0
2007-04-11,15.3
2007-04-12,15.35
2007-04-13,15.01
2007-04-16,16.0
2007-04-17,16.1
2007-04-18,15.73
2007-04-19,15.62
2007-04-20,15.98
2007-04-23,16.09
2007-04-24,15.84
2007-04-25,15.81
2007-04-26,15.89
2007-04-27,15.72
2007-04-30,15.44
2007-05-01,16.05
2007-05-02,16.33
2007-05-03,16.29
2007-05-04,16.16
2007-05-07,16.67
2007-05-08,16.58
2007-05-09,16.24
2007-05-10,15.96
2007-05-11,15.85
2007-05-14,15.59
2007-05-15,15.59
2007-05-16,15.81
2007-05-17,15.45
2007-05-18,15.44
2007-05-21,15.53
2007-05-22,15.61
2007-05-23,15.71
2007-05-24,15.77
2007-05-25,15.75
2007-05-29,15.61
2007-05-30,15.43
2007-05-31,15.67
2007-06-01,15.69
2007-06-04,15.98
2007-06-05,15.91
2007-06-06,16.09
2007-06-07,15.97
2007-06-08,16.15
2007-06-11,16.17
2007-06-12,16.05
2007-06-13,16.14
2007-06-14,16.49
2007-06-15,16.38
2007-06-18,16.35
2007-06-19,16.32
2007-06-20,16.01
2007-06-21,16.01
2007-06-22,15.78
2007-06-25,15.48
2007-06-26,15.47
2007-06-27,15.46
2007-06-28,15.5
2007-06-29,15.34
2007-07-02,15.48
2007-07-03,15.68
2007-07-05,15.57
2007-07-06,15.51
2007-07-09,15.72
2007-07-10,15.32
2007-07-11,15.47
2007-07-12,15.46
2007-07-13,15.41
2007-07-16,15.5
2007-07-17,15.38
2007-07-18,15.12
2007-07-19,15.17
2007-07-20,14.79
2007-07-23,14.7
2007-07-24,14.37
2007-07-25,14.07
2007-07-26,13.64
2007-07-27,13.36
2007-07-30,13.3
2007-07-31,13.15
2007-08-01,13.19
2007-08-02,13.43
2007-08-03,13.09
2007-08-06,12.91
2007-08-07,12.93
2007-08-08,13.2
2007-08-09,13.76
2007-08-10,13.08
2007-08-13,13.04
2007-08-14,13.03
2007-08-15,12.91
2007-08-16,12.74
2007-08-17,12.52
2007-08-20,12.23
2007-08-21,12.16
2007-08-22,12.47
2007-08-23,12.71
2007-08-24,12.69
2007-08-27,12.65
2007-08-28,12.57
2007-08-29,12.85
2007-08-30,12.69
2007-08-31,12.83
2007-09-04,13.2
2007-09-05,13.1
2007-09-06,13.23
2007-09-07,13.21
2007-09-10,13.17
2007-09-11,13.49
2007-09-12,13.14
2007-09-13,13.17
2007-09-14,13.5
2007-09-17,13.43
2007-09-18,13.51
2007-09-19,13.68
2007-09-20,13.7
2007-09-21,13.75
2007-09-24,14.11
2007-09-25,14.2
2007-09-26,14.2
2007-09-27,13.92
2007-09-28,13.95
2007-10-01,14.12
2007-10-02,13.88
2007-10-03,13.91
2007-10-04,13.92
2007-10-05,14.26
2007-10-08,14.19
2007-10-09,14.65
2007-10-10,14.64
2007-10-11,15.01
2007-10-12,15.02
2007-10-15,15.03
2007-10-16,14.3
2007-10-17,14.14
2007-10-18,13.85
2007-10-19,14.42
2007-10-22,14.3
2007-10-23,14.55
2007-10-24,14.04
2007-10-25,13.8
2007-10-26,13.76
2007-10-29,13.7
2007-10-30,13.93
2007-10-31,13.87
2007-11-01,13.3
2007-11-02,13.24
2007-11-05,13.2
2007-11-06,13.12
2007-11-07,12.52
2007-11-08,12.49
2007-11-09,12.66
2007-11-12,12.66
2007-11-13,12.94
2007-11-14,12.75
2007-11-15,12.53
2007-11-16,12.1
2007-11-19,12.21
2007-11-20,12.38
2007-11-21,12.42
2007-11-23,12.51
2007-11-26,12.24
2007-11-27,12.69
2007-11-28,12.73
2007-11-29,12.55
2007-11-30,12.63
2007-12-03,13.0
2007-12-04,12.63
2007-12-05,12.95
2007-12-06,12.99
2007-12-07,12.73
2007-12-10,13.04
2007-12-11,12.7
2007-12-12,12.63
2007-12-13,12.22
2007-12-14,11.95
2007-12-17,11.47
2007-12-18,11.67
2007-12-19,11.51
2007-12-20,11.59
2007-12-21,11.83
2007-12-24,11.47
2007-12-26,11.86
2007-12-27,11.71
2007-12-28,11.72
2007-12-31,11.63
2008-01-02,11.41
2008-01-03,11.39
2008-01-04,11.31
2008-01-07,11.53
2008-01-08,10.98
2008-01-09,10.98
2008-01-10,11.7
2008-01-11,11.74
2008-01-14,11.93
2008-01-15,11.51
2008-01-16,12.05
2008-01-17,12.35
2008-01-18,12.13
2008-01-22,12.13
2008-01-23,12.09
2008-01-24,11.96
2008-01-25,11.84
2008-01-28,11.85
2008-01-29,11.96
2008-01-30,11.95
2008-01-31,12.15
2008-02-01,12.37
2008-02-04,12.85
2008-02-05,12.77
2008-02-06,12.63
2008-02-07,12.24
2008-02-08,12.33
2008-02-11,12.41
2008-02-12,12.52
2008-02-13,12.59
2008-02-14,12.57
2008-02-15,12.81
2008-02-19,12.75
2008-02-20,12.61
2008-02-21,12.43
2008-02-22,12.31
2008-02-25,13.05
2008-02-26,13.21
2008-02-27,13.0
2008-02-28,12.72
2008-02-29,12.59
2008-03-03,12.65
2008-03-04,12.75
2008-03-05,12.79
2008-03-06,12.68
2008-03-07,12.35
2008-03-10,12.33
2008-03-11,12.56
2008-03-12,12.75
2008-03-13,12.86
2008-03-14,12.63
2008-03-17,12.2
2008-03-18,12.6
2008-03-19,12.54
2008-03-20,12.43
2008-03-24,12.85
2008-03-25,12.97
2008-03-26,12.74
2008-03-27,12.83
2008-03-28,12.61
2008-03-31,12.87
2008-04-01,13.6
2008-04-02,13.59
2008-04-03,13.52
2008-04-04,14.11
2008-04-07,13.74
2008-04-08,13.63
2008-04-09,13.46
2008-04-10,13.27
2008-04-11,12.88
2008-04-14,12.76
2008-04-15,12.48
2008-04-16,12.58
2008-04-17,12.48
2008-04-18,12.65
2008-04-21,13.03
2008-04-22,12.9
2008-04-23,12.64
2008-04-24,12.6
2008-04-25,12.77
2008-04-28,12.94
2008-04-29,13.28
2008-04-30,13.33
2008-05-01,13.56
2008-05-02,13.42
2008-05-05,13.29
2008-05-06,13.73
2008-05-07,13.42
2008-05-08,13.68
2008-05-09,13.42
2008-05-12,13.41
2008-05-13,13.01
2008-05-14,13.29
2008-05-15,13.43
2008-05-16,13.4
2008-05-19,13.38
2008-05-20,13.55
2008-05-21,13.47
2008-05-22,13.5
2008-05-23,13.12
