Date,Close
2007-01-03,14.89
2007-01-04,14.81
2007-01-05,14.65
2007-01-08,14.68
2007-01-09,14.72
2007-01-10,14.75
2007-01-11,16.32
2007-01-12,16.05
2007-01-16,16.22
2007-01-17,16.24
2007-01-18,16.18
2007-01-19,16.35
2007-01-22,16.62
2007-01-23,16.7
2007-01-24,17.19
2007-01-25,16.97
2007-01-26,16.84
2007-01-29,17.02
2007-01-30,16.99
2007-01-31,17.14
2007-02-01,17.44
2007-02-02,17.32
2007-02-05,17.43
2007-02-06,17.5
2007-02-07,17.5
2007-02-08,18.6
2007-02-09,18.74
2007-02-12,18.6
2007-02-13,18.78
2007-02-14,18.9
2007-02-15,19.15
2007-02-16,19.16
2007-02-20,19.4
2007-02-21,19.42
2007-02-22,19.29
2007-02-23,19.52
2007-02-26,19.23
2007-02-27,18.47
2007-02-28,18.41
2007-03-01,18.44
2007-03-02,18.24
2007-03-05,18.19
2007-03-06,18.47
2007-03-07,18.54
2007-03-08,18.75
2007-03-09,18.67
2007-03-12,18.75
2007-03-13,18.25
2007-03-14,18.22
2007-03-15,18.33
2007-03-16,18.28
2007-03-19,18.62
2007-03-20,18.95
2007-03-21,19.16
2007-03-22,19.14
2007-03-23,19.13
2007-03-26,19.24
2007-03-27,19.11
2007-03-28,18.94
2007-03-29,18.85
2007-03-30,18.85
2007-04-02,18.91
2007-04-03,19.02
2007-04-04,18.84
2007-04-05,18.91
2007-04-09,19.06
2007-04-10,19.22
2007-04-11,18.56
2007-04-12,18.56
2007-04-13,18.52
2007-04-16,18.85
2007-04-17,18.84
2007-04-18,18.72
2007-04-19,18.72
2007-04-20,18.76
2007-04-23,18.91
2007-04-24,18.92
2007-04-25,19.26
2007-04-26,20.08
2007-04-27,19.79
2007-04-30,19.48
2007-05-01,19.41
2007-05-02,19.92
2007-05-03,19.89
2007-05-04,20.01
2007-05-07,19.83
2007-05-08,19.95
2007-05-09,20.07
2007-05-10,19.8
2007-05-11,19.99
2007-05-14,20.18
2007-05-15,20.33
2007-05-16,20.52
2007-05-17,20.82
2007-05-18,20.69
2007-05-21,20.91
2007-05-22,20.74
2007-05-23,20.72
2007-05-24,20.58
2007-05-25,20.57
2007-05-29,20.46
2007-05-30,20.61
2007-05-31,21.04
2007-06-01,20.91
2007-06-04,21.0
2007-06-05,21.0
2007-06-06,20.76
2007-06-07,20.5
2007-06-08,20.67
2007-06-11,20.62
2007-06-12,20.5
2007-06-13,20.91
2007-06-14,20.84
2007-06-15,20.84
2007-06-18,21.04
2007-06-19,21.18
2007-06-20,20.92
2007-06-21,21.26
2007-06-22,21.19
2007-06-25,20.85
2007-06-26,20.73
2007-06-27,20.84
2007-06-28,21.29
2007-06-29,21.51
2007-07-02,21.97
2007-07-03,22.02
2007-07-05,22.0
2007-07-06,22.17
2007-07-09,22.58
2007-07-10,22.5
2007-07-11,22.61
2007-07-12,23.09
2007-07-13,23.11
2007-07-16,23.56
2007-07-17,23.25
2007-07-18,23.24
2007-07-19,23.12
2007-07-20,22.8
2007-07-23,22.7
2007-07-24,22.4
2007-07-25,22.19
2007-07-26,21.55
2007-07-27,21.17
2007-07-30,21.68
2007-07-31,21.61
2007-08-01,21.91
2007-08-02,22.13
2007-08-03,21.93
2007-08-06,21.9
2007-08-07,22.58
2007-08-08,23.2
2007-08-09,23.35
2007-08-10,22.68
2007-08-13,22.35
2007-08-14,21.43
2007-08-15,20.67
2007-08-16,19.32
2007-08-17,19.38
2007-08-20,20.64
2007-08-21,20.48
2007-08-22,21.05
2007-08-23,20.6
2007-08-24,20.71
2007-08-27,20.55
2007-08-28,20.14
2007-08-29,20.91
2007-08-30,20.8
2007-08-31,21.12
2007-09-04,21.09
2007-09-05,21.1
2007-09-06,20.67
2007-09-07,20.58
2007-09-10,20.59
2007-09-11,20.83
2007-09-12,20.8
2007-09-13,21.06
2007-09-14,21.21
2007-09-17,21.12
2007-09-18,21.6
2007-09-19,21.86
2007-09-20,21.35
2007-09-21,21.39
2007-09-24,21.5
2007-09-25,21.55
2007-09-26,22.55
2007-09-27,22.98
2007-09-28,22.88
2007-10-01,23.75
2007-10-02,24.03
2007-10-03,23.8
2007-10-04,23.66
2007-10-05,24.21
2007-10-08,24.21
2007-10-09,24.5
2007-10-10,24.39
2007-10-11,24.06
2007-10-12,23.56
2007-10-15,23.5
2007-10-16,23.42
2007-10-17,23.6
2007-10-18,23.81
2007-10-19,23.68
2007-10-22,23.41
2007-10-23,23.92
2007-10-24,23.87
2007-10-25,23.66
2007-10-26,24.49
2007-10-29,25.73
2007-10-30,25.46
2007-10-31,26.43
2007-11-01,26.18
2007-11-02,25.92
2007-11-05,25.88
2007-11-06,25.95
2007-11-07,25.2
2007-11-08,25.39
2007-11-09,24.58
