Date,Close
2010-06-15,32.49
2010-06-16,32.07
2010-06-17,31.5
2010-06-18,31.01
2010-06-21,32.04
2010-06-22,32.69
2010-06-23,33.48
2010-06-24,33.29
2010-06-25,32.07
2010-06-28,32.78
2010-06-29,31.76
2010-06-30,32.55
2010-07-01,30.31
2010-07-02,30.86
2010-07-06,29.8
2010-07-07,29.23
2010-07-08,29.01
2010-07-09,28.97
2010-07-12,26.8
2010-07-13,27.85
2010-07-14,27.34
2010-07-15,26.5
2010-07-16,26.45
2010-07-19,26.49
2010-07-20,26.08
2010-07-21,26.61
2010-07-22,27.03
2010-07-23,27.15
2010-07-26,26.5
2010-07-27,27.19
2010-07-28,27.15
2010-07-29,26.67
2010-07-30,26.6
2010-08-02,27.54
2010-08-03,27.25
2010-08-04,26.71
2010-08-05,24.8
2010-08-06,23.8
2010-08-09,23.97
2010-08-10,23.0
2010-08-11,22.95
2010-08-12,23.31
2010-08-13,23.0
2010-08-16,22.79
2010-08-17,23.12
2010-08-18,23.11
2010-08-19,23.0
2010-08-20,22.87
2010-08-23,23.0
2010-08-24,21.79
2010-08-25,21.67
2010-08-26,21.28
2010-08-27,20.87
2010-08-30,20.62
2010-08-31,20.91
2010-09-01,21.62
2010-09-02,21.67
2010-09-03,22.17
2010-09-07,22.23
2010-09-08,22.05
2010-09-09,21.8
2010-09-10,21.94
2010-09-13,21.83
2010-09-14,22.17
2010-09-15,22.34
2010-09-16,22.3
2010-09-17,22.46
2010-09-20,21.86
2010-09-21,21.52
2010-09-22,21.33
2010-09-23,20.58
2010-09-24,20.61
2010-09-27,21.07
2010-09-28,21.31
2010-09-29,20.78
2010-09-30,20.2
2010-10-01,20.6
2010-10-04,20.39
2010-10-05,20.83
2010-10-06,20.83
2010-10-07,20.6
2010-10-08,20.85
2010-10-11,21.06
2010-10-12,22.23
2010-10-13,22.21
2010-10-14,22.63
2010-10-15,22.48
2010-10-18,23.2
2010-10-19,23.13
2010-10-20,23.73
2010-10-21,23.91
2010-10-22,24.54
2010-10-25,24.37
2010-10-26,24.23
2010-10-27,24.17
2010-10-28,24.0
2010-10-29,24.01
2010-11-01,23.59
2010-11-02,24.11
2010-11-03,24.0
2010-11-04,24.01
2010-11-05,24.65
2010-11-08,24.87
2010-11-09,24.92
2010-11-10,24.84
2010-11-11,24.71
2010-11-12,24.15
2010-11-15,24.34
2010-11-16,24.6
2010-11-17,24.4
2010-11-18,24.71
2010-11-19,25.02
2010-11-22,24.8
2010-11-23,24.69
2010-11-24,23.88
2010-11-26,23.5
2010-11-29,23.63
2010-11-30,23.79
2010-12-01,23.91
2010-12-02,24.34
2010-12-03,24.4
2010-12-06,24.82
2010-12-07,24.79
2010-12-08,24.23
2010-12-09,23.53
2010-12-10,22.97
2010-12-13,23.01
2010-12-14,22.95
2010-12-15,22.86
2010-12-16,22.04
2010-12-17,22.11
2010-12-20,22.2
2010-12-21,22.2
2010-12-22,22.1
2010-12-23,22.42
2010-12-27,22.43
2010-12-28,23.04
2010-12-29,22.69
2010-12-30,22.73
2010-12-31,22.86
2011-01-03,23.75
2011-01-04,23.82
2011-01-05,23.75
2011-01-06,23.6
2011-01-07,23.81
2011-01-10,24.26
2011-01-11,23.98
2011-01-12,23.94
2011-01-13,23.54
2011-01-14,23.8
2011-01-18,23.59
2011-01-19,23.2
2011-01-20,23.0
2011-01-21,23.2
2011-01-24,23.1
2011-01-25,22.94
2011-01-26,23.19
2011-01-27,23.15
2011-01-28,22.97
2011-01-31,23.01
2011-02-01,22.95
2011-02-02,23.25
2011-02-03,23.78
2011-02-04,23.98
2011-02-07,24.3
2011-02-08,24.47
2011-02-09,25.51
2011-02-10,26.87
2011-02-11,26.32
2011-02-14,27.84
2011-02-15,26.21
2011-02-16,26.32
2011-02-17,27.31
2011-02-18,27.11
2011-02-22,25.97
2011-02-23,26.39
2011-02-24,27.52
2011-02-25,29.43
2011-02-28,29.59
2011-03-01,27.87
2011-03-02,27.59
2011-03-03,28.12
2011-03-04,27.93
2011-03-07,28.38
2011-03-08,28.44
2011-03-09,28.39
2011-03-10,26.95
2011-03-11,27.77
2011-03-14,27.95
2011-03-15,27.56
2011-03-16,27.7
2011-03-17,27.82
2011-03-18,27.78
2011-03-21,28.14
2011-03-22,28.75
2011-03-23,28.99
2011-03-24,29.25
2011-03-25,29.09
2011-03-28,28.67
2011-03-29,28.69
2011-03-30,29.01
2011-03-31,28.97
2011-04-01,27.51
2011-04-04,27.7
2011-04-05,27.57
2011-04-06,26.97
2011-04-07,27.01
2011-04-08,26.88
2011-04-11,26.89
2011-04-12,26.78
2011-04-13,26.85
2011-04-14,27.02
2011-04-15,27.17
2011-04-18,26.92
2011-04-19,26.67
2011-04-20,26.85
2011-04-21,27.1
2011-04-25,26.82
2011-04-26,26.86
2011-04-27,27.19
2011-04-28,27.35
2011-04-29,26.82
2011-05-02,26.82
2011-05-03,26.8
2011-05-04,26.28
2011-05-05,26.33
2011-05-06,26.33
2011-05-09,26.82
2011-05-10,26.96
2011-05-11,27.03
2011-05-12,27.16
2011-05-13,26.94
2011-05-16,27.64
2011-05-17,28.04
2011-05-18,27.86
2011-05-19,28.05
2011-05-20,28.17
2011-05-23,27.93
2011-05-24,26.64
2011-05-25,25.91
2011-05-26,25.71
2011-05-27,25.87
2011-05-31,26.32
2011-06-01,25.17
2011-06-02,25.47
2011-06-03,25.53
2011-06-06,24.57
2011-06-07,24.36
2011-06-08,23.75
2011-06-09,24.46
2011-06-10,24.26
2011-06-13,24.36
2011-06-14,24.2
2011-06-15,23.77
2011-06-16,23.4
2011-06-17,23.79
2011-06-20,23.77
2011-06-21,24.29
2011-06-22,24.37
2011-06-23,24.11
2011-06-24,24.1
2011-06-27,23.72
2011-06-28,24.12
2011-06-29,24.39
2011-06-30,24.6
2011-07-01,24.72
2011-07-05,24.77
2011-07-06,24.81
2011-07-07,24.94
2011-07-08,24.66
2011-07-11,23.79
2011-07-12,23.97
2011-07-13,23.71
2011-07-14,23.42
2011-07-15,23.05
2011-07-18,22.86
2011-07-19,23.04
2011-07-20,23.36
2011-07-21,23.69
2011-07-22,23.2
2011-07-25,23.79
2011-07-26,23.73
2011-07-27,23.21
2011-07-28,23.07
2011-07-29,23.04
2011-08-01,22.83
2011-08-02,22.52
2011-08-03,22.88
2011-08-04,21.78
2011-08-05,22.78
2011-08-08,21.67
2011-08-09,23.32
2011-08-10,22.28
2011-08-11,23.9
2011-08-12,23.6
2011-08-15,24.19
2011-08-16,23.96
2011-08-17,23.78
2011-08-18,22.88
2011-08-19,23.2
2011-08-22,22.62
2011-08-23,23.04
2011-08-24,23.8
2011-08-25,23.31
2011-08-26,24.51
2011-08-29,24.99
2011-08-30,24.96
2011-08-31,25.25
2011-09-01,24.73
2011-09-02,24.03
2011-09-06,24.19
2011-09-07,25.87
2011-09-08,25.58
2011-09-09,25.67
2011-09-12,26.3
2011-09-13,26.82
2011-09-14,26.82
2011-09-15,26.34
2011-09-16,27.28
2011-09-19,27.24
2011-09-20,27.09
2011-09-21,26.38
2011-09-22,26.97
2011-09-23,26.6
2011-09-26,27.01
2011-09-27,27.16
2011-09-28,26.35
2011-09-29,25.72
2011-09-30,24.47
2011-10-03,24.05
2011-10-04,24.3
2011-10-05,25.14
2011-10-06,24.81
2011-10-07,24.48
2011-10-10,25.5
2011-10-11,25.89
2011-10-12,26.19
2011-10-13,25.97
2011-10-14,25.69
2011-10-17,25.65
2011-10-18,25.73
2011-10-19,25.47
2011-10-20,25.67
2011-10-21,25.57
2011-10-24,26.07
2011-10-25,24.99
2011-10-26,25.76
2011-10-27,26.15
2011-10-28,26.2
2011-10-31,26.13
2011-11-01,25.33
2011-11-02,25.2
2011-11-03,25.89
2011-11-04,27.17
2011-11-07,27.69
2011-11-08,26.82
2011-11-09,26.5
2011-11-10,26.8
2011-11-11,27.04
2011-11-14,26.6
2011-11-15,26.9
2011-11-16,26.62
2011-11-17,26.11
2011-11-18,26.34
2011-11-21,25.74
2011-11-22,25.97
2011-11-23,25.41
2011-11-25,25.75
2011-11-28,26.34
2011-11-29,26.35
2011-11-30,26.92
2011-12-01,27.02
2011-12-02,26.57
2011-12-05,26.6
2011-12-06,26.24
2011-12-07,26.26
2011-12-08,26.24
2011-12-09,26.6
2011-12-12,26.12
2011-12-13,25.63
2011-12-14,25.3
2011-12-15,25.63
2011-12-16,25.97
2011-12-19,25.77
2011-12-20,26.25
2011-12-21,26.25
2011-12-22,25.44
2011-12-23,26.23
2011-12-27,26.17
2011-12-28,25.99
2011-12-29,25.82
2011-12-30,25.86
2012-01-03,25.97
2012-01-04,25.58
2012-01-05,25.35
2012-01-06,25.07
2012-01-09,25.02
2012-01-10,25.1
2012-01-11,25.32
2012-01-12,25.3
2012-01-13,25.7
2012-01-17,25.39
2012-01-18,25.43
2012-01-19,25.67
2012-01-20,25.63
2012-01-23,25.77
2012-01-24,25.64
2012-01-25,25.53
2012-01-26,25.62
2012-01-27,25.58
2012-01-30,25.52
2012-01-31,25.59
2012-02-01,25.71
2012-02-02,26.23
2012-02-03,26.54
2012-02-06,26.6
2012-02-07,26.73
2012-02-08,26.3
2012-02-09,26.47
2012-02-10,28.07
2012-02-13,27.8
2012-02-14,27.35
2012-02-15,27.34
2012-02-16,27.56
2012-02-17,27.5
2012-02-21,27.28
2012-02-22,27.36
2012-02-23,27.9
2012-02-24,27.65
2012-02-27,27.8
2012-02-28,27.9
2012-02-29,27.57
2012-03-01,27.88
2012-03-02,27.62
2012-03-05,27.56
2012-03-06,27.04
2012-03-07,27.17
2012-03-08,27.36
2012-03-09,27.37
2012-03-12,27.61
2012-03-13,27.65
2012-03-14,27.91
2012-03-15,28.02
2012-03-16,28.02
2012-03-19,28.28
2012-03-20,28.6
2012-03-21,29.01
2012-03-22,29.02
2012-03-23,29.51
2012-03-26,29.56
2012-03-27,28.72
2012-03-28,28.85
2012-03-29,28.57
2012-03-30,28.42
2012-04-02,28.13
2012-04-03,28.14
2012-04-04,27.97
2012-04-05,27.71
2012-04-09,27.39
2012-04-10,27.0
2012-04-11,26.9
2012-04-12,26.98
2012-04-13,26.63
2012-04-16,26.62
2012-04-17,26.63
2012-04-18,26.45
2012-04-19,26.39
2012-04-20,26.29
2012-04-23,26.1
2012-04-24,26.09
2012-04-25,26.38
2012-04-26,26.69
2012-04-27,26.76
2012-04-30,26.44
2012-05-01,26.64
2012-05-02,25.91
2012-05-03,26.04
2012-05-04,25.88
2012-05-07,25.4
2012-05-08,25.33
2012-05-09,25.48
2012-05-10,25.33
2012-05-11,25.3
2012-05-14,25.0
2012-05-15,25.31
2012-05-16,24.96
2012-05-17,24.56
2012-05-18,24.92
2012-05-21,24.96
2012-05-22,25.06
2012-05-23,25.19
2012-05-24,25.39
2012-05-25,25.24
2012-05-29,25.63
2012-05-30,25.04
2012-05-31,25.25
2012-06-01,25.1
2012-06-04,25.43
2012-06-05,25.9
2012-06-06,26.59
2012-06-07,26.6
2012-06-08,26.7
2012-06-11,26.69
2012-06-12,26.94
2012-06-13,26.93
2012-06-14,27.33
2012-06-15,27.24
2012-06-18,27.98
2012-06-19,27.74
2012-06-20,27.56
