Date,Close
2007-01-03,33.65
2007-01-04,33.34
2007-01-05,33.1
2007-01-08,33.22
2007-01-09,33.97
2007-01-10,34.25
2007-01-11,34.94
2007-01-12,34.16
2007-01-16,35.91
2007-01-17,35.7
2007-01-18,35.28
2007-01-19,35.03
2007-01-22,35.4
2007-01-23,36.04
2007-01-24,37.11
2007-01-25,35.38
2007-01-26,35.63
2007-01-29,37.01
2007-01-30,36.75
2007-01-31,37.61
2007-02-01,37.73
2007-02-02,38.69
2007-02-05,38.42
2007-02-06,38.48
2007-02-07,38.37
2007-02-08,38.43
2007-02-09,36.66
2007-02-12,35.51
2007-02-13,36.0
2007-02-14,37.34
2007-02-15,37.25
2007-02-16,37.0
2007-02-20,37.02
2007-02-21,37.07
2007-02-22,36.31
2007-02-23,36.17
2007-02-26,35.31
2007-02-27,33.47
2007-02-28,33.31
2007-03-01,33.68
2007-03-02,32.56
2007-03-05,31.46
2007-03-06,32.49
2007-03-07,32.28
2007-03-08,33.61
2007-03-09,33.93
2007-03-12,33.65
2007-03-13,31.97
2007-03-14,32.21
2007-03-15,32.88
2007-03-16,33.52
2007-03-19,34.54
2007-03-20,34.87
2007-03-21,36.06
2007-03-22,35.67
2007-03-23,36.05
2007-03-26,35.57
2007-03-27,34.73
2007-03-28,34.39
2007-03-29,34.13
2007-03-30,34.18
2007-04-02,34.03
2007-04-03,34.75
2007-04-04,34.6
2007-04-05,34.48
2007-04-09,34.09
2007-04-10,33.76
2007-04-11,33.55
2007-04-12,33.91
2007-04-13,33.42
2007-04-16,33.71
2007-04-17,35.68
2007-04-18,36.51
2007-04-19,35.62
2007-04-20,36.19
2007-04-23,35.28
2007-04-24,35.48
2007-04-25,35.68
2007-04-26,35.52
2007-04-27,35.34
2007-04-30,33.85
2007-05-01,33.65
2007-05-02,38.39
2007-05-03,37.83
2007-05-04,37.43
2007-05-07,37.31
2007-05-08,37.58
2007-05-09,37.59
2007-05-10,37.04
2007-05-11,37.46
2007-05-14,37.17
2007-05-15,36.11
2007-05-16,36.05
2007-05-17,36.81
2007-05-18,37.33
2007-05-21,37.7
2007-05-22,37.71
2007-05-23,37.37
2007-05-24,36.37
2007-05-25,36.05
2007-05-29,36.08
2007-05-30,37.35
2007-05-31,37.22
2007-06-01,36.78
2007-06-04,37.11
2007-06-05,36.72
2007-06-06,36.67
2007-06-07,36.16
2007-06-08,36.62
2007-06-11,36.6
2007-06-12,36.34
2007-06-13,37.51
2007-06-14,37.77
2007-06-15,39.4
2007-06-18,39.29
2007-06-19,38.65
2007-06-20,38.07
2007-06-21,38.76
2007-06-22,37.76
2007-06-25,36.78
2007-06-26,36.24
2007-06-27,36.76
2007-06-28,37.0
2007-06-29,36.5
2007-07-02,37.43
2007-07-03,36.93
2007-07-05,38.2
2007-07-06,39.55
2007-07-09,38.53
2007-07-10,37.29
2007-07-11,38.85
2007-07-12,39.87
2007-07-13,41.13
2007-07-16,40.96
2007-07-17,40.87
2007-07-18,40.43
2007-07-19,41.44
2007-07-20,39.75
2007-07-23,39.25
2007-07-24,37.36
2007-07-25,37.78
2007-07-26,35.22
2007-07-27,34.5
2007-07-30,35.4
2007-07-31,34.92
2007-08-01,34.27
2007-08-02,34.4
2007-08-03,31.26
2007-08-06,32.1
2007-08-07,31.77
2007-08-08,30.77
2007-08-09,29.51
2007-08-10,29.86
2007-08-13,31.0
2007-08-14,28.0
2007-08-15,27.01
2007-08-16,29.1
2007-08-17,28.3
2007-08-20,28.45
2007-08-21,30.1
2007-08-22,31.01
2007-08-23,31.35
2007-08-24,30.76
2007-08-27,30.09
2007-08-28,28.72
2007-08-29,28.91
2007-08-30,28.12
2007-08-31,29.52
2007-09-04,29.99
2007-09-05,27.19
2007-09-06,27.65
2007-09-07,25.5
2007-09-10,24.08
2007-09-11,24.6
2007-09-12,24.62
2007-09-13,25.52
2007-09-14,25.26
2007-09-17,25.18
2007-09-18,27.16
2007-09-19,28.17
2007-09-20,28.16
2007-09-21,29.01
2007-09-24,28.58
2007-09-25,27.87
2007-09-26,27.94
2007-09-27,28.58
2007-09-28,27.84
2007-10-01,28.07
2007-10-02,27.97
2007-10-03,28.23
2007-10-04,27.7
2007-10-05,28.62
2007-10-08,27.51
2007-10-09,27.15
2007-10-10,26.95
2007-10-11,26.06
2007-10-12,26.44
2007-10-15,25.62
2007-10-16,24.91
2007-10-17,25.14
2007-10-18,24.34
2007-10-19,23.8
2007-10-22,24.34
2007-10-23,25.49
2007-10-24,25.2
2007-10-25,24.77
2007-10-26,25.86
2007-10-29,26.74
2007-10-30,24.52
2007-10-31,24.38
2007-11-01,23.14
2007-11-02,22.42
2007-11-05,21.09
2007-11-06,21.82
2007-11-07,20.5
2007-11-08,20.77
2007-11-09,20.13
2007-11-12,20.16
2007-11-13,19.97
2007-11-14,19.38
2007-11-15,19.28
2007-11-16,19.59
2007-11-19,18.75
2007-11-20,18.45
2007-11-21,18.38
2007-11-23,19.8
2007-11-26,20.05
2007-11-27,21.12
2007-11-28,24.29
2007-11-29,23.26
2007-11-30,23.75
2007-12-03,23.6
2007-12-04,22.2
2007-12-05,22.97
2007-12-06,23.76
2007-12-07,23.89
2007-12-10,24.37
2007-12-11,23.21
2007-12-12,23.2
2007-12-13,23.0
2007-12-14,21.66
2007-12-17,21.64
2007-12-18,21.55
2007-12-19,22.3
2007-12-20,21.58
2007-12-21,22.21
2007-12-24,22.64
2007-12-26,21.75
2007-12-27,21.39
2007-12-28,21.36
2007-12-31,21.55
2008-01-02,21.38
2008-01-03,20.89
2008-01-04,19.4
2008-01-07,18.77
2008-01-08,18.4
2008-01-09,17.73
2008-01-10,17.51
2008-01-11,17.91
2008-01-14,17.87
2008-01-15,17.21
2008-01-16,17.29
2008-01-17,16.13
2008-01-18,16.44
2008-01-22,16.87
2008-01-23,18.3
2008-01-24,18.36
2008-01-25,18.06
2008-01-28,18.51
2008-01-29,18.32
2008-01-30,18.45
2008-01-31,19.37
2008-02-01,19.96
2008-02-04,19.1
2008-02-05,17.75
2008-02-06,18.14
2008-02-07,18.83
2008-02-08,17.97
2008-02-11,18.64
2008-02-12,19.26
2008-02-13,19.7
2008-02-14,19.6
2008-02-15,19.42
2008-02-19,20.33
2008-02-20,20.64
2008-02-21,20.35
2008-02-22,21.01
2008-02-25,21.93
2008-02-26,21.76
2008-02-27,21.96
2008-02-28,21.53
2008-02-29,20.06
2008-03-03,20.04
2008-03-04,19.45
2008-03-05,18.99
2008-03-06,18.4
2008-03-07,18.48
2008-03-10,17.69
2008-03-11,19.2
2008-03-12,18.7
2008-03-13,19.37
2008-03-14,18.37
2008-03-17,18.12
2008-03-18,20.0
2008-03-19,18.61
2008-03-20,19.41
2008-03-24,22.04
2008-03-25,21.81
2008-03-26,21.31
2008-03-27,21.06
2008-03-28,20.96
2008-03-31,21.64
2008-04-01,22.44
2008-04-02,22.4
2008-04-03,21.99
2008-04-04,21.68
2008-04-07,21.85
2008-04-08,21.36
2008-04-09,20.85
2008-04-10,20.23
2008-04-11,20.35
2008-04-14,19.74
2008-04-15,19.8
2008-04-16,21.11
2008-04-17,21.16
2008-04-18,21.26
2008-04-21,22.85
2008-04-22,22.03
2008-04-23,22.1
2008-04-24,23.42
2008-04-25,23.77
2008-04-28,23.58
2008-04-29,22.55
2008-04-30,23.12
2008-05-01,23.26
2008-05-02,23.63
2008-05-05,23.02
2008-05-06,23.12
2008-05-07,22.44
2008-05-08,22.29
2008-05-09,22.15
2008-05-12,22.5
2008-05-13,22.14
2008-05-14,22.34
2008-05-15,23.5
2008-05-16,23.29
2008-05-19,24.01
2008-05-20,23.21
2008-05-21,21.97
2008-05-22,21.75
2008-05-23,21.48
2008-05-27,21.67
2008-05-28,22.43
2008-05-29,22.6
2008-05-30,22.46
2008-06-02,22.0
2008-06-03,21.99
2008-06-04,21.75
2008-06-05,22.22
2008-06-06,21.31
2008-06-09,20.59
2008-06-10,21.06
2008-06-11,20.54
2008-06-12,21.07
2008-06-13,21.34
2008-06-16,21.44
2008-06-17,20.93
2008-06-18,20.23
2008-06-19,21.08
2008-06-20,20.62
2008-06-23,20.27
2008-06-24,20.69
2008-06-25,21.29
2008-06-26,20.22
2008-06-27,19.79
2008-06-30,19.2
2008-07-01,19.21
2008-07-02,18.33
2008-07-03,18.47
2008-07-07,18.51
2008-07-08,19.68
2008-07-09,17.96
2008-07-10,18.36
2008-07-11,17.96
2008-07-14,17.38
2008-07-15,17.71
2008-07-16,18.5
2008-07-17,19.5
2008-07-18,19.3
2008-07-21,18.96
2008-07-22,20.08
2008-07-23,19.97
2008-07-24,18.24
2008-07-25,18.26
2008-07-28,17.42
2008-07-29,18.65
2008-07-30,14.03
2008-07-31,14.05
2008-08-01,13.45
2008-08-04,13.45
2008-08-05,14.33
2008-08-06,14.38
2008-08-07,15.12
2008-08-08,16.0
2008-08-11,15.6
2008-08-12,15.1
2008-08-13,14.82
2008-08-14,14.97
2008-08-15,15.06
2008-08-18,14.53
2008-08-19,13.72
2008-08-20,13.47
2008-08-21,13.18
2008-08-22,13.61
2008-08-25,12.76
2008-08-26,13.04
2008-08-27,12.98
2008-08-28,13.16
2008-08-29,13.07
2008-09-02,13.29
2008-09-03,13.33
2008-09-04,12.7
2008-09-05,13.3
2008-09-08,13.85
2008-09-09,12.93
2008-09-10,13.51
2008-09-11,14.28
2008-09-12,14.64
2008-09-15,13.5
2008-09-16,13.95
2008-09-17,13.1
2008-09-18,13.69
2008-09-19,14.75
2008-09-22,13.01
2008-09-23,12.92
2008-09-24,13.0
2008-09-25,13.51
2008-09-26,13.88
2008-09-29,11.51
2008-09-30,13.37
2008-10-01,12.97
2008-10-02,10.7
2008-10-03,9.45
2008-10-06,8.23
2008-10-07,7.79
2008-10-08,8.67
2008-10-09,7.25
2008-10-10,9.25
2008-10-13,9.0
2008-10-14,7.97
2008-10-15,6.6
2008-10-16,6.64
2008-10-17,6.32
2008-10-20,6.99
2008-10-21,6.32
2008-10-22,5.39
2008-10-23,4.54
2008-10-24,4.43
2008-10-27,4.64
2008-10-28,5.86
2008-10-29,6.14
2008-10-30,6.51
2008-10-31,7.01
2008-11-03,7.51
2008-11-04,7.17
2008-11-05,6.29
2008-11-06,5.67
2008-11-07,7.1
2008-11-10,6.09
2008-11-11,4.68
2008-11-12,3.77
2008-11-13,5.39
2008-11-14,4.84
2008-11-17,4.55
2008-11-18,4.43
2008-11-19,4.03
2008-11-20,3.46
2008-11-21,3.49
2008-11-24,5.06
2008-11-25,4.49
2008-11-26,5.05
2008-11-28,4.56
2008-12-01,3.22
2008-12-02,3.4
2008-12-03,3.87
2008-12-04,3.65
2008-12-05,4.11
2008-12-08,4.71
2008-12-09,4.15
2008-12-10,4.07
2008-12-11,3.37
2008-12-12,4.08
2008-12-15,3.6
2008-12-16,4.11
2008-12-17,4.4
2008-12-18,3.95
2008-12-19,3.96
2008-12-22,3.96
2008-12-23,3.96
2008-12-24,3.96
2008-12-26,4.04
2008-12-29,3.84
2008-12-30,3.8
2008-12-31,4.32
2009-01-02,4.48
2009-01-05,4.35
2009-01-06,5.0
2009-01-07,4.94
2009-01-08,5.15
2009-01-09,4.77
2009-01-12,4.21
2009-01-13,4.52
2009-01-14,4.07
2009-01-15,4.01
2009-01-16,4.26
2009-01-20,3.5
2009-01-21,3.78
2009-01-22,3.71
2009-01-23,3.82
2009-01-26,3.87
2009-01-27,3.93
2009-01-28,4.48
2009-01-29,3.82
2009-01-30,3.6
2009-02-02,3.51
2009-02-03,3.54
2009-02-04,3.95
2009-02-05,3.91
2009-02-06,4.36
2009-02-09,4.37
2009-02-10,3.77
2009-02-11,4.21
2009-02-12,4.05
2009-02-13,3.76
2009-02-17,3.43
2009-02-18,3.58
2009-02-19,3.26
2009-02-20,3.33
2009-02-23,3.18
2009-02-24,3.47
