Date,Close
2007-01-03,31.56
2007-01-04,32.05
2007-01-05,32.09
2007-01-08,32.41
2007-01-09,32.75
2007-01-10,33.43
2007-01-11,33.9
2007-01-12,34.38
2007-01-16,34.17
2007-01-17,34.16
2007-01-18,34.46
2007-01-19,36.21
2007-01-22,35.95
2007-01-23,35.22
2007-01-24,35.24
2007-01-25,34.9
2007-01-26,35.41
2007-01-29,34.89
2007-01-30,35.11
2007-01-31,35.16
2007-02-01,34.84
2007-02-02,35.14
2007-02-05,34.73
2007-02-06,34.5
2007-02-07,35.02
2007-02-08,35.15
2007-02-09,34.85
2007-02-12,34.12
2007-02-13,34.22
2007-02-14,35.27
2007-02-15,35.39
2007-02-16,34.88
2007-02-20,34.84
2007-02-21,34.55
2007-02-22,34.5
2007-02-23,34.45
2007-02-26,34.9
2007-02-27,33.28
2007-02-28,32.71
2007-03-01,32.08
2007-03-02,31.48
2007-03-05,30.66
2007-03-06,31.38
2007-03-07,31.59
2007-03-08,32.2
2007-03-09,32.47
2007-03-12,33.36
2007-03-13,32.56
2007-03-14,32.41
2007-03-15,32.74
2007-03-16,33.02
2007-03-19,33.28
2007-03-20,33.1
2007-03-21,33.69
2007-03-22,33.46
2007-03-23,33.47
2007-03-26,33.16
2007-03-27,32.79
2007-03-28,32.46
2007-03-29,32.23
2007-03-30,32.13
2007-04-02,32.3
2007-04-03,32.49
2007-04-04,32.3
2007-04-05,32.26
2007-04-09,32.82
2007-04-10,33.06
2007-04-11,32.98
2007-04-12,33.72
2007-04-13,34.15
2007-04-16,34.51
2007-04-17,34.65
2007-04-18,34.8
2007-04-19,34.78
2007-04-20,34.93
2007-04-23,34.81
2007-04-24,34.69
2007-04-25,35.16
2007-04-26,35.11
2007-04-27,35.0
2007-04-30,34.34
2007-05-01,34.67
2007-05-02,35.19
2007-05-03,34.17
2007-05-04,34.3
2007-05-07,34.03
2007-05-08,34.17
2007-05-09,35.02
2007-05-10,34.5
2007-05-11,34.95
2007-05-14,35.56
2007-05-15,35.52
2007-05-16,35.96
2007-05-17,35.59
2007-05-18,35.63
2007-05-21,36.31
2007-05-22,35.87
2007-05-23,36.08
2007-05-24,35.29
2007-05-25,35.44
2007-05-29,35.78
2007-05-30,36.41
2007-05-31,36.82
2007-06-01,37.32
2007-06-04,37.35
2007-06-05,37.47
2007-06-06,36.73
2007-06-07,35.84
2007-06-08,35.63
2007-06-11,35.5
2007-06-12,35.24
2007-06-13,35.1
2007-06-14,35.16
2007-06-15,35.35
2007-06-18,36.37
2007-06-19,35.96
2007-06-20,35.32
2007-06-21,34.95
2007-06-22,34.93
2007-06-25,34.43
2007-06-26,34.08
2007-06-27,35.0
2007-06-28,35.83
2007-06-29,36.27
2007-07-02,36.9
2007-07-03,36.99
2007-07-05,36.87
2007-07-06,37.35
2007-07-09,37.2
2007-07-10,36.87
2007-07-11,37.4
2007-07-12,38.05
2007-07-13,37.99
2007-07-16,38.04
2007-07-17,38.27
2007-07-18,38.1
2007-07-19,38.57
2007-07-20,38.18
2007-07-23,37.95
2007-07-24,37.87
2007-07-25,37.07
2007-07-26,36.05
2007-07-27,35.51
2007-07-30,36.63
2007-07-31,36.25
2007-08-01,35.71
2007-08-02,37.54
2007-08-03,36.75
2007-08-06,36.89
2007-08-07,37.44
2007-08-08,39.3
2007-08-09,38.99
2007-08-10,37.99
2007-08-13,38.1
2007-08-14,36.81
2007-08-15,35.54
2007-08-16,35.08
2007-08-17,36.43
2007-08-20,36.34
2007-08-21,36.11
2007-08-22,37.22
2007-08-23,36.52
2007-08-24,37.21
2007-08-27,37.03
2007-08-28,35.89
2007-08-29,36.54
2007-08-30,36.03
2007-08-31,36.76
2007-09-04,36.83
2007-09-05,36.25
2007-09-06,36.31
2007-09-07,35.76
2007-09-10,35.59
2007-09-11,36.99
2007-09-12,36.84
2007-09-13,37.49
2007-09-14,37.86
2007-09-17,37.76
2007-09-18,39.14
2007-09-19,38.57
2007-09-20,38.57
2007-09-21,38.99
2007-09-24,39.15
2007-09-25,38.94
2007-09-26,39.46
2007-09-27,40.89
2007-09-28,40.63
2007-10-01,40.78
2007-10-02,39.97
2007-10-03,39.03
2007-10-04,39.74
2007-10-05,38.9
2007-10-08,38.71
2007-10-09,39.0
2007-10-10,39.05
2007-10-11,38.89
2007-10-12,39.0
2007-10-15,38.41
2007-10-16,38.03
2007-10-17,39.06
2007-10-18,38.62
2007-10-19,38.35
2007-10-22,39.31
2007-10-23,40.11
2007-10-24,40.44
2007-10-25,40.99
2007-10-26,41.2
2007-10-29,41.07
2007-10-30,41.32
2007-10-31,41.07
2007-11-01,39.95
2007-11-02,40.55
2007-11-05,40.34
2007-11-06,40.3
2007-11-07,38.75
2007-11-08,38.99
2007-11-09,36.86
2007-11-12,36.93
2007-11-13,39.26
2007-11-14,40.3
2007-11-15,40.62
2007-11-16,41.17
2007-11-19,41.02
2007-11-20,41.38
2007-11-21,40.7
2007-11-23,41.13
2007-11-26,40.86
2007-11-27,40.56
2007-11-28,40.91
2007-11-29,41.29
2007-11-30,41.95
2007-12-03,42.75
2007-12-04,40.69
2007-12-05,41.31
2007-12-06,40.77
2007-12-07,42.05
2007-12-10,41.7
2007-12-11,40.22
2007-12-12,39.16
2007-12-13,38.88
2007-12-14,38.82
2007-12-17,38.02
2007-12-18,39.17
2007-12-19,39.7
2007-12-20,40.53
2007-12-21,41.16
2007-12-24,41.09
2007-12-26,41.99
2007-12-27,41.1
2007-12-28,41.53
2007-12-31,41.6
2008-01-02,40.12
2008-01-03,39.25
2008-01-04,38.63
2008-01-07,38.34
2008-01-08,38.03
2008-01-09,38.49
2008-01-10,38.3
2008-01-11,37.37
2008-01-14,37.05
2008-01-15,37.09
2008-01-16,36.15
2008-01-17,35.94
2008-01-18,34.02
2008-01-22,33.5
2008-01-23,33.17
2008-01-24,34.31
2008-01-25,34.03
2008-01-28,34.24
2008-01-29,35.81
2008-01-30,35.15
2008-01-31,36.12
2008-02-01,37.0
2008-02-04,36.56
2008-02-05,35.11
2008-02-06,34.8
2008-02-07,33.21
2008-02-08,33.9
2008-02-11,34.75
2008-02-12,34.99
2008-02-13,35.11
2008-02-14,34.96
2008-02-15,35.36
2008-02-19,36.11
2008-02-20,36.62
2008-02-21,36.09
2008-02-22,37.0
2008-02-25,37.03
2008-02-26,37.91
2008-02-27,37.42
2008-02-28,37.07
2008-02-29,36.09
2008-03-03,35.85
2008-03-04,35.28
2008-03-05,35.75
2008-03-06,35.35
2008-03-07,35.03
2008-03-10,34.0
2008-03-11,34.99
2008-03-12,34.59
2008-03-13,35.35
2008-03-14,34.45
2008-03-17,33.36
2008-03-18,33.9
2008-03-19,33.42
2008-03-20,33.51
2008-03-24,34.73
2008-03-25,35.25
2008-03-26,35.72
2008-03-27,35.05
2008-03-28,34.51
2008-03-31,34.49
2008-04-01,35.27
2008-04-02,36.42
2008-04-03,37.26
2008-04-04,37.39
2008-04-07,37.09
2008-04-08,37.71
2008-04-09,37.04
2008-04-10,36.53
2008-04-11,36.43
2008-04-14,36.5
2008-04-15,37.07
2008-04-16,37.99
2008-04-17,37.94
2008-04-18,38.83
2008-04-21,39.46
2008-04-22,38.99
2008-04-23,39.0
2008-04-24,38.92
2008-04-25,39.2
2008-04-28,39.15
2008-04-29,38.75
2008-04-30,38.85
2008-05-01,39.37
2008-05-02,39.44
2008-05-05,39.02
2008-05-06,39.35
2008-05-07,40.61
2008-05-08,40.63
2008-05-09,40.51
2008-05-12,41.07
2008-05-13,41.38
2008-05-14,42.2
2008-05-15,42.21
2008-05-16,42.62
2008-05-19,42.7
2008-05-20,42.32
2008-05-21,41.49
2008-05-22,40.96
2008-05-23,40.88
2008-05-27,41.35
2008-05-28,41.55
2008-05-29,41.66
2008-05-30,42.49
2008-06-02,41.8
2008-06-03,41.4
2008-06-04,40.83
2008-06-05,41.41
2008-06-06,39.78
2008-06-09,40.54
2008-06-10,41.73
2008-06-11,40.52
2008-06-12,40.48
2008-06-13,41.35
2008-06-16,41.99
2008-06-17,42.36
2008-06-18,42.02
2008-06-19,42.47
2008-06-20,41.4
2008-06-23,40.75
2008-06-24,40.29
2008-06-25,40.31
2008-06-26,39.0
2008-06-27,38.83
2008-06-30,38.73
2008-07-01,37.71
2008-07-02,36.2
2008-07-03,36.69
2008-07-07,36.03
2008-07-08,36.82
2008-07-09,36.38
2008-07-10,36.59
2008-07-11,35.99
2008-07-14,35.58
2008-07-15,35.32
2008-07-16,36.01
2008-07-17,35.91
2008-07-18,35.43
2008-07-21,35.43
2008-07-22,35.33
2008-07-23,36.03
2008-07-24,35.64
2008-07-25,37.25
2008-07-28,36.77
2008-07-29,37.42
2008-07-30,38.85
2008-07-31,38.2
2008-08-01,37.42
2008-08-04,36.45
2008-08-05,36.57
2008-08-06,37.22
2008-08-07,36.16
2008-08-08,36.99
2008-08-11,37.56
2008-08-12,37.48
2008-08-13,37.43
2008-08-14,37.77
2008-08-15,38.07
2008-08-18,37.83
2008-08-19,37.2
2008-08-20,37.51
2008-08-21,37.65
2008-08-22,37.94
2008-08-25,36.92
2008-08-26,36.39
2008-08-27,36.93
2008-08-28,37.88
2008-08-29,37.4
2008-09-02,37.42
2008-09-03,36.7
2008-09-04,35.41
2008-09-05,35.12
2008-09-08,35.94
2008-09-09,34.86
2008-09-10,34.04
2008-09-11,33.82
2008-09-12,34.09
2008-09-15,32.78
2008-09-16,33.52
2008-09-17,31.03
2008-09-18,31.94
2008-09-19,35.25
2008-09-22,32.78
2008-09-23,31.23
2008-09-24,30.7
2008-09-25,31.67
2008-09-26,31.47
2008-09-29,27.17
2008-09-30,28.97
2008-10-01,28.27
2008-10-02,25.23
2008-10-03,25.02
2008-10-06,23.33
2008-10-07,22.02
2008-10-08,21.4
2008-10-09,20.1
2008-10-10,18.5
2008-10-13,21.65
2008-10-14,21.43
2008-10-15,19.51
2008-10-16,20.15
2008-10-17,22.16
2008-10-20,22.77
2008-10-21,21.53
2008-10-22,20.03
2008-10-23,19.21
2008-10-24,18.11
