Date,Close
2018-04-26,31.21
2018-04-27,30.52
2018-04-30,31.58
2018-05-01,31.48
2018-05-02,32.75
2018-05-03,33.79
2018-05-04,34.09
2018-05-07,33.99
2018-05-08,32.95
2018-05-09,33.47
2018-05-10,33.13
2018-05-11,34.38
2018-05-14,36.48
2018-05-15,36.95
2018-05-16,37.2
2018-05-17,38.33
2018-05-18,36.82
2018-05-21,35.16
2018-05-22,34.32
2018-05-23,33.97
2018-05-24,33.71
2018-05-25,33.6
2018-05-29,34.24
2018-05-30,34.67
2018-05-31,34.52
2018-06-01,34.53
2018-06-04,35.96
2018-06-05,36.35
2018-06-06,38.16
2018-06-07,37.11
2018-06-08,37.4
2018-06-11,36.49
2018-06-12,37.62
2018-06-13,37.66
2018-06-14,38.19
2018-06-15,38.45
2018-06-18,39.78
2018-06-19,37.2
2018-06-20,37.01
2018-06-21,36.55
2018-06-22,35.75
2018-06-25,34.82
2018-06-26,35.03
2018-06-27,34.33
2018-06-28,34.04
2018-06-29,33.19
2018-07-02,32.82
2018-07-03,33.38
2018-07-05,33.93
2018-07-06,33.85
2018-07-09,32.92
2018-07-10,33.12
2018-07-11,32.58
2018-07-12,34.48
2018-07-13,34.66
2018-07-16,35.12
2018-07-17,34.89
2018-07-18,34.9
2018-07-19,34.84
2018-07-20,35.03
2018-07-23,35.06
2018-07-24,34.96
2018-07-25,34.72
2018-07-26,34.92
2018-07-27,34.02
2018-07-30,32.08
2018-07-31,32.76
2018-08-01,33.57
2018-08-02,34.81
2018-08-03,35.5
2018-08-06,37.23
2018-08-07,37.24
2018-08-08,37.64
2018-08-09,33.51
2018-08-10,35.19
2018-08-13,34.39
2018-08-14,34.53
2018-08-15,33.84
2018-08-16,34.75
2018-08-17,34.07
2018-08-20,34.04
2018-08-21,34.74
2018-08-22,35.35
2018-08-23,35.98
2018-08-24,37.84
2018-08-27,38.45
2018-08-28,38.65
2018-08-29,38.29
2018-08-30,38.56
2018-08-31,38.5
2018-09-04,38.63
2018-09-05,37.0
2018-09-06,37.51
2018-09-07,37.72
2018-09-10,37.53
2018-09-11,37.38
2018-09-12,36.54
2018-09-13,37.18
2018-09-14,41.45
2018-09-17,43.75
2018-09-18,44.0
2018-09-19,43.42
2018-09-20,43.01
2018-09-21,42.01
2018-09-24,42.31
2018-09-25,41.15
2018-09-26,40.96
2018-09-27,41.79
2018-09-28,42.03
2018-10-01,43.0
2018-10-02,43.0
2018-10-03,44.29
2018-10-04,42.06
2018-10-05,40.28
2018-10-08,40.22
2018-10-09,38.78
2018-10-10,35.7
2018-10-11,35.7
2018-10-12,36.22
2018-10-15,37.06
2018-10-16,38.47
2018-10-17,37.62
2018-10-18,36.26
2018-10-19,36.27
2018-10-22,37.19
2018-10-23,36.25
2018-10-24,35.83
2018-10-25,36.78
2018-10-26,36.4
2018-10-29,35.68
2018-10-30,36.47
2018-10-31,37.97
2018-11-01,38.73
2018-11-02,38.0
2018-11-05,38.03
2018-11-06,38.0
2018-11-07,39.25
2018-11-08,39.37
2018-11-09,39.16
2018-11-12,36.51
2018-11-13,36.17
2018-11-14,36.28
2018-11-15,37.3
2018-11-16,38.96
2018-11-19,35.64
2018-11-20,36.08
2018-11-21,36.34
2018-11-23,37.04
2018-11-26,38.47
2018-11-27,38.39
2018-11-28,39.75
2018-11-29,40.02
2018-11-30,40.12
2018-12-03,39.52
2018-12-04,37.7
2018-12-06,38.27
2018-12-07,38.22
2018-12-10,37.58
2018-12-11,36.85
2018-12-12,37.19
2018-12-13,36.63
2018-12-14,35.24
2018-12-17,33.77
2018-12-18,34.8
2018-12-19,34.36
2018-12-20,33.61
2018-12-21,32.13
2018-12-24,31.97
2018-12-26,34.56
2018-12-27,35.18
2018-12-28,33.97
2018-12-31,34.49
2019-01-02,33.76
2019-01-03,33.23
2019-01-04,34.39
2019-01-07,35.91
2019-01-08,35.95
2019-01-09,35.62
2019-01-10,36.18
2019-01-11,35.95
2019-01-14,35.6
2019-01-15,36.64
2019-01-16,36.87
2019-01-17,37.39
2019-01-18,38.23
2019-01-22,37.6
2019-01-23,37.61
2019-01-24,38.89
2019-01-25,39.4
2019-01-28,39.62
2019-01-29,39.27
2019-01-30,40.61
2019-01-31,41.21
2019-02-01,41.37
2019-02-04,42.16
2019-02-05,43.55
2019-02-06,46.04
2019-02-07,43.44
2019-02-08,44.91
2019-02-11,45.13
2019-02-12,45.46
2019-02-13,45.36
2019-02-14,45.6
2019-02-15,45.76
2019-02-19,46.59
2019-02-20,47.53
2019-02-21,47.62
2019-02-22,48.4
2019-02-25,48.7
2019-02-26,48.97
2019-02-27,49.51
2019-02-28,49.02
2019-03-01,49.38
2019-03-04,47.68
2019-03-05,47.67
2019-03-06,48.17
2019-03-07,48.27
2019-03-08,48.9
2019-03-11,49.27
2019-03-12,49.65
2019-03-13,49.67
2019-03-14,50.29
2019-03-15,51.38
2019-03-18,49.84
2019-03-19,50.81
2019-03-20,49.93
2019-03-21,50.33
2019-03-22,49.6
2019-03-25,49.72
2019-03-26,50.14
2019-03-27,49.75
