Date,Close
2007-01-03,18.15
2007-01-04,18.02
2007-01-05,18.06
2007-01-08,18.03
2007-01-09,18.13
2007-01-10,18.04
2007-01-11,18.23
2007-01-12,18.14
2007-01-16,18.1
2007-01-17,18.17
2007-01-18,18.07
2007-01-19,18.23
2007-01-22,18.05
2007-01-23,18.2
2007-01-24,18.46
2007-01-25,17.97
2007-01-26,17.97
2007-01-29,18.25
2007-01-30,18.7
2007-01-31,18.92
2007-02-01,20.06
2007-02-02,20.06
2007-02-05,20.06
2007-02-06,20.27
2007-02-07,20.54
2007-02-08,20.24
2007-02-09,20.34
2007-02-12,20.27
2007-02-13,20.38
2007-02-14,20.58
2007-02-15,20.72
2007-02-16,20.62
2007-02-20,20.94
2007-02-21,21.16
2007-02-22,21.07
2007-02-23,20.97
2007-02-26,20.71
2007-02-27,20.0
2007-02-28,19.94
2007-03-01,20.01
2007-03-02,19.65
2007-03-05,19.59
2007-03-06,19.89
2007-03-07,19.65
2007-03-08,20.03
2007-03-09,20.46
2007-03-12,20.32
2007-03-13,20.11
2007-03-14,20.27
2007-03-15,20.27
2007-03-16,20.37
2007-03-19,20.56
2007-03-20,20.66
2007-03-21,21.1
2007-03-22,21.1
2007-03-23,21.04
2007-03-26,21.22
2007-03-27,20.98
2007-03-28,21.0
2007-03-29,20.94
2007-03-30,21.06
2007-04-02,21.23
2007-04-03,21.42
2007-04-04,21.65
2007-04-05,21.68
2007-04-09,22.01
2007-04-10,22.13
2007-04-11,22.21
2007-04-12,22.68
2007-04-13,22.42
2007-04-16,22.68
2007-04-17,22.83
2007-04-18,22.73
2007-04-19,22.59
2007-04-20,22.89
2007-04-23,22.96
2007-04-24,22.79
2007-04-25,22.94
2007-04-26,22.75
2007-04-27,22.86
2007-04-30,22.2
2007-05-01,22.29
2007-05-02,22.48
2007-05-03,22.5
2007-05-04,22.56
2007-05-07,22.42
2007-05-08,22.26
2007-05-09,22.44
2007-05-10,22.09
2007-05-11,22.15
2007-05-14,21.98
2007-05-15,21.58
2007-05-16,21.6
2007-05-17,21.55
2007-05-18,21.65
2007-05-21,21.96
2007-05-22,22.07
2007-05-23,21.99
2007-05-24,21.38
2007-05-25,21.68
2007-05-29,21.59
2007-05-30,22.2
2007-05-31,22.71
2007-06-01,22.9
2007-06-04,24.22
2007-06-05,24.19
2007-06-06,24.18
2007-06-07,23.77
2007-06-08,23.75
2007-06-11,23.59
2007-06-12,23.41
2007-06-13,23.36
2007-06-14,23.54
2007-06-15,23.3
2007-06-18,22.6
2007-06-19,22.59
2007-06-20,22.21
2007-06-21,21.9
2007-06-22,21.9
2007-06-25,21.76
2007-06-26,21.78
2007-06-27,22.02
2007-06-28,21.97
2007-06-29,21.96
2007-07-02,21.97
2007-07-03,21.94
2007-07-05,22.0
2007-07-06,22.05
2007-07-09,21.99
2007-07-10,21.65
2007-07-11,21.65
2007-07-12,21.65
2007-07-13,21.69
2007-07-16,22.05
2007-07-17,22.29
2007-07-18,22.37
2007-07-19,22.67
2007-07-20,22.53
2007-07-23,22.48
2007-07-24,22.44
2007-07-25,22.43
2007-07-26,21.98
2007-07-27,21.55
2007-07-30,21.67
2007-07-31,21.4
2007-08-01,21.41
2007-08-02,21.26
2007-08-03,20.74
2007-08-06,20.74
2007-08-07,20.24
2007-08-08,19.97
2007-08-09,19.97
2007-08-10,20.25
2007-08-13,20.83
2007-08-14,20.61
2007-08-15,20.45
2007-08-16,20.32
2007-08-17,20.34
2007-08-20,20.56
2007-08-21,20.64
2007-08-22,21.13
2007-08-23,21.23
2007-08-24,21.44
2007-08-27,21.48
2007-08-28,20.81
