Date,Close
2007-01-03,25.31
2007-01-04,25.2
2007-01-05,25.06
2007-01-08,24.93
2007-01-09,24.92
2007-01-10,24.8
2007-01-11,24.76
2007-01-12,25.4
2007-01-16,25.68
2007-01-17,25.8
2007-01-18,25.27
2007-01-19,25.23
2007-01-22,25.5
2007-01-23,25.74
2007-01-24,26.01
2007-01-25,25.74
2007-01-26,25.77
2007-01-29,26.02
2007-01-30,26.12
2007-01-31,26.25
2007-02-01,26.48
2007-02-02,26.68
2007-02-05,26.57
2007-02-06,27.85
2007-02-07,27.64
2007-02-08,28.11
2007-02-09,28.37
2007-02-12,28.53
2007-02-13,28.99
2007-02-14,28.73
2007-02-15,29.11
2007-02-16,29.3
2007-02-20,29.68
2007-02-21,29.88
2007-02-22,29.19
2007-02-23,29.63
2007-02-26,29.78
2007-02-27,29.15
2007-02-28,28.58
2007-03-01,28.3
2007-03-02,28.33
2007-03-05,29.33
2007-03-06,30.11
2007-03-07,29.91
2007-03-08,30.18
2007-03-09,30.19
2007-03-12,30.62
2007-03-13,30.47
2007-03-14,30.4
2007-03-15,30.25
2007-03-16,30.12
2007-03-19,30.22
2007-03-20,30.48
2007-03-21,30.87
2007-03-22,31.27
2007-03-23,30.83
2007-03-26,30.8
2007-03-27,30.78
2007-03-28,30.81
2007-03-29,30.46
2007-03-30,30.84
2007-04-02,30.99
2007-04-03,31.67
2007-04-04,31.11
2007-04-05,31.56
2007-04-09,32.04
2007-04-10,31.89
2007-04-11,31.51
2007-04-12,31.95
2007-04-13,32.17
2007-04-16,31.87
2007-04-17,32.4
2007-04-18,33.39
2007-04-19,32.87
2007-04-20,32.77
2007-04-23,32.75
2007-04-24,32.36
2007-04-25,32.53
2007-04-26,32.61
2007-04-27,32.67
2007-04-30,33.17
2007-05-01,33.97
2007-05-02,34.69
2007-05-03,34.68
2007-05-04,34.8
2007-05-07,35.05
2007-05-08,35.14
2007-05-09,35.06
2007-05-10,35.03
2007-05-11,36.02
2007-05-14,36.36
2007-05-15,35.17
2007-05-16,35.41
2007-05-17,35.94
2007-05-18,36.0
2007-05-21,36.02
2007-05-22,35.98
2007-05-23,35.99
2007-05-24,35.63
2007-05-25,36.56
2007-05-29,36.2
2007-05-30,36.47
2007-05-31,36.39
2007-06-01,37.2
2007-06-04,36.96
2007-06-05,37.87
2007-06-06,37.63
2007-06-07,37.17
2007-06-08,37.01
2007-06-11,37.38
2007-06-12,37.3
2007-06-13,37.33
2007-06-14,37.44
2007-06-15,37.47
2007-06-18,37.3
2007-06-19,37.0
2007-06-20,36.62
2007-06-21,37.16
2007-06-22,37.89
2007-06-25,38.09
2007-06-26,38.74
2007-06-27,38.64
2007-06-28,38.7
2007-06-29,38.78
2007-07-02,39.39
2007-07-03,39.62
2007-07-05,40.43
2007-07-06,40.96
2007-07-09,40.53
2007-07-10,40.8
2007-07-11,40.66
2007-07-12,41.46
2007-07-13,41.98
2007-07-16,41.92
2007-07-17,41.29
2007-07-18,41.27
2007-07-19,38.3
2007-07-20,37.31
2007-07-23,38.02
2007-07-24,38.53
2007-07-25,39.99
2007-07-26,38.99
2007-07-27,36.34
2007-07-30,36.57
2007-07-31,37.5
2007-08-01,38.38
2007-08-02,37.12
2007-08-03,37.02
2007-08-06,36.07
2007-08-07,35.21
2007-08-08,36.5
2007-08-09,32.78
2007-08-10,33.52
2007-08-13,35.54
2007-08-14,34.11
2007-08-15,33.08
2007-08-16,32.37
2007-08-17,32.62
2007-08-20,33.73
2007-08-21,33.36
2007-08-22,34.0
2007-08-23,33.99
2007-08-24,35.19
2007-08-27,34.99
2007-08-28,33.8
2007-08-29,34.59
2007-08-30,34.95
2007-08-31,35.92
2007-09-04,36.39
2007-09-05,35.7
2007-09-06,36.0
2007-09-07,35.24
2007-09-10,35.0
2007-09-11,35.9
2007-09-12,35.13
2007-09-13,35.03
2007-09-14,35.62
2007-09-17,35.7
2007-09-18,36.81
2007-09-19,36.73
2007-09-20,36.6
2007-09-21,37.74
2007-09-24,37.36
2007-09-25,36.59
2007-09-26,38.41
2007-09-27,38.71
2007-09-28,38.98
2007-10-01,39.82
2007-10-02,39.47
2007-10-03,39.27
2007-10-04,39.88
2007-10-05,39.93
2007-10-08,39.98
2007-10-09,40.76
2007-10-10,40.84
2007-10-11,40.6
2007-10-12,40.92
2007-10-15,41.08
2007-10-16,40.42
2007-10-17,40.12
2007-10-18,40.68
2007-10-19,38.95
2007-10-22,39.12
2007-10-23,40.12
2007-10-24,41.23
2007-10-25,41.4
2007-10-26,41.85
2007-10-29,41.95
2007-10-30,40.93
2007-10-31,41.96
2007-11-01,41.43
2007-11-02,41.77
2007-11-05,41.34
2007-11-06,42.17
2007-11-07,41.69
2007-11-08,41.29
2007-11-09,39.3
2007-11-12,37.72
2007-11-13,38.97
2007-11-14,39.05
2007-11-15,37.71
2007-11-16,37.98
2007-11-19,36.43
2007-11-20,36.64
2007-11-21,35.67
2007-11-23,36.92
2007-11-26,36.26
2007-11-27,36.66
2007-11-28,38.49
2007-11-29,38.81
2007-11-30,39.68
2007-12-03,39.94
2007-12-04,38.72
2007-12-05,38.92
2007-12-06,39.56
2007-12-07,39.78
2007-12-10,39.45
2007-12-11,41.03
2007-12-12,42.86
2007-12-13,44.03
2007-12-14,44.33
2007-12-17,43.0
2007-12-18,41.9
2007-12-19,41.49
2007-12-20,41.57
2007-12-21,42.41
2007-12-24,42.99
2007-12-26,42.26
2007-12-27,42.26
2007-12-28,42.04
2007-12-31,42.32
2008-01-02,43.02
2008-01-03,41.59
2008-01-04,40.17
2008-01-07,39.26
2008-01-08,38.71
2008-01-09,38.3
2008-01-10,38.79
2008-01-11,37.98
2008-01-14,38.37
2008-01-15,37.51
2008-01-16,35.57
2008-01-17,34.4
2008-01-18,35.11
2008-01-22,33.79
2008-01-23,34.45
2008-01-24,35.13
2008-01-25,36.16
2008-01-28,37.31
2008-01-29,36.77
2008-01-30,36.58
2008-01-31,37.23
2008-02-01,37.91
2008-02-04,38.53
2008-02-05,39.95
2008-02-06,39.05
2008-02-07,39.26
2008-02-08,38.72
2008-02-11,39.95
2008-02-12,39.64
2008-02-13,40.32
2008-02-14,39.86
2008-02-15,40.45
2008-02-19,40.91
2008-02-20,40.78
2008-02-21,40.7
2008-02-22,40.78
2008-02-25,41.25
2008-02-26,40.53
2008-02-27,40.6
2008-02-28,40.5
2008-02-29,38.9
2008-03-03,39.93
2008-03-04,39.86
2008-03-05,40.13
2008-03-06,38.42
2008-03-07,37.96
2008-03-10,36.55
2008-03-11,38.25
2008-03-12,38.45
2008-03-13,38.45
2008-03-14,37.82
2008-03-17,36.9
2008-03-18,38.35
2008-03-19,37.31
2008-03-20,37.85
2008-03-24,39.6
2008-03-25,39.67
2008-03-26,39.82
2008-03-27,39.77
2008-03-28,39.09
2008-03-31,39.05
2008-04-01,40.96
2008-04-02,40.46
2008-04-03,40.5
2008-04-04,41.76
2008-04-07,42.08
2008-04-08,42.27
2008-04-09,41.74
2008-04-10,42.03
2008-04-11,40.5
2008-04-14,41.58
2008-04-15,41.06
2008-04-16,42.81
2008-04-17,42.57
2008-04-18,43.55
2008-04-21,44.28
2008-04-22,45.32
2008-04-23,44.54
2008-04-24,44.02
2008-04-25,45.31
2008-04-28,45.42
2008-04-29,44.28
2008-04-30,44.75
2008-05-01,44.83
2008-05-02,45.02
2008-05-05,44.98
2008-05-06,45.67
2008-05-07,44.93
2008-05-08,45.59
2008-05-09,46.35
2008-05-12,48.13
2008-05-13,47.92
2008-05-14,47.14
2008-05-15,47.17
2008-05-16,48.4
2008-05-19,47.57
2008-05-20,48.73
2008-05-21,47.77
2008-05-22,48.71
2008-05-23,47.48
2008-05-27,47.96
2008-05-28,48.34
