Date,Close
2007-01-03,11.01
2007-01-04,10.99
2007-01-05,11.01
2007-01-08,10.87
2007-01-09,11.01
2007-01-10,10.98
2007-01-11,11.07
2007-01-12,11.1
2007-01-16,11.05
2007-01-17,11.17
2007-01-18,11.11
2007-01-19,11.15
2007-01-22,11.15
2007-01-23,11.23
2007-01-24,11.27
2007-01-25,11.25
2007-01-26,11.23
2007-01-29,11.26
2007-01-30,11.27
2007-01-31,11.33
2007-02-01,11.32
2007-02-02,11.21
2007-02-05,11.15
2007-02-06,11.55
2007-02-07,11.77
2007-02-08,11.65
2007-02-09,11.6
2007-02-12,11.63
2007-02-13,11.77
2007-02-14,11.76
2007-02-15,11.7
2007-02-16,11.84
2007-02-20,11.77
2007-02-21,11.77
2007-02-22,11.76
2007-02-23,11.76
2007-02-26,11.85
2007-02-27,11.77
2007-02-28,11.99
2007-03-01,11.96
2007-03-02,11.81
2007-03-05,11.71
2007-03-06,11.77
2007-03-07,11.76
2007-03-08,11.86
2007-03-09,11.93
2007-03-12,11.95
2007-03-13,11.88
2007-03-14,11.89
2007-03-15,12.03
2007-03-16,11.99
2007-03-19,12.15
2007-03-20,12.28
2007-03-21,12.44
2007-03-22,12.48
2007-03-23,12.47
2007-03-26,12.49
2007-03-27,12.43
2007-03-28,12.44
2007-03-29,12.48
2007-03-30,12.59
2007-04-02,12.78
2007-04-03,12.77
2007-04-04,12.8
2007-04-05,12.85
2007-04-09,12.98
2007-04-10,12.97
2007-04-11,12.94
2007-04-12,12.94
2007-04-13,12.95
2007-04-16,12.98
2007-04-17,13.01
2007-04-18,12.89
2007-04-19,12.87
2007-04-20,12.86
2007-04-23,12.91
2007-04-24,12.83
2007-04-25,12.82
2007-04-26,12.75
2007-04-27,12.75
2007-04-30,12.68
2007-05-01,12.85
2007-05-02,12.9
2007-05-03,12.86
2007-05-04,12.98
2007-05-07,13.01
2007-05-08,12.74
2007-05-09,12.61
2007-05-10,12.4
2007-05-11,12.39
2007-05-14,12.38
2007-05-15,12.32
2007-05-16,12.47
2007-05-17,12.28
2007-05-18,12.18
2007-05-21,12.24
2007-05-22,12.2
2007-05-23,12.24
2007-05-24,12.08
2007-05-25,12.15
2007-05-29,12.38
2007-05-30,12.49
2007-05-31,12.5
2007-06-01,12.58
2007-06-04,12.62
2007-06-05,12.6
2007-06-06,12.41
2007-06-07,12.24
2007-06-08,12.35
2007-06-11,12.32
2007-06-12,12.27
2007-06-13,12.28
2007-06-14,12.17
2007-06-15,12.23
2007-06-18,12.12
2007-06-19,12.29
2007-06-20,12.34
2007-06-21,12.36
2007-06-22,12.26
2007-06-25,12.26
2007-06-26,12.26
2007-06-27,12.18
2007-06-28,12.19
2007-06-29,12.11
2007-07-02,12.19
2007-07-03,12.26
2007-07-05,12.2
2007-07-06,12.29
2007-07-09,12.39
2007-07-10,12.27
2007-07-11,12.3
2007-07-12,12.51
2007-07-13,12.57
2007-07-16,12.43
2007-07-17,12.38
2007-07-18,12.34
2007-07-19,12.38
2007-07-20,12.16
2007-07-23,12.38
2007-07-24,12.35
2007-07-25,12.38
2007-07-26,12.34
2007-07-27,12.17
2007-07-30,12.24
2007-07-31,12.27
2007-08-01,12.41
2007-08-02,12.6
2007-08-03,12.34
2007-08-06,12.5
2007-08-07,11.95
2007-08-08,11.99
2007-08-09,11.94
2007-08-10,11.62
2007-08-13,11.66
2007-08-14,11.41
2007-08-15,11.32
2007-08-16,11.27
2007-08-17,11.38
2007-08-20,11.35
2007-08-21,11.37
2007-08-22,11.66
2007-08-23,11.51
2007-08-24,11.61
2007-08-27,11.48
2007-08-28,11.24
2007-08-29,11.28
2007-08-30,11.16
2007-08-31,11.23
2007-09-04,11.37
2007-09-05,11.26
2007-09-06,11.22
2007-09-07,11.04
2007-09-10,10.86
2007-09-11,11.0
2007-09-12,10.81
2007-09-13,10.85
2007-09-14,11.07
2007-09-17,11.08
2007-09-18,11.31
2007-09-19,11.31
2007-09-20,11.25
2007-09-21,11.31
2007-09-24,11.29
2007-09-25,11.31
2007-09-26,11.51
2007-09-27,11.75
2007-09-28,11.76
2007-10-01,11.69
2007-10-02,11.64
2007-10-03,11.7
2007-10-04,11.8
2007-10-05,11.86
2007-10-08,11.8
2007-10-09,11.78
2007-10-10,11.7
2007-10-11,11.72
2007-10-12,11.66
2007-10-15,11.55
2007-10-16,11.48
2007-10-17,11.54
2007-10-18,11.69
2007-10-19,11.73
2007-10-22,11.78
2007-10-23,11.81
2007-10-24,11.84
