Date,Close
2007-01-03,45.82
2007-01-04,45.6
2007-01-05,45.28
2007-01-08,45.36
2007-01-09,45.06
2007-01-10,45.02
2007-01-11,45.12
2007-01-12,45.36
2007-01-16,45.45
2007-01-17,45.07
2007-01-18,45.24
2007-01-19,45.43
2007-01-22,45.14
2007-01-23,45.39
2007-01-24,45.92
2007-01-25,45.32
2007-01-26,44.95
2007-01-29,45.05
2007-01-30,44.99
2007-01-31,44.74
2007-02-01,45.35
2007-02-02,45.87
2007-02-05,45.73
2007-02-06,45.74
2007-02-07,45.01
2007-02-08,43.96
2007-02-09,43.85
2007-02-12,43.59
2007-02-13,43.82
2007-02-14,43.99
2007-02-15,44.29
2007-02-16,44.19
2007-02-20,44.23
2007-02-21,44.05
2007-02-22,44.22
2007-02-23,44.01
2007-02-26,43.95
2007-02-27,43.01
2007-02-28,43.22
2007-03-01,43.36
2007-03-02,42.86
2007-03-05,42.49
2007-03-06,42.66
2007-03-07,42.56
2007-03-08,42.99
2007-03-09,43.1
2007-03-12,43.04
2007-03-13,42.3
2007-03-14,42.24
2007-03-15,42.53
2007-03-16,42.66
2007-03-19,42.93
2007-03-20,42.76
2007-03-21,43.39
2007-03-22,42.89
2007-03-23,43.12
2007-03-26,43.0
2007-03-27,42.74
2007-03-28,42.25
2007-03-29,42.37
2007-03-30,42.4
2007-04-02,42.57
2007-04-03,42.98
2007-04-04,42.79
2007-04-05,42.97
2007-04-09,42.63
2007-04-10,42.68
2007-04-11,42.76
2007-04-12,42.69
2007-04-13,44.0
2007-04-16,45.51
2007-04-17,45.55
2007-04-18,45.73
2007-04-19,45.73
2007-04-20,46.0
2007-04-23,45.9
2007-04-24,45.67
2007-04-25,46.35
2007-04-26,45.84
2007-04-27,45.93
2007-04-30,45.24
2007-05-01,45.42
2007-05-02,45.68
2007-05-03,45.95
2007-05-04,45.95
2007-05-07,46.81
2007-05-08,47.62
2007-05-09,47.3
2007-05-10,46.71
2007-05-11,46.95
2007-05-14,46.55
2007-05-15,46.19
2007-05-16,46.77
2007-05-17,46.76
2007-05-18,46.78
2007-05-21,46.53
2007-05-22,46.4
2007-05-23,46.46
2007-05-24,45.83
