Date,Close
2007-01-03,6.16
2007-01-04,6.2
2007-01-05,6.2
2007-01-08,6.24
2007-01-09,6.25
2007-01-10,6.14
2007-01-11,6.34
2007-01-12,6.48
2007-01-16,6.65
2007-01-17,6.51
2007-01-18,6.35
2007-01-19,6.39
2007-01-22,6.25
2007-01-23,6.25
2007-01-24,6.41
2007-01-25,6.24
2007-01-26,6.25
2007-01-29,6.22
2007-01-30,6.24
2007-01-31,6.23
2007-02-01,6.46
2007-02-02,6.43
2007-02-05,6.4
2007-02-06,6.22
2007-02-07,6.12
2007-02-08,5.88
2007-02-09,5.87
2007-02-12,5.93
2007-02-13,5.95
2007-02-14,5.95
2007-02-15,6.01
2007-02-16,6.02
2007-02-20,6.18
2007-02-21,6.16
2007-02-22,6.2
2007-02-23,6.08
2007-02-26,6.04
2007-02-27,5.95
2007-02-28,6.02
2007-03-01,6.15
2007-03-02,5.96
2007-03-05,5.93
2007-03-06,5.99
2007-03-07,5.89
2007-03-08,5.7
2007-03-09,5.7
2007-03-12,5.85
2007-03-13,5.71
2007-03-14,5.5
2007-03-15,5.49
2007-03-16,5.48
2007-03-19,5.49
2007-03-20,5.44
2007-03-21,5.59
2007-03-22,5.61
2007-03-23,5.54
2007-03-26,5.47
2007-03-27,5.32
2007-03-28,5.25
2007-03-29,5.23
2007-03-30,5.25
2007-04-02,5.34
2007-04-03,5.53
2007-04-04,5.66
2007-04-05,5.6
2007-04-09,5.72
2007-04-10,5.64
2007-04-11,5.58
2007-04-12,5.6
2007-04-13,5.65
2007-04-16,5.88
2007-04-17,5.82
2007-04-18,5.95
2007-04-19,5.86
2007-04-20,5.95
2007-04-23,5.99
2007-04-24,5.55
2007-04-25,5.54
2007-04-26,5.36
2007-04-27,5.25
2007-04-30,5.2
2007-05-01,5.28
2007-05-02,5.41
2007-05-03,5.36
2007-05-04,5.32
2007-05-07,5.47
2007-05-08,5.54
2007-05-09,5.54
2007-05-10,5.41
2007-05-11,5.55
2007-05-14,5.51
2007-05-15,5.41
2007-05-16,5.42
2007-05-17,5.35
2007-05-18,5.34
2007-05-21,5.56
2007-05-22,5.59
2007-05-23,5.5
2007-05-24,5.45
2007-05-25,5.43
2007-05-29,5.55
2007-05-30,5.47
2007-05-31,5.75
2007-06-01,5.84
2007-06-04,5.7
2007-06-05,5.63
2007-06-06,5.5
2007-06-07,5.41
2007-06-08,5.45
2007-06-11,5.41
2007-06-12,5.24
2007-06-13,5.2
2007-06-14,5.08
2007-06-15,5.08
2007-06-18,5.01
2007-06-19,4.87
2007-06-20,4.88
2007-06-21,5.1
2007-06-22,5.19
2007-06-25,5.08
2007-06-26,5.35
2007-06-27,5.35
2007-06-28,5.47
2007-06-29,5.36
2007-07-02,5.55
2007-07-03,5.43
2007-07-05,5.46
2007-07-06,5.49
2007-07-09,5.53
2007-07-10,5.44
2007-07-11,5.45
2007-07-12,5.61
2007-07-13,5.52
2007-07-16,5.31
2007-07-17,5.23
2007-07-18,5.36
2007-07-19,5.3
2007-07-20,5.14
2007-07-23,5.2
2007-07-24,5.63
2007-07-25,5.7
2007-07-26,5.45
2007-07-27,5.36
2007-07-30,5.38
2007-07-31,5.4
2007-08-01,5.51
2007-08-02,5.4
2007-08-03,5.24
2007-08-06,5.21
2007-08-07,5.06
2007-08-08,4.74
2007-08-09,4.57
2007-08-10,5.06
2007-08-13,4.99
2007-08-14,4.99
2007-08-15,4.85
2007-08-16,5.01
2007-08-17,4.87
2007-08-20,4.91
2007-08-21,4.95
2007-08-22,4.95
2007-08-23,4.95
2007-08-24,5.1
2007-08-27,4.95
2007-08-28,4.96
2007-08-29,4.97
2007-08-30,4.95
2007-08-31,5.05
2007-09-04,5.05
2007-09-05,5.05
2007-09-06,5.16
2007-09-07,5.01
2007-09-10,5.03
2007-09-11,5.1
2007-09-12,5.16
2007-09-13,5.08
2007-09-14,4.97
2007-09-17,5.01
2007-09-18,5.21
2007-09-19,5.22
2007-09-20,5.32
2007-09-21,5.28
2007-09-24,5.26
2007-09-25,5.26
2007-09-26,5.41
2007-09-27,5.38
2007-09-28,5.38
2007-10-01,5.41
2007-10-02,5.4
2007-10-03,5.36
2007-10-04,5.47
2007-10-05,5.46
2007-10-08,5.49
2007-10-09,5.51
2007-10-10,5.51
2007-10-11,5.43
2007-10-12,5.61
2007-10-15,5.51
2007-10-16,5.47
2007-10-17,5.52
2007-10-18,5.5
2007-10-19,5.64
2007-10-22,5.89
2007-10-23,6.34
2007-10-24,5.97
2007-10-25,6.07
2007-10-26,6.11
2007-10-29,5.78
2007-10-30,5.81
2007-10-31,5.83
2007-11-01,5.56
2007-11-02,5.58
2007-11-05,5.59
2007-11-06,5.55
2007-11-07,5.53
2007-11-08,5.84
2007-11-09,5.67
2007-11-12,5.56
2007-11-13,5.76
2007-11-14,5.88
2007-11-15,5.76
2007-11-16,5.8
2007-11-19,5.7
2007-11-20,5.7
2007-11-21,5.76
2007-11-23,5.85
2007-11-26,5.85
2007-11-27,6.0
2007-11-28,6.17
2007-11-29,6.23
2007-11-30,6.25
2007-12-03,6.25
2007-12-04,6.32
2007-12-05,6.51
2007-12-06,6.47
2007-12-07,6.36
2007-12-10,6.44
2007-12-11,6.2
2007-12-12,6.31
2007-12-13,6.2
2007-12-14,6.41
2007-12-17,6.45
2007-12-18,6.64
2007-12-19,6.54
2007-12-20,6.56
2007-12-21,6.6
2007-12-24,6.7
2007-12-26,6.77
2007-12-27,6.84
2007-12-28,6.89
2007-12-31,6.86
