Date,Close
2007-01-03,77.25
2007-01-04,77.16
2007-01-05,77.16
2007-01-08,77.43
2007-01-09,76.63
2007-01-10,75.7
2007-01-11,75.99
2007-01-12,77.02
2007-01-16,76.19
2007-01-17,76.53
2007-01-18,75.82
2007-01-19,78.88
2007-01-22,78.99
2007-01-23,80.05
2007-01-24,80.24
2007-01-25,78.68
2007-01-26,79.47
2007-01-29,78.75
2007-01-30,80.15
2007-01-31,80.4
2007-02-01,79.72
2007-02-02,80.81
2007-02-05,81.64
2007-02-06,82.69
2007-02-07,83.61
2007-02-08,82.78
2007-02-09,82.01
2007-02-12,81.5
2007-02-13,81.78
2007-02-14,81.87
2007-02-15,82.35
2007-02-16,82.07
2007-02-20,82.14
2007-02-21,82.29
2007-02-22,82.31
2007-02-23,80.48
2007-02-26,80.32
2007-02-27,77.13
2007-02-28,77.03
2007-03-01,77.15
2007-03-02,76.78
2007-03-05,74.37
2007-03-06,75.86
2007-03-07,74.81
2007-03-08,76.65
2007-03-09,77.0
2007-03-12,76.18
2007-03-13,74.75
2007-03-14,75.21
2007-03-15,75.95
2007-03-16,74.95
2007-03-19,75.64
2007-03-20,76.21
2007-03-21,78.07
2007-03-22,77.76
2007-03-23,77.89
2007-03-26,77.44
2007-03-27,76.64
2007-03-28,75.49
2007-03-29,75.65
2007-03-30,75.46
2007-04-02,73.57
2007-04-03,74.36
2007-04-04,73.28
2007-04-05,73.36
2007-04-09,73.43
2007-04-10,74.01
2007-04-11,73.92
2007-04-12,73.83
2007-04-13,75.06
2007-04-16,76.31
2007-04-17,77.12
2007-04-18,77.68
2007-04-19,77.34
2007-04-20,72.8
2007-04-23,70.26
2007-04-24,71.97
2007-04-25,73.95
2007-04-26,75.49
2007-04-27,74.91
2007-04-30,74.26
2007-05-01,73.74
2007-05-02,74.15
2007-05-03,74.5
2007-05-04,74.43
2007-05-07,75.31
2007-05-08,75.39
2007-05-09,75.31
2007-05-10,76.15
2007-05-11,77.2
2007-05-14,77.08
2007-05-15,76.79
2007-05-16,76.98
2007-05-17,76.88
2007-05-18,77.44
2007-05-21,77.92
2007-05-22,78.62
2007-05-23,79.77
2007-05-24,78.56
2007-05-25,78.78
2007-05-29,79.77
2007-05-30,80.0
2007-05-31,79.78
2007-06-01,80.15
2007-06-04,79.9
2007-06-05,79.88
2007-06-06,79.61
2007-06-07,79.59
2007-06-08,79.99
2007-06-11,80.57
2007-06-12,79.7
2007-06-13,80.64
2007-06-14,80.42
2007-06-15,80.75
2007-06-18,81.85
2007-06-19,81.64
2007-06-20,80.47
2007-06-21,80.9
2007-06-22,80.03
2007-06-25,79.4
2007-06-26,78.81
2007-06-27,78.8
2007-06-28,79.67
2007-06-29,78.44
2007-07-02,78.75
2007-07-03,78.94
2007-07-05,78.03
2007-07-06,78.61
2007-07-09,78.85
2007-07-10,75.68
2007-07-11,74.63
2007-07-12,75.71
2007-07-13,75.35
2007-07-16,76.2
2007-07-17,76.39
2007-07-18,76.38
2007-07-19,75.51
2007-07-20,77.66
2007-07-23,78.05
2007-07-24,75.36
2007-07-25,75.12
2007-07-26,73.83
2007-07-27,73.02
2007-07-30,73.49
2007-07-31,70.76
2007-08-01,69.96
2007-08-02,71.2
2007-08-03,67.34
2007-08-06,70.25
2007-08-07,70.61
2007-08-08,71.59
2007-08-09,68.0
2007-08-10,69.1
2007-08-13,68.47
2007-08-14,66.0
2007-08-15,63.03
2007-08-16,64.86
2007-08-17,68.75
2007-08-20,66.72
2007-08-21,68.47
2007-08-22,66.94
2007-08-23,66.85
2007-08-24,66.32
2007-08-27,65.9
2007-08-28,63.75
2007-08-29,65.04
2007-08-30,64.25
2007-08-31,64.66
2007-09-04,64.73
2007-09-05,63.14
2007-09-06,64.12
2007-09-07,62.7
2007-09-10,62.79
2007-09-11,64.08
2007-09-12,65.07
2007-09-13,66.41
2007-09-14,66.11
2007-09-17,65.24
2007-09-18,69.73
2007-09-19,70.98
2007-09-20,69.39
2007-09-21,69.02
2007-09-24,66.77
2007-09-25,65.86
2007-09-26,66.1
2007-09-27,66.8
2007-09-28,66.43
2007-10-01,68.32
2007-10-02,69.32
2007-10-03,70.3
2007-10-04,71.05
2007-10-05,72.94
2007-10-08,71.25
2007-10-09,72.01
2007-10-10,70.83
2007-10-11,71.89
2007-10-12,70.88
2007-10-15,68.52
2007-10-16,66.99
2007-10-17,66.9
2007-10-18,66.0
2007-10-19,62.68
2007-10-22,62.93
2007-10-23,62.06
2007-10-24,63.73
2007-10-25,61.96
2007-10-26,64.4
2007-10-29,65.89
2007-10-30,65.23
2007-10-31,65.59
2007-11-01,62.29
2007-11-02,61.17
2007-11-05,60.53
2007-11-06,59.47
2007-11-07,50.21
2007-11-08,52.9
2007-11-09,54.26
2007-11-12,54.27
2007-11-13,56.93
2007-11-14,55.3
2007-11-15,52.79
2007-11-16,53.05
2007-11-19,51.5
2007-11-20,50.74
2007-11-21,49.81
2007-11-23,52.07
2007-11-26,49.2
2007-11-27,49.17
2007-11-28,53.61
2007-11-29,51.92
2007-11-30,53.31
2007-12-03,50.89
2007-12-04,49.9
2007-12-05,49.93
2007-12-06,52.43
2007-12-07,49.8
2007-12-10,52.07
2007-12-11,49.93
2007-12-12,48.27
2007-12-13,48.61
2007-12-14,47.2
2007-12-17,45.66
2007-12-18,46.5
2007-12-19,46.0
2007-12-20,45.91
2007-12-21,47.68
2007-12-24,48.21
2007-12-26,47.84
2007-12-27,46.69
2007-12-28,46.57
2007-12-31,47.26
2008-01-02,47.35
2008-01-03,46.67
2008-01-04,45.97
2008-01-07,46.85
2008-01-08,43.19
2008-01-09,43.35
2008-01-10,42.92
2008-01-11,42.59
2008-01-14,43.07
2008-01-15,42.0
2008-01-16,43.54
2008-01-17,41.06
2008-01-18,39.68
2008-01-22,39.81
2008-01-23,44.2
2008-01-24,47.75
2008-01-25,46.51
2008-01-28,49.89
2008-01-29,51.69
2008-01-30,51.6
2008-01-31,54.62
2008-02-01,56.97
2008-02-04,52.65
2008-02-05,50.2
2008-02-06,49.56
2008-02-07,50.1
2008-02-08,48.98
2008-02-11,46.82
2008-02-12,47.45
2008-02-13,49.08
2008-02-14,47.59
2008-02-15,47.66
2008-02-19,48.06
2008-02-20,49.33
2008-02-21,47.68
2008-02-22,47.92
2008-02-25,48.54
2008-02-26,49.94
2008-02-27,49.83
2008-02-28,48.42
2008-02-29,46.03
2008-03-03,44.97
2008-03-04,45.42
2008-03-05,44.32
2008-03-06,42.5
2008-03-07,43.36
2008-03-10,41.26
2008-03-11,46.72
2008-03-12,47.65
2008-03-13,49.54
2008-03-14,47.86
2008-03-17,47.46
2008-03-18,51.49
2008-03-19,49.46
2008-03-20,53.25
2008-03-24,54.35
2008-03-25,53.05
2008-03-26,51.25
2008-03-27,50.47
2008-03-28,48.99
2008-03-31,49.22
2008-04-01,53.48
2008-04-02,53.18
2008-04-03,52.99
2008-04-04,51.27
2008-04-07,53.06
2008-04-08,53.51
2008-04-09,50.63
2008-04-10,49.62
2008-04-11,48.3
2008-04-14,47.12
2008-04-15,45.97
2008-04-16,46.25
2008-04-17,48.74
2008-04-18,47.21
2008-04-21,47.86
2008-04-22,46.38
2008-04-23,45.92
2008-04-24,48.45
2008-04-25,50.91
2008-04-28,53.82
2008-04-29,53.61
2008-04-30,53.0
2008-05-01,55.82
2008-05-02,55.23
2008-05-05,55.4
2008-05-06,55.96
2008-05-07,54.2
2008-05-08,53.76
2008-05-09,52.91
2008-05-12,53.92
2008-05-13,51.75
2008-05-14,51.25
2008-05-15,52.7
2008-05-16,51.65
2008-05-19,51.71
2008-05-20,49.76
2008-05-21,47.98
2008-05-22,48.92
2008-05-23,47.47
2008-05-27,48.59
2008-05-28,48.52
2008-05-29,48.58
2008-05-30,48.12
2008-06-02,46.56
2008-06-03,46.88
2008-06-04,47.18
2008-06-05,49.62
2008-06-06,46.15
2008-06-09,44.44
2008-06-10,44.08
2008-06-11,42.52
2008-06-12,43.56
2008-06-13,44.62
2008-06-16,45.64
2008-06-17,43.87
2008-06-18,42.36
2008-06-19,41.88
2008-06-20,40.9
2008-06-23,39.52
2008-06-24,40.98
2008-06-25,41.13
2008-06-26,38.65
2008-06-27,38.31
2008-06-30,38.01
2008-07-01,40.14
2008-07-02,38.89
2008-07-03,38.44
2008-07-07,37.33
2008-07-08,41.06
2008-07-09,39.4
2008-07-10,40.35
2008-07-11,38.56
2008-07-14,35.7
2008-07-15,33.75
2008-07-16,37.28
2008-07-17,42.8
2008-07-18,42.87
2008-07-21,42.08
2008-07-22,42.2
2008-07-23,43.25
2008-07-24,39.67
2008-07-25,39.27
2008-07-28,37.08
2008-07-29,40.99
2008-07-30,42.33
2008-07-31,41.86
2008-08-01,41.51
2008-08-04,40.55
2008-08-05,45.23
2008-08-06,45.01
2008-08-07,42.0
2008-08-08,43.39
2008-08-11,46.0
2008-08-12,43.16
2008-08-13,40.79
2008-08-14,41.78
2008-08-15,43.95
2008-08-18,41.79
2008-08-19,40.35
2008-08-20,41.29
2008-08-21,41.22
2008-08-22,42.35
2008-08-25,41.67
2008-08-26,41.83
2008-08-27,42.59
2008-08-28,44.14
2008-08-29,44.14
2008-09-02,44.92
2008-09-03,45.66
2008-09-04,43.33
2008-09-05,44.71
2008-09-08,48.73
2008-09-09,45.5
2008-09-10,45.58
2008-09-11,46.34
2008-09-12,45.94
2008-09-15,44.7
2008-09-16,49.04
2008-09-17,46.34
2008-09-18,54.0
2008-09-19,56.05
2008-09-22,54.45
2008-09-23,53.72
2008-09-24,52.49
2008-09-25,49.8
2008-09-26,54.55
2008-09-29,44.0
2008-09-30,51.0
2008-10-01,51.42
2008-10-02,46.78
2008-10-03,44.9
2008-10-06,41.69
2008-10-07,37.56
2008-10-08,35.79
2008-10-09,33.41
2008-10-10,35.54
2008-10-13,39.74
2008-10-14,44.47
2008-10-15,37.76
2008-10-16,38.7
2008-10-17,39.92
2008-10-20,40.28
2008-10-21,38.88
2008-10-22,36.4
2008-10-23,35.71
2008-10-24,35.3
2008-10-27,34.4
2008-10-28,39.9
2008-10-29,37.85
2008-10-30,38.12
2008-10-31,39.12
2008-11-03,39.62
2008-11-04,42.82
2008-11-05,38.23
2008-11-06,34.8
2008-11-07,34.56
2008-11-10,32.56
2008-11-11,32.05
2008-11-12,30.04
2008-11-13,33.56
2008-11-14,31.19
2008-11-17,29.87
2008-11-18,29.25
2008-11-19,26.5
2008-11-20,25.19
2008-11-21,26.83
2008-11-24,31.75
2008-11-25,33.7
2008-11-26,34.62
2008-11-28,34.41
2008-12-01,27.13
2008-12-02,29.29
2008-12-03,31.59
2008-12-04,30.99
2008-12-05,32.72
2008-12-08,34.33
2008-12-09,32.88
2008-12-10,32.08
2008-12-11,27.85
2008-12-12,28.12
2008-12-15,26.11
2008-12-16,29.46
2008-12-17,29.47
2008-12-18,29.76
2008-12-19,30.97
2008-12-22,29.94
2008-12-23,29.0
2008-12-24,29.4
2008-12-26,29.48
2008-12-29,29.31
2008-12-30,30.86
2008-12-31,31.89
2009-01-02,33.31
2009-01-05,33.04
2009-01-06,34.14
2009-01-07,31.68
2009-01-08,30.93
2009-01-09,29.33
2009-01-12,27.14
2009-01-13,27.94
2009-01-14,25.58
2009-01-15,25.47
2009-01-16,24.1
2009-01-20,22.92
2009-01-21,22.96
2009-01-22,21.94
2009-01-23,19.32
2009-01-26,18.57
2009-01-27,17.9
2009-01-28,20.3
2009-01-29,16.87
2009-01-30,15.84
2009-02-02,16.83
2009-02-03,14.99
2009-02-04,14.53
2009-02-05,14.21
2009-02-06,14.5
2009-02-09,14.95
2009-02-10,12.85
2009-02-11,13.51
2009-02-12,12.28
2009-02-13,12.11
2009-02-17,10.13
2009-02-18,10.95
2009-02-19,9.04
2009-02-20,10.01
2009-02-23,9.13
2009-02-24,11.31
2009-02-25,12.27
2009-02-26,12.98
2009-02-27,12.05
2009-03-02,10.1
2009-03-03,10.2
2009-03-04,10.45
2009-03-05,8.99
2009-03-06,8.31
2009-03-09,8.73
2009-03-10,10.05
2009-03-11,10.82
2009-03-12,13.31
2009-03-13,12.56
2009-03-16,12.57
2009-03-17,13.37
2009-03-18,14.23
2009-03-19,12.3
2009-03-20,11.34
2009-03-23,13.62
2009-03-24,13.31
2009-03-25,14.46
2009-03-26,14.81
2009-03-27,14.23
2009-03-30,11.35
2009-03-31,12.24
2009-04-01,12.97
2009-04-02,13.14
2009-04-03,13.82
2009-04-06,12.82
2009-04-07,12.81
2009-04-08,13.81
2009-04-09,17.46
2009-04-13,19.21
2009-04-14,17.07
2009-04-15,17.32
2009-04-16,17.86
2009-04-17,17.85
2009-04-20,13.38
2009-04-21,15.05
2009-04-22,14.38
2009-04-23,16.93
2009-04-24,19.02
2009-04-27,16.74
2009-04-28,16.18
2009-04-29,17.48
2009-04-30,16.74
2009-05-01,17.34
2009-05-04,20.31
2009-05-05,19.47
2009-05-06,22.39
2009-05-07,26.45
2009-05-08,31.34
2009-05-11,27.1
2009-05-12,25.49
2009-05-13,23.96
2009-05-14,24.58
2009-05-15,24.54
2009-05-18,26.06
2009-05-19,24.9
2009-05-20,23.11
2009-05-21,22.93
2009-05-22,21.92
2009-05-26,22.64
2009-05-27,22.29
2009-05-28,23.27
2009-05-29,24.44
2009-06-01,24.84
2009-06-02,24.45
2009-06-03,23.91
2009-06-04,25.0
2009-06-05,24.11
2009-06-08,23.44
2009-06-09,24.05
2009-06-10,24.23
2009-06-11,24.59
2009-06-12,23.94
2009-06-15,23.4
2009-06-16,23.15
2009-06-17,22.48
2009-06-18,22.29
2009-06-19,22.33
2009-06-22,20.45
2009-06-23,21.16
2009-06-24,21.24
2009-06-25,22.16
2009-06-26,21.94
2009-06-29,22.38
2009-06-30,21.88
2009-07-01,21.87
2009-07-02,20.79
2009-07-06,20.98
2009-07-07,20.47
2009-07-08,20.57
2009-07-09,21.2
2009-07-10,20.63
2009-07-13,21.86
2009-07-14,23.11
2009-07-15,25.84
2009-07-16,26.92
2009-07-17,26.5
2009-07-20,26.71
2009-07-21,26.31
2009-07-22,26.47
2009-07-23,27.83
2009-07-24,30.07
2009-07-27,29.82
2009-07-28,29.68
2009-07-29,29.71
2009-07-30,30.41
2009-07-31,30.7
2009-08-03,31.39
2009-08-04,31.5
2009-08-05,31.45
2009-08-06,32.17
2009-08-07,34.12
2009-08-10,33.88
2009-08-11,32.76
2009-08-12,33.79
2009-08-13,35.3
2009-08-14,35.08
2009-08-17,34.06
2009-08-18,35.25
2009-08-19,34.46
2009-08-20,35.04
2009-08-21,36.48
2009-08-24,36.45
2009-08-25,36.37
2009-08-26,36.49
2009-08-27,36.63
2009-08-28,36.73
2009-08-31,37.29
2009-09-01,35.05
2009-09-02,34.34
2009-09-03,34.86
2009-09-04,35.23
2009-09-08,35.44
2009-09-09,37.47
2009-09-10,38.17
2009-09-11,37.98
2009-09-14,38.32
2009-09-15,37.42
2009-09-16,39.0
2009-09-17,38.05
2009-09-18,37.5
2009-09-21,36.29
2009-09-22,37.23
2009-09-23,36.3
2009-09-24,35.81
2009-09-25,35.14
2009-09-28,36.7
2009-09-29,35.29
2009-09-30,35.73
2009-10-01,33.64
2009-10-02,33.19
2009-10-05,35.93
2009-10-06,35.96
2009-10-07,36.94
2009-10-08,37.47
2009-10-09,37.61
2009-10-12,38.31
2009-10-13,38.19
2009-10-14,39.35
2009-10-15,38.12
2009-10-16,36.35
2009-10-19,37.28
2009-10-20,36.9
2009-10-21,36.63
2009-10-22,38.33
2009-10-23,40.95
2009-10-26,39.48
2009-10-27,39.66
2009-10-28,37.39
2009-10-29,39.0
2009-10-30,36.6
2009-11-02,38.27
2009-11-03,37.43
2009-11-04,37.19
2009-11-05,38.46
2009-11-06,37.67
2009-11-09,39.78
2009-11-10,39.69
2009-11-11,39.64
2009-11-12,38.37
2009-11-13,38.8
2009-11-16,39.89
2009-11-17,40.5
2009-11-18,40.45
2009-11-19,38.34
2009-11-20,37.7
2009-11-23,38.02
2009-11-24,38.05
2009-11-25,38.76
2009-11-27,37.24
2009-11-30,38.36
2009-12-01,38.09
2009-12-02,38.35
2009-12-03,36.92
2009-12-04,37.92
2009-12-07,37.47
2009-12-08,37.6
2009-12-09,38.61
2009-12-10,38.72
2009-12-11,40.4
2009-12-14,41.05
2009-12-15,40.09
2009-12-16,40.2
2009-12-17,38.55
