Date,Close
2007-01-03,73.32
2007-01-04,72.83
2007-01-05,71.72
2007-01-08,71.09
2007-01-09,73.88
2007-01-10,74.83
2007-01-11,76.69
2007-01-12,76.86
2007-01-16,77.37
2007-01-17,76.99
2007-01-18,77.22
2007-01-19,78.16
2007-01-22,77.37
2007-01-23,77.56
2007-01-24,78.7
2007-01-25,79.26
2007-01-26,78.85
2007-01-29,78.59
2007-01-30,78.32
2007-01-31,78.4
2007-02-01,77.95
2007-02-02,77.86
2007-02-05,77.44
2007-02-06,78.0
2007-02-07,78.73
2007-02-08,78.2
2007-02-09,75.99
2007-02-12,76.13
2007-02-13,77.23
2007-02-14,76.43
2007-02-15,76.86
2007-02-16,77.15
2007-02-20,77.53
2007-02-21,77.04
2007-02-22,76.06
2007-02-23,74.67
2007-02-26,74.5
2007-02-27,71.75
2007-02-28,71.98
2007-03-01,71.21
2007-03-02,70.8
2007-03-05,68.09
2007-03-06,69.35
2007-03-07,69.72
2007-03-08,71.04
2007-03-09,72.01
2007-03-12,73.05
2007-03-13,71.19
2007-03-14,71.38
2007-03-15,72.0
2007-03-16,71.25
2007-03-19,72.4
2007-03-20,73.3
2007-03-21,74.13
2007-03-22,74.26
2007-03-23,74.3
2007-03-26,72.24
2007-03-27,70.89
2007-03-28,69.07
2007-03-29,69.56
2007-03-30,70.31
2007-04-02,70.93
2007-04-03,71.87
2007-04-04,71.5
2007-04-05,71.89
2007-04-09,71.94
2007-04-10,72.14
2007-04-11,70.68
2007-04-12,70.79
2007-04-13,71.14
2007-04-16,71.46
2007-04-17,71.8
2007-04-18,71.33
2007-04-19,71.3
2007-04-20,71.46
2007-04-23,72.23
2007-04-24,71.47
2007-04-25,71.39
2007-04-26,70.95
2007-04-27,70.14
2007-04-30,69.65
2007-05-01,68.41
2007-05-02,68.0
2007-05-03,68.21
2007-05-04,67.98
2007-05-07,68.2
2007-05-08,68.22
2007-05-09,69.12
2007-05-10,69.28
2007-05-11,72.05
2007-05-14,72.21
2007-05-15,72.33
2007-05-16,70.98
2007-05-17,70.25
2007-05-18,69.02
2007-05-21,69.51
2007-05-22,70.0
2007-05-23,69.59
2007-05-24,68.7
2007-05-25,69.39
2007-05-29,73.3
2007-05-30,75.32
2007-05-31,74.65
2007-06-01,74.45
2007-06-04,74.8
2007-06-05,74.24
2007-06-06,74.5
2007-06-07,72.5
2007-06-08,73.04
2007-06-11,71.76
2007-06-12,70.19
2007-06-13,71.86
2007-06-14,70.8
2007-06-15,71.25
2007-06-18,69.54
2007-06-19,70.39
2007-06-20,68.59
2007-06-21,68.64
2007-06-22,69.22
2007-06-25,68.24
2007-06-26,67.53
2007-06-27,67.69
2007-06-28,67.75
2007-06-29,66.97
2007-07-02,67.42
2007-07-03,67.92
2007-07-05,68.74
2007-07-06,68.66
2007-07-09,67.81
2007-07-10,66.25
2007-07-11,66.62
2007-07-12,67.72
2007-07-13,68.08
2007-07-16,67.8
2007-07-17,66.88
2007-07-18,65.83
2007-07-19,65.85
2007-07-20,64.18
2007-07-23,62.74
2007-07-24,60.9
2007-07-25,59.86
2007-07-26,57.56
2007-07-27,55.67
2007-07-30,55.65
2007-07-31,54.96
2007-08-01,56.0
2007-08-02,56.46
2007-08-03,56.1
2007-08-06,58.85
2007-08-07,59.91
2007-08-08,62.79
2007-08-09,62.67
2007-08-10,61.0
2007-08-13,60.83
2007-08-14,58.82
2007-08-15,59.3
2007-08-16,59.75
2007-08-17,62.03
2007-08-20,63.82
2007-08-21,63.35
2007-08-22,62.96
2007-08-23,62.98
2007-08-24,62.13
2007-08-27,61.27
2007-08-28,59.59
2007-08-29,60.96
2007-08-30,60.99
2007-08-31,61.49
2007-09-04,61.79
2007-09-05,60.05
2007-09-06,60.87
2007-09-07,59.78
2007-09-10,59.15
2007-09-11,59.96
2007-09-12,59.73
2007-09-13,61.02
2007-09-14,60.76
2007-09-17,60.67
2007-09-18,61.98
2007-09-19,64.26
2007-09-20,62.74
2007-09-21,62.29
2007-09-24,63.37
2007-09-25,63.42
2007-09-26,63.51
2007-09-27,64.2
2007-09-28,64.25
2007-10-01,63.8
2007-10-02,65.35
2007-10-03,64.64
2007-10-04,65.41
2007-10-05,66.82
2007-10-08,66.04
2007-10-09,65.6
2007-10-10,65.61
2007-10-11,65.96
2007-10-12,64.12
2007-10-15,62.78
2007-10-16,61.94
2007-10-17,60.67
2007-10-18,60.28
2007-10-19,57.89
2007-10-22,58.56
2007-10-23,60.13
2007-10-24,59.9
2007-10-25,59.48
2007-10-26,59.3
2007-10-29,58.97
2007-10-30,59.16
2007-10-31,62.35
2007-11-01,60.0
2007-11-02,56.33
2007-11-05,54.41
2007-11-06,53.16
2007-11-07,52.75
2007-11-08,51.8
2007-11-09,53.34
2007-11-12,52.98
2007-11-13,54.97
2007-11-14,53.83
2007-11-15,53.8
2007-11-16,52.92
2007-11-19,50.97
2007-11-20,49.56
2007-11-21,48.92
2007-11-23,49.79
2007-11-26,46.82
2007-11-27,48.86
2007-11-28,50.98
2007-11-29,52.05
2007-11-30,52.61
2007-12-03,51.63
2007-12-04,50.04
2007-12-05,51.2
2007-12-06,52.55
2007-12-07,51.53
2007-12-10,52.73
2007-12-11,50.19
2007-12-12,49.27
2007-12-13,48.78
2007-12-14,47.58
2007-12-17,45.78
2007-12-18,46.1
2007-12-19,46.64
2007-12-20,45.99
2007-12-21,47.29
2007-12-24,49.54
2007-12-26,48.77
2007-12-27,48.0
2007-12-28,47.4
2007-12-31,48.15
2008-01-02,46.45
2008-01-03,43.76
2008-01-04,42.54
2008-01-07,43.59
2008-01-08,42.18
2008-01-09,43.47
2008-01-10,44.07
2008-01-11,44.59
2008-01-14,44.5
2008-01-15,42.72
2008-01-16,43.45
2008-01-17,43.5
2008-01-18,43.3
2008-01-22,45.65
2008-01-23,50.47
2008-01-24,47.75
2008-01-25,47.92
2008-01-28,50.08
2008-01-29,49.52
2008-01-30,48.02
2008-01-31,49.26
2008-02-01,50.23
2008-02-04,48.99
2008-02-05,47.61
2008-02-06,47.4
2008-02-07,48.51
2008-02-08,46.82
2008-02-11,45.99
2008-02-12,47.75
2008-02-13,47.72
2008-02-14,47.04
2008-02-15,46.8
2008-02-19,46.31
2008-02-20,47.22
2008-02-21,47.24
2008-02-22,48.72
2008-02-25,50.06
2008-02-26,49.78
2008-02-27,49.77
2008-02-28,48.95
