Date,Close
2007-01-03,40.43
2007-01-04,40.47
2007-01-05,40.29
2007-01-08,40.33
2007-01-09,40.26
2007-01-10,40.15
2007-01-11,40.49
2007-01-12,40.68
2007-01-16,40.99
2007-01-17,40.84
2007-01-18,40.7
2007-01-19,40.8
2007-01-22,40.85
2007-01-23,40.7
2007-01-24,41.67
2007-01-25,41.09
2007-01-26,40.97
2007-01-29,41.4
2007-01-30,40.89
2007-01-31,41.15
2007-02-01,41.41
2007-02-02,41.21
2007-02-05,41.51
2007-02-06,41.62
2007-02-07,42.18
2007-02-08,41.98
2007-02-09,41.74
2007-02-12,41.91
2007-02-13,41.97
2007-02-14,42.37
2007-02-15,42.34
2007-02-16,42.39
2007-02-20,42.81
2007-02-21,42.47
2007-02-22,42.63
2007-02-23,42.3
2007-02-26,42.08
2007-02-27,40.82
2007-02-28,40.38
2007-03-01,39.72
2007-03-02,39.35
2007-03-05,38.86
2007-03-06,38.96
2007-03-07,39.65
2007-03-08,39.95
2007-03-09,40.02
2007-03-12,40.19
2007-03-13,39.66
2007-03-14,40.1
2007-03-15,39.73
2007-03-16,39.67
2007-03-19,40.04
2007-03-20,40.51
2007-03-21,37.18
2007-03-22,37.33
2007-03-23,37.32
2007-03-26,37.05
2007-03-27,36.85
2007-03-28,36.23
2007-03-29,36.14
2007-03-30,36.1
2007-04-02,36.03
2007-04-03,35.95
2007-04-04,35.99
2007-04-05,36.42
2007-04-09,36.56
2007-04-10,37.26
2007-04-11,37.11
2007-04-12,37.31
2007-04-13,37.1
2007-04-16,37.58
2007-04-17,37.75
2007-04-18,37.74
2007-04-19,37.56
2007-04-20,37.77
2007-04-23,37.71
2007-04-24,37.74
2007-04-25,38.17
2007-04-26,37.85
2007-04-27,37.75
2007-04-30,37.47
2007-05-01,37.92
2007-05-02,38.18
2007-05-03,38.0
2007-05-04,38.12
2007-05-07,38.63
2007-05-08,38.18
2007-05-09,38.61
2007-05-10,37.97
2007-05-11,38.03
2007-05-14,37.87
2007-05-15,37.61
2007-05-16,37.59
2007-05-17,37.04
2007-05-18,37.32
2007-05-21,37.45
2007-05-22,37.54
2007-05-23,37.6
2007-05-24,37.17
2007-05-25,37.16
2007-05-29,37.49
2007-05-30,38.02
2007-05-31,38.36
2007-06-01,38.48
2007-06-04,40.01
2007-06-05,39.52
2007-06-06,38.61
2007-06-07,38.06
2007-06-08,38.91
2007-06-11,38.94
2007-06-12,38.77
2007-06-13,39.42
2007-06-14,39.89
2007-06-15,40.36
2007-06-18,40.16
2007-06-19,40.12
2007-06-20,39.97
2007-06-21,40.04
2007-06-22,39.51
2007-06-25,39.11
2007-06-26,38.89
2007-06-27,39.7
2007-06-28,39.6
2007-06-29,39.43
2007-07-02,39.8
2007-07-03,39.84
2007-07-05,40.08
2007-07-06,40.25
2007-07-09,40.03
2007-07-10,40.02
2007-07-11,40.12
2007-07-12,40.68
2007-07-13,40.9
2007-07-16,40.43
2007-07-17,40.55
2007-07-18,40.54
2007-07-19,38.35
2007-07-20,38.52
2007-07-23,38.74
2007-07-24,38.19
2007-07-25,38.16
2007-07-26,37.3
2007-07-27,36.9
2007-07-30,36.67
2007-07-31,36.56
2007-08-01,36.7
2007-08-02,36.79
2007-08-03,36.03
2007-08-06,37.41
2007-08-07,37.89
2007-08-08,38.41
2007-08-09,37.67
2007-08-10,37.61
2007-08-13,37.1
2007-08-14,36.54
2007-08-15,36.1
2007-08-16,35.61
2007-08-17,35.37
2007-08-20,35.37
2007-08-21,35.38
2007-08-22,35.78
2007-08-23,35.37
2007-08-24,35.74
2007-08-27,35.58
2007-08-28,35.37
2007-08-29,35.93
2007-08-30,36.3
2007-08-31,36.65
2007-09-04,36.53
2007-09-05,36.13
2007-09-06,36.46
2007-09-07,35.65
2007-09-10,35.74
2007-09-11,36.4
2007-09-12,36.14
2007-09-13,36.05
2007-09-14,36.37
2007-09-17,35.69
2007-09-18,36.34
2007-09-19,36.84
2007-09-20,36.66
2007-09-21,37.15
2007-09-24,36.43
2007-09-25,36.97
2007-09-26,37.24
2007-09-27,37.47
2007-09-28,37.1
2007-10-01,38.0
2007-10-02,37.72
2007-10-03,37.24
2007-10-04,37.06
2007-10-05,37.35
2007-10-08,37.04
2007-10-09,37.08
2007-10-10,37.0
2007-10-11,36.75
2007-10-12,37.06
2007-10-15,37.02
2007-10-16,36.98
2007-10-17,37.05
2007-10-18,37.3
2007-10-19,36.18
2007-10-22,36.45
2007-10-23,35.95
2007-10-24,35.32
2007-10-25,35.95
2007-10-26,36.53
2007-10-29,36.45
2007-10-30,36.24
2007-10-31,36.59
2007-11-01,35.54
2007-11-02,35.63
2007-11-05,34.8
2007-11-06,34.98
2007-11-07,33.73
2007-11-08,34.22
2007-11-09,33.51
2007-11-12,33.47
2007-11-13,33.93
2007-11-14,33.06
2007-11-15,32.98
2007-11-16,32.98
2007-11-19,32.11
2007-11-20,32.39
2007-11-21,32.21
2007-11-23,32.71
2007-11-26,31.79
2007-11-27,32.33
2007-11-28,32.41
2007-11-29,32.06
2007-11-30,31.99
2007-12-03,31.56
2007-12-04,31.58
2007-12-05,32.95
2007-12-06,33.44
2007-12-07,34.75
2007-12-10,34.71
2007-12-11,33.43
2007-12-12,33.99
2007-12-13,34.02
2007-12-14,33.59
2007-12-17,32.73
2007-12-18,33.01
2007-12-19,31.81
2007-12-20,33.49
2007-12-21,34.47
2007-12-24,34.38
2007-12-26,34.28
2007-12-27,34.2
2007-12-28,34.18
2007-12-31,33.62
2008-01-02,32.35
2008-01-03,32.97
2008-01-04,31.61
2008-01-07,32.47
2008-01-08,31.1
2008-01-09,32.24
2008-01-10,31.93
2008-01-11,31.5
2008-01-14,31.95
2008-01-15,31.42
2008-01-16,32.49
2008-01-17,31.42
2008-01-18,31.63
2008-01-22,30.9
2008-01-23,32.49
2008-01-24,31.47
2008-01-25,30.95
2008-01-28,31.82
2008-01-29,31.89
2008-01-30,32.01
2008-01-31,32.82
2008-02-01,33.35
2008-02-04,32.07
2008-02-05,31.11
2008-02-06,31.0
2008-02-07,30.59
2008-02-08,30.43
2008-02-11,30.2
2008-02-12,30.18
2008-02-13,31.08
2008-02-14,30.0
2008-02-15,29.78
2008-02-19,29.47
2008-02-20,30.0
2008-02-21,29.23
2008-02-22,29.8
2008-02-25,30.03
2008-02-26,30.46
2008-02-27,29.92
2008-02-28,30.03
2008-02-29,28.78
2008-03-03,28.99
2008-03-04,29.25
2008-03-05,29.32
2008-03-06,28.56
2008-03-07,28.25
2008-03-10,27.74
2008-03-11,28.94
2008-03-12,28.81
2008-03-13,28.95
2008-03-14,28.1
2008-03-17,27.99
2008-03-18,28.53
2008-03-19,28.73
2008-03-20,28.83
2008-03-24,29.23
2008-03-25,29.2
2008-03-26,28.82
2008-03-27,28.25
2008-03-28,27.85
2008-03-31,28.54
2008-04-01,29.63
2008-04-02,29.99
2008-04-03,29.88
2008-04-04,29.98
2008-04-07,29.8
2008-04-08,29.6
2008-04-09,29.12
2008-04-10,29.24
2008-04-11,27.92
2008-04-14,28.14
2008-04-15,28.27
2008-04-16,28.87
2008-04-17,28.87
2008-04-18,29.59
2008-04-21,29.09
2008-04-22,28.87
2008-04-23,29.05
2008-04-24,29.39
2008-04-25,29.65
2008-04-28,29.51
2008-04-29,29.6
2008-04-30,29.61
2008-05-01,30.14
2008-05-02,31.01
2008-05-05,30.32
2008-05-06,30.93
2008-05-07,29.72
2008-05-08,29.71
2008-05-09,29.86
2008-05-12,30.19
2008-05-13,30.15
2008-05-14,30.39
2008-05-15,30.67
2008-05-16,30.29
2008-05-19,29.95
2008-05-20,29.78
2008-05-21,28.99
2008-05-22,29.1
2008-05-23,28.58
2008-05-27,29.38
2008-05-28,29.18
2008-05-29,29.64
2008-05-30,29.52
2008-06-02,28.74
2008-06-03,28.64
2008-06-04,29.29
2008-06-05,29.48
2008-06-06,28.12
2008-06-09,28.04
2008-06-10,28.21
2008-06-11,27.36
2008-06-12,27.63
2008-06-13,28.44
2008-06-16,28.3
2008-06-17,27.85
2008-06-18,27.25
2008-06-19,27.15
2008-06-20,26.38
2008-06-23,26.19
2008-06-24,26.07
2008-06-25,26.24
2008-06-26,25.75
2008-06-27,26.12
2008-06-30,26.51
2008-07-01,27.13
2008-07-02,26.17
2008-07-03,26.38
2008-07-07,26.16
2008-07-08,26.58
2008-07-09,26.16
2008-07-10,26.5
2008-07-11,25.73
2008-07-14,25.44
2008-07-15,25.55
2008-07-16,26.77
2008-07-17,27.3
2008-07-18,27.85
2008-07-21,27.88
2008-07-22,28.8
2008-07-23,29.2
2008-07-24,28.59
2008-07-25,28.56
2008-07-28,28.06
2008-07-29,28.74
2008-07-30,28.78
2008-07-31,28.44
2008-08-01,28.75
2008-08-04,28.6
2008-08-05,29.52
2008-08-06,29.32
2008-08-07,29.48
2008-08-08,30.57
2008-08-11,30.77
2008-08-12,30.27
2008-08-13,30.47
2008-08-14,31.06
2008-08-15,31.19
2008-08-18,30.88
2008-08-19,30.36
2008-08-20,30.66
2008-08-21,30.34
2008-08-22,31.06
2008-08-25,30.36
2008-08-26,30.52
2008-08-27,30.81
2008-08-28,31.38
2008-08-29,30.8
2008-09-02,31.11
2008-09-03,31.25
2008-09-04,30.71
2008-09-05,30.56
2008-09-08,31.17
2008-09-09,30.96
2008-09-10,31.31
2008-09-11,32.58
2008-09-12,32.84
2008-09-15,32.27
2008-09-16,33.05
2008-09-17,31.72
2008-09-18,31.71
2008-09-19,30.09
2008-09-22,28.97
2008-09-23,28.54
2008-09-24,28.33
2008-09-25,28.32
2008-09-26,29.06
2008-09-29,28.12
2008-09-30,28.71
2008-10-01,28.25
2008-10-02,27.84
2008-10-03,27.15
2008-10-06,26.27
2008-10-07,24.81
2008-10-08,23.95
2008-10-09,22.19
2008-10-10,21.73
2008-10-13,23.38
2008-10-14,22.42
2008-10-15,20.92
2008-10-16,21.61
2008-10-17,21.48
2008-10-20,22.35
2008-10-21,21.68
2008-10-22,20.62
2008-10-23,20.44
2008-10-24,20.24
2008-10-27,19.8
2008-10-28,21.93
2008-10-29,22.24
2008-10-30,22.95
2008-10-31,23.7
2008-11-03,23.89
2008-11-04,24.74
2008-11-05,23.16
2008-11-06,21.77
2008-11-07,22.34
2008-11-10,22.2
2008-11-11,22.25
2008-11-12,21.34
2008-11-13,22.72
2008-11-14,21.01
2008-11-17,21.02
2008-11-18,21.83
2008-11-19,20.36
2008-11-20,19.89
2008-11-21,21.21
2008-11-24,22.62
2008-11-25,22.39
2008-11-26,23.46
2008-11-28,24.02
2008-12-01,22.44
2008-12-02,22.43
2008-12-03,24.6
2008-12-04,24.12
2008-12-05,24.87
2008-12-08,25.69
2008-12-09,24.89
2008-12-10,24.85
2008-12-11,24.02
2008-12-12,24.88
2008-12-15,24.03
2008-12-16,25.28
2008-12-17,25.7
2008-12-18,25.54
2008-12-19,22.38
2008-12-22,21.39
2008-12-23,21.55
2008-12-24,21.78
2008-12-26,21.82
2008-12-29,21.89
2008-12-30,22.87
2008-12-31,23.23
2009-01-02,23.87
2009-01-05,23.66
2009-01-06,24.35
2009-01-07,23.91
2009-01-08,24.04
2009-01-09,23.31
2009-01-12,23.4
2009-01-13,23.26
2009-01-14,22.57
2009-01-15,23.75
2009-01-16,24.04
2009-01-20,23.46
2009-01-21,23.74
2009-01-22,23.34
2009-01-23,23.13
2009-01-26,23.39
2009-01-27,23.58
2009-01-28,24.32
2009-01-29,23.67
2009-01-30,22.75
2009-02-02,22.2
2009-02-03,22.47
2009-02-04,22.28
2009-02-05,23.04
2009-02-06,23.84
2009-02-09,23.98
2009-02-10,22.85
2009-02-11,23.02
2009-02-12,22.97
2009-02-13,22.93
2009-02-17,22.0
2009-02-18,22.19
2009-02-19,21.89
2009-02-20,21.7
2009-02-23,20.74
2009-02-24,21.02
2009-02-25,20.63
2009-02-26,20.06
2009-02-27,20.29
2009-03-02,19.65
2009-03-03,19.3
2009-03-04,19.46
2009-03-05,18.6
2009-03-06,18.46
2009-03-09,18.15
2009-03-10,19.19
2009-03-11,19.63
2009-03-12,20.6
2009-03-13,20.95
2009-03-16,20.57
2009-03-17,21.2
2009-03-18,21.93
2009-03-19,23.17
2009-03-20,22.94
2009-03-23,24.73
2009-03-24,24.54
2009-03-25,24.7
2009-03-26,25.85
2009-03-27,25.07
2009-03-30,24.39
2009-03-31,24.72
2009-04-01,24.56
2009-04-02,25.58
2009-04-03,25.59
2009-04-06,25.54
2009-04-07,24.74
2009-04-08,24.96
2009-04-09,25.93
2009-04-13,25.74
2009-04-14,25.11
2009-04-15,25.75
2009-04-16,26.44
2009-04-17,26.52
2009-04-20,25.75
2009-04-21,26.21
2009-04-22,26.32
2009-04-23,26.34
2009-04-24,26.83
2009-04-27,26.24
2009-04-28,25.92
2009-04-29,25.84
2009-04-30,25.66
2009-05-01,25.75
2009-05-04,25.82
2009-05-05,25.92
2009-05-06,25.82
2009-05-07,25.67
2009-05-08,26.03
2009-05-11,25.68
2009-05-12,25.45
2009-05-13,24.81
2009-05-14,25.1
2009-05-15,24.94
2009-05-18,25.6
2009-05-19,25.58
2009-05-20,25.35
2009-05-21,24.66
2009-05-22,24.56
2009-05-26,25.19
2009-05-27,24.68
2009-05-28,24.61
2009-05-29,23.29
2009-06-01,23.48
2009-06-02,23.17
2009-06-03,22.68
2009-06-04,22.76
2009-06-05,22.83
2009-06-08,22.77
2009-06-09,22.96
2009-06-10,22.76
2009-06-11,22.85
2009-06-12,22.94
2009-06-15,22.49
2009-06-16,22.22
2009-06-17,22.39
2009-06-18,22.41
2009-06-19,22.43
2009-06-22,22.19
2009-06-23,22.11
2009-06-24,22.44
2009-06-25,23.12
2009-06-26,22.92
2009-06-29,22.93
2009-06-30,22.84
2009-07-01,23.06
2009-07-02,22.2
2009-07-06,22.25
2009-07-07,21.67
2009-07-08,21.96
2009-07-09,21.73
2009-07-10,21.61
2009-07-13,21.9
2009-07-14,22.32
2009-07-15,23.12
2009-07-16,22.54
2009-07-17,22.61
2009-07-20,22.77
2009-07-21,23.31
2009-07-22,23.52
2009-07-23,24.19
2009-07-24,24.45
2009-07-27,24.41
2009-07-28,24.61
2009-07-29,24.73
2009-07-30,25.22
2009-07-31,25.18
2009-08-03,25.35
2009-08-04,25.68
2009-08-05,25.57
2009-08-06,25.72
2009-08-07,26.8
2009-08-10,26.6
2009-08-11,26.2
2009-08-12,26.83
2009-08-13,27.33
2009-08-14,26.88
2009-08-17,26.29
2009-08-18,26.67
2009-08-19,27.03
2009-08-20,27.12
2009-08-21,27.7
2009-08-24,27.58
2009-08-25,27.64
2009-08-26,27.87
2009-08-27,28.0
2009-08-28,27.81
2009-08-31,27.44
2009-09-01,27.06
2009-09-02,26.81
2009-09-03,27.26
2009-09-04,27.72
2009-09-08,27.98
2009-09-09,28.16
2009-09-10,28.37
2009-09-11,28.38
2009-09-14,28.82
2009-09-15,28.87
2009-09-16,29.25
2009-09-17,29.46
2009-09-18,29.77
2009-09-21,29.67
2009-09-22,29.78
2009-09-23,28.35
2009-09-24,30.2
2009-09-25,30.06
2009-09-28,30.69
2009-09-29,30.52
2009-09-30,30.31
2009-10-01,29.32
2009-10-02,29.05
2009-10-05,29.54
2009-10-06,29.73
2009-10-07,29.33
2009-10-08,29.38
2009-10-09,29.53
2009-10-12,29.2
2009-10-13,29.2
2009-10-14,29.32
2009-10-15,29.49
2009-10-16,29.25
2009-10-19,29.58
2009-10-20,29.21
2009-10-21,28.72
2009-10-22,28.76
2009-10-23,28.11
2009-10-26,28.32
2009-10-27,28.3
2009-10-28,27.9
2009-10-29,28.15
2009-10-30,27.69
2009-11-02,28.0
2009-11-03,28.03
2009-11-04,28.19
2009-11-05,28.62
2009-11-06,28.77
2009-11-09,29.32
2009-11-10,28.98
2009-11-11,29.04
2009-11-12,28.71
2009-11-13,28.82
2009-11-16,28.91
2009-11-17,28.93
2009-11-18,28.56
2009-11-19,28.09
2009-11-20,27.96
2009-11-23,28.59
2009-11-24,28.54
2009-11-25,28.75
2009-11-27,28.33
2009-11-30,28.09
2009-12-01,28.72
2009-12-02,28.93
2009-12-03,28.73
2009-12-04,29.41
2009-12-07,29.44
2009-12-08,29.01
2009-12-09,28.75
2009-12-10,28.97
2009-12-11,29.33
2009-12-14,29.62
2009-12-15,29.43
2009-12-16,29.32
2009-12-17,28.77
2009-12-18,29.54
2009-12-21,29.62
2009-12-22,29.68
2009-12-23,26.35
2009-12-24,26.37
2009-12-28,26.11
2009-12-29,26.27
2009-12-30,26.18
2009-12-31,26.07
2010-01-04,26.39
2010-01-05,26.35
2010-01-06,26.42
2010-01-07,26.65
2010-01-08,26.91
2010-01-11,26.8
2010-01-12,26.44
2010-01-13,26.85
2010-01-14,26.68
2010-01-15,26.24
2010-01-19,26.66
2010-01-20,26.25
2010-01-21,25.77
