Date,Close
2007-01-03,7.2
2007-01-04,7.08
2007-01-05,7.15
2007-01-08,7.26
2007-01-09,7.17
2007-01-10,7.01
2007-01-11,7.02
2007-01-12,7.36
2007-01-16,7.26
2007-01-17,7.34
2007-01-18,7.26
2007-01-19,7.48
2007-01-22,7.53
2007-01-23,7.83
2007-01-24,7.91
2007-01-25,7.66
2007-01-26,7.79
2007-01-29,7.78
2007-01-30,7.98
2007-01-31,8.11
2007-02-01,8.16
2007-02-02,8.11
2007-02-05,8.25
2007-02-06,8.17
2007-02-07,8.08
2007-02-08,8.25
2007-02-09,8.23
2007-02-12,8.02
2007-02-13,8.25
2007-02-14,8.2
2007-02-15,8.21
2007-02-16,8.4
2007-02-20,8.46
2007-02-21,8.71
2007-02-22,8.82
2007-02-23,8.82
2007-02-26,8.75
2007-02-27,8.48
2007-02-28,8.46
2007-03-01,8.51
2007-03-02,8.28
2007-03-05,8.14
2007-03-06,8.17
2007-03-07,8.4
2007-03-08,8.37
2007-03-09,8.38
2007-03-12,8.37
2007-03-13,8.21
2007-03-14,8.34
2007-03-15,8.36
2007-03-16,8.32
2007-03-19,8.49
2007-03-20,8.46
2007-03-21,8.58
2007-03-22,8.77
2007-03-23,8.71
2007-03-26,8.67
2007-03-27,8.6
2007-03-28,8.62
2007-03-29,8.56
2007-03-30,8.41
2007-04-02,8.72
2007-04-03,8.64
2007-04-04,8.69
2007-04-05,8.69
2007-04-09,8.66
2007-04-10,8.88
2007-04-11,8.85
2007-04-12,8.99
2007-04-13,8.9
2007-04-16,8.85
2007-04-17,8.68
2007-04-18,8.77
2007-04-19,8.66
2007-04-20,8.87
2007-04-23,9.0
2007-04-24,8.98
2007-04-25,9.18
2007-04-26,9.2
2007-04-27,9.22
2007-04-30,9.1
2007-05-01,9.23
2007-05-02,9.4
2007-05-03,9.39
2007-05-04,9.4
2007-05-07,9.4
2007-05-08,9.4
2007-05-09,9.25
2007-05-10,9.15
2007-05-11,9.28
2007-05-14,9.34
2007-05-15,9.31
2007-05-16,9.37
2007-05-17,9.51
2007-05-18,9.61
2007-05-21,9.65
2007-05-22,9.81
2007-05-23,9.73
2007-05-24,9.56
2007-05-25,9.72
2007-05-29,9.61
2007-05-30,9.78
2007-05-31,9.75
2007-06-01,9.64
2007-06-04,9.87
2007-06-05,9.94
2007-06-06,9.71
2007-06-07,9.46
2007-06-08,9.44
2007-06-11,9.39
2007-06-12,9.73
2007-06-13,10.22
2007-06-14,10.44
2007-06-15,10.46
2007-06-18,10.47
2007-06-19,10.33
2007-06-20,10.0
2007-06-21,10.32
2007-06-22,10.04
2007-06-25,9.73
2007-06-26,9.36
2007-06-27,9.44
2007-06-28,9.16
2007-06-29,9.22
2007-07-02,9.32
2007-07-03,9.4
2007-07-05,9.44
2007-07-06,9.37
2007-07-09,9.49
2007-07-10,9.4
2007-07-11,9.5
2007-07-12,9.38
2007-07-13,9.46
2007-07-16,9.28
2007-07-17,9.3
2007-07-18,9.35
2007-07-19,9.6
2007-07-20,9.28
2007-07-23,9.19
2007-07-24,8.74
2007-07-25,8.8
2007-07-26,8.48
