Date,Close
2007-01-03,70.97
2007-01-04,70.28
2007-01-05,70.55
2007-01-08,71.45
2007-01-09,70.63
2007-01-10,69.41
2007-01-11,68.69
2007-01-12,70.35
2007-01-16,69.67
2007-01-17,70.82
2007-01-18,70.92
2007-01-19,72.32
2007-01-22,71.22
2007-01-23,72.56
2007-01-24,72.84
2007-01-25,71.52
2007-01-26,71.5
2007-01-29,71.53
2007-01-30,73.07
2007-01-31,72.88
2007-02-01,74.47
2007-02-02,74.04
2007-02-05,73.78
2007-02-06,73.37
2007-02-07,72.64
2007-02-08,73.75
2007-02-09,73.32
2007-02-12,72.32
2007-02-13,72.83
2007-02-14,72.19
2007-02-15,71.36
2007-02-16,70.81
2007-02-20,70.12
2007-02-21,69.94
2007-02-22,70.67
2007-02-23,71.07
2007-02-26,71.41
2007-02-27,68.58
2007-02-28,68.52
2007-03-01,67.6
2007-03-02,66.79
2007-03-05,66.43
2007-03-06,67.67
2007-03-07,68.33
2007-03-08,68.46
2007-03-09,68.47
2007-03-12,68.83
2007-03-13,67.84
2007-03-14,68.32
2007-03-15,68.87
2007-03-16,68.08
2007-03-19,69.38
2007-03-20,70.05
2007-03-21,71.34
2007-03-22,72.93
2007-03-23,73.7
2007-03-26,74.4
2007-03-27,74.17
2007-03-28,74.08
2007-03-29,74.95
2007-03-30,73.96
2007-04-02,74.83
2007-04-03,75.34
2007-04-04,75.55
2007-04-05,75.61
2007-04-09,75.49
2007-04-10,77.04
2007-04-11,76.56
2007-04-12,77.17
2007-04-13,77.01
2007-04-16,77.87
2007-04-17,77.96
2007-04-18,77.77
2007-04-19,76.81
2007-04-20,78.45
2007-04-23,77.56
2007-04-24,77.1
2007-04-25,78.32
2007-04-26,78.18
2007-04-27,78.08
2007-04-30,77.79
2007-05-01,78.35
2007-05-02,78.64
2007-05-03,79.56
2007-05-04,79.3
2007-05-07,79.58
2007-05-08,80.05
2007-05-09,79.75
2007-05-10,78.19
2007-05-11,80.04
2007-05-14,80.87
2007-05-15,80.73
2007-05-16,80.73
2007-05-17,81.46
2007-05-18,82.85
2007-05-21,82.83
2007-05-22,82.18
2007-05-23,81.4
2007-05-24,79.97
2007-05-25,81.13
2007-05-29,80.71
2007-05-30,82.25
2007-05-31,81.49
2007-06-01,82.23
2007-06-04,83.13
2007-06-05,82.73
2007-06-06,81.79
2007-06-07,80.2
2007-06-08,80.69
2007-06-11,81.36
2007-06-12,80.56
2007-06-13,81.15
2007-06-14,82.33
2007-06-15,83.17
2007-06-18,83.39
2007-06-19,83.29
2007-06-20,80.97
2007-06-21,82.85
2007-06-22,81.55
2007-06-25,82.95
2007-06-26,82.7
2007-06-27,83.89
2007-06-28,84.18
2007-06-29,84.24
2007-07-02,85.15
2007-07-03,86.33
2007-07-05,86.57
2007-07-06,87.68
2007-07-09,89.5
2007-07-10,89.0
2007-07-11,90.75
2007-07-12,93.3
2007-07-13,93.33
2007-07-16,92.12
2007-07-17,91.1
2007-07-18,93.08
2007-07-19,93.0
2007-07-20,92.12
2007-07-23,92.57
2007-07-24,89.85
2007-07-25,91.05
2007-07-26,87.46
2007-07-27,85.2
2007-07-30,86.43
2007-07-31,85.26
2007-08-01,85.17
2007-08-02,83.89
2007-08-03,81.02
2007-08-06,82.02
2007-08-07,83.18
2007-08-08,84.33
2007-08-09,81.11
2007-08-10,83.42
2007-08-13,82.45
2007-08-14,82.45
2007-08-15,80.76
2007-08-16,81.39
2007-08-17,84.36
2007-08-20,84.89
2007-08-21,84.3
2007-08-22,85.39
2007-08-23,85.48
2007-08-24,87.22
2007-08-27,87.0
2007-08-28,84.3
2007-08-29,86.7
2007-08-30,87.19
2007-08-31,87.76
2007-09-04,88.73
2007-09-05,88.36
2007-09-06,88.93
2007-09-07,87.65
2007-09-10,87.05
2007-09-11,88.59
2007-09-12,89.19
2007-09-13,90.09
2007-09-14,90.65
2007-09-17,90.93
2007-09-18,93.34
2007-09-19,94.11
2007-09-20,94.17
2007-09-21,94.84
2007-09-24,94.35
2007-09-25,91.88
2007-09-26,92.51
2007-09-27,93.51
2007-09-28,93.58
2007-10-01,94.44
2007-10-02,92.56
2007-10-03,91.48
2007-10-04,91.84
2007-10-05,92.32
2007-10-08,91.58
2007-10-09,92.8
2007-10-10,92.08
2007-10-11,91.0
2007-10-12,91.41
2007-10-15,92.33
2007-10-16,93.45
2007-10-17,93.26
2007-10-18,92.42
2007-10-19,89.27
2007-10-22,88.44
2007-10-23,88.92
2007-10-24,89.9
2007-10-25,91.23
2007-10-26,91.65
2007-10-29,92.88
2007-10-30,90.08
2007-10-31,91.51
2007-11-01,89.04
2007-11-02,88.48
2007-11-05,88.48
2007-11-06,90.64
2007-11-07,87.54
2007-11-08,89.18
2007-11-09,87.26
2007-11-12,85.27
2007-11-13,86.83
2007-11-14,86.15
2007-11-15,84.16
2007-11-16,85.98
2007-11-19,85.03
2007-11-20,87.9
2007-11-21,85.75
