Date,Close
2014-09-22,4.35
2014-09-23,4.26
2014-09-24,4.34
2014-09-25,4.0
2014-09-26,4.4
2014-09-29,4.23
2014-09-30,4.21
2014-10-01,4.1
2014-10-02,4.27
2014-10-03,4.15
2014-10-06,4.13
2014-10-07,4.0
2014-10-08,4.25
2014-10-09,4.1
2014-10-10,4.0
2014-10-13,3.98
2014-10-14,4.0
2014-10-15,4.0
2014-10-16,3.96
2014-10-17,4.0
2014-10-20,4.05
2014-10-21,4.01
2014-10-22,4.06
2014-10-23,4.04
2014-10-24,4.1
2014-10-27,4.15
2014-10-28,4.15
2014-10-29,4.04
2014-10-30,4.07
2014-10-31,4.12
2014-11-03,4.24
2014-11-04,4.2
2014-11-05,4.27
2014-11-06,4.24
2014-11-07,4.24
2014-11-10,4.2
2014-11-11,4.2
2014-11-12,4.27
2014-11-13,4.31
2014-11-14,4.32
2014-11-17,4.26
2014-11-18,4.25
2014-11-19,4.2
2014-11-20,4.21
2014-11-21,4.3
2014-11-24,4.31
2014-11-25,4.22
2014-11-26,4.14
2014-11-28,4.14
2014-12-01,4.18
2014-12-02,4.27
2014-12-03,4.28
2014-12-04,4.26
2014-12-05,4.24
2014-12-08,4.14
2014-12-09,4.11
2014-12-10,4.05
2014-12-11,4.08
2014-12-12,4.05
2014-12-15,4.15
2014-12-16,4.25
2014-12-17,4.24
2014-12-18,4.3
2014-12-19,4.24
2014-12-22,4.34
2014-12-23,4.33
2014-12-24,4.38
2014-12-26,4.21
2014-12-29,4.24
2014-12-30,4.14
2014-12-31,4.05
2015-01-02,4.04
2015-01-05,4.25
2015-01-06,4.07
2015-01-07,4.29
2015-01-08,4.2
2015-01-09,4.18
2015-01-12,4.2
2015-01-13,4.2
2015-01-14,4.1
2015-01-15,4.13
2015-01-16,4.19
2015-01-20,4.18
2015-01-21,4.03
2015-01-22,4.01
2015-01-23,4.03
2015-01-26,3.98
2015-01-27,4.0
2015-01-28,4.02
2015-01-29,3.97
2015-01-30,3.96
2015-02-02,3.91
