Date,Close
2009-11-13,22.73
2009-11-16,23.1
2009-11-17,23.04
2009-11-18,22.55
2009-11-19,22.87
2009-11-20,23.21
2009-11-23,23.4
2009-11-24,23.5
2009-11-25,23.74
2009-11-27,23.15
2009-11-30,23.0
2009-12-01,23.31
2009-12-02,23.6
2009-12-03,23.31
2009-12-04,23.85
2009-12-07,23.63
2009-12-08,23.63
2009-12-09,24.0
2009-12-10,23.7
2009-12-11,23.34
2009-12-14,22.8
2009-12-15,22.69
2009-12-16,22.73
2009-12-17,22.44
2009-12-18,22.57
2009-12-21,22.6
2009-12-22,22.4
2009-12-23,22.41
2009-12-24,22.15
2009-12-28,22.62
2009-12-29,22.61
2009-12-30,22.61
2009-12-31,22.43
2010-01-04,23.08
2010-01-05,23.26
2010-01-06,23.58
2010-01-07,23.74
2010-01-08,23.87
2010-01-11,24.0
2010-01-12,23.95
2010-01-13,24.3
2010-01-14,24.2
2010-01-15,24.36
2010-01-19,24.55
2010-01-20,24.51
2010-01-21,23.98
2010-01-22,23.34
2010-01-25,23.35
2010-01-26,23.53
2010-01-27,23.55
2010-01-28,23.84
2010-01-29,23.49
2010-02-01,23.37
2010-02-02,23.63
2010-02-03,23.84
2010-02-04,22.47
2010-02-05,21.71
2010-02-08,22.39
2010-02-09,22.56
2010-02-10,22.05
2010-02-11,22.06
2010-02-12,22.55
2010-02-16,23.03
2010-02-17,22.76
2010-02-18,23.28
2010-02-19,23.58
2010-02-22,23.24
2010-02-23,23.64
2010-02-24,24.16
2010-02-25,23.8
2010-02-26,23.89
2010-03-01,24.09
2010-03-02,24.04
2010-03-03,23.99
2010-03-04,24.2
2010-03-05,24.52
2010-03-08,24.67
2010-03-09,25.12
2010-03-10,25.06
2010-03-11,25.11
2010-03-12,25.13
2010-03-15,25.03
2010-03-16,25.12
2010-03-17,25.82
2010-03-18,25.24
2010-03-19,25.6
2010-03-22,25.01
2010-03-23,25.18
2010-03-24,25.25
2010-03-25,24.43
2010-03-26,24.99
2010-03-29,25.35
2010-03-30,25.79
2010-03-31,25.25
2010-04-01,25.52
2010-04-05,25.8
2010-04-06,27.01
2010-04-07,26.55
2010-04-08,26.51
2010-04-09,26.47
2010-04-12,26.24
2010-04-13,27.03
2010-04-14,27.52
2010-04-15,27.0
2010-04-16,28.6
2010-04-19,29.01
2010-04-20,28.25
2010-04-21,28.19
2010-04-22,29.53
2010-04-23,29.38
2010-04-26,29.58
2010-04-27,28.99
2010-04-28,29.01
2010-04-29,29.13
2010-04-30,28.57
2010-05-03,29.02
2010-05-04,28.64
2010-05-05,28.52
2010-05-06,27.91
2010-05-07,27.19
2010-05-10,27.72
2010-05-11,27.98
2010-05-12,29.36
2010-05-13,29.44
2010-05-14,29.27
2010-05-17,29.45
2010-05-18,29.29
2010-05-19,29.7
