Date,Close
2007-01-03,51.49
2007-01-04,51.84
2007-01-05,51.34
2007-01-08,51.7
2007-01-09,51.6
2007-01-10,51.24
2007-01-11,50.78
2007-01-12,50.14
2007-01-16,49.78
2007-01-17,49.02
2007-01-18,50.11
2007-01-19,50.65
2007-01-22,50.03
2007-01-23,50.24
2007-01-24,51.06
2007-01-25,51.3
2007-01-26,51.44
2007-01-29,52.27
2007-01-30,52.63
2007-01-31,52.48
2007-02-01,53.06
2007-02-02,53.35
2007-02-05,52.7
2007-02-06,52.7
2007-02-07,52.93
2007-02-08,52.41
2007-02-09,52.19
2007-02-12,52.26
2007-02-13,52.35
2007-02-14,52.68
2007-02-15,53.92
2007-02-16,52.85
2007-02-20,52.7
2007-02-21,52.42
2007-02-22,52.73
2007-02-23,52.37
2007-02-26,51.88
2007-02-27,50.96
2007-02-28,51.01
2007-03-01,51.07
2007-03-02,49.92
2007-03-05,49.25
2007-03-06,49.31
2007-03-07,49.03
2007-03-08,49.8
2007-03-09,49.72
2007-03-12,49.31
2007-03-13,48.75
2007-03-14,48.73
2007-03-15,49.14
2007-03-16,48.97
2007-03-19,49.65
2007-03-20,49.49
2007-03-21,49.43
2007-03-22,49.07
2007-03-23,48.98
2007-03-26,49.72
2007-03-27,49.65
2007-03-28,49.67
2007-03-29,49.92
2007-03-30,49.87
2007-04-02,50.08
2007-04-03,51.07
2007-04-04,51.17
2007-04-05,51.3
2007-04-09,51.25
2007-04-10,52.22
2007-04-11,52.03
2007-04-12,52.78
2007-04-13,54.31
2007-04-16,51.69
2007-04-17,50.6
2007-04-18,51.37
2007-04-19,50.4
2007-04-20,49.97
2007-04-23,49.6
2007-04-24,49.48
2007-04-25,49.47
2007-04-26,50.2
2007-04-27,49.51
2007-04-30,48.89
2007-05-01,49.09
2007-05-02,49.06
2007-05-03,48.6
2007-05-04,48.92
2007-05-07,49.26
2007-05-08,48.99
2007-05-09,49.22
2007-05-10,49.01
2007-05-11,49.19
2007-05-14,49.5
2007-05-15,49.14
2007-05-16,48.96
2007-05-17,48.17
2007-05-18,48.53
2007-05-21,48.73
2007-05-22,48.3
2007-05-23,48.6
2007-05-24,48.3
2007-05-25,48.83
2007-05-29,48.3
2007-05-30,48.62
2007-05-31,49.02
2007-06-01,49.0
2007-06-04,49.3
2007-06-05,48.89
2007-06-06,48.65
2007-06-07,50.93
2007-06-08,51.5
2007-06-11,51.19
2007-06-12,51.24
2007-06-13,51.57
2007-06-14,51.5
2007-06-15,51.57
2007-06-18,51.99
2007-06-19,52.18
2007-06-20,52.0
2007-06-21,51.76
2007-06-22,51.25
2007-06-25,51.29
2007-06-26,51.29
2007-06-27,52.4
2007-06-28,52.12
2007-06-29,51.65
2007-07-02,51.55
2007-07-03,51.57
2007-07-05,55.0
2007-07-06,56.06
2007-07-09,53.98
2007-07-10,53.84
2007-07-11,54.51
2007-07-12,54.67
2007-07-13,55.25
2007-07-16,54.53
2007-07-17,54.79
2007-07-18,54.17
2007-07-19,54.01
2007-07-20,54.02
2007-07-23,52.8
2007-07-24,56.42
2007-07-25,56.02
2007-07-26,55.87
2007-07-27,55.41
2007-07-30,55.81
2007-07-31,55.47
2007-08-01,55.95
2007-08-02,55.96
2007-08-03,55.46
2007-08-06,56.32
2007-08-07,56.61
2007-08-08,57.21
2007-08-09,56.85
2007-08-10,55.96
2007-08-13,54.86
2007-08-14,54.25
2007-08-15,53.67
2007-08-16,53.44
2007-08-17,54.12
2007-08-20,54.43
2007-08-21,54.36
2007-08-22,54.89
2007-08-23,54.78
2007-08-24,55.28
2007-08-27,54.55
2007-08-28,54.14
2007-08-29,55.04
2007-08-30,54.67
2007-08-31,54.75
2007-09-04,54.83
2007-09-05,55.77
2007-09-06,55.59
2007-09-07,54.67
2007-09-10,54.51
2007-09-11,55.16
2007-09-12,55.22
2007-09-13,55.53
2007-09-14,55.53
2007-09-17,55.45
2007-09-18,55.93
2007-09-19,56.24
2007-09-20,56.0
2007-09-21,56.66
2007-09-24,56.64
2007-09-25,57.65
2007-09-26,58.33
2007-09-27,58.13
2007-09-28,57.77
2007-10-01,57.67
2007-10-02,57.19
2007-10-03,56.79
2007-10-04,56.5
2007-10-05,56.82
2007-10-08,57.18
2007-10-09,57.37
2007-10-10,57.36
2007-10-11,57.0
2007-10-12,57.12
2007-10-15,56.58
2007-10-16,55.88
2007-10-17,56.39
2007-10-18,55.94
2007-10-19,55.81
2007-10-22,55.64
2007-10-23,56.91
2007-10-24,54.25
2007-10-25,54.72
2007-10-26,54.34
2007-10-29,53.74
2007-10-30,53.14
2007-10-31,53.18
2007-11-01,52.77
2007-11-02,53.28
2007-11-05,53.19
2007-11-06,53.23
2007-11-07,52.72
2007-11-08,53.55
2007-11-09,53.87
2007-11-12,54.38
2007-11-13,54.87
2007-11-14,54.8
2007-11-15,54.48
2007-11-16,54.53
2007-11-19,54.4
2007-11-20,54.31
2007-11-21,53.56
2007-11-23,53.92
2007-11-26,54.02
2007-11-27,54.74
2007-11-28,55.48
2007-11-29,55.22
2007-11-30,55.06
2007-12-03,54.69
2007-12-04,54.74
2007-12-05,55.26
2007-12-06,55.05
2007-12-07,54.4
2007-12-10,54.2
2007-12-11,54.15
2007-12-12,54.11
2007-12-13,53.9
2007-12-14,53.54
2007-12-17,53.0
2007-12-18,53.06
2007-12-19,52.82
2007-12-20,53.02
2007-12-21,52.94
2007-12-24,53.06
2007-12-26,53.56
2007-12-27,53.15
2007-12-28,52.92
2007-12-31,52.9
2008-01-02,51.96
2008-01-03,52.11
2008-01-04,51.48
2008-01-07,51.65
2008-01-08,51.34
2008-01-09,53.13
2008-01-10,53.97
2008-01-11,53.81
2008-01-14,53.66
2008-01-15,52.22
2008-01-16,52.69
2008-01-17,51.67
2008-01-18,51.66
2008-01-22,50.81
2008-01-23,49.73
2008-01-24,49.09
2008-01-25,49.02
2008-01-28,49.7
2008-01-29,49.97
2008-01-30,50.09
