Date,Close
2007-01-03,33.74
2007-01-04,34.0
2007-01-05,33.73
2007-01-08,34.03
2007-01-09,33.98
2007-01-10,34.02
2007-01-11,34.52
2007-01-12,34.73
2007-01-16,34.56
2007-01-17,34.77
2007-01-18,35.37
2007-01-19,35.02
2007-01-22,34.68
2007-01-23,35.1
2007-01-24,34.87
2007-01-25,34.47
2007-01-26,34.08
2007-01-29,34.21
2007-01-30,34.57
2007-01-31,34.7
2007-02-01,34.54
2007-02-02,34.71
2007-02-05,34.78
2007-02-06,34.71
2007-02-07,35.0
2007-02-08,34.81
2007-02-09,33.9
2007-02-12,33.46
2007-02-13,34.12
2007-02-14,34.28
2007-02-15,34.2
2007-02-16,34.42
2007-02-20,34.58
2007-02-21,34.67
2007-02-22,34.69
2007-02-23,34.67
2007-02-26,34.64
2007-02-27,32.65
2007-02-28,33.79
2007-03-01,33.93
2007-03-02,33.49
2007-03-05,33.26
2007-03-06,33.91
2007-03-07,33.97
2007-03-08,34.22
2007-03-09,33.91
2007-03-12,33.74
2007-03-13,33.17
2007-03-14,33.27
2007-03-15,33.33
2007-03-16,33.16
2007-03-19,33.63
2007-03-20,33.92
2007-03-21,34.7
2007-03-22,34.85
2007-03-23,34.52
2007-03-26,34.74
2007-03-27,34.19
2007-03-28,33.77
2007-03-29,33.93
2007-03-30,33.97
2007-04-02,34.0
2007-04-03,34.45
2007-04-04,34.17
2007-04-05,34.44
2007-04-09,34.44
2007-04-10,34.52
2007-04-11,34.12
2007-04-12,34.2
2007-04-13,34.25
2007-04-16,34.55
2007-04-17,34.68
2007-04-18,34.45
2007-04-19,34.45
2007-04-20,34.8
2007-04-23,34.61
2007-04-24,34.44
2007-04-25,34.84
2007-04-26,34.7
2007-04-27,34.51
2007-04-30,34.51
2007-05-01,34.99
2007-05-02,35.22
2007-05-03,35.21
2007-05-04,35.37
2007-05-07,35.57
2007-05-08,36.06
2007-05-09,35.63
2007-05-10,35.21
2007-05-11,35.58
2007-05-14,35.49
2007-05-15,35.45
2007-05-16,35.52
2007-05-17,35.5
2007-05-18,35.53
2007-05-21,35.95
2007-05-22,35.78
2007-05-23,35.99
2007-05-24,35.36
2007-05-25,35.54
2007-05-29,35.11
2007-05-30,35.43
2007-05-31,34.96
2007-06-01,34.76
2007-06-04,35.22
2007-06-05,34.79
2007-06-06,34.44
2007-06-07,33.8
2007-06-08,33.74
2007-06-11,33.72
2007-06-12,33.11
2007-06-13,33.4
2007-06-14,33.79
2007-06-15,34.4
2007-06-18,34.54
2007-06-19,34.76
2007-06-20,34.19
