Date,Close
2007-01-03,34.57
2007-01-04,35.1
2007-01-05,34.48
2007-01-08,34.06
2007-01-09,34.04
2007-01-10,34.5
2007-01-11,34.42
2007-01-12,35.35
2007-01-16,35.75
2007-01-17,35.4
2007-01-18,35.46
2007-01-19,35.55
2007-01-22,35.25
2007-01-23,35.48
2007-01-24,35.55
2007-01-25,35.6
2007-01-26,35.57
2007-01-29,35.75
2007-01-30,35.85
2007-01-31,35.94
2007-02-01,36.59
2007-02-02,37.18
2007-02-05,37.35
2007-02-06,37.58
2007-02-07,38.0
2007-02-08,38.04
2007-02-09,37.38
2007-02-12,36.87
2007-02-13,37.3
2007-02-14,37.96
2007-02-15,38.0
2007-02-16,37.93
2007-02-20,39.13
2007-02-21,39.5
2007-02-22,39.13
2007-02-23,39.03
2007-02-26,38.65
2007-02-27,37.3
2007-02-28,39.64
2007-03-01,39.12
2007-03-02,38.5
2007-03-05,37.23
2007-03-06,38.21
2007-03-07,38.5
2007-03-08,38.6
2007-03-09,38.5
2007-03-12,38.66
2007-03-13,37.78
2007-03-14,37.74
2007-03-15,37.97
2007-03-16,37.99
2007-03-19,38.12
2007-03-20,38.87
2007-03-21,39.62
2007-03-22,39.54
2007-03-23,39.92
2007-03-26,39.74
2007-03-27,39.25
2007-03-28,38.99
2007-03-29,39.11
2007-03-30,39.9
2007-04-02,39.82
2007-04-03,40.34
2007-04-04,39.39
2007-04-05,39.25
2007-04-09,39.4
2007-04-10,40.12
2007-04-11,39.99
2007-04-12,39.79
2007-04-13,40.24
2007-04-16,40.18
2007-04-17,40.15
2007-04-18,39.42
2007-04-19,39.15
2007-04-20,40.05
2007-04-23,40.15
2007-04-24,40.01
2007-04-25,40.1
2007-04-26,40.55
2007-04-27,40.7
2007-04-30,40.45
2007-05-01,40.73
2007-05-02,41.73
2007-05-03,41.29
2007-05-04,41.49
2007-05-07,41.8
2007-05-08,42.0
2007-05-09,42.2
2007-05-10,42.1
2007-05-11,42.52
2007-05-14,41.43
2007-05-15,41.5
2007-05-16,41.32
2007-05-17,40.17
2007-05-18,39.74
2007-05-21,40.0
2007-05-22,39.28
2007-05-23,37.74
2007-05-24,38.49
2007-05-25,38.73
2007-05-29,39.12
2007-05-30,40.32
2007-05-31,40.6
2007-06-01,40.63
2007-06-04,41.37
2007-06-05,40.66
2007-06-06,40.62
2007-06-07,39.69
2007-06-08,40.25
2007-06-11,40.09
2007-06-12,39.35
2007-06-13,39.8
2007-06-14,39.52
2007-06-15,39.99
2007-06-18,38.98
2007-06-19,38.88
2007-06-20,37.74
2007-06-21,37.49
2007-06-22,37.9
2007-06-25,37.1
2007-06-26,37.6
2007-06-27,38.46
2007-06-28,38.49
2007-06-29,37.68
2007-07-02,39.16
2007-07-03,39.31
2007-07-05,39.77
2007-07-06,40.44
2007-07-09,40.15
2007-07-10,38.52
2007-07-11,38.78
2007-07-12,39.45
2007-07-13,39.48
2007-07-16,38.52
2007-07-17,38.17
2007-07-18,37.76
2007-07-19,37.86
2007-07-20,36.77
2007-07-23,35.42
2007-07-24,36.52
2007-07-25,36.14
2007-07-26,35.15
2007-07-27,34.14
2007-07-30,33.62
2007-07-31,33.15
2007-08-01,33.3
2007-08-02,34.6
2007-08-03,34.16
2007-08-06,35.31
2007-08-07,36.39
2007-08-08,38.94
2007-08-09,39.14
2007-08-10,37.51
2007-08-13,37.5
2007-08-14,36.41
2007-08-15,35.04
2007-08-16,35.01
2007-08-17,35.38
2007-08-20,36.74
2007-08-21,37.59
2007-08-22,38.12
2007-08-23,38.47
2007-08-24,38.98
2007-08-27,38.52
2007-08-28,37.19
2007-08-29,37.41
2007-08-30,37.39
2007-08-31,39.0
2007-09-04,40.05
2007-09-05,38.57
2007-09-06,37.84
2007-09-07,36.85
2007-09-10,36.45
2007-09-11,37.27
2007-09-12,36.46
2007-09-13,37.11
2007-09-14,36.96
2007-09-17,36.54
2007-09-18,37.44
2007-09-19,39.24
2007-09-20,38.3
2007-09-21,37.73
2007-09-24,38.01
2007-09-25,37.74
2007-09-26,38.7
2007-09-27,39.6
2007-09-28,39.39
2007-10-01,40.97
2007-10-02,40.93
2007-10-03,39.95
2007-10-04,40.51
2007-10-05,41.2
2007-10-08,41.0
2007-10-09,41.17
2007-10-10,40.74
2007-10-11,40.59
2007-10-12,39.5
2007-10-15,39.58
2007-10-16,39.38
2007-10-17,41.05
2007-10-18,42.5
2007-10-19,41.39
2007-10-22,40.84
2007-10-23,41.7
2007-10-24,41.06
