Date,Close
2007-01-03,10.23
2007-01-04,10.22
2007-01-05,10.68
2007-01-08,10.67
2007-01-09,10.65
2007-01-10,10.67
2007-01-11,10.7
2007-01-12,10.7
2007-01-16,10.67
2007-01-17,10.54
2007-01-18,10.58
2007-01-19,10.53
2007-01-22,10.5
2007-01-23,10.47
2007-01-24,10.54
2007-01-25,10.25
2007-01-26,10.28
2007-01-29,10.42
2007-01-30,10.37
2007-01-31,10.48
2007-02-01,10.55
2007-02-02,10.58
2007-02-05,10.53
2007-02-06,10.53
2007-02-07,10.6
2007-02-08,11.15
2007-02-09,11.1
2007-02-12,11.0
2007-02-13,11.1
2007-02-14,11.33
2007-02-15,11.38
2007-02-16,11.39
2007-02-20,11.52
2007-02-21,11.52
2007-02-22,11.41
2007-02-23,11.35
2007-02-26,11.39
2007-02-27,11.0
2007-02-28,11.37
2007-03-01,11.46
2007-03-02,11.42
2007-03-05,11.24
2007-03-06,11.54
2007-03-07,11.64
2007-03-08,11.81
2007-03-09,11.89
2007-03-12,12.22
2007-03-13,11.95
2007-03-14,11.85
2007-03-15,11.99
2007-03-16,11.86
2007-03-19,12.01
2007-03-20,12.07
2007-03-21,12.29
2007-03-22,12.57
2007-03-23,12.74
2007-03-26,12.71
2007-03-27,12.56
2007-03-28,12.42
2007-03-29,12.45
2007-03-30,12.75
2007-04-02,12.66
2007-04-03,12.87
2007-04-04,12.76
2007-04-05,12.69
2007-04-09,12.68
2007-04-10,12.86
2007-04-11,12.79
2007-04-12,13.09
2007-04-13,12.88
2007-04-16,12.96
2007-04-17,12.88
2007-04-18,12.84
2007-04-19,12.83
2007-04-20,13.18
2007-04-23,13.15
2007-04-24,12.99
2007-04-25,13.18
2007-04-26,13.23
2007-04-27,13.42
2007-04-30,13.11
2007-05-01,12.99
2007-05-02,13.08
2007-05-03,13.23
2007-05-04,13.28
2007-05-07,13.3
2007-05-08,13.21
2007-05-09,13.42
2007-05-10,13.8
2007-05-11,13.92
2007-05-14,13.83
2007-05-15,13.63
2007-05-16,13.71
2007-05-17,13.72
2007-05-18,13.78
