Date,Close
2007-01-03,28.04
2007-01-04,28.36
2007-01-05,28.0
2007-01-08,28.0
2007-01-09,28.5
2007-01-10,28.62
2007-01-11,28.94
2007-01-12,28.9
2007-01-16,28.77
2007-01-17,28.79
2007-01-18,28.78
2007-01-19,28.7
2007-01-22,28.76
2007-01-23,28.64
2007-01-24,28.8
2007-01-25,28.61
2007-01-26,28.61
2007-01-29,28.43
2007-01-30,28.44
2007-01-31,28.57
2007-02-01,28.5
2007-02-02,28.91
2007-02-05,28.68
2007-02-06,28.7
2007-02-07,32.38
2007-02-08,31.95
2007-02-09,31.75
2007-02-12,31.71
2007-02-13,31.82
2007-02-14,31.76
2007-02-15,31.97
2007-02-16,32.05
2007-02-20,32.09
2007-02-21,32.3
2007-02-22,32.3
2007-02-23,31.95
2007-02-26,31.7
2007-02-27,31.08
2007-02-28,30.86
2007-03-01,31.17
2007-03-02,30.83
2007-03-05,30.46
2007-03-06,30.83
2007-03-07,30.93
2007-03-08,31.27
2007-03-09,31.35
2007-03-12,31.5
2007-03-13,30.85
2007-03-14,30.9
2007-03-15,31.49
2007-03-16,31.3
2007-03-19,31.81
2007-03-20,31.97
2007-03-21,31.93
2007-03-22,31.85
2007-03-23,32.08
2007-03-26,32.0
2007-03-27,32.0
2007-03-28,32.0
2007-03-29,32.09
2007-03-30,32.47
2007-04-02,32.97
2007-04-03,33.49
2007-04-04,33.54
2007-04-05,33.52
2007-04-09,33.57
2007-04-10,33.56
2007-04-11,33.16
2007-04-12,33.16
2007-04-13,33.1
2007-04-16,33.66
2007-04-17,33.51
2007-04-18,33.63
2007-04-19,32.62
2007-04-20,33.26
2007-04-23,33.21
2007-04-24,32.7
2007-04-25,32.81
2007-04-26,33.06
2007-04-27,32.92
2007-04-30,32.25
2007-05-01,32.6
2007-05-02,32.07
2007-05-03,31.99
2007-05-04,32.37
2007-05-07,19.63
2007-05-08,19.86
2007-05-09,20.12
2007-05-10,19.75
2007-05-11,20.01
2007-05-14,20.21
2007-05-15,19.94
2007-05-16,19.89
2007-05-17,19.64
2007-05-18,19.59
2007-05-21,19.7
2007-05-22,19.79
2007-05-23,19.67
2007-05-24,19.58
2007-05-25,19.63
2007-05-29,19.57
2007-05-30,19.45
2007-05-31,19.62
2007-06-01,19.7
2007-06-04,19.88
2007-06-05,19.81
2007-06-06,19.6
2007-06-07,19.33
2007-06-08,19.46
2007-06-11,19.27
2007-06-12,19.1
2007-06-13,19.08
2007-06-14,18.82
2007-06-15,18.82
2007-06-18,18.63
2007-06-19,18.86
2007-06-20,18.67
2007-06-21,18.33
2007-06-22,18.37
2007-06-25,18.0
2007-06-26,18.04
2007-06-27,18.31
2007-06-28,18.36
2007-06-29,18.27
2007-07-02,18.38
2007-07-03,18.43
2007-07-05,18.62
2007-07-06,18.8
2007-07-09,18.76
2007-07-10,18.47
2007-07-11,18.73
2007-07-12,18.83
2007-07-13,18.79
2007-07-16,18.69
2007-07-17,18.62
2007-07-18,18.39
2007-07-19,18.52
2007-07-20,18.31
2007-07-23,18.28
2007-07-24,21.21
2007-07-25,20.71
2007-07-26,19.96
2007-07-27,19.5
2007-07-30,19.29
2007-07-31,19.15
2007-08-01,18.97
2007-08-02,19.02
2007-08-03,17.73
2007-08-06,18.05
2007-08-07,17.76
2007-08-08,16.95
2007-08-09,15.8
2007-08-10,17.13
2007-08-13,17.66
2007-08-14,17.39
2007-08-15,16.99
2007-08-16,17.59
2007-08-17,17.72
2007-08-20,17.69
2007-08-21,17.54
2007-08-22,17.81
2007-08-23,17.35
2007-08-24,17.74
2007-08-27,17.35
2007-08-28,16.93
2007-08-29,17.52
2007-08-30,17.27
2007-08-31,17.59
2007-09-04,17.66
2007-09-05,17.61
2007-09-06,17.67
2007-09-07,17.14
2007-09-10,16.84
2007-09-11,17.03
2007-09-12,16.83
2007-09-13,16.81
2007-09-14,16.94
2007-09-17,16.65
2007-09-18,17.2
2007-09-19,17.56
2007-09-20,17.19
2007-09-21,17.18
2007-09-24,16.84
2007-09-25,16.57
2007-09-26,16.72
2007-09-27,16.65
2007-09-28,16.59
2007-10-01,17.17
2007-10-02,17.25
2007-10-03,17.25
2007-10-04,16.94
2007-10-05,17.21
2007-10-08,16.89
2007-10-09,16.94
2007-10-10,16.88
2007-10-11,16.81
2007-10-12,16.75
2007-10-15,16.56
2007-10-16,14.29
2007-10-17,14.63
2007-10-18,14.74
2007-10-19,14.46
2007-10-22,14.48
2007-10-23,15.02
2007-10-24,15.3
2007-10-25,15.17
2007-10-26,15.18
2007-10-29,14.82
2007-10-30,14.68
2007-10-31,15.44
2007-11-01,15.05
2007-11-02,14.74
2007-11-05,14.51
2007-11-06,14.41
2007-11-07,13.68
2007-11-08,14.18
2007-11-09,13.76
2007-11-12,14.01
2007-11-13,14.26
2007-11-14,14.06
2007-11-15,13.86
2007-11-16,13.89
2007-11-19,13.83
2007-11-20,13.56
2007-11-21,13.25
2007-11-23,13.54
2007-11-26,13.44
2007-11-27,13.34
2007-11-28,13.8
2007-11-29,13.79
2007-11-30,13.86
2007-12-03,13.57
2007-12-04,13.31
2007-12-05,13.25
2007-12-06,13.79
2007-12-07,13.73
2007-12-10,13.84
2007-12-11,13.45
2007-12-12,13.35
2007-12-13,13.11
2007-12-14,12.77
2007-12-17,12.84
2007-12-18,12.94
2007-12-19,12.75
2007-12-20,13.0
2007-12-21,13.04
2007-12-24,13.56
2007-12-26,13.47
2007-12-27,13.77
2007-12-28,13.16
2007-12-31,13.23
2008-01-02,12.8
2008-01-03,12.09
2008-01-04,11.72
2008-01-07,12.02
2008-01-08,11.59
2008-01-09,11.81
2008-01-10,12.33
2008-01-11,11.86
2008-01-14,12.07
2008-01-15,11.87
2008-01-16,12.13
2008-01-17,12.13
2008-01-18,12.13
2008-01-22,12.17
2008-01-23,13.6
2008-01-24,13.26
2008-01-25,13.25
2008-01-28,13.3
2008-01-29,13.33
2008-01-30,13.08
2008-01-31,13.61
2008-02-01,14.22
2008-02-04,13.82
2008-02-05,13.75
2008-02-06,13.49
2008-02-07,13.9
2008-02-08,13.61
2008-02-11,13.36
2008-02-12,13.68
2008-02-13,14.08
2008-02-14,13.63
2008-02-15,13.53
2008-02-19,13.49
2008-02-20,13.81
2008-02-21,13.42
2008-02-22,13.29
2008-02-25,13.01
2008-02-26,13.74
2008-02-27,14.06
2008-02-28,13.54
2008-02-29,13.25
2008-03-03,13.33
2008-03-04,13.34
2008-03-05,13.39
2008-03-06,13.04
2008-03-07,12.88
2008-03-10,13.02
2008-03-11,13.34
2008-03-12,13.38
2008-03-13,13.36
2008-03-14,13.01
2008-03-17,13.14
2008-03-18,13.37
2008-03-19,13.36
2008-03-20,14.51
2008-03-24,14.92
2008-03-25,14.35
2008-03-26,14.04
2008-03-27,13.84
2008-03-28,13.23
2008-03-31,13.49
2008-04-01,14.03
2008-04-02,14.02
2008-04-03,14.11
2008-04-04,14.13
2008-04-07,14.09
2008-04-08,13.93
2008-04-09,13.16
2008-04-10,13.2
2008-04-11,12.84
2008-04-14,12.77
2008-04-15,12.59
2008-04-16,12.74
2008-04-17,12.63
2008-04-18,13.05
2008-04-21,13.0
2008-04-22,12.65
2008-04-23,12.84
2008-04-24,12.94
2008-04-25,13.09
2008-04-28,12.69
2008-04-29,12.9
2008-04-30,13.28
2008-05-01,13.51
2008-05-02,13.52
2008-05-05,13.51
2008-05-06,13.46
2008-05-07,13.14
2008-05-08,13.1
2008-05-09,13.05
2008-05-12,13.51
2008-05-13,13.7
2008-05-14,13.66
2008-05-15,13.6
2008-05-16,13.07
2008-05-19,12.95
2008-05-20,12.9
2008-05-21,12.7
2008-05-22,12.83
2008-05-23,12.75
2008-05-27,12.98
2008-05-28,13.23
2008-05-29,13.62
2008-05-30,13.46
2008-06-02,13.06
2008-06-03,13.12
2008-06-04,13.44
2008-06-05,13.73
2008-06-06,13.02
2008-06-09,12.93
2008-06-10,13.12
2008-06-11,12.65
2008-06-12,12.61
2008-06-13,12.89
2008-06-16,12.86
2008-06-17,12.64
2008-06-18,12.32
2008-06-19,12.39
2008-06-20,12.14
2008-06-23,11.8
2008-06-24,12.09
2008-06-25,12.73
2008-06-26,11.79
2008-06-27,11.85
2008-06-30,11.5
2008-07-01,11.09
2008-07-02,10.59
2008-07-03,11.11
2008-07-07,11.07
2008-07-08,11.74
2008-07-09,11.03
2008-07-10,10.67
2008-07-11,10.58
2008-07-14,10.23
2008-07-15,10.27
2008-07-16,10.88
2008-07-17,10.6
2008-07-18,10.59
2008-07-21,10.39
2008-07-22,12.63
2008-07-23,13.36
2008-07-24,12.77
2008-07-25,12.98
2008-07-28,12.76
2008-07-29,13.07
2008-07-30,12.99
2008-07-31,12.96
2008-08-01,12.94
2008-08-04,12.82
2008-08-05,13.4
2008-08-06,13.46
2008-08-07,13.1
2008-08-08,13.53
2008-08-11,13.71
2008-08-12,13.6
2008-08-13,13.43
2008-08-14,13.74
2008-08-15,13.98
2008-08-18,13.76
2008-08-19,13.31
2008-08-20,13.2
2008-08-21,13.0
2008-08-22,13.7
2008-08-25,13.41
2008-08-26,13.41
2008-08-27,13.31
2008-08-28,13.61
2008-08-29,13.4
2008-09-02,13.48
2008-09-03,13.43
2008-09-04,13.07
2008-09-05,13.11
2008-09-08,13.5
2008-09-09,13.24
2008-09-10,13.35
2008-09-11,13.49
2008-09-12,13.14
2008-09-15,13.04
2008-09-16,13.36
2008-09-17,12.59
2008-09-18,12.66
2008-09-19,13.37
2008-09-22,12.59
2008-09-23,12.65
2008-09-24,12.21
2008-09-25,12.26
2008-09-26,12.3
2008-09-29,11.47
2008-09-30,12.14
2008-10-01,11.97
2008-10-02,11.32
2008-10-03,10.73
2008-10-06,10.09
2008-10-07,9.75
2008-10-08,9.77
2008-10-09,9.39
2008-10-10,9.53
2008-10-13,10.0
2008-10-14,7.45
2008-10-15,6.72
2008-10-16,6.49
2008-10-17,6.43
2008-10-20,6.4
2008-10-21,5.99
2008-10-22,5.84
2008-10-23,5.6
2008-10-24,5.25
2008-10-27,4.97
2008-10-28,4.97
2008-10-29,4.91
2008-10-30,5.63
2008-10-31,5.95
2008-11-03,5.8
2008-11-04,5.92
2008-11-05,5.28
2008-11-06,5.09
2008-11-07,5.04
2008-11-10,4.8
2008-11-11,4.4
2008-11-12,3.96
2008-11-13,4.3
2008-11-14,3.87
2008-11-17,3.91
2008-11-18,3.82
2008-11-19,3.09
2008-11-20,2.83
2008-11-21,3.03
2008-11-24,2.89
2008-11-25,3.54
2008-11-26,3.88
2008-11-28,3.86
2008-12-01,3.17
2008-12-02,3.42
2008-12-03,3.65
2008-12-04,3.48
2008-12-05,3.78
2008-12-08,4.08
2008-12-09,3.96
2008-12-10,4.24
2008-12-11,4.18
2008-12-12,4.53
2008-12-15,4.11
2008-12-16,4.32
2008-12-17,4.28
2008-12-18,4.42
2008-12-19,4.58
2008-12-22,4.39
2008-12-23,4.28
2008-12-24,4.31
2008-12-26,4.38
2008-12-29,4.4
2008-12-30,4.69
2008-12-31,4.71
2009-01-02,5.02
2009-01-05,5.17
