Date,Close
2007-01-03,41.87
2007-01-04,41.51
2007-01-05,40.57
2007-01-08,40.4
2007-01-09,40.21
2007-01-10,40.14
2007-01-11,39.81
2007-01-12,39.11
2007-01-16,39.4
2007-01-17,39.46
2007-01-18,39.2
2007-01-19,39.19
2007-01-22,39.06
2007-01-23,39.06
2007-01-24,39.6
2007-01-25,39.23
2007-01-26,39.18
2007-01-29,39.32
2007-01-30,39.41
2007-01-31,39.46
2007-02-01,39.74
2007-02-02,39.95
2007-02-05,40.09
2007-02-06,40.19
2007-02-07,40.2
2007-02-08,40.36
2007-02-09,40.27
2007-02-12,39.78
2007-02-13,40.85
2007-02-14,41.12
2007-02-15,40.92
2007-02-16,40.84
2007-02-20,40.84
2007-02-21,40.67
2007-02-22,40.65
2007-02-23,40.64
2007-02-26,40.76
2007-02-27,39.69
2007-02-28,39.4
2007-03-01,39.8
2007-03-02,39.69
2007-03-05,39.0
2007-03-06,39.51
2007-03-07,39.41
2007-03-08,39.34
2007-03-09,39.56
2007-03-12,39.57
2007-03-13,39.25
2007-03-14,39.42
2007-03-15,39.56
2007-03-16,39.41
2007-03-19,39.85
2007-03-20,40.4
2007-03-21,40.68
2007-03-22,40.39
2007-03-23,40.64
2007-03-26,40.86
2007-03-27,40.71
2007-03-28,40.98
2007-03-29,41.0
2007-03-30,40.77
2007-04-02,41.47
2007-04-03,41.4
2007-04-04,41.15
2007-04-05,41.2
2007-04-09,41.34
2007-04-10,41.63
2007-04-11,41.52
2007-04-12,41.7
2007-04-13,41.45
2007-04-16,41.69
2007-04-17,41.91
2007-04-18,41.78
2007-04-19,41.47
2007-04-20,42.29
2007-04-23,42.41
2007-04-24,42.66
2007-04-25,43.78
2007-04-26,43.8
2007-04-27,43.39
2007-04-30,43.06
2007-05-01,43.65
2007-05-02,43.7
2007-05-03,43.83
2007-05-04,43.74
2007-05-07,44.06
2007-05-08,44.14
2007-05-09,44.2
2007-05-10,44.06
2007-05-11,44.26
2007-05-14,44.77
2007-05-15,44.79
2007-05-16,44.93
2007-05-17,44.94
2007-05-18,45.04
2007-05-21,45.73
2007-05-22,46.13
2007-05-23,45.55
2007-05-24,44.54
2007-05-25,44.43
2007-05-29,44.49
2007-05-30,44.92
2007-05-31,45.0
2007-06-01,44.86
2007-06-04,44.64
2007-06-05,44.6
2007-06-06,43.74
2007-06-07,41.98
2007-06-08,42.6
2007-06-11,43.2
2007-06-12,42.54
2007-06-13,43.61
2007-06-14,43.39
2007-06-15,43.73
2007-06-18,43.2
2007-06-19,43.31
2007-06-20,42.17
2007-06-21,42.11
2007-06-22,41.24
2007-06-25,41.33
2007-06-26,40.82
2007-06-27,41.32
2007-06-28,41.04
2007-06-29,41.04
2007-07-02,41.45
2007-07-03,41.78
2007-07-05,41.69
2007-07-06,41.38
2007-07-09,41.64
2007-07-10,41.07
2007-07-11,41.8
2007-07-12,43.12
2007-07-13,43.32
2007-07-16,42.83
2007-07-17,42.63
2007-07-18,42.92
2007-07-19,43.69
2007-07-20,43.31
2007-07-23,43.58
2007-07-24,42.13
2007-07-25,42.32
2007-07-26,41.38
2007-07-27,39.45
2007-07-30,40.28
2007-07-31,39.47
2007-08-01,41.04
2007-08-02,40.95
2007-08-03,39.34
2007-08-06,41.22
2007-08-07,41.83
2007-08-08,42.46
2007-08-09,41.07
2007-08-10,40.89
2007-08-13,41.86
2007-08-14,40.44
2007-08-15,39.62
2007-08-16,39.81
2007-08-17,40.59
2007-08-20,40.4
2007-08-21,40.9
2007-08-22,41.08
2007-08-23,41.04
2007-08-24,41.75
2007-08-27,40.47
2007-08-28,39.66
2007-08-29,40.95
2007-08-30,40.53
2007-08-31,40.69
2007-09-04,41.31
2007-09-05,41.17
2007-09-06,41.26
2007-09-07,40.62
2007-09-10,40.61
2007-09-11,40.92
2007-09-12,41.09
2007-09-13,41.17
2007-09-14,41.5
2007-09-17,41.03
2007-09-18,41.71
2007-09-19,42.16
2007-09-20,41.63
2007-09-21,41.89
2007-09-24,41.87
2007-09-25,41.86
2007-09-26,42.22
2007-09-27,42.2
2007-09-28,41.23
2007-10-01,41.77
2007-10-02,41.6
2007-10-03,41.23
2007-10-04,41.69
2007-10-05,41.65
2007-10-08,41.69
2007-10-09,42.59
2007-10-10,42.53
2007-10-11,42.89
2007-10-12,43.0
2007-10-15,42.28
2007-10-16,41.93
2007-10-17,41.5
2007-10-18,41.51
2007-10-19,40.45
2007-10-22,40.92
2007-10-23,40.46
2007-10-24,40.82
2007-10-25,41.32
2007-10-26,41.68
2007-10-29,41.8
2007-10-30,41.82
2007-10-31,42.21
2007-11-01,41.46
2007-11-02,41.69
2007-11-05,41.68
2007-11-06,41.45
2007-11-07,40.1
2007-11-08,41.33
2007-11-09,40.71
2007-11-12,40.49
2007-11-13,41.02
2007-11-14,40.77
2007-11-15,40.79
2007-11-16,41.28
2007-11-19,41.23
2007-11-20,41.83
2007-11-21,41.49
2007-11-23,41.5
2007-11-26,41.31
2007-11-27,41.36
2007-11-28,41.45
2007-11-29,41.26
2007-11-30,41.74
2007-12-03,42.2
2007-12-04,42.49
2007-12-05,43.23
2007-12-06,43.4
2007-12-07,42.98
2007-12-10,43.08
2007-12-11,42.14
2007-12-12,41.46
2007-12-13,41.33
2007-12-14,39.82
2007-12-17,39.11
2007-12-18,39.05
2007-12-19,39.02
2007-12-20,38.74
2007-12-21,38.45
2007-12-24,38.64
2007-12-26,38.37
2007-12-27,37.74
2007-12-28,38.02
2007-12-31,37.41
2008-01-02,37.49
2008-01-03,36.92
2008-01-04,36.6
2008-01-07,37.07
2008-01-08,36.98
2008-01-09,37.63
2008-01-10,37.88
2008-01-11,37.7
2008-01-14,38.49
2008-01-15,37.67
2008-01-16,37.76
2008-01-17,36.68
2008-01-18,36.34
2008-01-22,35.39
2008-01-23,37.2
2008-01-24,35.66
2008-01-25,35.29
2008-01-28,35.72
2008-01-29,35.65
2008-01-30,35.68
2008-01-31,36.28
2008-02-01,37.1
2008-02-04,37.36
2008-02-05,36.13
2008-02-06,36.27
2008-02-07,35.55
2008-02-08,35.63
2008-02-11,35.65
2008-02-12,35.9
2008-02-13,35.51
2008-02-14,35.23
2008-02-15,35.55
2008-02-19,36.09
2008-02-20,36.09
2008-02-21,36.25
2008-02-22,35.48
2008-02-25,35.57
2008-02-26,35.79
2008-02-27,35.06
2008-02-28,35.23
2008-02-29,33.88
2008-03-03,34.2
2008-03-04,34.65
2008-03-05,34.6
2008-03-06,33.66
2008-03-07,33.63
2008-03-10,33.57
2008-03-11,34.69
2008-03-12,34.09
2008-03-13,33.87
2008-03-14,33.42
2008-03-17,33.01
2008-03-18,33.62
2008-03-19,33.04
2008-03-20,33.37
2008-03-24,33.2
2008-03-25,33.06
2008-03-26,33.08
2008-03-27,33.3
2008-03-28,32.94
2008-03-31,33.1
2008-04-01,33.85
2008-04-02,34.2
2008-04-03,34.23
2008-04-04,34.54
2008-04-07,34.44
2008-04-08,34.03
2008-04-09,34.21
2008-04-10,34.42
2008-04-11,34.6
2008-04-14,34.96
2008-04-15,35.36
2008-04-16,36.05
2008-04-17,36.0
2008-04-18,36.23
2008-04-21,35.66
2008-04-22,35.28
2008-04-23,35.31
2008-04-24,34.96
2008-04-25,34.93
2008-04-28,34.83
2008-04-29,34.52
2008-04-30,34.31
2008-05-01,35.27
2008-05-02,35.19
2008-05-05,35.51
2008-05-06,35.8
2008-05-07,35.86
2008-05-08,36.09
2008-05-09,36.16
2008-05-12,36.47
2008-05-13,36.52
2008-05-14,37.16
2008-05-15,37.25
2008-05-16,37.3
2008-05-19,37.7
2008-05-20,37.29
2008-05-21,37.16
2008-05-22,37.57
2008-05-23,37.02
2008-05-27,37.23
2008-05-28,37.65
2008-05-29,37.89
2008-05-30,37.65
2008-06-02,37.06
2008-06-03,37.34
2008-06-04,37.88
2008-06-05,37.91
2008-06-06,37.06
2008-06-09,37.75
2008-06-10,37.8
2008-06-11,37.34
2008-06-12,37.05
2008-06-13,37.54
2008-06-16,37.2
2008-06-17,37.48
2008-06-18,37.26
2008-06-19,37.32
2008-06-20,36.59
2008-06-23,36.78
2008-06-24,36.62
2008-06-25,37.18
2008-06-26,35.99
2008-06-27,35.28
2008-06-30,36.12
2008-07-01,36.44
2008-07-02,36.77
2008-07-03,36.35
2008-07-07,36.49
2008-07-08,37.23
2008-07-09,37.81
2008-07-10,37.77
2008-07-11,37.2
2008-07-14,36.71
2008-07-15,36.61
2008-07-16,35.99
2008-07-17,35.54
2008-07-18,35.68
2008-07-21,35.92
2008-07-22,35.75
2008-07-23,35.13
2008-07-24,35.17
2008-07-25,34.92
2008-07-28,34.89
2008-07-29,34.95
