Date,Close
2007-01-03,25.8
2007-01-04,25.73
2007-01-05,25.75
2007-01-08,25.91
2007-01-09,25.78
2007-01-10,25.67
2007-01-11,25.6
2007-01-12,25.45
2007-01-16,25.52
2007-01-17,25.84
2007-01-18,25.89
2007-01-19,25.73
2007-01-22,25.44
2007-01-23,25.51
2007-01-24,25.63
2007-01-25,25.96
2007-01-26,26.15
2007-01-29,26.0
2007-01-30,26.04
2007-01-31,26.06
2007-02-01,26.41
2007-02-02,26.76
2007-02-05,26.52
2007-02-06,26.45
2007-02-07,27.18
2007-02-08,27.05
2007-02-09,26.85
2007-02-12,26.62
2007-02-13,27.01
2007-02-14,26.92
2007-02-15,27.01
2007-02-16,27.17
2007-02-20,27.1
2007-02-21,27.03
2007-02-22,27.02
2007-02-23,26.82
2007-02-26,26.66
2007-02-27,26.08
2007-02-28,26.3
2007-03-01,25.91
2007-03-02,25.73
2007-03-05,25.54
2007-03-06,25.63
2007-03-07,25.5
2007-03-08,25.61
2007-03-09,25.71
2007-03-12,25.56
2007-03-13,25.35
2007-03-14,25.4
2007-03-15,25.46
2007-03-16,25.16
2007-03-19,25.3
2007-03-20,25.89
2007-03-21,26.06
2007-03-22,26.21
2007-03-23,26.04
2007-03-26,25.96
2007-03-27,25.91
2007-03-28,25.83
2007-03-29,25.99
2007-03-30,25.9
2007-04-02,25.7
2007-04-03,26.73
2007-04-04,26.71
2007-04-05,26.73
2007-04-09,26.6
2007-04-10,26.26
2007-04-11,26.65
2007-04-12,26.87
2007-04-13,26.72
2007-04-16,26.67
2007-04-17,26.88
2007-04-18,26.98
2007-04-19,27.11
2007-04-20,27.23
2007-04-23,27.26
2007-04-24,27.5
2007-04-25,27.81
2007-04-26,27.74
2007-04-27,28.01
2007-04-30,27.59
2007-05-01,27.93
2007-05-02,27.75
2007-05-03,27.6
2007-05-04,27.65
2007-05-07,27.66
2007-05-08,27.27
2007-05-09,27.67
2007-05-10,27.24
2007-05-11,28.04
2007-05-14,27.78
2007-05-15,27.88
2007-05-16,28.58
2007-05-17,28.25
2007-05-18,28.48
2007-05-21,28.35
2007-05-22,28.69
2007-05-23,27.85
2007-05-24,27.72
2007-05-25,28.07
2007-05-29,27.8
2007-05-30,28.16
2007-05-31,27.52
2007-06-01,27.85
2007-06-04,27.99
2007-06-05,28.3
2007-06-06,27.63
2007-06-07,27.52
2007-06-08,27.81
2007-06-11,27.62
2007-06-12,27.2
2007-06-13,27.84
2007-06-14,27.25
2007-06-15,27.4
2007-06-18,27.44
2007-06-19,28.42
2007-06-20,28.52
2007-06-21,28.64
2007-06-22,28.59
2007-06-25,29.19
2007-06-26,28.92
2007-06-27,29.49
2007-06-28,29.46
2007-06-29,29.39
2007-07-02,29.45
2007-07-03,29.3
2007-07-05,29.63
2007-07-06,29.64
2007-07-09,30.46
2007-07-10,29.59
2007-07-11,29.71
2007-07-12,30.03
2007-07-13,29.89
2007-07-16,29.93
2007-07-17,30.59
2007-07-18,30.61
2007-07-19,30.7
2007-07-20,30.49
2007-07-23,30.51
2007-07-24,30.35
2007-07-25,30.28
2007-07-26,28.74
2007-07-27,28.09
2007-07-30,27.85
2007-07-31,27.66
2007-08-01,28.02
2007-08-02,28.01
2007-08-03,26.8
2007-08-06,26.8
2007-08-07,26.64
2007-08-08,26.32
2007-08-09,24.8
2007-08-10,26.23
2007-08-13,28.65
2007-08-14,27.63
2007-08-15,26.82
2007-08-16,26.7
2007-08-17,27.23
2007-08-20,27.44
2007-08-21,27.15
2007-08-22,27.7
2007-08-23,28.68
2007-08-24,28.62
2007-08-27,28.08
2007-08-28,27.38
2007-08-29,27.67
2007-08-30,27.63
2007-08-31,27.8
2007-09-04,28.6
2007-09-05,28.13
2007-09-06,28.12
2007-09-07,27.49
2007-09-10,27.13
2007-09-11,27.65
2007-09-12,27.49
2007-09-13,27.09
2007-09-14,26.85
2007-09-17,26.78
2007-09-18,27.05
2007-09-19,27.65
2007-09-20,27.62
2007-09-21,27.59
2007-09-24,27.23
2007-09-25,27.91
2007-09-26,28.04
2007-09-27,27.8
2007-09-28,27.77
2007-10-01,28.96
2007-10-02,28.23
2007-10-03,28.27
2007-10-04,27.98
2007-10-05,28.17
2007-10-08,28.14
2007-10-09,28.02
