Date,Close
2007-01-03,51.05
2007-01-04,53.67
2007-01-05,53.07
2007-01-08,52.88
2007-01-09,52.7
2007-01-10,53.68
2007-01-11,52.47
2007-01-12,51.76
2007-01-16,50.97
2007-01-17,49.48
2007-01-18,50.1
2007-01-19,50.34
2007-01-22,49.47
2007-01-23,49.76
2007-01-24,50.34
2007-01-25,48.86
2007-01-26,48.22
2007-01-29,48.94
2007-01-30,49.31
2007-01-31,50.0
2007-02-01,50.54
2007-02-02,51.13
2007-02-05,50.04
2007-02-06,50.11
2007-02-07,50.11
2007-02-08,50.03
2007-02-09,49.48
2007-02-12,49.71
2007-02-13,49.92
2007-02-14,50.48
2007-02-15,50.11
2007-02-16,50.01
2007-02-20,51.8
2007-02-21,52.55
2007-02-22,53.04
2007-02-23,53.19
2007-02-26,51.96
2007-02-27,50.64
2007-02-28,50.42
2007-03-01,49.81
2007-03-02,49.1
2007-03-05,48.95
2007-03-06,49.64
2007-03-07,50.18
2007-03-08,50.32
2007-03-09,50.83
2007-03-12,50.99
2007-03-13,49.55
2007-03-14,50.23
2007-03-15,49.99
2007-03-16,48.92
2007-03-19,48.98
2007-03-20,49.33
2007-03-21,50.66
2007-03-22,50.26
2007-03-23,50.13
2007-03-26,50.34
2007-03-27,51.31
2007-03-28,51.79
2007-03-29,51.29
2007-03-30,50.36
2007-04-02,51.32
2007-04-03,51.43
2007-04-04,51.59
2007-04-05,51.94
2007-04-09,51.5
2007-04-10,52.95
2007-04-11,53.07
2007-04-12,53.13
2007-04-13,53.44
2007-04-16,53.91
2007-04-17,54.36
2007-04-18,54.26
2007-04-19,51.86
2007-04-20,51.81
2007-04-23,52.07
2007-04-24,52.23
2007-04-25,52.47
2007-04-26,52.35
2007-04-27,51.99
2007-04-30,50.41
2007-05-01,49.95
2007-05-02,51.38
2007-05-03,51.26
2007-05-04,51.65
2007-05-07,51.37
2007-05-08,52.94
2007-05-09,50.65
2007-05-10,49.9
2007-05-11,50.07
2007-05-14,49.77
2007-05-15,48.7
2007-05-16,49.14
2007-05-17,48.41
2007-05-18,48.58
2007-05-21,49.21
2007-05-22,48.95
2007-05-23,48.21
2007-05-24,46.62
2007-05-25,47.87
2007-05-29,48.45
2007-05-30,49.33
2007-05-31,48.87
