Date,Close
2007-01-03,12.7
2007-01-04,13.3
2007-01-05,12.95
2007-01-08,12.5
2007-01-09,12.52
2007-01-10,12.33
2007-01-11,12.72
2007-01-12,12.63
2007-01-16,12.64
2007-01-17,12.61
2007-01-18,12.42
2007-01-19,12.48
2007-01-22,12.34
2007-01-23,12.05
2007-01-24,12.63
2007-01-25,13.66
2007-01-26,13.32
2007-01-29,13.47
2007-01-30,13.51
2007-01-31,13.63
2007-02-01,13.53
2007-02-02,13.64
2007-02-05,13.57
2007-02-06,13.83
2007-02-07,14.04
2007-02-08,14.13
2007-02-09,14.1
2007-02-12,13.8
2007-02-13,13.84
2007-02-14,14.09
2007-02-15,14.17
2007-02-16,14.15
2007-02-20,14.07
2007-02-21,14.1
2007-02-22,14.18
2007-02-23,14.31
2007-02-26,14.07
2007-02-27,13.47
2007-02-28,13.49
2007-03-01,13.44
2007-03-02,12.98
2007-03-05,12.78
2007-03-06,13.19
2007-03-07,13.06
2007-03-08,13.06
2007-03-09,12.97
2007-03-12,13.05
2007-03-13,12.8
2007-03-14,13.11
2007-03-15,13.36
2007-03-16,13.36
2007-03-19,13.35
2007-03-20,13.26
2007-03-21,13.54
2007-03-22,13.62
2007-03-23,13.4
2007-03-26,13.98
2007-03-27,14.03
2007-03-28,13.94
2007-03-29,13.91
2007-03-30,13.95
2007-04-02,13.89
2007-04-03,14.23
2007-04-04,14.19
2007-04-05,14.19
2007-04-09,14.2
2007-04-10,14.31
2007-04-11,14.15
2007-04-12,14.33
2007-04-13,14.64
2007-04-16,14.77
2007-04-17,14.81
2007-04-18,14.5
2007-04-19,13.97
2007-04-20,14.11
2007-04-23,14.11
2007-04-24,14.21
2007-04-25,14.21
2007-04-26,14.4
2007-04-27,14.38
2007-04-30,14.28
2007-05-01,14.08
2007-05-02,14.19
2007-05-03,14.57
2007-05-04,14.37
2007-05-07,14.3
2007-05-08,14.45
2007-05-09,14.73
2007-05-10,14.25
2007-05-11,14.39
2007-05-14,14.28
2007-05-15,14.1
2007-05-16,13.99
2007-05-17,13.88
2007-05-18,13.76
2007-05-21,13.75
2007-05-22,13.91
2007-05-23,13.84
2007-05-24,13.77
2007-05-25,13.74
2007-05-29,13.64
2007-05-30,13.98
2007-05-31,13.7
2007-06-01,13.58
2007-06-04,13.7
2007-06-05,13.34
2007-06-06,13.12
2007-06-07,12.88
2007-06-08,13.22
2007-06-11,13.25
2007-06-12,13.03
2007-06-13,13.25
2007-06-14,13.3
2007-06-15,13.48
2007-06-18,13.32
2007-06-19,13.2
2007-06-20,13.1
2007-06-21,13.1
2007-06-22,13.37
2007-06-25,13.45
2007-06-26,13.32
2007-06-27,13.5
2007-06-28,13.45
2007-06-29,13.54
2007-07-02,13.61
2007-07-03,13.53
2007-07-05,13.58
2007-07-06,14.05
2007-07-09,14.15
2007-07-10,13.85
2007-07-11,14.14
2007-07-12,14.41
2007-07-13,14.29
2007-07-16,14.47
2007-07-17,14.41
2007-07-18,14.33
2007-07-19,14.1
2007-07-20,14.11
2007-07-23,13.93
2007-07-24,13.91
2007-07-25,14.12
2007-07-26,13.9
2007-07-27,13.71
2007-07-30,13.72
2007-07-31,13.64
2007-08-01,13.8
2007-08-02,13.91
2007-08-03,14.02
2007-08-06,14.57
2007-08-07,15.11
2007-08-08,15.45
2007-08-09,15.4
2007-08-10,15.15
2007-08-13,14.95
2007-08-14,14.68
2007-08-15,14.53
2007-08-16,14.16
2007-08-17,14.37
2007-08-20,14.22
2007-08-21,14.48
2007-08-22,14.5
2007-08-23,14.39
2007-08-24,14.34
2007-08-27,14.12
2007-08-28,13.85
2007-08-29,14.08
2007-08-30,14.14
2007-08-31,14.35
2007-09-04,14.56
2007-09-05,14.83
2007-09-06,15.04
2007-09-07,14.84
2007-09-10,14.73
2007-09-11,15.28
2007-09-12,15.48
2007-09-13,15.85
2007-09-14,15.91
2007-09-17,15.7
2007-09-18,16.02
2007-09-19,16.25
2007-09-20,16.05
2007-09-21,16.41
2007-09-24,16.24
2007-09-25,16.44
2007-09-26,16.49
2007-09-27,16.53
2007-09-28,16.42
2007-10-01,16.69
2007-10-02,16.55
2007-10-03,16.55
2007-10-04,16.48
2007-10-05,16.31
2007-10-08,16.06
2007-10-09,16.46
2007-10-10,16.57
2007-10-11,16.45
2007-10-12,16.79
2007-10-15,16.41
2007-10-16,16.25
2007-10-17,17.09
2007-10-18,16.04
2007-10-19,15.45
2007-10-22,15.28
2007-10-23,15.13
2007-10-24,15.07
2007-10-25,14.84
2007-10-26,15.42
2007-10-29,15.43
2007-10-30,15.37
2007-10-31,15.19
2007-11-01,14.73
2007-11-02,14.74
2007-11-05,14.35
2007-11-06,14.35
2007-11-07,14.18
2007-11-08,13.64
2007-11-09,14.08
2007-11-12,13.84
2007-11-13,13.99
2007-11-14,13.74
2007-11-15,13.52
2007-11-16,13.78
2007-11-19,13.56
2007-11-20,13.58
2007-11-21,13.3
2007-11-23,13.44
2007-11-26,13.05
2007-11-27,13.69
2007-11-28,14.2
2007-11-29,14.12
2007-11-30,14.11
2007-12-03,13.87
2007-12-04,13.86
2007-12-05,14.04
2007-12-06,14.21
2007-12-07,14.2
2007-12-10,14.25
2007-12-11,14.19
2007-12-12,14.48
2007-12-13,14.35
2007-12-14,13.76
2007-12-17,13.42
2007-12-18,13.46
2007-12-19,13.33
2007-12-20,14.04
2007-12-21,14.44
2007-12-24,14.38
2007-12-26,14.52
2007-12-27,14.16
2007-12-28,14.22
2007-12-31,13.97
2008-01-02,13.67
2008-01-03,13.82
2008-01-04,13.17
2008-01-07,12.81
2008-01-08,12.63
2008-01-09,12.57
2008-01-10,12.78
2008-01-11,12.49
2008-01-14,12.3
2008-01-15,11.76
2008-01-16,11.82
2008-01-17,11.84
2008-01-18,11.92
2008-01-22,11.46
2008-01-23,12.18
2008-01-24,11.44
2008-01-25,11.29
2008-01-28,11.31
2008-01-29,10.99
2008-01-30,11.07
2008-01-31,11.32
2008-02-01,12.13
2008-02-04,12.13
2008-02-05,11.69
2008-02-06,11.7
2008-02-07,11.72
2008-02-08,11.81
2008-02-11,11.86
2008-02-12,11.66
2008-02-13,11.72
2008-02-14,11.75
2008-02-15,11.7
