Date,Close
2007-01-03,20.55
2007-01-04,20.55
2007-01-05,20.29
2007-01-08,20.08
2007-01-09,20.21
2007-01-10,20.26
2007-01-11,20.4
2007-01-12,20.47
2007-01-16,20.66
2007-01-17,20.4
2007-01-18,20.26
2007-01-19,20.47
2007-01-22,20.26
2007-01-23,20.16
2007-01-24,20.61
2007-01-25,20.39
2007-01-26,20.27
2007-01-29,20.38
2007-01-30,20.67
2007-01-31,23.75
2007-02-01,23.73
2007-02-02,23.07
2007-02-05,23.31
2007-02-06,23.25
2007-02-07,22.93
2007-02-08,23.13
2007-02-09,23.32
2007-02-12,23.21
2007-02-13,23.33
2007-02-14,23.57
2007-02-15,23.76
2007-02-16,23.88
2007-02-20,24.11
2007-02-21,23.52
2007-02-22,23.35
2007-02-23,23.68
2007-02-26,23.66
2007-02-27,22.88
2007-02-28,23.93
2007-03-01,23.45
2007-03-02,22.97
2007-03-05,23.02
2007-03-06,23.59
2007-03-07,23.5
2007-03-08,24.03
2007-03-09,23.81
2007-03-12,24.67
2007-03-13,24.21
2007-03-14,24.12
2007-03-15,23.95
2007-03-16,23.92
2007-03-19,24.0
2007-03-20,24.41
2007-03-21,24.63
2007-03-22,24.73
2007-03-23,24.74
2007-03-26,24.39
2007-03-27,24.32
2007-03-28,24.34
2007-03-29,24.39
2007-03-30,24.42
2007-04-02,24.56
2007-04-03,24.65
2007-04-04,24.56
2007-04-05,24.65
2007-04-09,24.62
2007-04-10,24.67
2007-04-11,24.56
2007-04-12,24.76
2007-04-13,24.92
2007-04-16,25.13
2007-04-17,25.22
2007-04-18,25.07
2007-04-19,25.08
2007-04-20,25.35
2007-04-23,25.51
2007-04-24,25.42
2007-04-25,25.74
2007-04-26,25.5
2007-04-27,25.45
2007-04-30,25.71
2007-05-01,25.43
2007-05-02,25.5
2007-05-03,23.65
2007-05-04,23.97
2007-05-07,23.9
2007-05-08,23.78
2007-05-09,23.68
2007-05-10,23.5
2007-05-11,23.53
2007-05-14,23.59
2007-05-15,23.51
2007-05-16,23.49
2007-05-17,23.49
2007-05-18,23.5
2007-05-21,23.58
2007-05-22,23.63
2007-05-23,23.52
2007-05-24,23.49
2007-05-25,23.62
2007-05-29,23.72
2007-05-30,23.7
2007-05-31,23.65
2007-06-01,23.6
2007-06-04,23.68
2007-06-05,23.36
2007-06-06,23.05
2007-06-07,22.85
2007-06-08,22.98
2007-06-11,23.23
2007-06-12,23.07
2007-06-13,23.38
2007-06-14,23.23
2007-06-15,23.03
2007-06-18,23.09
2007-06-19,23.08
2007-06-20,22.78
2007-06-21,22.92
2007-06-22,22.71
2007-06-25,22.65
2007-06-26,22.6
2007-06-27,22.54
2007-06-28,22.9
2007-06-29,22.75
2007-07-02,22.77
2007-07-03,22.58
2007-07-05,22.93
2007-07-06,23.04
2007-07-09,23.19
2007-07-10,22.92
2007-07-11,23.3
2007-07-12,23.62
2007-07-13,23.56
2007-07-16,23.53
2007-07-17,23.74
2007-07-18,23.6
2007-07-19,23.75
2007-07-20,23.56
2007-07-23,23.5
2007-07-24,23.41
2007-07-25,23.3
2007-07-26,23.17
2007-07-27,22.92
2007-07-30,22.75
2007-07-31,22.51
2007-08-01,22.5
2007-08-02,22.41
2007-08-03,22.27
2007-08-06,22.49
2007-08-07,22.24
2007-08-08,22.0
2007-08-09,21.62
2007-08-10,21.67
2007-08-13,22.11
2007-08-14,22.07
2007-08-15,21.58
2007-08-16,20.15
2007-08-17,20.16
2007-08-20,20.46
2007-08-21,20.72
2007-08-22,20.67
2007-08-23,20.94
2007-08-24,21.35
2007-08-27,21.21
2007-08-28,20.64
2007-08-29,20.82
2007-08-30,20.77
2007-08-31,20.8
2007-09-04,20.94
2007-09-05,20.74
2007-09-06,20.6
2007-09-07,20.43
2007-09-10,20.1
2007-09-11,20.06
2007-09-12,20.16
2007-09-13,20.26
2007-09-14,20.05
2007-09-17,20.08
2007-09-18,20.74
2007-09-19,20.57
2007-09-20,20.32
2007-09-21,21.29
2007-09-24,21.19
2007-09-25,21.35
2007-09-26,21.28
2007-09-27,21.4
2007-09-28,21.23
2007-10-01,21.45
2007-10-02,21.52
2007-10-03,21.89
2007-10-04,22.08
2007-10-05,21.98
2007-10-08,21.94
2007-10-09,21.7
2007-10-10,21.53
2007-10-11,21.57
2007-10-12,21.57
2007-10-15,21.45
2007-10-16,21.14
2007-10-17,21.0
2007-10-18,21.85
2007-10-19,21.83
2007-10-22,22.17
2007-10-23,22.16
2007-10-24,21.66
2007-10-25,22.36
2007-10-26,22.56
2007-10-29,22.25
2007-10-30,21.97
2007-10-31,21.95
2007-11-01,21.59
2007-11-02,21.1
2007-11-05,20.88
2007-11-06,20.98
2007-11-07,20.61
2007-11-08,20.54
2007-11-09,22.12
2007-11-12,21.5
2007-11-13,22.23
2007-11-14,22.05
2007-11-15,21.92
2007-11-16,22.29
2007-11-19,21.45
2007-11-20,21.45
2007-11-21,21.11
2007-11-23,20.98
2007-11-26,21.08
2007-11-27,21.17
2007-11-28,22.05
2007-11-29,21.91
2007-11-30,22.44
2007-12-03,21.81
2007-12-04,21.87
2007-12-05,21.76
2007-12-06,21.6
2007-12-07,21.78
2007-12-10,22.01
2007-12-11,21.74
2007-12-12,22.24
2007-12-13,22.12
2007-12-14,21.65
2007-12-17,21.39
2007-12-18,21.61
2007-12-19,21.7
2007-12-20,22.12
2007-12-21,22.48
2007-12-24,22.28
2007-12-26,22.17
2007-12-27,21.9
2007-12-28,21.91
2007-12-31,21.81
2008-01-02,21.56
2008-01-03,21.62
2008-01-04,20.93
2008-01-07,20.97
2008-01-08,20.92
2008-01-09,20.98
2008-01-10,20.91
2008-01-11,19.38
2008-01-14,19.29
2008-01-15,19.02
2008-01-16,19.39
2008-01-17,19.17
2008-01-18,19.39
2008-01-22,19.6
2008-01-23,20.55
2008-01-24,19.54
2008-01-25,19.62
2008-01-28,19.92
2008-01-29,20.6
2008-01-30,20.32
2008-01-31,21.11
2008-02-01,22.42
2008-02-04,22.05
2008-02-05,21.59
2008-02-06,21.8
2008-02-07,22.14
2008-02-08,21.77
2008-02-11,21.92
2008-02-12,21.92
2008-02-13,21.95
2008-02-14,21.75
2008-02-15,21.73
2008-02-19,21.31
2008-02-20,21.02
2008-02-21,20.96
2008-02-22,21.25
2008-02-25,21.52
2008-02-26,21.76
2008-02-27,21.62
2008-02-28,21.42
2008-02-29,21.29
2008-03-03,21.72
2008-03-04,21.65
2008-03-05,22.0
2008-03-06,21.8
2008-03-07,21.86
2008-03-10,22.03
2008-03-11,22.49
2008-03-12,22.56
2008-03-13,22.77
2008-03-14,22.17
2008-03-17,22.16
2008-03-18,22.68
2008-03-19,22.25
2008-03-20,22.66
2008-03-24,22.65
2008-03-25,22.52
2008-03-26,22.6
2008-03-27,22.88
2008-03-28,22.64
2008-03-31,22.92
2008-04-01,23.7
2008-04-02,23.49
2008-04-03,23.89
2008-04-04,23.64
2008-04-07,23.01
2008-04-08,23.06
2008-04-09,22.32
2008-04-10,22.72
2008-04-11,22.69
2008-04-14,22.97
2008-04-15,22.49
2008-04-16,22.38
2008-04-17,22.3
2008-04-18,22.17
2008-04-21,22.21
2008-04-22,22.09
2008-04-23,22.0
2008-04-24,22.57
2008-04-25,22.83
2008-04-28,22.95
2008-04-29,23.19
2008-04-30,22.81
2008-05-01,22.62
2008-05-02,22.17
2008-05-05,22.7
2008-05-06,24.33
2008-05-07,23.82
2008-05-08,23.91
2008-05-09,24.04
2008-05-12,24.38
2008-05-13,24.34
2008-05-14,23.92
2008-05-15,24.12
2008-05-16,24.02
2008-05-19,23.95
2008-05-20,23.64
2008-05-21,23.42
2008-05-22,23.65
2008-05-23,23.27
2008-05-27,23.48
2008-05-28,23.39
2008-05-29,23.9
2008-05-30,23.8
2008-06-02,23.58
2008-06-03,23.5
2008-06-04,23.53
2008-06-05,23.82
2008-06-06,23.12
2008-06-09,23.48
2008-06-10,24.15
2008-06-11,23.83
2008-06-12,23.82
2008-06-13,24.42
2008-06-16,24.37
2008-06-17,24.0
