Date,Close
2015-04-16,30.0
2015-04-17,27.58
2015-04-20,24.9
2015-04-21,25.75
2015-04-22,25.12
2015-04-23,25.62
2015-04-24,25.58
2015-04-27,25.9
2015-04-28,24.49
2015-04-29,22.42
2015-04-30,22.24
2015-05-01,21.75
2015-05-04,23.24
2015-05-05,24.15
2015-05-06,23.4
2015-05-07,23.69
2015-05-08,22.71
2015-05-11,20.85
2015-05-12,20.57
2015-05-13,19.83
2015-05-14,20.6
2015-05-15,20.05
2015-05-18,20.56
2015-05-19,21.0
2015-05-20,17.2
2015-05-21,17.51
2015-05-22,17.17
2015-05-26,17.09
2015-05-27,17.06
2015-05-28,17.04
2015-05-29,16.76
2015-06-01,16.05
2015-06-02,15.86
2015-06-03,15.32
2015-06-04,15.07
2015-06-05,15.03
2015-06-08,14.86
2015-06-09,15.99
2015-06-10,16.78
2015-06-11,16.86
2015-06-12,16.64
2015-06-15,16.32
2015-06-16,16.29
2015-06-17,15.77
2015-06-18,15.33
2015-06-19,14.31
2015-06-22,14.42
2015-06-23,14.34
2015-06-24,14.39
2015-06-25,14.9
2015-06-26,14.25
2015-06-29,14.23
2015-06-30,14.05
2015-07-01,14.01
2015-07-02,13.27
2015-07-06,13.4
2015-07-07,13.32
2015-07-08,14.55
2015-07-09,16.2
2015-07-10,16.53
2015-07-13,16.03
2015-07-14,16.51
2015-07-15,16.82
2015-07-16,16.83
2015-07-17,21.98
2015-07-20,19.56
2015-07-21,18.98
2015-07-22,18.45
2015-07-23,18.44
2015-07-24,19.31
2015-07-27,18.3
2015-07-28,18.65
2015-07-29,18.98
2015-07-30,21.2
2015-07-31,20.84
2015-08-03,20.5
2015-08-04,19.23
2015-08-05,13.78
2015-08-06,13.59
2015-08-07,13.44
2015-08-10,14.29
2015-08-11,16.01
2015-08-12,16.88
2015-08-13,16.99
2015-08-14,17.08
2015-08-17,17.35
2015-08-18,15.86
2015-08-19,14.98
2015-08-20,14.25
2015-08-21,13.46
2015-08-24,12.93
2015-08-25,12.87
2015-08-26,13.04
2015-08-27,14.29
2015-08-28,14.82
2015-08-31,14.33
2015-09-01,14.06
2015-09-02,14.35
2015-09-03,14.02
2015-09-04,14.21
2015-09-08,14.36
2015-09-09,13.99
2015-09-10,14.23
2015-09-11,14.31
2015-09-14,14.38
2015-09-15,14.6
2015-09-16,14.39
2015-09-17,15.61
2015-09-18,15.4
2015-09-21,15.9
2015-09-22,15.18
2015-09-23,14.61
2015-09-24,14.98
2015-09-25,14.11
2015-09-28,13.88
2015-09-29,13.82
2015-09-30,13.69
2015-10-01,14.15
2015-10-02,14.32
2015-10-05,14.66
2015-10-06,14.07
2015-10-07,14.18
2015-10-08,13.57
2015-10-09,13.86
2015-10-12,12.31
2015-10-13,11.6
2015-10-14,10.99
2015-10-15,11.03
2015-10-16,10.99
2015-10-19,10.94
2015-10-20,11.34
2015-10-21,10.68
2015-10-22,11.39
2015-10-23,11.18
2015-10-26,11.27
2015-10-27,10.98
2015-10-28,11.09
2015-10-29,10.91
2015-10-30,10.9
2015-11-02,10.69
2015-11-03,11.03
2015-11-04,9.97
2015-11-05,9.96
2015-11-06,9.21
2015-11-09,8.8
2015-11-10,8.49
2015-11-11,8.96
2015-11-12,8.94
2015-11-13,8.69
2015-11-16,8.78
2015-11-17,8.81
2015-11-18,8.72
2015-11-19,8.72
2015-11-20,8.47
2015-11-23,8.9
2015-11-24,8.91
2015-11-25,9.24
2015-11-27,9.29
2015-11-30,9.31
2015-12-01,9.28
2015-12-02,9.23
2015-12-03,9.2
2015-12-04,9.27
2015-12-07,9.47
2015-12-08,9.51
2015-12-09,9.43
2015-12-10,9.24
2015-12-11,8.86
2015-12-14,9.03
2015-12-15,9.51
2015-12-16,9.79
2015-12-17,9.59
2015-12-18,8.62
2015-12-21,8.71
2015-12-22,8.78
2015-12-23,8.84
2015-12-24,8.92
2015-12-28,8.52
2015-12-29,8.51
2015-12-30,8.48
2015-12-31,8.26
2016-01-04,8.24
2016-01-05,8.51
2016-01-06,8.8
2016-01-07,8.67
2016-01-08,8.38
2016-01-11,7.44
2016-01-12,7.35
2016-01-13,6.99
2016-01-14,7.07
2016-01-15,7.0
2016-01-19,6.65
2016-01-20,6.88
2016-01-21,6.99
2016-01-22,7.42
2016-01-25,7.25
2016-01-26,7.38
2016-01-27,7.3
2016-01-28,7.49
2016-01-29,7.76
2016-02-01,7.55
2016-02-02,7.12
2016-02-03,7.32
2016-02-04,7.48
2016-02-05,7.03
2016-02-08,6.72
2016-02-09,6.36
2016-02-10,6.72
2016-02-11,6.73
2016-02-12,6.9
2016-02-16,7.49
2016-02-17,8.04
2016-02-18,7.8
2016-02-19,7.93
2016-02-22,7.95
2016-02-23,7.39
2016-02-24,7.9
2016-02-25,7.9
2016-02-26,7.65
2016-02-29,7.94
2016-03-01,8.36
2016-03-02,8.92
2016-03-03,8.89
2016-03-04,8.82
2016-03-07,8.94
2016-03-08,8.68
2016-03-09,8.74
2016-03-10,9.06
2016-03-11,9.27
2016-03-14,9.05
2016-03-15,9.17
2016-03-16,9.16
2016-03-17,9.27
2016-03-18,9.23
2016-03-21,9.06
2016-03-22,9.15
2016-03-23,8.87
2016-03-24,8.85
2016-03-28,8.7
2016-03-29,8.75
2016-03-30,8.91
2016-03-31,8.7
2016-04-01,8.67
2016-04-04,8.71
2016-04-05,8.32
2016-04-06,8.48
2016-04-07,8.38
2016-04-08,8.26
2016-04-11,8.05
2016-04-12,8.25
2016-04-13,8.49
2016-04-14,8.46
2016-04-15,8.77
2016-04-18,8.83
2016-04-19,8.83
2016-04-20,8.79
2016-04-21,8.98
2016-04-22,9.02
2016-04-25,9.0
2016-04-26,9.06
2016-04-27,9.33
2016-04-28,8.7
2016-04-29,8.78
2016-05-02,8.51
2016-05-03,8.4
2016-05-04,8.82
2016-05-05,8.97
2016-05-06,8.27
2016-05-09,8.19
2016-05-10,8.41
2016-05-11,8.29
2016-05-12,8.28
2016-05-13,8.59
2016-05-16,8.61
2016-05-17,8.48
2016-05-18,8.34
2016-05-19,8.22
2016-05-20,8.38
2016-05-23,8.55
2016-05-24,8.49
2016-05-25,8.56
2016-05-26,8.86
2016-05-27,8.94
2016-05-31,9.25
2016-06-01,9.4
2016-06-02,9.32
2016-06-03,9.21
2016-06-06,9.64
2016-06-07,9.63
2016-06-08,9.56
2016-06-09,9.67
2016-06-10,9.44
2016-06-13,9.57
2016-06-14,9.58
2016-06-15,9.79
2016-06-16,9.9
2016-06-17,9.72
2016-06-20,10.0
2016-06-21,9.75
2016-06-22,9.58
2016-06-23,9.93
2016-06-24,9.26
2016-06-27,8.74
2016-06-28,8.84
2016-06-29,9.41
2016-06-30,9.59
2016-07-01,9.66
2016-07-05,9.46
2016-07-06,9.2
2016-07-07,9.21
2016-07-08,9.6
2016-07-11,9.71
2016-07-12,10.2
2016-07-13,10.16
2016-07-14,10.14
2016-07-15,9.99
2016-07-18,9.88
2016-07-19,9.83
2016-07-20,9.99
2016-07-21,9.83
2016-07-22,9.82
2016-07-25,9.88
2016-07-26,9.86
2016-07-27,9.82
2016-07-28,10.11
2016-07-29,10.06
2016-08-01,11.86
2016-08-02,12.71
2016-08-03,13.84
2016-08-04,14.07
2016-08-05,13.77
2016-08-08,13.69
2016-08-09,13.76
2016-08-10,13.78
2016-08-11,14.5
2016-08-12,14.45
2016-08-15,14.49
2016-08-16,14.26
2016-08-17,13.98
2016-08-18,14.19
2016-08-19,14.07
2016-08-22,13.99
2016-08-23,13.98
2016-08-24,13.67
2016-08-25,13.55
2016-08-26,13.42
2016-08-29,13.53
2016-08-30,13.47
2016-08-31,13.46
2016-09-01,13.78
2016-09-02,13.87
2016-09-06,14.19
2016-09-07,14.36
2016-09-08,14.27
2016-09-09,13.64
2016-09-12,13.87
2016-09-13,13.68
2016-09-14,13.69
2016-09-15,13.63
2016-09-16,13.57
2016-09-19,13.36
2016-09-20,13.51
2016-09-21,14.54
2016-09-22,14.82
2016-09-23,15.22
2016-09-26,14.82
2016-09-27,14.7
2016-09-28,14.76
2016-09-29,14.43
2016-09-30,14.28
2016-10-03,14.72
2016-10-04,15.37
2016-10-05,15.35
2016-10-06,15.13
2016-10-07,15.48
2016-10-10,15.81
2016-10-11,15.27
2016-10-12,15.11
2016-10-13,14.82
2016-10-14,14.48
2016-10-17,14.37
2016-10-18,14.39
2016-10-19,14.48
2016-10-20,14.31
2016-10-21,14.23
2016-10-24,14.1
2016-10-25,13.55
2016-10-26,13.13
2016-10-27,12.83
2016-10-28,12.43
2016-10-31,12.98
2016-11-01,12.95
2016-11-02,11.27
2016-11-03,11.09
2016-11-04,11.45
2016-11-07,11.77
2016-11-08,11.52
2016-11-09,11.37
2016-11-10,11.48
2016-11-11,11.72
2016-11-14,11.67
2016-11-15,12.05
2016-11-16,12.0
2016-11-17,12.46
2016-11-18,12.59
2016-11-21,12.94
2016-11-22,13.1
2016-11-23,13.12
2016-11-25,13.09
2016-11-28,12.84
2016-11-29,12.73
2016-11-30,12.4
2016-12-01,11.93
2016-12-02,11.83
2016-12-05,12.09
2016-12-06,12.36
2016-12-07,12.6
2016-12-08,12.57
2016-12-09,12.37
2016-12-12,12.18
2016-12-13,12.24
2016-12-14,11.84
2016-12-15,12.55
2016-12-16,12.78
2016-12-19,12.92
2016-12-20,12.78
2016-12-21,12.67
2016-12-22,11.94
2016-12-23,11.98
2016-12-27,12.18
2016-12-28,11.87
2016-12-29,11.76
2016-12-30,11.78
2017-01-03,11.88
2017-01-04,11.97
2017-01-05,12.4
2017-01-06,13.08
2017-01-09,12.35
2017-01-10,12.77
2017-01-11,12.73
2017-01-12,12.47
2017-01-13,12.52
2017-01-17,12.77
2017-01-18,12.9
2017-01-19,12.6
2017-01-20,12.41
2017-01-23,12.65
2017-01-24,12.97
2017-01-25,12.82
2017-01-26,13.0
2017-01-27,12.93
2017-01-30,12.75
2017-01-31,12.61
2017-02-01,12.46
2017-02-02,12.7
2017-02-03,12.64
2017-02-06,12.34
2017-02-07,12.43
2017-02-08,12.5
2017-02-09,12.5
2017-02-10,12.84
2017-02-13,12.76
2017-02-14,12.86
2017-02-15,13.33
2017-02-16,12.92
2017-02-17,12.9
2017-02-21,13.01
2017-02-22,12.9
2017-02-23,12.51
2017-02-24,12.72
2017-02-27,12.79
2017-02-28,12.12
2017-03-01,10.69
2017-03-02,10.66
2017-03-03,10.19
2017-03-06,10.14
2017-03-07,9.81
2017-03-08,9.56
2017-03-09,9.64
2017-03-10,9.72
2017-03-13,10.05
2017-03-14,10.04
2017-03-15,10.23
2017-03-16,10.38
2017-03-17,10.37
2017-03-20,10.27
2017-03-21,9.99
2017-03-22,10.04
2017-03-23,9.89
2017-03-24,9.88
2017-03-27,10.15
2017-03-28,10.11
2017-03-29,10.35
2017-03-30,10.4
2017-03-31,10.63
2017-04-03,10.63
2017-04-04,10.7
2017-04-05,10.59
2017-04-06,10.61
2017-04-07,10.47
2017-04-10,10.57
2017-04-11,10.57
2017-04-12,10.53
2017-04-13,10.29
