Date,Close
2007-01-03,42.1
2007-01-04,42.54
2007-01-05,42.52
2007-01-08,42.74
2007-01-09,42.84
2007-01-10,42.96
2007-01-11,42.68
2007-01-12,42.82
2007-01-16,42.48
2007-01-17,42.32
2007-01-18,41.3
2007-01-19,42.04
2007-01-22,41.16
2007-01-23,41.4
2007-01-24,42.06
2007-01-25,41.3
2007-01-26,41.24
2007-01-29,41.72
2007-01-30,42.12
2007-01-31,42.9
2007-02-01,41.36
2007-02-02,42.12
2007-02-05,42.4
2007-02-06,42.88
2007-02-07,43.52
2007-02-08,44.22
2007-02-09,43.28
2007-02-12,42.94
2007-02-13,43.3
2007-02-14,44.54
2007-02-15,44.6
2007-02-16,43.66
2007-02-20,44.44
2007-02-21,44.7
2007-02-22,44.28
2007-02-23,43.4
2007-02-26,43.42
2007-02-27,42.76
2007-02-28,42.52
2007-03-01,41.76
2007-03-02,41.0
2007-03-05,40.82
2007-03-06,40.86
2007-03-07,40.74
2007-03-08,41.1
2007-03-09,40.9
2007-03-12,41.48
2007-03-13,42.52
2007-03-14,42.14
2007-03-15,42.64
2007-03-16,42.22
2007-03-19,43.42
2007-03-20,44.0
2007-03-21,45.16
2007-03-22,45.96
2007-03-23,46.3
2007-03-26,46.36
2007-03-27,46.22
2007-03-28,44.96
2007-03-29,46.0
2007-03-30,46.36
2007-04-02,45.7
2007-04-03,46.36
2007-04-04,46.66
2007-04-05,48.04
2007-04-09,47.62
2007-04-10,48.04
2007-04-11,46.94
2007-04-12,47.66
2007-04-13,48.22
2007-04-16,47.8
2007-04-17,48.4
2007-04-18,47.28
2007-04-19,46.7
2007-04-20,46.4
2007-04-23,46.38
2007-04-24,47.0
2007-04-25,47.48
2007-04-26,47.86
2007-04-27,47.62
2007-04-30,47.24
2007-05-01,48.04
2007-05-02,48.7
2007-05-03,48.7
2007-05-04,48.96
2007-05-07,49.62
2007-05-08,48.4
2007-05-09,49.34
2007-05-10,48.7
2007-05-11,49.52
2007-05-14,49.16
2007-05-15,48.36
2007-05-16,48.92
2007-05-17,48.7
2007-05-18,49.28
2007-05-21,50.52
2007-05-22,50.42
2007-05-23,50.48
2007-05-24,49.4
2007-05-25,48.9
2007-05-29,48.38
2007-05-30,47.76
2007-05-31,48.06
2007-06-01,48.46
2007-06-04,48.92
2007-06-05,48.76
2007-06-06,48.32
2007-06-07,47.04
2007-06-08,46.76
2007-06-11,48.06
2007-06-12,48.4
2007-06-13,48.48
2007-06-14,48.92
2007-06-15,50.74
2007-06-18,51.0
2007-06-19,58.28
2007-06-20,58.42
2007-06-21,58.2
2007-06-22,58.0
2007-06-25,58.44
2007-06-26,58.48
2007-06-27,58.92
2007-06-28,58.98
