Date,Close
2007-01-03,9.01
2007-01-04,9.37
2007-01-05,9.11
2007-01-08,8.89
2007-01-09,9.13
2007-01-10,9.28
2007-01-11,9.44
2007-01-12,9.45
2007-01-16,9.46
2007-01-17,9.48
2007-01-18,9.23
2007-01-19,9.19
2007-01-22,8.94
2007-01-23,8.94
2007-01-24,9.03
2007-01-25,8.87
2007-01-26,8.87
2007-01-29,8.89
2007-01-30,9.08
2007-01-31,9.32
2007-02-01,9.5
2007-02-02,9.55
2007-02-05,9.38
2007-02-06,9.28
2007-02-07,9.38
2007-02-08,9.24
2007-02-09,9.1
2007-02-12,8.98
2007-02-13,8.97
2007-02-14,9.12
2007-02-15,9.11
2007-02-16,9.18
2007-02-20,9.32
2007-02-21,9.42
2007-02-22,9.36
2007-02-23,9.29
2007-02-26,9.24
2007-02-27,8.93
2007-02-28,8.82
2007-03-01,8.85
2007-03-02,8.69
2007-03-05,8.51
2007-03-06,8.51
2007-03-07,8.56
2007-03-08,8.83
2007-03-09,8.89
2007-03-12,8.78
2007-03-13,8.64
2007-03-14,8.72
2007-03-15,8.76
2007-03-16,8.74
2007-03-19,8.8
2007-03-20,8.92
2007-03-21,8.98
2007-03-22,8.95
2007-03-23,9.06
2007-03-26,8.89
2007-03-27,8.73
2007-03-28,8.74
2007-03-29,8.69
2007-03-30,8.76
2007-04-02,8.69
2007-04-03,8.83
2007-04-04,8.87
2007-04-05,8.9
2007-04-09,8.9
2007-04-10,8.91
2007-04-11,8.74
2007-04-12,9.57
2007-04-13,9.87
2007-04-16,10.06
2007-04-17,10.07
2007-04-18,10.09
2007-04-19,10.02
2007-04-20,10.13
2007-04-23,10.11
2007-04-24,10.32
2007-04-25,10.49
2007-04-26,10.39
2007-04-27,10.41
2007-04-30,10.28
2007-05-01,10.31
2007-05-02,10.51
2007-05-03,10.4
2007-05-04,10.45
2007-05-07,10.37
2007-05-08,10.34
2007-05-09,10.48
2007-05-10,10.45
2007-05-11,10.4
2007-05-14,10.35
2007-05-15,10.29
2007-05-16,10.47
2007-05-17,10.46
2007-05-18,10.59
2007-05-21,10.64
2007-05-22,10.75
2007-05-23,10.66
2007-05-24,10.6
2007-05-25,10.62
2007-05-29,10.58
2007-05-30,10.69
2007-05-31,10.84
2007-06-01,10.74
2007-06-04,10.9
2007-06-05,10.69
2007-06-06,10.43
2007-06-07,10.15
2007-06-08,10.27
2007-06-11,10.31
2007-06-12,10.31
2007-06-13,10.49
2007-06-14,10.49
2007-06-15,10.56
2007-06-18,10.46
2007-06-19,10.43
2007-06-20,10.49
2007-06-21,10.66
2007-06-22,10.45
2007-06-25,10.42
2007-06-26,10.54
2007-06-27,10.59
2007-06-28,10.52
2007-06-29,10.47
2007-07-02,10.56
2007-07-03,10.57
2007-07-05,10.54
2007-07-06,10.61
2007-07-09,10.6
2007-07-10,10.47
2007-07-11,10.56
