Date,Close
2007-01-03,55.78
2007-01-04,56.05
2007-01-05,55.35
2007-01-08,55.38
2007-01-09,55.3
2007-01-10,55.34
2007-01-11,55.95
2007-01-12,57.61
2007-01-16,58.78
2007-01-17,58.78
2007-01-18,57.58
2007-01-19,57.5
2007-01-22,57.11
2007-01-23,56.65
2007-01-24,57.17
2007-01-25,57.06
2007-01-26,57.56
2007-01-29,57.65
2007-01-30,58.38
2007-01-31,58.08
2007-02-01,59.22
2007-02-02,59.37
2007-02-05,59.13
2007-02-06,59.47
2007-02-07,60.15
2007-02-08,59.89
2007-02-09,59.29
2007-02-12,59.04
2007-02-13,59.48
2007-02-14,60.09
2007-02-15,61.18
2007-02-16,61.73
2007-02-20,62.57
2007-02-21,63.25
2007-02-22,62.68
2007-02-23,62.55
2007-02-26,61.79
2007-02-27,59.73
2007-02-28,60.86
2007-03-01,60.0
2007-03-02,60.44
2007-03-05,60.38
2007-03-06,61.94
2007-03-07,62.15
2007-03-08,63.28
2007-03-09,63.31
2007-03-12,65.95
2007-03-13,65.24
2007-03-14,65.53
2007-03-15,66.74
2007-03-16,66.58
2007-03-19,64.7
2007-03-20,64.7
2007-03-21,65.85
2007-03-22,66.01
2007-03-23,65.64
2007-03-26,64.16
2007-03-27,62.94
2007-03-28,61.78
2007-03-29,62.88
2007-03-30,62.85
2007-04-02,62.13
2007-04-03,62.94
2007-04-04,62.67
2007-04-05,62.49
2007-04-09,62.45
2007-04-10,61.81
2007-04-11,61.01
2007-04-12,61.07
2007-04-13,60.69
2007-04-16,61.7
2007-04-17,62.1
2007-04-18,61.9
2007-04-19,61.04
2007-04-20,61.35
2007-04-23,62.03
2007-04-24,61.58
2007-04-25,62.3
2007-04-26,62.52
2007-04-27,62.56
2007-04-30,61.51
2007-05-01,61.51
2007-05-02,62.21
2007-05-03,62.46
2007-05-04,63.28
2007-05-07,62.98
2007-05-08,63.39
2007-05-09,63.22
2007-05-10,63.23
2007-05-11,64.01
2007-05-14,63.86
2007-05-15,63.38
2007-05-16,63.38
2007-05-17,62.87
2007-05-18,64.04
2007-05-21,64.89
2007-05-22,64.24
2007-05-23,63.82
2007-05-24,62.25
2007-05-25,62.88
2007-05-29,63.87
2007-05-30,64.19
2007-05-31,63.83
2007-06-01,62.94
2007-06-04,63.25
2007-06-05,63.65
2007-06-06,62.34
2007-06-07,60.3
2007-06-08,61.76
2007-06-11,62.64
2007-06-12,62.47
2007-06-13,62.41
2007-06-14,63.21
2007-06-15,63.38
2007-06-18,63.87
2007-06-19,68.09
2007-06-20,69.36
2007-06-21,69.35
2007-06-22,66.92
2007-06-25,66.68
2007-06-26,66.99
2007-06-27,68.16
2007-06-28,68.4
2007-06-29,68.35
2007-07-02,68.73
2007-07-03,68.51
2007-07-05,68.22
2007-07-06,68.43
2007-07-09,68.88
2007-07-10,66.9
2007-07-11,65.75
2007-07-12,66.5
2007-07-13,66.56
2007-07-16,67.11
2007-07-17,67.2
2007-07-18,67.09
2007-07-19,67.6
2007-07-20,67.37
2007-07-23,67.53
2007-07-24,67.36
2007-07-25,66.75
2007-07-26,65.54
2007-07-27,64.98
2007-07-30,64.9
2007-07-31,65.99
2007-08-01,66.19
2007-08-02,66.91
2007-08-03,64.36
2007-08-06,64.65
2007-08-07,62.55
2007-08-08,62.91
2007-08-09,55.54
2007-08-10,59.88
2007-08-13,62.54
2007-08-14,59.36
2007-08-15,59.0
2007-08-16,55.66
2007-08-17,57.34
2007-08-20,56.41
2007-08-21,56.4
2007-08-22,56.92
2007-08-23,56.94
2007-08-24,57.02
2007-08-27,56.25
2007-08-28,56.02
2007-08-29,56.62
2007-08-30,58.55
2007-08-31,59.93
2007-09-04,58.94
2007-09-05,58.21
2007-09-06,58.25
2007-09-07,56.78
2007-09-10,56.42
2007-09-11,57.17
2007-09-12,58.47
2007-09-13,58.27
2007-09-14,60.38
2007-09-17,59.46
2007-09-18,60.76
2007-09-19,61.93
2007-09-20,61.7
2007-09-21,64.92
2007-09-24,64.22
2007-09-25,66.1
2007-09-26,65.82
2007-09-27,68.12
2007-09-28,68.55
2007-10-01,68.45
2007-10-02,68.85
2007-10-03,69.2
2007-10-04,69.17
2007-10-05,71.55
2007-10-08,69.99
2007-10-09,71.5
2007-10-10,73.53
2007-10-11,73.3
2007-10-12,71.95
2007-10-15,71.51
2007-10-16,70.86
2007-10-17,70.7
2007-10-18,70.7
2007-10-19,68.5
2007-10-22,69.12
2007-10-23,69.7
2007-10-24,68.24
2007-10-25,67.54
2007-10-26,68.16
2007-10-29,69.51
2007-10-30,68.75
2007-10-31,70.52
2007-11-01,68.29
2007-11-02,69.26
2007-11-05,67.99
2007-11-06,67.23
2007-11-07,65.73
2007-11-08,64.74
2007-11-09,63.32
2007-11-12,62.25
2007-11-13,64.14
2007-11-14,63.84
2007-11-15,64.01
2007-11-16,64.1
2007-11-19,62.01
2007-11-20,60.54
2007-11-21,59.08
2007-11-23,60.02
2007-11-26,60.28
2007-11-27,59.97
2007-11-28,63.35
2007-11-29,62.86
2007-11-30,62.68
2007-12-03,63.38
2007-12-04,65.7
2007-12-05,65.05
2007-12-06,63.6
2007-12-07,64.18
2007-12-10,65.12
2007-12-11,64.83
2007-12-12,65.4
2007-12-13,66.0
2007-12-14,65.15
2007-12-17,62.67
2007-12-18,59.3
2007-12-19,57.31
2007-12-20,57.67
2007-12-21,58.22
2007-12-24,58.14
2007-12-26,58.37
2007-12-27,56.06
2007-12-28,56.5
2007-12-31,55.7
2008-01-02,55.05
2008-01-03,55.08
2008-01-04,53.23
2008-01-07,52.46
2008-01-08,52.65
2008-01-09,52.07
2008-01-10,52.91
2008-01-11,52.63
2008-01-14,52.84
2008-01-15,53.15
2008-01-16,52.69
2008-01-17,51.8
2008-01-18,52.0
2008-01-22,51.74
2008-01-23,53.02
2008-01-24,55.18
2008-01-25,56.32
2008-01-28,56.28
2008-01-29,56.34
2008-01-30,54.95
2008-01-31,56.04
2008-02-01,55.85
2008-02-04,56.06
2008-02-05,54.04
2008-02-06,51.92
2008-02-07,51.74
2008-02-08,52.06
2008-02-11,51.6
2008-02-12,51.6
2008-02-13,51.82
2008-02-14,51.83
2008-02-15,52.1
2008-02-19,51.15
2008-02-20,51.52
2008-02-21,52.28
2008-02-22,52.39
2008-02-25,52.59
2008-02-26,54.32
2008-02-27,54.37
2008-02-28,53.52
2008-02-29,52.64
2008-03-03,52.15
2008-03-04,52.9
2008-03-05,53.49
2008-03-06,52.65
2008-03-07,52.0
2008-03-10,51.14
