Date,Close
2007-01-03,60.46
2007-01-04,60.39
2007-01-05,59.11
2007-01-08,59.0
2007-01-09,58.74
2007-01-10,58.67
2007-01-11,58.58
2007-01-12,57.99
2007-01-16,58.06
2007-01-17,58.34
2007-01-18,58.18
2007-01-19,58.57
2007-01-22,58.17
2007-01-23,57.9
2007-01-24,58.58
2007-01-25,58.38
2007-01-26,58.9
2007-01-29,59.1
2007-01-30,59.32
2007-01-31,59.33
2007-02-01,60.57
2007-02-02,60.84
2007-02-05,61.64
2007-02-06,61.87
2007-02-07,62.29
2007-02-08,63.15
2007-02-09,63.15
2007-02-12,63.28
2007-02-13,63.44
2007-02-14,63.84
2007-02-15,63.47
2007-02-16,63.07
2007-02-20,63.77
2007-02-21,63.17
2007-02-22,63.38
2007-02-23,63.51
2007-02-26,64.63
2007-02-27,63.19
2007-02-28,62.57
2007-03-01,62.63
2007-03-02,61.65
2007-03-05,61.2
2007-03-06,61.95
2007-03-07,61.89
2007-03-08,62.01
2007-03-09,62.27
2007-03-12,62.82
2007-03-13,61.82
2007-03-14,62.08
2007-03-15,62.55
2007-03-16,63.11
2007-03-19,63.53
2007-03-20,64.86
2007-03-21,65.68
2007-03-22,65.8
2007-03-23,66.05
2007-03-26,66.61
2007-03-27,66.27
2007-03-28,66.53
2007-03-29,66.82
2007-03-30,66.24
2007-04-02,67.81
2007-04-03,67.75
2007-04-04,67.39
2007-04-05,68.05
2007-04-09,68.25
2007-04-10,68.31
2007-04-11,68.16
2007-04-12,67.02
2007-04-13,66.99
2007-04-16,67.5
2007-04-17,67.6
2007-04-18,68.28
2007-04-19,67.94
2007-04-20,68.85
2007-04-23,69.27
2007-04-24,70.85
2007-04-25,71.23
2007-04-26,70.63
2007-04-27,69.88
2007-04-30,68.44
2007-05-01,69.55
2007-05-02,70.19
2007-05-03,69.64
2007-05-04,69.83
2007-05-07,71.52
2007-05-08,71.14
2007-05-09,71.11
2007-05-10,70.24
2007-05-11,70.83
2007-05-14,71.83
2007-05-15,71.68
2007-05-16,71.59
2007-05-17,70.75
2007-05-18,71.18
2007-05-21,72.23
2007-05-22,72.14
2007-05-23,71.12
2007-05-24,68.47
2007-05-25,68.54
2007-05-29,69.1
2007-05-30,69.66
2007-05-31,69.23
2007-06-01,69.34
2007-06-04,69.32
2007-06-05,67.72
2007-06-06,67.35
2007-06-07,64.73
2007-06-08,65.53
2007-06-11,65.17
2007-06-12,64.15
2007-06-13,64.98
2007-06-14,64.8
2007-06-15,66.9
2007-06-18,65.72
2007-06-19,65.69
2007-06-20,63.51
2007-06-21,64.49
2007-06-22,63.57
2007-06-25,64.21
2007-06-26,63.89
2007-06-27,64.79
2007-06-28,64.24
2007-06-29,64.73
2007-07-02,66.43
2007-07-03,65.96
2007-07-05,65.87
2007-07-06,65.58
2007-07-09,65.59
2007-07-10,64.67
2007-07-11,65.28
2007-07-12,66.03
2007-07-13,67.45
2007-07-16,65.94
2007-07-17,65.53
2007-07-18,66.25
2007-07-19,68.1
2007-07-20,66.64
2007-07-23,67.09
2007-07-24,64.1
2007-07-25,63.48
