Date,Close
2007-01-03,40.98
2007-01-04,40.99
2007-01-05,40.18
2007-01-08,39.92
2007-01-09,40.0
2007-01-10,39.9
2007-01-11,39.93
2007-01-12,40.03
2007-01-16,40.35
2007-01-17,39.64
2007-01-18,39.9
2007-01-19,39.59
2007-01-22,39.2
2007-01-23,39.09
2007-01-24,39.38
2007-01-25,38.91
2007-01-26,39.11
2007-01-29,39.09
2007-01-30,39.3
2007-01-31,39.9
2007-02-01,40.24
2007-02-02,40.33
2007-02-05,40.33
2007-02-06,40.53
2007-02-07,40.91
2007-02-08,40.39
2007-02-09,40.46
2007-02-12,40.75
2007-02-13,41.05
2007-02-14,41.11
2007-02-15,40.97
2007-02-16,40.98
2007-02-20,41.2
2007-02-21,40.8
2007-02-22,40.68
2007-02-23,40.58
2007-02-26,40.65
2007-02-27,39.72
2007-02-28,40.28
2007-03-01,40.11
2007-03-02,39.99
2007-03-05,39.39
2007-03-06,40.15
2007-03-07,39.59
2007-03-08,40.08
2007-03-09,39.96
2007-03-12,40.22
2007-03-13,38.66
2007-03-14,38.96
2007-03-15,39.39
2007-03-16,39.35
2007-03-19,39.48
2007-03-20,39.61
2007-03-21,40.45
2007-03-22,40.13
2007-03-23,40.13
2007-03-26,40.07
2007-03-27,39.76
2007-03-28,38.71
2007-03-29,38.99
2007-03-30,38.69
2007-04-02,38.1
2007-04-03,38.6
2007-04-04,38.65
2007-04-05,38.8
2007-04-09,38.27
2007-04-10,38.6
2007-04-11,38.41
2007-04-12,38.26
2007-04-13,38.43
2007-04-16,39.33
2007-04-17,39.11
2007-04-18,39.63
2007-04-19,40.04
2007-04-20,40.16
2007-04-23,40.1
2007-04-24,39.89
2007-04-25,40.41
2007-04-26,40.67
2007-04-27,40.84
2007-04-30,40.59
2007-05-01,40.79
2007-05-02,40.91
2007-05-03,41.28
2007-05-04,41.12
2007-05-07,41.55
2007-05-08,41.26
2007-05-09,41.46
2007-05-10,40.84
2007-05-11,41.12
2007-05-14,40.88
2007-05-15,40.79
2007-05-16,41.38
2007-05-17,41.01
2007-05-18,41.16
2007-05-21,41.38
2007-05-22,41.44
2007-05-23,42.83
2007-05-24,42.59
2007-05-25,42.93
2007-05-29,42.4
2007-05-30,42.78
2007-05-31,42.36
2007-06-01,42.78
2007-06-04,42.66
2007-06-05,42.13
2007-06-06,41.78
2007-06-07,41.54
2007-06-08,42.39
2007-06-11,42.62
2007-06-12,42.29
2007-06-13,42.95
2007-06-14,42.55
2007-06-15,42.75
2007-06-18,42.77
2007-06-19,43.06
2007-06-20,42.37
2007-06-21,42.28
2007-06-22,41.35
2007-06-25,41.03
2007-06-26,40.85
2007-06-27,40.59
2007-06-28,40.27
2007-06-29,39.77
2007-07-02,40.37
2007-07-03,40.66
2007-07-05,40.28
2007-07-06,40.08
2007-07-09,39.76
2007-07-10,38.75
2007-07-11,38.99
2007-07-12,40.47
2007-07-13,40.79
2007-07-16,40.5
2007-07-17,40.65
2007-07-18,40.11
2007-07-19,39.55
2007-07-20,38.69
2007-07-23,38.78
2007-07-24,37.54
2007-07-25,38.23
2007-07-26,37.18
2007-07-27,36.78
2007-07-30,38.07
2007-07-31,36.89
2007-08-01,37.19
2007-08-02,37.48
2007-08-03,36.09
2007-08-06,38.82
2007-08-07,39.53
2007-08-08,40.1
2007-08-09,38.61
2007-08-10,39.22
2007-08-13,37.61
2007-08-14,37.42
2007-08-15,37.38
2007-08-16,36.39
2007-08-17,38.03
2007-08-20,36.91
2007-08-21,37.2
2007-08-22,37.15
2007-08-23,37.01
2007-08-24,37.01
2007-08-27,36.4
2007-08-28,35.36
2007-08-29,36.27
2007-08-30,35.42
2007-08-31,35.69
2007-09-04,35.69
2007-09-05,34.73
2007-09-06,35.25
2007-09-07,34.79
2007-09-10,35.06
2007-09-11,34.8
2007-09-12,34.42
2007-09-13,34.41
2007-09-14,34.77
2007-09-17,34.72
2007-09-18,36.64
2007-09-19,36.5
2007-09-20,35.41
2007-09-21,35.23
2007-09-24,34.61
2007-09-25,34.84
2007-09-26,34.21
2007-09-27,34.22
2007-09-28,33.88
2007-10-01,34.31
2007-10-02,34.55
2007-10-03,34.68
2007-10-04,34.89
2007-10-05,35.08
2007-10-08,34.95
2007-10-09,35.06
2007-10-10,34.16
2007-10-11,33.68
2007-10-12,33.04
2007-10-15,32.64
2007-10-16,31.13
2007-10-17,31.0
2007-10-18,30.48
2007-10-19,29.97
2007-10-22,29.9
2007-10-23,29.98
2007-10-24,29.27
2007-10-25,29.15
2007-10-26,29.62
2007-10-29,29.7
2007-10-30,30.66
2007-10-31,31.28
2007-11-01,29.92
2007-11-02,29.84
2007-11-05,29.59
2007-11-06,29.73
2007-11-07,27.78
2007-11-08,28.46
2007-11-09,28.83
2007-11-12,28.99
2007-11-13,29.91
2007-11-14,29.15
2007-11-15,28.18
2007-11-16,27.81
2007-11-19,27.51
2007-11-20,27.35
2007-11-21,27.16
2007-11-23,28.04
2007-11-26,26.23
2007-11-27,27.36
2007-11-28,29.07
2007-11-29,28.64
2007-11-30,29.91
2007-12-03,29.98
2007-12-04,28.65
2007-12-05,28.99
2007-12-06,29.99
2007-12-07,29.78
2007-12-10,31.01
2007-12-11,28.77
2007-12-12,27.03
2007-12-13,27.59
2007-12-14,26.6
2007-12-17,26.59
2007-12-18,26.56
2007-12-19,25.53
2007-12-20,25.73
2007-12-21,27.06
2007-12-24,27.02
2007-12-26,26.58
2007-12-27,25.19
2007-12-28,25.24
2007-12-31,25.13
2008-01-02,24.41
2008-01-03,24.57
2008-01-04,23.78
2008-01-07,23.23
2008-01-08,22.56
2008-01-09,23.16
2008-01-10,23.69
2008-01-11,24.36
2008-01-14,23.82
2008-01-15,22.91
2008-01-16,24.06
2008-01-17,23.09
2008-01-18,22.6
2008-01-22,23.53
2008-01-23,25.16
2008-01-24,25.21
2008-01-25,24.49
2008-01-28,25.75
2008-01-29,26.47
2008-01-30,26.06
2008-01-31,27.1
2008-02-01,28.06
2008-02-04,27.09
2008-02-05,25.75
2008-02-06,26.05
2008-02-07,26.38
2008-02-08,25.67
2008-02-11,24.99
2008-02-12,26.05
2008-02-13,26.0
2008-02-14,25.14
2008-02-15,25.62
2008-02-19,24.61
2008-02-20,24.82
2008-02-21,24.26
2008-02-22,24.72
2008-02-25,24.94
2008-02-26,25.08
2008-02-27,24.94
2008-02-28,24.05
2008-02-29,22.9
2008-03-03,22.92
2008-03-04,22.9
2008-03-05,22.36
2008-03-06,21.72
2008-03-07,22.0
2008-03-10,22.0
2008-03-11,24.12
2008-03-12,23.06
2008-03-13,22.82
2008-03-14,21.84
2008-03-17,21.12
2008-03-18,22.29
2008-03-19,21.82
2008-03-20,23.35
2008-03-24,23.68
2008-03-25,23.25
2008-03-26,22.38
2008-03-27,21.33
2008-03-28,20.82
2008-03-31,20.92
2008-04-01,22.49
2008-04-02,22.63
2008-04-03,22.55
2008-04-04,22.71
2008-04-07,23.12
2008-04-08,22.11
2008-04-09,21.64
2008-04-10,21.36
2008-04-11,20.86
2008-04-14,19.02
2008-04-15,19.26
2008-04-16,20.1
2008-04-17,20.54
2008-04-18,20.95
2008-04-21,19.38
2008-04-22,20.93
2008-04-23,19.9
2008-04-24,21.25
2008-04-25,21.78
2008-04-28,22.01
2008-04-29,21.72
2008-04-30,21.43
2008-05-01,22.61
2008-05-02,22.65
2008-05-05,22.19
2008-05-06,22.46
2008-05-07,21.85
2008-05-08,20.9
2008-05-09,20.77
2008-05-12,21.26
2008-05-13,20.73
2008-05-14,20.95
2008-05-15,21.11
2008-05-16,20.48
2008-05-19,20.47
2008-05-20,19.99
2008-05-21,19.72
2008-05-22,19.88
2008-05-23,19.26
2008-05-27,19.55
2008-05-28,18.85
2008-05-29,19.22
2008-05-30,18.7
2008-06-02,17.99
2008-06-03,17.35
2008-06-04,17.42
2008-06-05,17.56
2008-06-06,16.74
2008-06-09,16.78
2008-06-10,16.43
2008-06-11,15.34
2008-06-12,14.69
2008-06-13,13.17
2008-06-16,13.56
2008-06-17,12.73
2008-06-18,9.26
2008-06-19,9.75
2008-06-20,10.11
2008-06-23,10.05
2008-06-24,10.16
2008-06-25,10.3
2008-06-26,10.31
2008-06-27,10.23
2008-06-30,10.18
2008-07-01,10.61
2008-07-02,10.65
2008-07-03,10.56
2008-07-07,10.31
2008-07-08,11.61
2008-07-09,11.1
2008-07-10,11.84
2008-07-11,12.48
2008-07-14,11.16
2008-07-15,10.44
2008-07-16,12.14
2008-07-17,13.76
2008-07-18,13.53
2008-07-21,13.39
2008-07-22,14.95
2008-07-23,14.65
2008-07-24,13.59
2008-07-25,13.72
2008-07-28,12.94
2008-07-29,14.18
2008-07-30,14.24
2008-07-31,13.97
2008-08-01,13.99
2008-08-04,13.97
2008-08-05,14.98
2008-08-06,15.05
2008-08-07,15.0
2008-08-08,15.68
2008-08-11,16.1
2008-08-12,14.8
2008-08-13,14.08
2008-08-14,14.75
2008-08-15,15.07
2008-08-18,14.33
2008-08-19,13.72
2008-08-20,13.97
2008-08-21,14.12
2008-08-22,14.63
2008-08-25,14.17
2008-08-26,14.27
2008-08-27,15.1
2008-08-28,15.35
2008-08-29,15.78
2008-09-02,16.26
2008-09-03,16.41
2008-09-04,15.19
2008-09-05,16.16
2008-09-08,16.9
2008-09-09,15.93
2008-09-10,14.85
2008-09-11,15.03
2008-09-12,15.31
2008-09-15,14.11
2008-09-16,15.45
2008-09-17,14.3
2008-09-18,15.96
2008-09-19,18.88
