Date,Close
2007-01-03,16.58
2007-01-04,16.37
2007-01-05,16.07
2007-01-08,15.95
2007-01-09,16.03
2007-01-10,16.09
2007-01-11,16.44
2007-01-12,16.83
2007-01-16,16.58
2007-01-17,16.62
2007-01-18,16.63
2007-01-19,16.72
2007-01-22,16.47
2007-01-23,16.81
2007-01-24,17.02
2007-01-25,16.75
2007-01-26,16.64
2007-01-29,16.74
2007-01-30,16.9
2007-01-31,16.88
2007-02-01,17.2
2007-02-02,16.73
2007-02-05,17.0
2007-02-06,17.13
2007-02-07,16.49
2007-02-08,15.99
2007-02-09,15.83
2007-02-12,15.77
2007-02-13,16.01
2007-02-14,16.03
2007-02-15,16.21
2007-02-16,16.39
2007-02-20,16.57
2007-02-21,16.96
2007-02-22,16.83
2007-02-23,16.67
2007-02-26,16.47
2007-02-27,16.0
2007-02-28,15.96
2007-03-01,15.95
2007-03-02,15.8
2007-03-05,15.45
2007-03-06,15.78
2007-03-07,15.84
2007-03-08,15.92
2007-03-09,16.05
2007-03-12,16.19
2007-03-13,15.83
2007-03-14,15.85
2007-03-15,16.17
2007-03-16,16.08
2007-03-19,16.26
2007-03-20,16.4
2007-03-21,16.68
2007-03-22,16.84
2007-03-23,16.91
2007-03-26,16.8
2007-03-27,16.55
2007-03-28,16.35
2007-03-29,16.28
2007-03-30,16.36
2007-04-02,16.34
2007-04-03,16.36
2007-04-04,16.33
2007-04-05,16.29
2007-04-09,16.23
2007-04-10,16.09
2007-04-11,16.02
2007-04-12,16.15
2007-04-13,16.22
2007-04-16,16.57
2007-04-17,16.5
2007-04-18,16.55
2007-04-19,16.47
2007-04-20,16.56
2007-04-23,16.54
2007-04-24,16.58
2007-04-25,16.76
2007-04-26,16.75
2007-04-27,16.73
2007-04-30,16.68
2007-05-01,17.68
2007-05-02,17.95
2007-05-03,18.0
2007-05-04,18.01
2007-05-07,18.14
2007-05-08,18.23
2007-05-09,18.39
2007-05-10,18.46
2007-05-11,18.42
2007-05-14,18.19
2007-05-15,18.08
2007-05-16,18.28
2007-05-17,18.35
2007-05-18,18.44
2007-05-21,18.62
2007-05-22,18.43
2007-05-23,18.31
2007-05-24,17.97
2007-05-25,18.17
2007-05-29,18.28
2007-05-30,18.3
2007-05-31,18.14
2007-06-01,18.42
2007-06-04,18.65
2007-06-05,18.77
2007-06-06,18.37
2007-06-07,18.1
2007-06-08,18.42
2007-06-11,18.44
2007-06-12,18.11
2007-06-13,18.54
2007-06-14,18.64
2007-06-15,18.68
2007-06-18,18.88
2007-06-19,18.83
2007-06-20,18.68
2007-06-21,18.67
2007-06-22,18.43
2007-06-25,19.19
2007-06-26,19.27
2007-06-27,19.18
2007-06-28,19.14
2007-06-29,19.38
2007-07-02,19.52
2007-07-03,19.49
2007-07-05,19.61
2007-07-06,19.69
2007-07-09,19.75
2007-07-10,19.58
2007-07-11,19.62
2007-07-12,19.88
2007-07-13,19.91
2007-07-16,19.92
2007-07-17,20.26
2007-07-18,20.26
2007-07-19,20.45
2007-07-20,20.06
2007-07-23,19.94
2007-07-24,19.79
2007-07-25,19.76
2007-07-26,19.19
2007-07-27,19.02
2007-07-30,19.32
2007-07-31,19.33
2007-08-01,19.42
2007-08-02,19.65
2007-08-03,19.34
2007-08-06,19.54
2007-08-07,19.33
2007-08-08,19.22
2007-08-09,18.25
2007-08-10,18.42
2007-08-13,19.46
2007-08-14,19.16
2007-08-15,18.76
2007-08-16,18.65
2007-08-17,18.86
2007-08-20,19.0
2007-08-21,18.79
2007-08-22,18.92
2007-08-23,19.06
2007-08-24,19.05
2007-08-27,19.14
2007-08-28,18.76
2007-08-29,19.18
2007-08-30,19.11
2007-08-31,19.51
2007-09-04,19.9
2007-09-05,19.81
2007-09-06,19.89
2007-09-07,19.49
2007-09-10,19.46
2007-09-11,19.44
2007-09-12,19.97
2007-09-13,20.29
2007-09-14,20.4
