Date,Close
2019-03-12,38.0
2019-03-13,39.75
2019-03-14,40.65
2019-03-15,41.7
2019-03-18,41.7
2019-03-19,40.34
2019-03-20,38.62
2019-03-21,40.02
2019-03-22,38.72
2019-03-25,37.44
2019-03-26,37.54
2019-03-27,36.92
2019-03-28,36.4
2019-03-29,36.71
2019-04-01,36.85
2019-04-02,36.28
2019-04-03,36.08
2019-04-04,36.76
2019-04-05,37.68
2019-04-08,37.47
2019-04-09,37.31
2019-04-10,36.48
2019-04-11,37.09
2019-04-12,37.53
2019-04-15,37.53
2019-04-16,37.75
2019-04-17,38.84
2019-04-18,38.44
2019-04-22,37.7
2019-04-23,38.08
2019-04-24,37.96
2019-04-25,38.15
2019-04-26,38.48
2019-04-29,39.2
2019-04-30,38.99
2019-05-01,39.4
2019-05-02,37.28
2019-05-03,37.47
2019-05-06,37.92
2019-05-07,37.26
2019-05-08,37.42
2019-05-09,38.5
2019-05-10,38.53
2019-05-13,37.97
2019-05-14,37.89
2019-05-15,37.71
2019-05-16,36.74
2019-05-17,37.32
2019-05-20,37.14
2019-05-21,37.69
2019-05-22,37.12
2019-05-23,36.91
2019-05-24,36.92
2019-05-28,36.64
2019-05-29,35.79
2019-05-30,35.22
2019-05-31,35.23
2019-06-03,34.24
2019-06-04,34.48
2019-06-05,34.36
2019-06-06,34.12
2019-06-07,34.01
2019-06-10,34.03
2019-06-11,34.18
2019-06-12,35.05
2019-06-13,35.29
2019-06-14,35.24
2019-06-17,36.13
2019-06-18,36.19
2019-06-19,35.99
2019-06-20,35.58
2019-06-21,36.18
2019-06-24,35.8
2019-06-25,35.34
2019-06-26,35.47
2019-06-27,35.99
2019-06-28,36.64
2019-07-01,35.92
2019-07-02,36.59
2019-07-03,36.35
2019-07-05,36.6
2019-07-08,36.13
2019-07-09,36.02
2019-07-10,36.14
2019-07-11,36.29
2019-07-12,36.96
2019-07-15,37.01
2019-07-16,36.69
2019-07-17,36.17
2019-07-18,36.55
2019-07-19,36.43
2019-07-22,36.1
2019-07-23,36.22
2019-07-24,36.6
2019-07-25,37.17
2019-07-26,37.21
2019-07-29,37.51
2019-07-30,37.82
2019-07-31,37.32
2019-08-01,36.89
2019-08-02,36.63
2019-08-05,36.05
2019-08-06,36.45
2019-08-07,37.04
2019-08-08,35.13
2019-08-09,35.4
2019-08-12,34.95
2019-08-13,35.06
2019-08-14,33.69
2019-08-15,32.75
2019-08-16,32.99
2019-08-19,33.87
2019-08-20,33.59
2019-08-21,33.41
2019-08-22,33.05
2019-08-23,31.75
2019-08-26,32.08
2019-08-27,31.93
2019-08-28,31.79
2019-08-29,32.74
2019-08-30,33.17
2019-09-03,32.77
2019-09-04,33.56
2019-09-05,34.25
2019-09-06,34.23
2019-09-09,34.3
2019-09-10,34.3
2019-09-11,34.0
2019-09-12,33.79
2019-09-13,33.83
2019-09-16,33.6
2019-09-17,32.86
2019-09-18,32.64
2019-09-19,32.04
2019-09-20,32.27
2019-09-23,32.27
2019-09-24,31.59
2019-09-25,32.01
2019-09-26,31.45
2019-09-27,31.44
2019-09-30,31.53
2019-10-01,31.24
2019-10-02,30.42
2019-10-03,30.46
2019-10-04,30.57
2019-10-07,30.6
2019-10-08,30.06
2019-10-09,30.23
2019-10-10,30.52
2019-10-11,31.46
2019-10-14,31.39
2019-10-15,31.7
2019-10-16,31.99
2019-10-17,31.98
2019-10-18,32.21
2019-10-21,32.74
2019-10-22,33.45
2019-10-23,33.24
2019-10-24,32.3
2019-10-25,32.41
2019-10-28,32.99
2019-10-29,32.84
2019-10-30,32.08
2019-10-31,32.04
2019-11-01,32.39
2019-11-04,32.55
2019-11-05,32.83
2019-11-06,33.1
2019-11-07,34.94
2019-11-08,35.14
2019-11-11,34.99
2019-11-12,34.49
2019-11-13,34.26
2019-11-14,34.22
2019-11-15,34.27
2019-11-18,35.19
2019-11-19,36.26
2019-11-20,35.89
2019-11-21,35.7
2019-11-22,35.66
2019-11-25,35.68
2019-11-26,35.93
2019-11-27,35.78
2019-11-29,35.76
2019-12-02,35.6
2019-12-03,35.19
2019-12-04,35.5
2019-12-05,35.5
2019-12-06,35.42
2019-12-09,35.62
2019-12-10,35.81
2019-12-11,36.16
2019-12-12,36.85
2019-12-13,36.77
2019-12-16,36.81
2019-12-17,37.16
2019-12-18,36.93
2019-12-19,37.0
2019-12-20,37.17
2019-12-23,37.46
2019-12-24,37.3
2019-12-26,37.57
2019-12-27,37.41
2019-12-30,37.08
2019-12-31,37.07
2020-01-02,37.07
2020-01-03,36.67
2020-01-06,36.57
2020-01-07,37.07
2020-01-08,37.11
2020-01-09,37.18
2020-01-10,36.72
2020-01-13,36.99
2020-01-14,37.26
2020-01-15,37.48
2020-01-16,39.11
2020-01-17,39.34
2020-01-21,39.1
2020-01-22,39.09
2020-01-23,37.49
2020-01-24,36.61
2020-01-27,36.88
2020-01-28,37.14
2020-01-29,36.58
2020-01-30,37.03
2020-01-31,37.08
2020-02-03,37.59
2020-02-04,38.03
2020-02-05,38.67
2020-02-06,37.11
2020-02-07,37.0
2020-02-10,37.3
2020-02-11,37.13
2020-02-12,37.67
2020-02-13,38.0
2020-02-14,37.8
2020-02-18,37.78
2020-02-19,38.03
2020-02-20,37.03
2020-02-21,35.99
2020-02-24,34.69
2020-02-25,33.21
2020-02-26,32.79
2020-02-27,31.34
2020-02-28,30.74
2020-03-02,32.11
2020-03-03,30.99
2020-03-04,30.93
2020-03-05,29.44
2020-03-06,28.84
2020-03-09,27.48
2020-03-10,29.11
2020-03-11,27.78
2020-03-12,26.22
2020-03-13,26.15
2020-03-16,24.01
2020-03-17,25.14
2020-03-18,22.34
2020-03-19,22.82
2020-03-20,20.99
2020-03-23,20.2
2020-03-24,22.29
2020-03-25,24.14
2020-03-26,24.97
2020-03-27,22.51
2020-03-30,24.31
2020-03-31,23.63
2020-04-01,22.34
2020-04-02,22.67
2020-04-03,22.3
2020-04-06,25.06
2020-04-07,25.49
2020-04-08,26.3
2020-04-09,25.99
2020-04-13,25.99
2020-04-14,26.51
2020-04-15,25.7
2020-04-16,25.54
2020-04-17,26.88
2020-04-20,26.06
2020-04-21,25.54
2020-04-22,24.77
2020-04-23,24.86
2020-04-24,24.83
2020-04-27,26.39
2020-04-28,27.14
2020-04-29,28.37
2020-04-30,25.87
2020-05-01,25.43
2020-05-04,25.0
2020-05-05,24.1
2020-05-06,24.81
2020-05-07,25.25
2020-05-08,26.0
2020-05-11,25.67
2020-05-12,25.35
2020-05-13,24.52
2020-05-14,25.77
2020-05-15,26.06
2020-05-18,27.47
2020-05-19,27.57
2020-05-20,27.81
2020-05-21,27.62
2020-05-22,27.8
2020-05-26,29.03
2020-05-27,29.65
2020-05-28,28.93
2020-05-29,29.17
2020-06-01,29.54
2020-06-02,29.3
2020-06-03,30.77
2020-06-04,30.53
2020-06-05,30.85
2020-06-08,32.48
2020-06-09,30.81
2020-06-10,30.14
2020-06-11,28.06
2020-06-12,28.29
2020-06-15,29.29
2020-06-16,28.31
2020-06-17,28.07
2020-06-18,29.0
2020-06-19,28.32
2020-06-22,28.11
2020-06-23,28.26
2020-06-24,27.38
2020-06-25,26.93
2020-06-26,25.7
2020-06-29,26.9
2020-06-30,26.82
2020-07-01,26.93
2020-07-02,26.56
2020-07-06,26.5
2020-07-07,25.69
2020-07-08,25.3
2020-07-09,24.37
2020-07-10,25.32
2020-07-13,24.96
2020-07-14,25.03
2020-07-15,26.06
2020-07-16,26.17
2020-07-17,25.28
2020-07-20,24.76
2020-07-21,25.4
2020-07-22,25.91
2020-07-23,26.24
2020-07-24,26.66
2020-07-27,25.72
2020-07-28,25.74
2020-07-29,25.86
2020-07-30,25.82
2020-07-31,25.77
2020-08-03,26.36
2020-08-04,26.67
2020-08-05,24.73
2020-08-06,24.99
2020-08-07,24.67
2020-08-10,24.4
2020-08-11,24.66
2020-08-12,24.92
2020-08-13,25.57
2020-08-14,25.74
2020-08-17,25.56
2020-08-18,25.64
2020-08-19,25.85
2020-08-20,25.89
2020-08-21,26.0
2020-08-24,26.98
2020-08-25,26.9
2020-08-26,27.15
2020-08-27,27.57
2020-08-28,27.82
2020-08-31,27.86
2020-09-01,27.44
2020-09-02,27.88
2020-09-03,27.35
2020-09-04,27.66
2020-09-08,27.69
2020-09-09,28.2
2020-09-10,28.19
2020-09-11,28.14
2020-09-14,28.66
2020-09-15,28.61
2020-09-16,29.34
2020-09-17,28.63
2020-09-18,27.96
2020-09-21,26.78
2020-09-22,26.77
2020-09-23,25.91
2020-09-24,26.2
2020-09-25,26.7
2020-09-28,27.84
2020-09-29,27.77
2020-09-30,27.83
2020-10-01,28.02
2020-10-02,28.08
2020-10-05,28.71
2020-10-06,27.92
2020-10-07,28.97
2020-10-08,29.56
2020-10-09,29.19
2020-10-12,28.94
2020-10-13,27.23
2020-10-14,26.93
2020-10-15,26.93
2020-10-16,26.86
2020-10-19,26.02
2020-10-20,26.05
2020-10-21,26.57
2020-10-22,27.46
2020-10-23,27.08
2020-10-26,26.41
2020-10-27,26.18
2020-10-28,25.31
2020-10-29,25.57
2020-10-30,26.52
2020-11-02,27.4
2020-11-03,27.04
2020-11-04,25.63
2020-11-05,26.61
2020-11-06,25.95
2020-11-09,26.25
2020-11-10,26.85
2020-11-11,27.46
2020-11-12,25.64
2020-11-13,26.64
2020-11-16,27.18
2020-11-17,28.16
2020-11-18,27.66
2020-11-19,27.71
2020-11-20,27.83
2020-11-23,28.53
2020-11-24,29.48
2020-11-25,29.3
2020-11-27,29.16
2020-11-30,28.84
2020-12-01,30.14
2020-12-02,30.6
2020-12-03,30.32
2020-12-04,29.84
2020-12-07,29.68
2020-12-08,29.25
2020-12-09,29.24
2020-12-10,29.11
2020-12-11,29.32
2020-12-14,28.78
2020-12-15,28.58
