Date,Close
2016-07-05,40.67
2016-07-06,39.96
2016-07-07,39.95
2016-07-08,42.01
2016-07-11,42.78
2016-07-12,42.32
2016-07-13,42.36
2016-07-14,43.15
2016-07-15,42.87
2016-07-18,42.92
2016-07-19,43.14
2016-07-20,42.13
2016-07-21,42.04
2016-07-22,41.34
2016-07-25,40.99
2016-07-26,41.24
2016-07-27,40.94
2016-07-28,40.71
2016-07-29,40.34
2016-08-01,40.0
2016-08-02,39.75
2016-08-03,41.24
2016-08-04,41.87
2016-08-05,42.33
2016-08-08,41.88
2016-08-09,42.23
2016-08-10,42.22
2016-08-11,43.97
2016-08-12,44.11
2016-08-15,44.9
2016-08-16,44.81
2016-08-17,44.69
2016-08-18,44.49
2016-08-19,43.45
2016-08-22,42.9
2016-08-23,43.43
2016-08-24,42.99
2016-08-25,43.2
2016-08-26,43.41
2016-08-29,43.86
2016-08-30,44.03
2016-08-31,44.08
2016-09-01,44.04
2016-09-02,44.67
2016-09-06,44.13
2016-09-07,44.3
2016-09-08,43.79
2016-09-09,42.3
2016-09-12,42.85
2016-09-13,41.87
2016-09-14,41.86
2016-09-15,42.25
2016-09-16,42.06
2016-09-19,42.49
2016-09-20,42.05
2016-09-21,42.66
2016-09-22,43.21
2016-09-23,42.58
2016-09-26,42.86
2016-09-27,43.19
2016-09-28,43.28
2016-09-29,42.43
2016-09-30,42.59
2016-10-03,43.0
2016-10-04,42.52
2016-10-05,42.63
2016-10-06,42.43
2016-10-07,41.78
2016-10-10,41.8
2016-10-11,41.19
2016-10-12,41.0
2016-10-13,40.85
2016-10-14,41.39
2016-10-17,41.05
2016-10-18,41.08
2016-10-19,41.33
2016-10-20,40.75
2016-10-21,40.73
2016-10-24,40.63
2016-10-25,40.1
2016-10-26,39.97
2016-10-27,39.74
2016-10-28,42.02
2016-10-31,42.72
2016-11-01,42.25
2016-11-02,42.11
2016-11-03,42.66
2016-11-04,42.77
2016-11-07,43.34
2016-11-08,44.06
2016-11-09,44.74
2016-11-10,45.36
2016-11-11,44.69
2016-11-14,45.04
2016-11-15,45.29
2016-11-16,45.56
2016-11-17,45.61
2016-11-18,45.72
2016-11-21,45.88
2016-11-22,46.33
2016-11-23,46.69
2016-11-25,46.84
2016-11-28,46.52
2016-11-29,46.26
2016-11-30,46.02
2016-12-01,45.35
2016-12-02,45.59
2016-12-05,45.11
2016-12-06,45.19
2016-12-07,45.39
2016-12-08,44.92
2016-12-09,45.19
2016-12-12,45.18
2016-12-13,45.06
2016-12-14,45.4
2016-12-15,45.87
2016-12-16,45.88
2016-12-19,45.99
2016-12-20,46.07
2016-12-21,45.29
2016-12-22,45.26
2016-12-23,45.62
2016-12-27,45.57
2016-12-28,44.98
2016-12-29,45.2
2016-12-30,44.88
2017-01-03,44.96
2017-01-04,45.4
2017-01-05,45.14
2017-01-06,45.08
2017-01-09,44.96
2017-01-10,45.02
2017-01-11,44.9
2017-01-12,44.91
2017-01-13,45.82
2017-01-17,45.3
2017-01-18,45.31
2017-01-19,45.41
2017-01-20,45.62
2017-01-23,45.28
2017-01-24,45.77
2017-01-25,46.17
2017-01-26,46.6
2017-01-27,46.8
2017-01-30,46.39
2017-01-31,46.28
2017-02-01,46.13
2017-02-02,46.2
2017-02-03,46.88
2017-02-06,46.7
2017-02-07,46.56
2017-02-08,47.01
2017-02-09,47.72
2017-02-10,47.82
2017-02-13,48.14
2017-02-14,47.94
2017-02-15,48.18
2017-02-16,48.03
2017-02-17,48.28
2017-02-21,48.64
2017-02-22,48.28
2017-02-23,47.92
2017-02-24,48.36
2017-02-27,48.24
2017-02-28,48.24
2017-03-01,49.3
2017-03-02,49.06
2017-03-03,49.15
2017-03-06,48.81
2017-03-07,48.7
2017-03-08,48.68
2017-03-09,48.55
2017-03-10,48.79
2017-03-13,49.18
2017-03-14,49.0
2017-03-15,49.96
2017-03-16,49.8
2017-03-17,49.86
2017-03-20,49.37
2017-03-21,48.96
2017-03-22,48.95
2017-03-23,48.98
2017-03-24,49.63
2017-03-27,49.44
2017-03-28,49.87
2017-03-29,49.92
2017-03-30,49.89
2017-03-31,50.39
2017-04-03,50.32
2017-04-04,50.23
2017-04-05,50.42
2017-04-06,50.69
2017-04-07,50.6
2017-04-10,51.05
2017-04-11,50.85
2017-04-12,50.63
2017-04-13,50.49
2017-04-17,50.61
2017-04-18,50.44
2017-04-19,50.22
2017-04-20,50.72
2017-04-21,50.22
2017-04-24,51.41
2017-04-25,52.16
2017-04-26,52.09
2017-04-27,52.15
2017-04-28,52.94
2017-05-01,52.17
2017-05-02,52.03
2017-05-03,52.44
2017-05-04,52.57
2017-05-05,52.84
2017-05-08,52.63
2017-05-09,52.47
2017-05-10,52.36
2017-05-11,52.4
2017-05-12,52.03
2017-05-15,52.07
2017-05-16,52.16
2017-05-17,51.21
2017-05-18,51.18
