Date,Close
2007-01-03,28.72
2007-01-04,28.69
2007-01-05,28.49
2007-01-08,28.61
2007-01-09,28.28
2007-01-10,28.38
2007-01-11,28.66
2007-01-12,28.45
2007-01-16,28.29
2007-01-17,28.3
2007-01-18,28.25
2007-01-19,28.33
2007-01-22,28.4
2007-01-23,28.31
2007-01-24,28.26
2007-01-25,28.39
2007-01-26,28.27
2007-01-29,28.39
2007-01-30,28.64
2007-01-31,28.62
2007-02-01,28.73
2007-02-02,28.66
2007-02-05,28.58
2007-02-06,28.6
2007-02-07,28.37
2007-02-08,28.39
2007-02-09,28.51
2007-02-12,28.47
2007-02-13,28.62
2007-02-14,28.66
2007-02-15,28.75
2007-02-16,29.05
2007-02-20,28.96
2007-02-21,28.75
2007-02-22,28.86
2007-02-23,28.59
2007-02-26,28.9
2007-02-27,28.32
2007-02-28,28.16
2007-03-01,28.06
2007-03-02,27.75
2007-03-05,27.92
2007-03-06,27.97
2007-03-07,27.45
2007-03-08,27.58
2007-03-09,27.6
2007-03-12,28.06
2007-03-13,27.52
2007-03-14,27.66
2007-03-15,28.09
2007-03-16,28.04
2007-03-19,28.24
2007-03-20,28.68
2007-03-21,28.94
2007-03-22,29.16
2007-03-23,29.09
2007-03-26,28.93
2007-03-27,28.68
2007-03-28,28.81
2007-03-29,28.96
2007-03-30,29.11
2007-04-02,28.98
2007-04-03,29.22
2007-04-04,29.49
2007-04-05,29.38
2007-04-09,29.27
2007-04-10,29.43
2007-04-11,29.34
2007-04-12,29.25
2007-04-13,29.24
2007-04-16,29.3
2007-04-17,29.59
2007-04-18,29.45
2007-04-19,29.49
2007-04-20,29.56
2007-04-23,29.78
2007-04-24,29.75
2007-04-25,29.95
2007-04-26,30.0
2007-04-27,30.04
2007-04-30,29.95
2007-05-01,30.05
2007-05-02,29.93
2007-05-03,29.71
2007-05-04,29.73
2007-05-07,29.86
2007-05-08,29.86
2007-05-09,29.91
2007-05-10,29.86
2007-05-11,29.83
2007-05-14,29.98
2007-05-15,30.17
2007-05-16,30.37
2007-05-17,30.15
2007-05-18,30.49
2007-05-21,30.42
2007-05-22,30.45
2007-05-23,30.08
2007-05-24,30.08
2007-05-25,30.08
2007-05-29,30.26
2007-05-30,30.18
2007-05-31,30.62
2007-06-01,30.67
2007-06-04,30.74
2007-06-05,29.7
2007-06-06,29.73
2007-06-07,29.4
2007-06-08,29.6
2007-06-11,29.76
2007-06-12,29.57
2007-06-13,29.77
2007-06-14,29.67
2007-06-15,29.8
2007-06-18,29.96
2007-06-19,29.92
2007-06-20,29.53
2007-06-21,29.55
2007-06-22,29.23
2007-06-25,29.4
2007-06-26,29.65
2007-06-27,29.73
2007-06-28,29.14
2007-06-29,29.21
2007-07-02,29.45
2007-07-03,29.43
2007-07-05,29.31
2007-07-06,28.99
2007-07-09,29.15
2007-07-10,28.96
2007-07-11,28.98
2007-07-12,29.52
2007-07-13,29.59
2007-07-16,29.34
2007-07-17,29.17
2007-07-18,29.35
2007-07-19,29.42
2007-07-20,29.24
2007-07-23,29.13
2007-07-24,28.58
2007-07-25,28.42
2007-07-26,27.81
2007-07-27,27.79
2007-07-30,28.12
2007-07-31,27.81
2007-08-01,28.05
2007-08-02,28.05
2007-08-03,27.78
2007-08-06,28.72
2007-08-07,28.69
2007-08-08,28.46
2007-08-09,27.42
2007-08-10,27.67
2007-08-13,27.71
2007-08-14,28.0
2007-08-15,27.74
2007-08-16,27.76
2007-08-17,27.9
2007-08-20,27.76
2007-08-21,27.89
2007-08-22,28.37
2007-08-23,28.4
2007-08-24,28.66
2007-08-27,28.67
2007-08-28,28.08
2007-08-29,28.27
2007-08-30,27.95
2007-08-31,27.94
2007-09-04,28.35
2007-09-05,28.12
2007-09-06,28.84
2007-09-07,29.0
2007-09-10,28.98
2007-09-11,28.74
2007-09-12,29.55
2007-09-13,29.14
2007-09-14,28.83
2007-09-17,28.9
2007-09-18,29.33
2007-09-19,29.42
2007-09-20,29.48
2007-09-21,29.25
2007-09-24,28.94
2007-09-25,28.85
2007-09-26,29.2
2007-09-27,29.14
2007-09-28,29.0
2007-10-01,29.11
2007-10-02,29.03
2007-10-03,28.9
2007-10-04,28.75
2007-10-05,28.76
2007-10-08,28.68
2007-10-09,29.18
2007-10-10,29.17
2007-10-11,28.94
2007-10-12,29.24
2007-10-15,29.24
2007-10-16,29.15
2007-10-17,28.89
2007-10-18,28.87
2007-10-19,28.38
2007-10-22,28.15
2007-10-23,28.07
2007-10-24,28.03
2007-10-25,28.49
2007-10-26,28.86
2007-10-29,28.61
2007-10-30,28.57
2007-10-31,28.86
2007-11-01,28.29
2007-11-02,28.45
2007-11-05,28.62
2007-11-06,28.68
2007-11-07,28.44
2007-11-08,28.83
2007-11-09,28.48
2007-11-12,28.3
2007-11-13,28.81
2007-11-14,29.01
2007-11-15,28.49
2007-11-16,28.72
2007-11-19,27.98
2007-11-20,28.2
2007-11-21,28.17
2007-11-23,28.55
2007-11-26,28.67
2007-11-27,29.02
2007-11-28,29.84
2007-11-29,29.98
2007-11-30,30.08
2007-12-03,29.99
2007-12-04,29.95
2007-12-05,30.21
2007-12-06,30.55
2007-12-07,30.26
2007-12-10,30.45
2007-12-11,29.74
2007-12-12,29.62
2007-12-13,29.97
2007-12-14,29.5
2007-12-17,29.33
2007-12-18,29.53
2007-12-19,29.0
2007-12-20,28.84
2007-12-21,29.03
2007-12-24,28.98
2007-12-26,29.05
2007-12-27,28.59
2007-12-28,28.75
2007-12-31,28.5
2008-01-02,28.27
2008-01-03,28.15
2008-01-04,27.85
2008-01-07,28.42
2008-01-08,28.51
2008-01-09,28.56
2008-01-10,28.67
2008-01-11,28.08
2008-01-14,28.27
2008-01-15,27.58
2008-01-16,27.29
2008-01-17,27.18
2008-01-18,27.05
2008-01-22,26.43
2008-01-23,26.56
2008-01-24,26.65
2008-01-25,26.47
2008-01-28,27.09
2008-01-29,27.35
2008-01-30,26.95
2008-01-31,27.26
2008-02-01,27.9
2008-02-04,27.78
2008-02-05,27.23
2008-02-06,27.22
2008-02-07,27.42
2008-02-08,26.92
2008-02-11,27.45
2008-02-12,27.56
2008-02-13,27.75
2008-02-14,27.41
2008-02-15,28.19
2008-02-19,28.23
2008-02-20,28.26
2008-02-21,28.08
2008-02-22,28.45
2008-02-25,28.78
2008-02-26,28.91
2008-02-27,28.67
2008-02-28,28.41
2008-02-29,28.0
2008-03-03,28.27
2008-03-04,27.95
2008-03-05,28.0
2008-03-06,27.47
2008-03-07,27.36
2008-03-10,27.98
2008-03-11,28.57
2008-03-12,28.89
2008-03-13,28.82
2008-03-14,28.6
2008-03-17,28.39
2008-03-18,29.1
2008-03-19,29.46
2008-03-20,30.06
2008-03-24,29.82
2008-03-25,29.62
2008-03-26,29.5
2008-03-27,29.85
2008-03-28,30.03
2008-03-31,29.94
2008-04-01,30.48
2008-04-02,30.03
2008-04-03,30.02
2008-04-04,30.27
2008-04-07,30.45
2008-04-08,30.03
2008-04-09,30.14
2008-04-10,29.91
2008-04-11,29.77
2008-04-14,29.91
2008-04-15,30.08
2008-04-16,30.6
2008-04-17,30.58
2008-04-18,31.19
2008-04-21,31.07
2008-04-22,30.78
2008-04-23,31.25
2008-04-24,30.81
2008-04-25,30.45
2008-04-28,30.62
2008-04-29,30.64
2008-04-30,30.2
2008-05-01,30.65
2008-05-02,30.83
2008-05-05,30.92
2008-05-06,30.89
2008-05-07,30.45
2008-05-08,30.8
2008-05-09,30.41
2008-05-12,30.64
2008-05-13,30.81
2008-05-14,30.94
2008-05-15,31.04
2008-05-16,31.09
2008-05-19,30.97
2008-05-20,30.97
2008-05-21,30.75
2008-05-22,30.88
2008-05-23,30.55
2008-05-27,31.2
2008-05-28,31.28
2008-05-29,31.57
2008-05-30,31.6
2008-06-02,31.42
2008-06-03,31.52
2008-06-04,31.85
2008-06-05,31.72
2008-06-06,30.82
2008-06-09,31.21
2008-06-10,31.38
2008-06-11,31.14
2008-06-12,30.93
2008-06-13,31.35
2008-06-16,30.76
2008-06-17,30.36
2008-06-18,31.32
2008-06-19,31.4
2008-06-20,31.51
2008-06-23,31.7
2008-06-24,31.2
2008-06-25,30.59
2008-06-26,30.43
2008-06-27,29.93
2008-06-30,30.39
2008-07-01,30.47
2008-07-02,30.28
2008-07-03,30.38
2008-07-07,30.65
2008-07-08,30.83
2008-07-09,31.33
2008-07-10,31.74
2008-07-11,31.57
2008-07-14,31.62
2008-07-15,32.01
2008-07-16,31.93
2008-07-17,32.03
2008-07-18,31.74
2008-07-21,31.7
2008-07-22,32.46
2008-07-23,32.58
2008-07-24,32.25
2008-07-25,31.99
2008-07-28,31.96
2008-07-29,32.26
2008-07-30,32.38
2008-07-31,32.19
2008-08-01,32.17
2008-08-04,32.85
2008-08-05,33.1
2008-08-06,33.35
2008-08-07,32.85
2008-08-08,33.54
2008-08-11,33.72
2008-08-12,33.53
2008-08-13,33.54
2008-08-14,33.6
2008-08-15,33.85
2008-08-18,33.18
2008-08-19,32.92
2008-08-20,33.42
2008-08-21,33.53
2008-08-22,33.72
2008-08-25,33.51
2008-08-26,33.4
2008-08-27,33.64
2008-08-28,33.73
2008-08-29,33.09
2008-09-02,33.71
2008-09-03,33.36
2008-09-04,33.47
2008-09-05,33.92
2008-09-08,34.22
2008-09-09,33.84
