Date,Close
2007-01-03,28.65
2007-01-04,28.67
2007-01-05,28.19
2007-01-08,27.97
2007-01-09,28.03
2007-01-10,28.3
2007-01-11,28.74
2007-01-12,28.8
2007-01-16,28.58
2007-01-17,28.74
2007-01-18,28.7
2007-01-19,28.71
2007-01-22,28.55
2007-01-23,28.69
2007-01-24,29.11
2007-01-25,28.56
2007-01-26,28.48
2007-01-29,28.68
2007-01-30,28.89
2007-01-31,28.88
2007-02-01,29.22
2007-02-02,29.36
2007-02-05,29.36
2007-02-06,29.44
2007-02-07,29.72
2007-02-08,28.78
2007-02-09,28.71
2007-02-12,28.57
2007-02-13,28.82
2007-02-14,28.93
2007-02-15,28.96
2007-02-16,28.96
2007-02-20,29.03
2007-02-21,28.87
2007-02-22,29.02
2007-02-23,28.91
2007-02-26,28.73
2007-02-27,28.2
2007-02-28,28.41
2007-03-01,28.48
2007-03-02,28.38
2007-03-05,28.23
2007-03-06,28.24
2007-03-07,28.11
2007-03-08,28.35
2007-03-09,28.52
2007-03-12,28.6
2007-03-13,27.92
2007-03-14,28.04
2007-03-15,28.29
2007-03-16,28.08
2007-03-19,28.31
2007-03-20,28.58
2007-03-21,28.91
2007-03-22,28.76
2007-03-23,28.93
2007-03-26,29.07
2007-03-27,28.92
2007-03-28,28.77
2007-03-29,29.07
2007-03-30,29.15
2007-04-02,29.05
2007-04-03,29.13
2007-04-04,29.06
2007-04-05,29.11
2007-04-09,29.0
2007-04-10,28.87
2007-04-11,28.66
2007-04-12,28.8
2007-04-13,28.82
2007-04-16,29.2
2007-04-17,29.12
2007-04-18,29.19
2007-04-19,29.68
2007-04-20,29.89
2007-04-23,29.76
2007-04-24,29.82
2007-04-25,30.24
2007-04-26,30.3
2007-04-27,30.38
2007-04-30,30.36
2007-05-01,30.55
2007-05-02,30.74
2007-05-03,30.79
2007-05-04,30.69
2007-05-07,30.97
2007-05-08,30.72
2007-05-09,30.76
2007-05-10,30.56
2007-05-11,30.89
2007-05-14,30.76
2007-05-15,30.91
2007-05-16,31.04
2007-05-17,30.99
2007-05-18,31.09
2007-05-21,31.03
2007-05-22,31.05
2007-05-23,31.0
2007-05-24,30.76
2007-05-25,30.8
2007-05-29,31.0
2007-05-30,31.25
2007-05-31,31.16
2007-06-01,31.23
2007-06-04,31.19
2007-06-05,30.96
2007-06-06,30.54
2007-06-07,30.13
2007-06-08,30.4
2007-06-11,30.47
2007-06-12,30.24
2007-06-13,30.43
2007-06-14,30.62
2007-06-15,30.64
2007-06-18,30.56
2007-06-19,30.67
2007-06-20,30.29
2007-06-21,30.36
2007-06-22,29.97
2007-06-25,29.99
