Date,Close
2007-01-03,47.55
2007-01-04,47.37
2007-01-05,46.86
2007-01-08,46.75
2007-01-09,47.15
2007-01-10,47.29
2007-01-11,47.57
2007-01-12,47.95
2007-01-16,48.38
2007-01-17,48.25
2007-01-18,47.9
2007-01-19,47.5
2007-01-22,47.48
2007-01-23,47.37
2007-01-24,47.49
2007-01-25,46.68
2007-01-26,46.37
2007-01-29,46.44
2007-01-30,46.7
2007-01-31,47.52
2007-02-01,48.09
2007-02-02,48.19
2007-02-05,48.25
2007-02-06,48.65
2007-02-07,49.14
2007-02-08,48.87
2007-02-09,48.96
2007-02-12,48.82
2007-02-13,49.2
2007-02-14,49.46
2007-02-15,49.51
2007-02-16,49.77
2007-02-20,49.75
2007-02-21,50.09
2007-02-22,50.44
2007-02-23,50.56
2007-02-26,50.17
2007-02-27,48.33
2007-02-28,48.73
2007-03-01,48.51
2007-03-02,48.21
2007-03-05,48.05
2007-03-06,48.46
2007-03-07,48.25
2007-03-08,48.63
2007-03-09,48.67
2007-03-12,48.81
2007-03-13,48.23
2007-03-14,48.53
2007-03-15,48.72
2007-03-16,48.42
2007-03-19,49.06
2007-03-20,49.52
2007-03-21,49.9
2007-03-22,49.56
2007-03-23,49.68
2007-03-26,49.68
2007-03-27,49.16
2007-03-28,48.59
2007-03-29,48.75
2007-03-30,49.0
2007-04-02,49.29
2007-04-03,49.89
2007-04-04,49.68
2007-04-05,49.62
2007-04-09,49.81
2007-04-10,49.82
2007-04-11,49.07
2007-04-12,49.25
2007-04-13,49.15
2007-04-16,50.0
2007-04-17,49.8
2007-04-18,49.89
2007-04-19,49.44
2007-04-20,49.86
2007-04-23,49.92
2007-04-24,49.88
2007-04-25,50.3
2007-04-26,50.3
2007-04-27,49.96
2007-04-30,49.41
2007-05-01,49.6
2007-05-02,49.88
2007-05-03,49.87
2007-05-04,49.27
2007-05-07,49.45
2007-05-08,49.4
2007-05-09,49.78
2007-05-10,49.3
2007-05-11,49.39
2007-05-14,49.28
2007-05-15,49.2
2007-05-16,49.59
2007-05-17,49.74
2007-05-18,50.07
2007-05-21,50.37
2007-05-22,50.65
2007-05-23,50.0
2007-05-24,49.6
2007-05-25,49.97
2007-05-29,50.78
2007-05-30,51.29
2007-05-31,51.32
2007-06-01,50.89
2007-06-04,51.43
2007-06-05,50.56
2007-06-06,49.75
2007-06-07,49.09
2007-06-08,49.83
2007-06-11,49.84
2007-06-12,49.38
2007-06-13,50.08
2007-06-14,49.89
2007-06-15,49.87
2007-06-18,49.88
2007-06-19,50.01
2007-06-20,49.7
2007-06-21,50.17
2007-06-22,49.37
2007-06-25,49.46
2007-06-26,49.45
2007-06-27,49.83
2007-06-28,49.84
2007-06-29,49.6
2007-07-02,50.3
2007-07-03,50.48
2007-07-05,50.12
2007-07-06,50.33
2007-07-09,49.97
2007-07-10,48.99
2007-07-11,49.33
2007-07-12,50.21
2007-07-13,50.41
2007-07-16,50.46
2007-07-17,50.5
2007-07-18,50.59
2007-07-19,51.19
2007-07-20,49.07
2007-07-23,49.55
2007-07-24,49.96
2007-07-25,50.08
2007-07-26,49.07
2007-07-27,47.52
2007-07-30,48.29
2007-07-31,47.58
2007-08-01,48.13
2007-08-02,48.66
2007-08-03,47.59
2007-08-06,48.92
2007-08-07,49.09
2007-08-08,50.05
2007-08-09,48.63
2007-08-10,48.11
2007-08-13,49.19
2007-08-14,48.07
2007-08-15,47.16
2007-08-16,48.21
2007-08-17,49.07
2007-08-20,48.64
2007-08-21,48.22
2007-08-22,48.47
