Date,Close
2007-01-03,29.87
2007-01-04,29.23
2007-01-05,29.0
2007-01-08,28.96
2007-01-09,28.71
2007-01-10,28.36
2007-01-11,28.27
2007-01-12,29.12
2007-01-16,28.8
2007-01-17,29.06
2007-01-18,28.63
2007-01-19,29.37
2007-01-22,29.32
2007-01-23,29.73
2007-01-24,30.15
2007-01-25,29.74
2007-01-26,29.15
2007-01-29,28.76
2007-01-30,29.32
2007-01-31,29.54
2007-02-01,29.62
2007-02-02,29.75
2007-02-05,29.82
2007-02-06,29.89
2007-02-07,29.64
2007-02-08,29.72
2007-02-09,29.91
2007-02-12,29.73
2007-02-13,30.65
2007-02-14,30.7
2007-02-15,30.38
2007-02-16,30.05
2007-02-20,30.04
2007-02-21,30.27
2007-02-22,31.51
2007-02-23,31.55
2007-02-26,31.9
2007-02-27,30.73
2007-02-28,30.92
2007-03-01,31.34
2007-03-02,30.98
2007-03-05,30.28
2007-03-06,30.97
2007-03-07,31.45
2007-03-08,31.73
2007-03-09,32.02
2007-03-12,32.19
2007-03-13,31.8
2007-03-14,31.83
2007-03-15,32.14
2007-03-16,32.06
2007-03-19,32.4
2007-03-20,30.5
2007-03-21,30.69
2007-03-22,30.75
2007-03-23,31.08
2007-03-26,31.37
2007-03-27,31.04
2007-03-28,31.31
2007-03-29,32.04
2007-03-30,31.74
2007-04-02,32.27
2007-04-03,32.76
2007-04-04,32.84
2007-04-05,32.94
2007-04-09,32.6
2007-04-10,32.86
2007-04-11,32.45
2007-04-12,32.72
2007-04-13,32.67
2007-04-16,32.91
2007-04-17,32.58
2007-04-18,32.36
2007-04-19,32.02
2007-04-20,31.65
2007-04-23,31.51
2007-04-24,31.09
2007-04-25,31.54
2007-04-26,31.63
2007-04-27,31.75
2007-04-30,31.77
2007-05-01,31.39
2007-05-02,31.93
2007-05-03,32.27
2007-05-04,32.28
2007-05-07,32.26
2007-05-08,32.37
2007-05-09,33.15
2007-05-10,32.81
2007-05-11,33.56
2007-05-14,34.07
2007-05-15,34.02
2007-05-16,35.59
2007-05-17,36.35
2007-05-18,36.46
2007-05-21,36.71
