Date,Close
2007-01-03,47.59
2007-01-04,47.37
2007-01-05,47.95
2007-01-08,49.35
2007-01-09,48.2
2007-01-10,47.5
2007-01-11,47.31
2007-01-12,49.02
2007-01-16,48.68
2007-01-17,49.25
2007-01-18,48.79
2007-01-19,50.52
2007-01-22,50.55
2007-01-23,51.74
2007-01-24,51.53
2007-01-25,50.86
2007-01-26,51.94
2007-01-29,52.11
2007-01-30,52.78
2007-01-31,53.99
2007-02-01,54.54
2007-02-02,54.57
2007-02-05,54.12
2007-02-06,53.84
2007-02-07,53.2
2007-02-08,54.54
2007-02-09,54.94
2007-02-12,53.44
2007-02-13,53.84
2007-02-14,53.98
2007-02-15,53.88
2007-02-16,54.27
2007-02-20,53.62
2007-02-21,54.5
2007-02-22,54.58
2007-02-23,55.58
2007-02-26,55.58
2007-02-27,53.22
2007-02-28,52.96
2007-03-01,53.19
2007-03-02,51.42
2007-03-05,50.52
2007-03-06,51.5
2007-03-07,52.18
2007-03-08,52.55
2007-03-09,52.8
2007-03-12,52.22
2007-03-13,51.19
2007-03-14,51.97
2007-03-15,51.85
2007-03-16,50.45
2007-03-19,52.51
2007-03-20,52.95
2007-03-21,54.06
2007-03-22,55.79
2007-03-23,55.98
2007-03-26,56.39
2007-03-27,56.82
2007-03-28,56.9
2007-03-29,56.91
2007-03-30,55.47
2007-04-02,56.51
2007-04-03,56.29
2007-04-04,56.23
2007-04-05,56.29
2007-04-09,55.08
2007-04-10,56.38
2007-04-11,56.4
2007-04-12,57.62
2007-04-13,57.87
2007-04-16,58.0
2007-04-17,56.93
2007-04-18,56.21
2007-04-19,56.16
2007-04-20,57.56
2007-04-23,57.31
2007-04-24,57.12
2007-04-25,59.04
2007-04-26,57.47
2007-04-27,57.02
2007-04-30,56.75
2007-05-01,56.77
2007-05-02,57.06
2007-05-03,58.23
2007-05-04,58.18
2007-05-07,57.82
2007-05-08,58.14
2007-05-09,58.44
2007-05-10,56.85
2007-05-11,58.48
2007-05-14,58.55
2007-05-15,58.39
2007-05-16,58.43
2007-05-17,58.87
2007-05-18,59.68
2007-05-21,60.59
2007-05-22,59.31
2007-05-23,60.46
2007-05-24,59.07
2007-05-25,60.28
2007-05-29,60.12
2007-05-30,61.0
2007-05-31,59.22
2007-06-01,60.26
2007-06-04,60.48
2007-06-05,59.57
2007-06-06,58.79
2007-06-07,59.0
2007-06-08,59.07
2007-06-11,58.91
2007-06-12,57.97
2007-06-13,59.04
2007-06-14,59.88
2007-06-15,61.0
2007-06-18,60.41
2007-06-19,59.51
2007-06-20,58.07
2007-06-21,60.24
2007-06-22,59.72
2007-06-25,58.42
2007-06-26,56.63
2007-06-27,55.78
2007-06-28,56.74
2007-06-29,58.96
2007-07-02,59.49
2007-07-03,60.09
2007-07-05,60.67
2007-07-06,60.95
2007-07-09,61.67
2007-07-10,63.2
2007-07-11,63.49
2007-07-12,64.63
2007-07-13,66.12
2007-07-16,65.71
2007-07-17,65.69
2007-07-18,66.48
2007-07-19,66.31
2007-07-20,65.34
2007-07-23,66.73
2007-07-24,64.63
2007-07-25,66.58
2007-07-26,62.38
2007-07-27,60.69
2007-07-30,61.79
2007-07-31,61.2
2007-08-01,60.16
2007-08-02,59.91
2007-08-03,56.59
2007-08-06,55.63
2007-08-07,57.28
2007-08-08,58.2
