Date,Close
2011-03-22,37.49
2011-03-23,37.25
2011-03-24,37.25
2011-03-25,39.25
2011-03-28,37.75
2011-03-29,37.5
2011-03-30,38.2
2011-03-31,41.5
2011-04-01,40.04
2011-04-04,40.15
2011-04-05,40.25
2011-04-06,39.68
2011-04-07,38.8
2011-04-08,38.5
2011-04-11,38.32
2011-04-12,38.05
2011-04-13,38.0
2011-04-14,38.77
2011-04-15,40.14
2011-04-18,40.05
2011-04-19,39.78
2011-04-20,40.06
2011-04-21,39.31
2011-04-25,39.07
2011-04-26,39.34
2011-04-27,40.01
2011-04-28,39.99
2011-04-29,40.0
2011-05-02,40.98
2011-05-03,40.5
2011-05-04,39.95
2011-05-05,39.84
2011-05-06,39.5
2011-05-09,39.6
2011-05-10,40.17
2011-05-11,38.78
2011-05-12,38.39
2011-05-13,38.46
2011-05-16,38.69
2011-05-17,38.78
2011-05-18,38.5
2011-05-19,38.38
2011-05-20,38.06
2011-05-23,37.8
2011-05-24,37.17
2011-05-25,36.67
2011-05-26,36.42
2011-05-27,36.58
2011-05-31,36.57
2011-06-01,36.1
2011-06-02,36.05
2011-06-03,35.8
2011-06-06,35.98
2011-06-07,36.44
2011-06-08,36.97
2011-06-09,36.99
2011-06-10,36.33
2011-06-13,36.51
2011-06-14,36.58
2011-06-15,36.16
2011-06-16,36.0
2011-06-17,35.95
2011-06-20,35.99
2011-06-21,36.35
2011-06-22,36.15
2011-06-23,35.9
2011-06-24,35.59
2011-06-27,35.2
2011-06-28,35.26
2011-06-29,34.82
2011-06-30,34.5
2011-07-01,34.61
2011-07-05,34.64
2011-07-06,35.25
2011-07-07,34.49
2011-07-08,35.0
2011-07-11,34.84
2011-07-12,34.4
2011-07-13,34.04
2011-07-14,33.55
2011-07-15,33.52
2011-07-18,33.2
2011-07-19,33.31
2011-07-20,33.23
2011-07-21,33.42
2011-07-22,33.91
2011-07-25,34.28
2011-07-26,35.16
2011-07-27,34.2
2011-07-28,34.0
2011-07-29,33.48
2011-08-01,32.84
2011-08-02,32.45
2011-08-03,32.09
2011-08-04,31.6
2011-08-05,31.13
2011-08-08,29.89
2011-08-09,29.72
2011-08-10,28.01
2011-08-11,27.83
2011-08-12,28.02
2011-08-15,28.59
2011-08-16,29.48
2011-08-17,29.49
2011-08-18,28.64
2011-08-19,28.63
2011-08-22,28.4
2011-08-23,29.25
2011-08-24,30.6
2011-08-25,29.67
2011-08-26,30.25
2011-08-29,30.8
2011-08-30,30.62
2011-08-31,29.94
2011-09-01,29.51
2011-09-02,27.62
2011-09-06,27.59
2011-09-07,28.69
2011-09-08,27.14
2011-09-09,26.73
2011-09-12,27.2
2011-09-13,27.97
2011-09-14,28.4
2011-09-15,28.23
2011-09-16,28.7
2011-09-19,28.28
2011-09-20,27.31
2011-09-21,27.42
2011-09-22,27.1
2011-09-23,27.09
2011-09-26,26.98
2011-09-27,26.96
2011-09-28,24.58
2011-09-29,24.44
2011-09-30,24.33
2011-10-03,23.46
2011-10-04,23.28
2011-10-05,22.85
2011-10-06,23.68
2011-10-07,23.85
2011-10-10,24.41
2011-10-11,25.24
2011-10-12,25.39
2011-10-13,25.62
2011-10-14,26.52
2011-10-17,26.5
2011-10-18,26.47
2011-10-19,26.36
2011-10-20,26.79
2011-10-21,27.54
2011-10-24,28.73
2011-10-25,28.94
2011-10-26,28.72
2011-10-27,29.26
2011-10-28,29.42
2011-10-31,29.5
2011-11-01,28.45
2011-11-02,28.96
2011-11-03,29.78
2011-11-04,29.76
2011-11-07,29.6
2011-11-08,30.1
2011-11-09,29.17
2011-11-10,31.0
2011-11-11,30.54
2011-11-14,30.34
2011-11-15,31.66
2011-11-16,31.02
2011-11-17,30.26
2011-11-18,30.8
2011-11-21,29.94
2011-11-22,29.6
2011-11-23,29.3
2011-11-25,29.45
2011-11-28,30.63
2011-11-29,31.0
2011-11-30,31.75
2011-12-01,31.7
2011-12-02,31.2
2011-12-05,31.35
2011-12-06,31.3
2011-12-07,31.52
2011-12-08,30.52
2011-12-09,30.83
2011-12-12,30.12
2011-12-13,30.4
2011-12-14,30.96
2011-12-15,31.05
2011-12-16,31.62
2011-12-19,31.84
2011-12-20,32.18
2011-12-21,32.5
2011-12-22,32.38
2011-12-23,32.34
2011-12-27,32.43
2011-12-28,31.51
2011-12-29,31.94
2011-12-30,31.28
2012-01-03,32.38
2012-01-04,31.8
2012-01-05,31.9
2012-01-06,32.3
2012-01-09,31.86
2012-01-10,32.64
2012-01-11,33.95
2012-01-12,33.77
2012-01-13,33.58
2012-01-17,34.2
2012-01-18,34.34
2012-01-19,34.05
2012-01-20,33.74
2012-01-23,34.0
2012-01-24,34.16
2012-01-25,35.1
2012-01-26,36.48
2012-01-27,37.28
2012-01-30,37.07
2012-01-31,37.68
2012-02-01,38.83
2012-02-02,38.56
2012-02-03,38.45
2012-02-06,38.4
2012-02-07,37.88
2012-02-08,37.99
2012-02-09,37.27
2012-02-10,36.59
2012-02-13,36.55
2012-02-14,36.69
2012-02-15,36.6
2012-02-16,36.43
2012-02-17,36.4
2012-02-21,36.29
2012-02-22,35.91
2012-02-23,36.37
2012-02-24,36.37
2012-02-27,35.92
2012-02-28,35.51
2012-02-29,35.88
2012-03-01,36.38
2012-03-02,36.07
2012-03-05,36.38
2012-03-06,36.11
2012-03-07,36.14
2012-03-08,36.3
2012-03-09,37.46
2012-03-12,37.84
2012-03-13,37.5
2012-03-14,37.15
2012-03-15,37.5
2012-03-16,37.75
