Date,Close
2013-12-12,44.12
2013-12-13,45.35
2013-12-16,44.16
2013-12-17,44.75
2013-12-18,44.8
2013-12-19,45.72
2013-12-20,45.0
2013-12-23,44.24
2013-12-24,44.14
2013-12-26,44.53
2013-12-27,44.32
2013-12-30,44.92
2013-12-31,45.66
2014-01-02,44.86
2014-01-03,45.16
2014-01-06,45.14
2014-01-07,45.14
2014-01-08,45.21
2014-01-09,44.88
2014-01-10,44.51
2014-01-13,44.57
2014-01-14,45.35
2014-01-15,44.96
2014-01-16,45.06
2014-01-17,45.66
2014-01-21,44.98
2014-01-22,46.09
2014-01-23,46.5
2014-01-24,46.07
2014-01-27,45.12
2014-01-28,44.94
2014-01-29,44.45
2014-01-30,44.45
2014-01-31,44.43
2014-02-03,42.99
2014-02-04,43.15
2014-02-05,42.68
2014-02-06,43.5
2014-02-07,44.43
2014-02-10,43.93
2014-02-11,44.51
2014-02-12,44.92
2014-02-13,45.04
2014-02-14,45.14
2014-02-18,44.65
2014-02-19,44.18
2014-02-20,44.1
2014-02-21,45.45
2014-02-24,45.68
2014-02-25,45.9
2014-02-26,46.25
2014-02-27,46.15
2014-02-28,45.88
2014-03-03,46.15
2014-03-04,46.29
2014-03-05,46.72
2014-03-06,46.13
2014-03-07,46.6
2014-03-10,45.92
2014-03-11,45.37
2014-03-12,45.86
2014-03-13,45.25
2014-03-14,45.21
2014-03-17,45.39
2014-03-18,46.31
2014-03-19,45.68
2014-03-20,45.49
2014-03-21,47.18
2014-03-24,46.7
2014-03-25,46.13
2014-03-26,45.84
2014-03-27,45.62
2014-03-28,45.66
2014-03-31,45.64
2014-04-01,46.27
2014-04-02,46.11
2014-04-03,45.19
2014-04-04,44.3
2014-04-07,43.85
2014-04-08,43.83
2014-04-09,44.14
2014-04-10,43.46
2014-04-11,43.6
2014-04-14,43.81
2014-04-15,43.87
2014-04-16,44.32
2014-04-17,44.67
2014-04-21,44.04
2014-04-22,44.14
2014-04-23,44.1
2014-04-24,44.12
2014-04-25,43.77
2014-04-28,43.85
2014-04-29,43.28
2014-04-30,44.8
2014-05-01,45.31
2014-05-02,45.25
2014-05-05,45.47
2014-05-06,45.47
2014-05-07,46.5
2014-05-08,46.46
2014-05-09,47.34
2014-05-12,47.15
2014-05-13,47.2
2014-05-14,46.27
2014-05-15,44.94
2014-05-16,44.88
2014-05-19,44.96
2014-05-20,43.93
2014-05-21,44.84
2014-05-22,45.12
2014-05-23,45.25
2014-05-27,45.64
2014-05-28,45.16
2014-05-29,45.51
2014-05-30,46.42
2014-06-02,46.74
2014-06-03,46.6
2014-06-04,46.72
2014-06-05,47.24
2014-06-06,47.77
2014-06-09,47.79
2014-06-10,48.08
2014-06-11,46.81
2014-06-12,46.13
2014-06-13,45.74
2014-06-16,45.57
2014-06-17,45.84
2014-06-18,45.86
2014-06-19,45.82
2014-06-20,45.68
2014-06-23,45.84
2014-06-24,46.17
2014-06-25,47.11
2014-06-26,46.91
2014-06-27,46.81
2014-06-30,47.81
2014-07-01,48.49
2014-07-02,48.96
2014-07-03,50.89
2014-07-07,50.27
2014-07-08,49.64
2014-07-09,50.73
2014-07-10,50.32
2014-07-11,49.9
2014-07-14,50.19
2014-07-15,50.42
2014-07-16,50.44
2014-07-17,49.39
2014-07-18,50.38
2014-07-21,50.95
2014-07-22,51.57
2014-07-23,52.35
2014-07-24,51.9
2014-07-25,51.87
2014-07-28,51.79
2014-07-29,51.26
2014-07-30,50.64
2014-07-31,49.68
2014-08-01,49.84
2014-08-04,49.62
2014-08-05,48.67
2014-08-06,48.12
2014-08-07,48.59
2014-08-08,48.65
2014-08-11,49.37
2014-08-12,49.47
2014-08-13,50.25
2014-08-14,50.75
2014-08-15,50.62
2014-08-18,51.28
2014-08-19,51.53
2014-08-20,52.2
2014-08-21,52.41
2014-08-22,52.61
2014-08-25,52.78
2014-08-26,52.63
2014-08-27,52.86
2014-08-28,52.65
2014-08-29,51.96
2014-09-02,52.24
2014-09-03,51.87
2014-09-04,52.0
2014-09-05,52.86
2014-09-08,52.7
2014-09-09,52.35
2014-09-10,51.87
2014-09-11,50.97
2014-09-12,50.07
2014-09-15,49.51
2014-09-16,50.58
2014-09-17,51.32
2014-09-18,50.75
2014-09-19,50.79
2014-09-22,50.91
2014-09-23,50.66
2014-09-24,50.68
2014-09-25,50.27
2014-09-26,50.93
2014-09-29,50.38
2014-09-30,50.54
2014-10-01,49.25
2014-10-02,49.21
2014-10-03,49.9
2014-10-06,49.68
2014-10-07,49.21
2014-10-08,49.08
2014-10-09,47.96
2014-10-10,46.72
2014-10-13,45.23
2014-10-14,45.21
2014-10-15,44.34
2014-10-16,44.86
2014-10-17,46.81
2014-10-20,48.47
2014-10-21,50.29
2014-10-22,49.27
2014-10-23,49.33
2014-10-24,49.74
2014-10-27,49.62
2014-10-28,49.99
2014-10-29,50.4
2014-10-30,51.32
2014-10-31,51.79
2014-11-03,51.81
2014-11-04,50.48
2014-11-05,51.38
2014-11-06,51.4
2014-11-07,51.24
2014-11-10,51.59
2014-11-11,51.73
2014-11-12,51.96
2014-11-13,52.06
2014-11-14,52.96
2014-11-17,52.16
2014-11-18,52.55
2014-11-19,52.37
2014-11-20,52.22
2014-11-21,52.37
2014-11-24,52.94
2014-11-25,53.66
2014-11-26,53.39
2014-11-28,53.8
2014-12-01,52.18
2014-12-02,52.35
2014-12-03,53.23
2014-12-04,53.35
2014-12-05,54.21
2014-12-08,54.05
2014-12-09,53.82
2014-12-10,53.33
2014-12-11,53.89
2014-12-12,53.09
2014-12-15,51.96
2014-12-16,50.77
2014-12-17,51.92
2014-12-18,53.09
2014-12-19,53.72
2014-12-22,53.35
2014-12-23,53.56
2014-12-24,53.78
2014-12-26,53.93
2014-12-29,53.58
2014-12-30,53.54
2014-12-31,53.54
2015-01-02,53.23
2015-01-05,51.51
2015-01-06,51.03
2015-01-07,51.85
2015-01-08,53.29
2015-01-09,52.76
2015-01-12,52.22
2015-01-13,52.63
2015-01-14,53.21
2015-01-15,52.53
2015-01-16,53.06
2015-01-20,52.9
2015-01-21,53.11
2015-01-22,54.87
2015-01-23,54.5
2015-01-26,55.22
2015-01-27,54.32
2015-01-28,54.28
2015-01-29,54.13
2015-01-30,53.29
2015-02-02,53.6
2015-02-03,54.52
2015-02-04,54.03
2015-02-05,55.14
2015-02-06,54.09
2015-02-09,54.36
2015-02-10,56.35
2015-02-11,57.78
2015-02-12,58.36
2015-02-13,58.63
2015-02-17,58.79
2015-02-18,58.56
2015-02-19,58.17
2015-02-20,58.17
2015-02-23,57.29
2015-02-24,57.03
2015-02-25,57.29
2015-02-26,57.48
2015-02-27,58.01
2015-03-02,59.24
2015-03-03,60.06
2015-03-04,59.43
2015-03-05,59.57
2015-03-06,57.95
2015-03-09,58.03
2015-03-10,57.27
2015-03-11,57.54
2015-03-12,58.09
2015-03-13,57.76
