Date,Close
2007-01-03,9.54
2007-01-04,9.46
2007-01-05,9.4
2007-01-08,9.35
2007-01-09,9.28
2007-01-10,9.32
2007-01-11,9.45
2007-01-12,9.41
2007-01-16,9.34
2007-01-17,9.35
2007-01-18,9.31
2007-01-19,9.42
2007-01-22,9.4
2007-01-23,9.4
2007-01-24,9.46
2007-01-25,9.47
2007-01-26,9.34
2007-01-29,9.34
2007-01-30,9.4
2007-01-31,9.48
2007-02-01,9.48
2007-02-02,9.46
2007-02-05,9.4
2007-02-06,9.49
2007-02-07,9.52
2007-02-08,9.49
2007-02-09,9.5
2007-02-12,9.5
2007-02-13,9.63
2007-02-14,9.74
2007-02-15,9.78
2007-02-16,9.52
2007-02-20,9.47
2007-02-21,9.51
2007-02-22,9.35
2007-02-23,9.33
2007-02-26,9.39
2007-02-27,9.16
2007-02-28,9.12
2007-03-01,9.2
2007-03-02,9.11
2007-03-05,9.07
2007-03-06,9.16
2007-03-07,9.1
2007-03-08,9.18
2007-03-09,9.14
2007-03-12,9.24
2007-03-13,9.1
2007-03-14,9.12
2007-03-15,9.2
2007-03-16,9.17
2007-03-19,9.17
2007-03-20,9.22
2007-03-21,9.31
2007-03-22,9.32
2007-03-23,9.36
2007-03-26,9.33
2007-03-27,9.27
2007-03-28,9.28
2007-03-29,9.27
2007-03-30,9.3
2007-04-02,9.39
2007-04-03,9.47
2007-04-04,9.4
2007-04-05,9.38
2007-04-09,9.27
2007-04-10,9.31
2007-04-11,9.33
2007-04-12,9.4
2007-04-13,9.41
2007-04-16,9.42
2007-04-17,9.41
2007-04-18,9.34
2007-04-19,9.37
2007-04-20,9.47
2007-04-23,9.51
2007-04-24,9.55
2007-04-25,9.57
2007-04-26,9.56
2007-04-27,9.55
2007-04-30,9.52
2007-05-01,9.57
2007-05-02,9.61
2007-05-03,9.58
2007-05-04,9.56
2007-05-07,9.62
2007-05-08,9.62
2007-05-09,9.59
2007-05-10,9.44
2007-05-11,9.51
2007-05-14,9.46
2007-05-15,9.39
2007-05-16,9.68
2007-05-17,9.68
2007-05-18,9.8
2007-05-21,9.87
2007-05-22,9.84
2007-05-23,9.83
2007-05-24,9.38
2007-05-25,9.21
2007-05-29,9.31
2007-05-30,9.27
2007-05-31,9.36
2007-06-01,9.42
2007-06-04,9.44
2007-06-05,9.39
2007-06-06,9.35
2007-06-07,9.31
2007-06-08,9.38
2007-06-11,9.4
2007-06-12,9.26
2007-06-13,9.35
2007-06-14,9.33
2007-06-15,9.35
2007-06-18,9.4
2007-06-19,9.34
2007-06-20,9.32
2007-06-21,9.35
2007-06-22,9.31
2007-06-25,9.39
2007-06-26,9.34
2007-06-27,9.43
2007-06-28,9.36
2007-06-29,9.34
2007-07-02,9.43
2007-07-03,9.4
2007-07-05,9.38
2007-07-06,9.36
2007-07-09,9.31
2007-07-10,9.25
2007-07-11,9.35
2007-07-12,9.37
2007-07-13,9.39
2007-07-16,9.33
2007-07-17,9.27
2007-07-18,9.12
2007-07-19,9.11
2007-07-20,9.1
2007-07-23,9.18
2007-07-24,9.08
2007-07-25,9.07
2007-07-26,8.94
2007-07-27,8.75
2007-07-30,8.74
2007-07-31,8.6
2007-08-01,8.71
2007-08-02,8.76
2007-08-03,8.45
2007-08-06,8.65
2007-08-07,8.52
2007-08-08,8.15
2007-08-09,7.94
2007-08-10,8.45
2007-08-13,8.4
2007-08-14,8.52
2007-08-15,8.5
2007-08-16,8.54
2007-08-17,8.47
2007-08-20,8.49
2007-08-21,8.5
2007-08-22,8.6
2007-08-23,8.7
2007-08-24,8.94
2007-08-27,9.03
2007-08-28,8.8
2007-08-29,8.94
2007-08-30,8.89
2007-08-31,8.91
2007-09-04,8.91
2007-09-05,8.91
2007-09-06,8.95
2007-09-07,8.75
2007-09-10,8.77
2007-09-11,8.86
2007-09-12,8.87
2007-09-13,8.94
2007-09-14,8.85
2007-09-17,8.9
2007-09-18,8.81
2007-09-19,8.9
2007-09-20,8.82
2007-09-21,8.81
2007-09-24,8.82
2007-09-25,8.81
2007-09-26,8.85
2007-09-27,8.9
2007-09-28,8.94
2007-10-01,8.97
2007-10-02,8.97
2007-10-03,8.85
2007-10-04,8.94
2007-10-05,9.09
2007-10-08,9.11
2007-10-09,9.15
2007-10-10,9.1
2007-10-11,9.0
2007-10-12,9.02
2007-10-15,9.1
2007-10-16,9.12
2007-10-17,9.22
2007-10-18,9.3
2007-10-19,9.2
2007-10-22,9.21
2007-10-23,9.18
2007-10-24,9.16
2007-10-25,9.16
2007-10-26,9.2
2007-10-29,9.09
2007-10-30,9.13
2007-10-31,9.12
2007-11-01,8.95
2007-11-02,8.84
2007-11-05,8.86
2007-11-06,8.81
2007-11-07,8.77
2007-11-08,8.86
2007-11-09,8.85
2007-11-12,8.79
2007-11-13,8.93
2007-11-14,8.91
2007-11-15,8.92
2007-11-16,8.94
2007-11-19,8.94
2007-11-20,9.21
2007-11-21,9.29
2007-11-23,9.45
2007-11-26,9.52
2007-11-27,9.66
2007-11-28,9.89
2007-11-29,9.94
2007-11-30,9.94
2007-12-03,9.91
2007-12-04,10.03
2007-12-05,10.01
2007-12-06,10.02
2007-12-07,10.06
2007-12-10,10.07
2007-12-11,9.9
2007-12-12,9.88
2007-12-13,10.21
2007-12-14,9.92
2007-12-17,9.96
2007-12-18,9.99
2007-12-19,10.12
2007-12-20,10.26
2007-12-21,10.35
2007-12-24,10.43
2007-12-26,10.33
2007-12-27,10.32
2007-12-28,10.31
2007-12-31,10.12
2008-01-02,10.06
2008-01-03,9.85
2008-01-04,9.92
2008-01-07,9.98
2008-01-08,9.78
2008-01-09,9.85
2008-01-10,9.98
2008-01-11,10.12
2008-01-14,9.87
2008-01-15,9.88
2008-01-16,9.79
2008-01-17,9.74
2008-01-18,9.75
2008-01-22,9.65
2008-01-23,9.47
2008-01-24,9.61
2008-01-25,9.33
2008-01-28,9.63
2008-01-29,9.63
2008-01-30,9.61
2008-01-31,9.69
2008-02-01,9.74
2008-02-04,9.75
2008-02-05,9.71
2008-02-06,9.62
2008-02-07,9.74
2008-02-08,9.72
2008-02-11,9.71
2008-02-12,9.86
2008-02-13,9.75
2008-02-14,9.72
2008-02-15,10.1
2008-02-19,10.28
2008-02-20,10.2
2008-02-21,10.27
2008-02-22,10.22
2008-02-25,10.55
2008-02-26,10.34
2008-02-27,10.43
2008-02-28,10.48
2008-02-29,10.22
2008-03-03,10.31
2008-03-04,10.4
2008-03-05,10.39
2008-03-06,10.19
2008-03-07,10.11
2008-03-10,10.18
2008-03-11,10.33
2008-03-12,10.27
2008-03-13,10.3
2008-03-14,10.13
2008-03-17,9.96
2008-03-18,10.15
2008-03-19,10.14
2008-03-20,10.22
2008-03-24,10.18
2008-03-25,10.33
2008-03-26,10.25
2008-03-27,10.3
2008-03-28,10.4
2008-03-31,10.41
2008-04-01,10.55
2008-04-02,10.59
2008-04-03,10.5
2008-04-04,10.61
2008-04-07,10.62
2008-04-08,10.51
2008-04-09,10.48
2008-04-10,10.46
2008-04-11,10.24
2008-04-14,10.05
2008-04-15,9.97
2008-04-16,9.95
2008-04-17,9.85
2008-04-18,9.94
2008-04-21,9.88
2008-04-22,9.81
2008-04-23,9.87
2008-04-24,9.86
2008-04-25,9.89
2008-04-28,9.85
2008-04-29,9.88
2008-04-30,9.85
2008-05-01,10.03
2008-05-02,9.99
2008-05-05,10.1
2008-05-06,10.11
2008-05-07,10.14
2008-05-08,10.2
2008-05-09,10.1
2008-05-12,10.26
2008-05-13,10.23
2008-05-14,10.27
2008-05-15,10.36
2008-05-16,10.44
2008-05-19,10.4
2008-05-20,10.29
2008-05-21,10.24
2008-05-22,9.85
2008-05-23,9.62
2008-05-27,9.59
2008-05-28,9.56
2008-05-29,9.56
2008-05-30,9.45
2008-06-02,9.42
2008-06-03,9.44
2008-06-04,9.47
2008-06-05,9.4
2008-06-06,9.21
2008-06-09,9.19
2008-06-10,9.24
2008-06-11,9.16
2008-06-12,9.14
2008-06-13,9.14
2008-06-16,9.1
2008-06-17,9.04
2008-06-18,8.94
2008-06-19,8.93
2008-06-20,8.88
2008-06-23,8.83
2008-06-24,8.76
2008-06-25,8.79
2008-06-26,8.68
2008-06-27,8.57
2008-06-30,8.65
2008-07-01,8.58
2008-07-02,8.52
2008-07-03,8.68
2008-07-07,8.78
