Date,Close
2016-11-01,18.92
2016-11-02,17.94
2016-11-03,17.49
2016-11-04,17.68
2016-11-07,17.34
2016-11-08,17.41
2016-11-09,17.53
2016-11-10,18.45
2016-11-11,18.86
2016-11-14,19.09
2016-11-15,19.91
2016-11-16,19.61
2016-11-17,19.5
2016-11-18,19.91
2016-11-21,20.18
2016-11-22,19.89
2016-11-23,20.28
2016-11-25,20.53
2016-11-28,20.15
2016-11-29,19.67
2016-11-30,19.28
2016-12-01,19.5
2016-12-02,19.69
2016-12-05,20.26
2016-12-06,20.32
2016-12-07,20.88
2016-12-08,20.91
2016-12-09,21.8
2016-12-12,21.58
2016-12-13,21.19
2016-12-14,20.75
2016-12-15,20.56
2016-12-16,20.26
2016-12-19,20.02
2016-12-20,20.1
2016-12-21,20.02
2016-12-22,20.07
2016-12-23,19.78
2016-12-27,19.78
2016-12-28,19.25
2016-12-29,18.7
2016-12-30,18.54
2017-01-03,19.19
2017-01-04,19.7
2017-01-05,20.1
2017-01-06,20.63
2017-01-09,20.39
2017-01-10,20.71
2017-01-11,21.1
2017-01-12,21.0
2017-01-13,21.13
2017-01-17,20.74
2017-01-18,20.88
2017-01-19,21.31
2017-01-20,21.29
2017-01-23,21.33
2017-01-24,22.17
2017-01-25,22.69
2017-01-26,22.86
2017-01-27,22.6
2017-01-30,22.5
2017-01-31,22.79
2017-02-01,25.28
2017-02-02,25.2
2017-02-03,25.9
2017-02-06,26.2
2017-02-07,26.62
2017-02-08,27.3
2017-02-09,27.96
2017-02-10,29.62
2017-02-13,29.65
2017-02-14,29.52
2017-02-15,29.21
2017-02-16,29.49
2017-02-17,29.91
2017-02-21,30.29
2017-02-22,30.55
2017-02-23,29.57
2017-02-24,29.32
2017-02-27,29.24
2017-02-28,28.79
2017-03-01,29.54
2017-03-02,28.54
2017-03-03,28.09
2017-03-06,27.7
2017-03-07,26.98
2017-03-08,26.85
2017-03-09,26.49
2017-03-10,26.83
2017-03-13,26.8
2017-03-14,26.67
2017-03-15,27.26
2017-03-16,27.32
2017-03-17,27.5
2017-03-20,27.87
2017-03-21,26.75
2017-03-22,26.5
2017-03-23,26.68
2017-03-24,26.68
2017-03-27,26.56
2017-03-28,27.04
2017-03-29,26.2
2017-03-30,26.56
2017-03-31,26.34
2017-04-03,26.18
2017-04-04,26.38
2017-04-05,25.89
2017-04-06,26.16
2017-04-07,26.41
2017-04-10,26.53
2017-04-11,26.59
2017-04-12,25.85
2017-04-13,25.9
2017-04-17,26.69
2017-04-18,25.8
2017-04-19,25.97
2017-04-20,26.11
2017-04-21,26.0
2017-04-24,26.1
2017-04-25,26.98
2017-04-26,27.5
2017-04-27,27.22
2017-04-28,27.33
2017-05-01,27.25
2017-05-02,27.15
2017-05-03,26.78
2017-05-04,26.62
2017-05-05,27.3
2017-05-08,27.08
2017-05-09,27.26
2017-05-10,27.28
2017-05-11,27.21
2017-05-12,27.7
2017-05-15,28.1
2017-05-16,27.41
2017-05-17,26.84
2017-05-18,26.92
2017-05-19,27.58
2017-05-22,27.63
2017-05-23,27.87
2017-05-24,28.08
2017-05-25,27.21
2017-05-26,27.42
2017-05-30,27.22
2017-05-31,27.47
2017-06-01,27.97
2017-06-02,28.16
2017-06-05,27.47
2017-06-06,27.47
2017-06-07,26.9
2017-06-08,27.45
2017-06-09,27.36
2017-06-12,26.82
2017-06-13,27.66
2017-06-14,26.9
2017-06-15,26.7
2017-06-16,26.43
