Date,Close
2007-01-03,23.14
2007-01-04,24.2
2007-01-05,24.91
2007-01-08,25.14
2007-01-09,24.93
2007-01-10,27.05
2007-01-11,27.31
2007-01-12,26.95
2007-01-16,25.84
2007-01-17,26.64
2007-01-18,25.84
2007-01-19,25.38
2007-01-22,24.82
2007-01-23,25.9
2007-01-24,27.28
2007-01-25,26.35
2007-01-26,27.03
2007-01-29,25.98
2007-01-30,26.29
2007-01-31,26.11
2007-02-01,27.11
2007-02-02,28.49
2007-02-05,28.72
2007-02-06,28.57
2007-02-07,29.61
2007-02-08,30.41
2007-02-09,29.87
2007-02-12,28.71
2007-02-13,30.17
2007-02-14,30.33
2007-02-15,31.02
2007-02-16,31.66
2007-02-20,32.52
2007-02-21,32.77
2007-02-22,32.12
2007-02-23,32.39
2007-02-26,31.44
2007-02-27,28.92
2007-02-28,30.15
2007-03-01,30.12
2007-03-02,27.72
2007-03-05,27.42
2007-03-06,28.49
2007-03-07,25.82
2007-03-08,26.27
2007-03-09,26.2
2007-03-12,26.89
2007-03-13,25.8
2007-03-14,26.39
2007-03-15,25.62
2007-03-16,25.28
2007-03-19,25.6
2007-03-20,25.98
2007-03-21,25.95
2007-03-22,25.45
2007-03-23,24.71
2007-03-26,24.17
2007-03-27,24.59
2007-03-28,24.39
2007-03-29,24.59
2007-03-30,24.44
2007-04-02,25.57
2007-04-03,24.73
2007-04-04,25.18
2007-04-05,25.78
2007-04-09,25.7
2007-04-10,25.59
2007-04-11,25.39
2007-04-12,25.33
2007-04-13,25.96
2007-04-16,26.0
2007-04-17,26.24
2007-04-18,26.18
2007-04-19,25.94
2007-04-20,26.77
2007-04-23,26.47
2007-04-24,26.03
2007-04-25,26.1
2007-04-26,25.83
2007-04-27,25.35
2007-04-30,25.4
2007-05-01,24.6
2007-05-02,25.45
2007-05-03,26.95
2007-05-04,27.68
2007-05-07,27.43
2007-05-08,26.94
2007-05-09,27.51
2007-05-10,26.97
2007-05-11,28.11
2007-05-14,27.76
2007-05-15,27.46
